Date,Open,Close,High,Low,Volume
2018-11-26,8730,9210,9240,8730,35063
2018-11-27,9220,9050,9230,9050,6375
2018-11-28,9130,8830,9130,8830,12771
2018-11-29,9130,8940,9130,8840,10713
2018-11-30,8980,9000,9050,8810,17018
2018-12-03,9170,8890,9170,8810,19056
2018-12-04,8890,8900,9030,8780,16109
2018-12-05,8900,8620,8980,8420,36315
2018-12-06,8610,8210,8610,8000,34942
2018-12-07,8330,8350,8560,8210,23989
2018-12-10,8070,8020,8150,7770,21241
2018-12-11,8030,8000,8300,7800,14166
2018-12-12,8090,8270,8300,8010,22854
2018-12-13,8270,8170,8300,8050,11999
2018-12-14,8240,8010,8240,7940,9354
2018-12-17,7880,7850,8040,7630,16644
2018-12-18,7960,7860,8100,7770,20645
2018-12-19,7950,8050,8150,7880,11728
2018-12-20,8200,7840,8200,7800,13777
2018-12-21,7880,7790,7940,7710,11694
2018-12-24,7700,7650,7760,7590,17802
2018-12-26,7690,7620,7690,7450,10487
2018-12-27,7640,7780,7880,7640,18325
2018-12-28,7820,8360,8380,7780,32219
2019-01-02,8480,8290,8650,8100,24854
2019-01-03,8100,8120,8260,7920,13621
2019-01-04,8100,8030,8140,7880,10351
2019-01-07,8400,7970,8400,7960,17769
2019-01-08,7990,7800,8180,7750,20024
2019-01-09,7990,7850,7990,7760,23965
2019-01-10,7890,7780,7890,7660,27675
2019-01-11,7820,8120,8150,7800,24947
2019-01-14,8300,8110,8300,8030,14408
2019-01-15,8190,8170,8200,8100,17887
2019-01-16,8000,8120,8790,7910,58692
2019-01-17,8210,8750,9150,8200,157266
2019-01-18,9510,8980,10450,8800,187823
2019-01-21,8810,8710,9070,8640,27629
2019-01-22,8670,8460,8830,8450,15273
2019-01-23,8350,8360,8450,8210,33783
2019-01-24,8310,8410,8690,8310,15768
2019-01-25,8580,8730,8800,8500,32681
2019-01-28,8740,8570,8830,8560,27419
2019-01-29,8550,8400,8690,8360,20894
2019-01-30,8400,8430,8740,8310,19003
2019-01-31,8600,8550,8600,8320,17806
2019-02-01,8510,8310,8600,8310,23010
2019-02-07,8310,8220,8350,8180,20409
2019-02-08,8260,8240,8350,8190,9389
2019-02-11,8370,8600,8670,8290,39722
2019-02-12,8610,8380,8760,8350,29174
2019-02-13,8400,8230,8550,8200,29654
2019-02-14,8300,8300,8300,8210,11693
2019-02-15,8390,8230,8390,8210,12446
2019-02-18,8230,8230,8310,8220,19674
2019-02-19,8370,8200,8380,8180,21629
2019-02-20,8230,8340,8520,8180,38060
2019-02-21,8350,8390,8460,8300,24822
2019-02-22,8480,8280,8480,8220,26270
2019-02-25,8280,8340,8390,8170,27357
2019-02-26,8340,8300,8880,8280,80986
2019-02-27,8320,8300,8450,8210,27208
2019-02-28,8400,8120,8400,8050,33606
2019-03-04,8170,8140,8250,8100,34550
2019-03-05,8270,8130,8450,8130,45152
2019-03-06,8200,8140,8300,8090,27407
2019-03-07,8150,8050,8290,8010,40689
2019-03-08,8000,8080,8110,7950,23083
2019-03-11,8300,8000,8300,7970,21448
2019-03-12,7930,7960,8080,7920,24706
2019-03-13,8150,7950,8150,7800,30423
2019-03-14,7890,8300,8350,7890,46444
2019-03-15,8300,8170,8380,8120,26745
2019-03-18,8380,8370,8680,8300,69643
2019-03-19,8490,8240,8570,8230,60562
2019-03-20,8270,8160,8410,8010,23812
2019-03-21,8160,8150,8350,8100,53136
2019-03-22,8380,8130,8850,8130,333135
2019-03-25,8030,8150,8180,7850,47289
2019-03-26,8130,7960,8150,7960,26596
2019-03-27,8000,8070,8150,7990,28464
2019-03-28,8160,8060,8160,7960,10419
2019-03-29,8140,8000,8140,7900,23380
2019-04-01,8000,7960,8100,7850,27858
2019-04-02,8090,7940,8090,7940,9410
2019-04-03,7950,7990,8040,7880,9824
2019-04-04,7990,8010,8030,7950,9338
2019-04-05,8020,8130,8160,7970,24266
2019-04-08,8060,8220,8500,8060,55687
2019-04-09,8220,8140,8260,8130,17610
2019-04-10,8220,8110,8230,8080,20445
2019-04-11,8110,8460,8500,8100,83574
2019-04-12,8510,8750,8920,8470,164774
2019-04-15,8790,8600,8840,8490,52391
2019-04-16,8500,8430,8560,8350,22554
2019-04-17,8380,8430,8520,8300,30481
2019-04-18,8550,8290,8550,8200,30371
2019-04-19,8310,8300,8460,8300,21142
2019-04-22,8260,8020,8260,8000,69308
2019-04-23,8020,8060,8150,8010,14434
2019-04-24,8080,8040,8240,7940,30570
2019-04-25,8160,7980,8160,7910,27838
2019-04-26,8080,8010,8080,7850,23118
2019-04-29,8090,8040,8090,7910,10208
2019-04-30,7970,8030,8040,7900,9718
2019-05-02,8080,7950,8080,7920,25766
2019-05-03,8030,7920,8030,7890,15739
2019-05-07,7920,7720,7920,7710,27567
2019-05-08,7700,7590,7700,7470,31146
2019-05-09,7420,7420,7570,7330,43319
2019-05-10,7410,7370,7640,7360,16622
2019-05-13,7200,7220,7410,7130,16643
2019-05-14,7030,7040,7220,7010,28562
2019-05-15,7230,7040,7280,7000,20523
2019-05-16,7050,7060,7260,7010,18136
2019-05-17,7060,7300,7460,6930,42421
2019-05-20,7420,7630,7710,7000,37736
2019-05-21,7630,7460,7740,7450,10029
2019-05-22,7690,7510,7690,7350,9778
2019-05-23,7510,7550,7770,7360,12828
2019-05-24,7590,7480,7600,7250,15746
2019-05-27,7400,7380,7620,7300,6994
2019-05-28,7310,7130,7560,7030,22304
