Date,Open,Close,High,Low,Volume
2018-11-26,11661,11635,12054,11373,2780
2018-11-27,11792,11714,11818,11478,8655
2018-11-28,11792,11425,11818,11294,23715
2018-11-29,11714,11111,11714,11032,20862
2018-11-30,11373,11137,11373,11059,3820
2018-12-03,11347,11321,11425,11137,7413
2018-12-04,11268,11242,11452,11190,4654
2018-12-05,11242,11137,11242,11006,5419
2018-12-06,11111,10744,11137,10665,14711
2018-12-07,10639,10927,10980,10561,6512
2018-12-10,10770,10718,10849,10325,8386
2018-12-11,10718,10770,11006,10482,14703
2018-12-12,10980,10796,10980,10639,8090
2018-12-13,10639,10796,10901,10639,10315
2018-12-14,10796,10718,10927,10639,3904
2018-12-17,10482,10927,11321,10482,26485
2018-12-18,10901,10770,11111,10744,8092
2018-12-19,10980,10744,10980,10639,5627
2018-12-20,10770,10718,10770,10482,13778
2018-12-21,10534,10639,10692,10482,9569
2018-12-24,10639,10613,10665,10377,13013
2018-12-26,10377,10561,10639,10246,35220
2018-12-27,10613,10665,10692,10430,14629
2018-12-28,10665,11006,11268,10561,28609
2019-01-02,11216,10980,11216,10927,9092
2019-01-03,11163,10770,11163,10770,11343
2019-01-04,10744,10561,10744,10482,11658
2019-01-07,10744,10534,10744,10482,7329
2019-01-08,10456,10482,10508,10299,18033
2019-01-09,10456,10639,10692,10456,8865
2019-01-10,10665,10561,10744,10456,3793
2019-01-11,10482,10744,10954,10482,12755
2019-01-14,10901,10744,10901,10613,3822
2019-01-15,10639,10823,10927,10639,10958
2019-01-16,10954,10901,11059,10744,9059
2019-01-17,10718,10849,11006,10718,7802
2019-01-18,10770,12893,13286,10770,342175
2019-01-21,12788,13234,13679,12657,82574
2019-01-22,13050,12788,13234,12631,32042
2019-01-23,12500,13234,14151,12316,123444
2019-01-24,13234,13417,13915,13234,47710
2019-01-25,13679,13155,13679,13050,25182
2019-01-28,13024,13155,13286,12919,22433
2019-01-29,12945,13312,13338,12840,21151
2019-01-30,13024,13103,13234,12867,24539
2019-01-31,13076,13103,13286,12736,13681
2019-02-01,12867,12919,13129,12709,12471
2019-02-07,12867,12683,13103,12631,7779
2019-02-08,12605,12447,12840,12107,19874
2019-02-11,12290,12709,12840,12238,11252
2019-02-12,12578,12107,12578,12081,32358
2019-02-13,12054,12107,12316,11976,14734
2019-02-14,12002,12264,12474,12002,15365
2019-02-15,12081,12238,12840,12081,29321
2019-02-18,12447,12919,12971,12290,31961
2019-02-19,12945,12945,13050,12814,12572
2019-02-20,12762,13941,13941,12762,119569
2019-02-21,13810,13862,14177,13679,42963
2019-02-22,13862,14046,14308,13758,42437
2019-02-25,14072,14413,14413,14020,51624
2019-02-26,14518,14282,14544,13915,51147
2019-02-27,14256,14046,14596,13731,38519
2019-02-28,13941,13836,14518,13836,40336
2019-03-04,13836,13365,14072,13207,32868
2019-03-05,13207,13496,13915,13181,28269
2019-03-06,13417,14124,14151,13365,24759
2019-03-07,14282,13574,14282,13365,22368
2019-03-08,13574,13810,14256,13574,47518
2019-03-11,14072,13574,14229,13417,12427
2019-03-12,13574,13600,13862,13234,18302
2019-03-13,13365,14387,14387,13365,35676
2019-03-14,14229,14124,14518,13889,35659
2019-03-15,14256,14256,14256,13705,21698
2019-03-18,14256,14570,14596,13993,22444
2019-03-19,14649,14675,14701,14203,17499
2019-03-20,14727,14098,14727,13810,37338
2019-03-21,14203,14046,14282,13653,14324
2019-03-22,14387,14360,14413,13862,27147
2019-03-25,14046,13915,14046,13862,10508
2019-03-26,13889,13967,14124,13705,24305
2019-03-27,13705,14020,14124,13627,4762
2019-03-28,14098,13496,14098,13338,11759
2019-03-29,13679,13600,13679,13234,7531
2019-04-01,13600,13574,13679,13469,7653
2019-04-02,13574,13574,13758,13365,6550
2019-04-03,13574,13574,13836,13496,8729
2019-04-04,13574,13600,13889,13391,6569
2019-04-05,13705,13469,13705,13338,10912
2019-04-08,13836,13627,13836,13391,12183
2019-04-09,13627,13312,13627,13181,19332
2019-04-10,13600,13260,13600,13155,14875
2019-04-11,13260,13050,13548,12867,36503
2019-04-12,13207,12945,13207,12657,35405
2019-04-15,13076,12919,13889,12867,95894
2019-04-16,13103,13024,13103,12867,10769
2019-04-17,12919,12605,13103,12421,93915
2019-04-18,12631,12552,12867,12369,22301
2019-04-19,12605,12762,12998,12605,18674
2019-04-22,12788,12814,12945,12578,18210
2019-04-23,12814,12526,12814,12447,12246
2019-04-24,12526,12212,12578,12159,27552
2019-04-25,12212,12447,12578,12002,21521
2019-04-26,12290,12316,12395,12107,9118
2019-04-29,12185,12474,12500,12107,10647
2019-04-30,12343,12316,12526,12002,15127
2019-05-02,12474,12185,12474,12081,12687
2019-05-03,12107,12395,13286,12028,43009
2019-05-07,12343,12238,12343,11792,38924
2019-05-08,12107,12290,12421,12002,19101
2019-05-09,12343,11976,12369,11714,41763
2019-05-10,11897,12238,12316,11897,19250
2019-05-13,12238,12054,12369,11923,9454
2019-05-14,11845,11871,12054,11740,19922
2019-05-15,11897,12133,12133,11714,26232
2019-05-16,12133,11923,12212,11766,16108
2019-05-17,11818,11871,11923,11530,17735
2019-05-20,11818,11556,11949,11347,31370
2019-05-21,11321,11478,11583,11321,10395
2019-05-22,11347,11373,11556,11137,15079
2019-05-23,11478,11661,11923,11163,20548
2019-05-24,11268,11425,11740,11216,16485
2019-05-27,11399,11190,11399,11137,8351
2019-05-28,11059,11242,11425,11059,7859
2019-05-29,11268,11059,11268,10692,23475
