Date,Open,Close,High,Low,Volume
2019-11-21,8400,8950,10300,8100,15928268
2019-11-22,8940,9300,10550,8830,10472231
2019-11-25,9250,8730,9770,8700,1941375
2019-11-26,8960,9630,10450,8850,9577714
2019-11-27,9680,9310,9980,9180,1718230
2019-11-28,9450,8860,9640,8630,1006835
2019-11-29,8850,8210,9020,8210,803545
2019-12-02,8340,7860,8350,7680,427832
2019-12-03,7860,7610,8090,7580,318532
2019-12-04,7600,7800,8170,7570,893310
2019-12-05,7830,7920,8440,7610,742764
2019-12-06,8030,8050,8350,7930,534676
2019-12-09,8350,8010,8790,8010,723898
2019-12-10,8000,7910,8300,7810,374106
2019-12-11,8030,8080,8400,7980,438405
2019-12-12,8200,7990,8320,7960,195496
2019-12-13,8020,8050,8230,7870,301516
2019-12-16,8070,8060,8120,7980,99635
2019-12-17,8100,8150,8350,8050,267098
2019-12-18,8140,7980,8260,7970,241181
2019-12-19,8100,8690,8950,8070,1409557
2019-12-20,8680,8700,8830,8520,264543
2019-12-23,8790,8850,9570,8700,1797463
2019-12-24,8850,8620,8850,8530,188909
2019-12-26,8700,8700,8880,8480,207351
2019-12-27,8620,8560,8810,8550,161137
2019-12-30,8550,8490,8650,8490,83960
2020-01-02,8550,8650,8840,8550,165273
2020-01-03,8680,8570,8760,8420,177648
2020-01-06,8490,8300,8570,8260,88846
2020-01-07,8350,8400,8480,8120,138854
2020-01-08,8720,7990,9190,7980,1012170
2020-01-09,8220,8310,8360,8150,111748
2020-01-10,8330,8160,8340,8150,134776
2020-01-13,8280,8100,8290,8060,111911
2020-01-14,8170,8070,8170,8010,85901
2020-01-15,8070,8060,8150,8020,62292
2020-01-16,8100,8080,8110,7990,84270
2020-01-17,8110,8150,8260,8050,98023
2020-01-20,8230,8060,8290,8050,106721
2020-01-21,8110,7970,8110,7960,64325
2020-01-22,7980,7880,8020,7840,52432
2020-01-23,7920,7860,8060,7860,38762
2020-01-28,7500,7400,7500,7360,138287
2020-01-29,7420,7300,7540,7300,82834
2020-01-30,7300,7060,7360,7050,63660
2020-01-31,7030,7020,7330,7000,51855
2020-02-03,6900,7190,7190,6730,45849
2020-02-04,7100,7210,7220,7070,39673
2020-02-05,7220,7430,7530,7210,59260
2020-02-06,7570,7550,7570,7420,34751
2020-02-07,7620,7540,7680,7450,31167
2020-02-10,7510,7440,7580,7360,16163
2020-02-11,7380,7430,7700,7360,19056
2020-02-12,7430,7420,7650,7350,50331
2020-02-13,7560,7690,7750,7550,92630
2020-02-14,7800,7720,8060,7680,94677
2020-02-17,7720,7660,7870,7250,59635
2020-02-18,7660,7380,7660,7340,41956
2020-02-19,7380,7600,7620,7340,40843
2020-02-20,7730,8180,8180,7600,277348
2020-02-21,8160,7940,8160,7880,124033
2020-02-24,7710,8270,8600,7600,501149
2020-02-25,8280,8300,8590,7960,291380
2020-02-26,8110,8150,8360,8020,78455
2020-02-27,8170,7850,8230,7850,97596
2020-02-28,7660,7190,7790,7150,127381
2020-03-02,7390,7990,8300,7200,188010
2020-03-03,8020,7970,8320,7970,133048
2020-03-04,8150,8050,8150,7950,77955
2020-03-05,8150,8540,8540,8040,203968
2020-03-06,8450,8260,8490,8160,120378
2020-03-09,8050,7700,8070,7680,113432
2020-03-10,7510,7710,7790,7400,83074
2020-03-11,7700,7200,7780,6990,169685
2020-03-12,7000,6260,7120,6210,201694
2020-03-13,5030,5950,6000,4520,363955
2020-03-16,5900,5300,6200,5300,96379
2020-03-17,4930,5040,5390,4850,160318
2020-03-18,5050,4460,5100,4460,270036
2020-03-19,4470,3345,4590,3165,245117
2020-03-20,3400,3980,4180,3395,222218
2020-03-23,3680,4085,4160,3590,147811
2020-03-24,4085,4475,4700,4085,106397
2020-03-25,4995,5010,5410,4705,261948
2020-03-26,5190,5120,5390,4930,160435
2020-03-27,5300,5120,5480,5010,139823
2020-03-30,4915,5520,5770,4910,88367
2020-03-31,5870,5580,5870,5520,87967
2020-04-01,5890,5680,5890,5600,99933
2020-04-02,5680,5850,5920,5500,125395
2020-04-03,6240,6240,6410,5920,84357
2020-04-06,6300,6310,6410,6060,57789
2020-04-07,6500,6290,6530,6170,66403
2020-04-08,6220,6300,6320,6060,73682
2020-04-09,6280,6240,6290,6120,114375
2020-04-10,6200,5940,6280,5830,123011
2020-04-13,5980,5550,5980,5510,100587
2020-04-14,5670,5800,5850,5580,54696
2020-04-16,5800,5860,5890,5580,36061
2020-04-17,5850,6190,6240,5850,104601
2020-04-20,6200,6210,6300,6070,82130
2020-04-21,6180,6100,6180,5980,83220
2020-04-22,5980,6000,6020,5850,64127
2020-04-23,6110,6160,6210,6060,36584
2020-04-24,6150,6140,6250,6060,43801
2020-04-27,6280,6310,6350,6150,51937
2020-04-28,6340,6580,6970,6240,215483
2020-04-29,6630,7240,7990,6470,679913
2020-05-04,7130,7030,7370,6970,120621
2020-05-06,7030,7200,7200,6940,81845
2020-05-07,7200,7610,7640,7140,89927
2020-05-08,7660,7660,7720,7540,61871
2020-05-11,7820,8010,8090,7530,155413
2020-05-12,8010,7950,8160,7710,139295
2020-05-13,7890,7800,7900,7720,48801
2020-05-14,7700,7810,8050,7680,67239
2020-05-15,7810,7900,8090,7650,68710
2020-05-18,7900,7960,8050,7800,49268
2020-05-19,8100,7920,8130,7830,84771
2020-05-20,8080,8070,8250,8030,288975
2020-05-21,8650,9250,9720,8500,1563713
2020-05-22,9090,8940,9150,8570,281112
2020-05-25,9060,9000,9260,8670,295634
2020-05-26,9000,9300,9300,8860,225116
2020-05-27,9500,9610,10850,9450,2340614
2020-05-28,9690,9330,10100,8690,526978
2020-05-29,9110,9130,9450,8950,151705
2020-06-01,9260,9440,9580,9250,191523
2020-06-02,9560,9910,10100,9540,417652
2020-06-03,10450,10100,10450,9630,518780
2020-06-04,10150,10200,10250,9940,254495
2020-06-05,10200,10200,10400,10100,159522
2020-06-08,10250,10000,10300,9870,183944
2020-06-09,10150,9890,10150,9600,174372
2020-06-10,9810,9650,9890,9540,136630
2020-06-11,9620,9580,9880,9460,128611
2020-06-12,8930,9250,9250,8650,227519
2020-06-15,9250,8490,9250,8300,214958
2020-06-16,8550,8810,8820,8550,118589
2020-06-17,8800,8780,8950,8700,69561
2020-06-18,8820,8600,8900,8550,84753
2020-06-19,8650,9080,9170,8590,134645
2020-06-22,9140,9020,9450,8850,85924
2020-06-23,9280,9920,9960,9060,486088
2020-06-24,10100,10100,10500,9800,549878
2020-06-25,9930,10050,10200,9660,247216
2020-06-26,10200,13050,13050,9910,4772177
2020-06-29,14000,14300,16400,12500,18302845
2020-06-30,14100,14300,15700,13450,5984480
2020-07-01,16000,13550,16800,13550,4793509
2020-07-02,13500,14450,15100,13100,3479905
2020-07-03,14500,15200,16450,14200,4891621
2020-07-06,15150,14700,15350,14500,749820
2020-07-07,15200,15600,16200,14900,2839766
2020-07-08,15650,17050,17700,15300,3271268
2020-07-09,16800,18850,20850,16800,8121240
2020-07-10,18550,18900,19000,17600,1202444
2020-07-13,18650,18650,19750,18100,1462493
2020-07-14,18300,17300,19000,16550,967675
2020-07-15,17600,18050,18400,17100,578777
2020-07-16,17800,18350,19100,17500,856362
2020-07-17,18300,18700,19000,17600,528704
2020-07-20,19000,21250,22500,18750,2913991
2020-07-21,21450,23600,26700,20250,2772477
2020-07-22,23900,23700,26200,23500,982059
2020-07-23,23800,23050,23800,21500,687718
2020-07-24,22250,21900,23350,21250,506096
2020-07-27,21800,22550,23150,21250,483705
2020-07-28,22700,24750,24750,22600,656904
2020-07-29,24250,23550,24800,23250,344363
2020-07-30,24000,25400,25900,22150,1107256
2020-07-31,25100,24500,26350,24400,557433
2020-08-03,23950,24200,24700,23400,244773
2020-08-04,24200,23500,25200,23300,457297
2020-08-05,23500,22800,23700,22250,407090
2020-08-06,22850,23800,23800,22200,378966
2020-08-07,23700,23100,24150,22700,328785
2020-08-10,22750,23650,23650,22350,386540
2020-08-11,23450,23100,24800,22950,581026
2020-08-12,23150,22350,23200,21700,344758
2020-08-13,22550,21650,22650,21250,467421
2020-08-14,21650,19450,21650,19350,544149
2020-08-18,19200,18200,20100,17700,401520
2020-08-19,18500,19500,19700,18500,375377
2020-08-20,19550,18650,20150,18250,335576
2020-08-21,19250,18950,19400,18250,210002
2020-08-24,18950,19800,20600,18000,417212
2020-08-25,20000,19950,20450,19600,194838
2020-08-26,20250,20100,20250,19150,282424
2020-08-27,20000,19800,20150,19300,295654
2020-08-28,20100,21550,21800,19700,1033157
2020-08-31,22200,24050,25000,21650,2368080
2020-09-01,24850,23850,24950,23350,625271
2020-09-02,23900,24200,24400,22900,573112
2020-09-03,24250,25550,25800,23850,1323357
2020-09-04,23850,29850,32800,23800,5657027
2020-09-07,30050,31600,38150,30000,5817187
2020-09-08,32200,29650,34650,28600,1904913
2020-09-09,28950,34000,34000,28850,1716662
2020-09-10,33350,33100,34800,32300,1158350
2020-09-11,32900,34400,34700,32300,853783
2020-09-14,33800,33200,35000,33150,616856
2020-09-15,33700,31350,33800,31000,734229
2020-09-16,31500,31000,32400,30800,439907
2020-09-17,31400,30300,31750,30100,269512
2020-09-18,30550,30800,31300,29450,257256
2020-09-21,30800,30300,32350,28800,491852
2020-09-22,30000,28000,30200,28000,407706
2020-09-23,28600,28150,28750,26750,279753
2020-09-24,27250,29000,30300,26900,798037
2020-09-25,29300,27900,29900,27750,284123
2020-09-28,28250,29550,29550,28150,285664
2020-09-29,30000,29250,30150,28900,174843
2020-10-05,30400,31350,31800,30050,659328
2020-10-06,32150,31500,32750,30750,468445
2020-10-07,31000,31650,32300,30850,250591
2020-10-08,32200,32250,32800,31500,362783
2020-10-12,32850,32350,33300,31850,341753
2020-10-13,32250,32750,32950,31100,343464
2020-10-14,32800,32000,33750,31250,888020
2020-10-15,32550,31000,33500,29950,1021284
2020-10-16,30900,29200,31350,28200,420899
2020-10-19,28700,27200,29000,27200,268844
2020-10-20,26200,28200,28200,26200,288850
2020-10-21,28150,28200,28300,27650,122888
2020-10-22,28150,26650,28150,26650,125806
2020-10-23,26800,27200,27650,26800,107359
2020-10-26,27200,25000,27200,25000,178184
2020-10-27,24850,25750,26100,23800,167854
2020-10-28,25750,27400,27600,25750,237117
2020-10-29,26400,27750,27750,26250,139559
2020-10-30,27500,26300,27850,26050,120470
2020-11-02,26450,28400,28650,26450,218849
2020-11-03,28700,29250,29450,28250,302923
2020-11-04,30300,26800,30350,26000,758153
2020-11-05,29500,29550,30950,28050,715522
2020-11-06,30600,30450,31250,29750,574714
2020-11-09,31900,33500,33650,31000,938067
2020-11-10,33550,32900,33950,32000,566108
2020-11-11,32600,31250,32700,30900,427864
2020-11-12,31550,30200,32000,30000,320952
2020-11-13,29500,30400,30950,29050,246657
2020-11-16,29700,30000,30300,29500,161710
2020-11-17,29800,30900,31250,29500,295736
2020-11-18,31000,32100,32600,30500,380395
2020-11-19,31800,31500,32050,31100,177226
2020-11-20,31600,30850,31600,30800,127819
2020-11-23,31300,32000,33000,31200,680049
2020-11-24,31950,32000,32900,31600,718509
2020-11-25,32400,30850,32400,30200,345428
2020-11-26,31000,30800,31150,30150,115126
2020-11-27,30450,30750,31050,30450,128398
2020-11-30,30700,30100,30700,29950,133169
2020-12-01,30100,30200,30400,30000,66604
2020-12-02,30350,30000,30500,30000,111218
2020-12-03,30100,29350,30100,29000,235806
2020-12-04,29350,29000,29750,28750,172615
2020-12-07,28800,30100,30300,28100,233674
2020-12-08,29750,29750,30400,29650,100686
2020-12-09,30850,31400,32300,30650,947890
2020-12-10,31000,31600,31950,30500,245447
2020-12-11,31950,31200,32200,31000,187806
2020-12-14,31200,31350,32300,30500,407450
2020-12-15,31350,31200,31700,30650,151926
2020-12-16,32150,32350,32650,31750,839984
2020-12-17,32600,32800,33250,31700,759216
2020-12-18,33300,31900,33500,31700,405962
2020-12-21,31850,31250,31850,30950,212698
2020-12-22,31100,29600,31200,29450,278553
2020-12-23,29900,30200,30400,29150,128082
2020-12-24,30000,30800,31000,30000,137813
2020-12-28,30800,31400,31550,30050,204146
2020-12-29,31650,31400,32350,31250,228100
2020-12-30,31700,33900,33900,31250,678997
2021-01-04,34100,34850,36400,33750,1174243
2021-01-05,35000,35400,36450,34300,532744
2021-01-06,35600,35950,37800,33550,915449
2021-01-07,38500,37300,40700,36450,1287046
2021-01-08,38400,37350,39000,36500,421272
