Date,Open,Close,High,Low,Volume
2019-05-03,2045,2655,2655,2045,6379993
2019-05-07,2780,2735,3280,2300,14613806
2019-05-08,2780,3555,3555,2735,14834227
2019-05-09,3880,4620,4620,3620,13167833
2019-05-10,5220,6000,6000,5110,6088336
2019-05-13,6890,7800,7800,6640,7252824
2019-05-14,8300,5460,9750,5460,10680083
2019-05-15,5620,5520,6390,4800,12427410
2019-05-16,5240,5030,5650,4845,5606767
2019-05-17,5140,4570,5260,4470,2550587
2019-05-20,4500,4210,4700,4140,2269166
2019-05-21,4150,5470,5470,3980,8570149
2019-05-22,5850,5300,6560,5300,12804693
2019-05-23,5150,5310,6110,4755,8329141
2019-05-24,5210,5290,5880,5070,3287313
2019-05-27,5290,5070,5620,4990,1692157
2019-05-28,4920,4655,4970,4620,1287391
2019-05-29,4830,4700,5420,4445,5618428
2019-05-30,4770,4705,5270,4680,2892504
2019-05-31,5130,4890,5250,4705,2130314
2019-06-03,4860,5380,6080,4700,12085696
2019-06-04,5520,5150,5630,5100,2770248
2019-06-05,5050,4950,5190,4910,1155853
2019-06-07,4925,4820,5150,4815,1169341
2019-06-10,4830,4730,4940,4685,562313
2019-06-11,4705,4865,5400,4595,3794982
2019-06-12,4835,4755,4895,4720,664274
2019-06-13,4750,4785,4965,4735,1034015
2019-06-14,4790,4850,5250,4785,2352010
2019-06-17,5160,4950,5580,4915,2970542
2019-06-18,4995,4870,5000,4785,712975
2019-06-19,4850,4730,4865,4705,435426
2019-06-20,4505,4645,4850,4505,621758
2019-06-21,4615,4550,4740,4550,335584
2019-06-24,4510,4200,4560,4200,423004
2019-06-25,4255,3735,4255,3680,542865
2019-06-26,3670,3820,4340,3670,2502720
2019-06-27,3890,3820,4155,3770,565274
2019-06-28,3820,3670,3865,3590,249682
2019-07-01,3670,3440,3670,3410,352073
2019-07-02,3365,3460,3760,3365,502041
2019-07-03,3530,3560,3615,3460,210186
2019-07-04,3595,3370,3640,3355,166228
2019-07-05,3350,3575,4045,3295,4726562
2019-07-08,3580,3375,3705,3370,913852
2019-07-09,3400,3455,3890,3370,3027351
2019-07-10,3495,3510,3640,3410,650885
2019-07-11,3500,3460,3550,3435,345816
2019-07-12,3455,3430,3510,3415,174792
2019-07-15,3425,3255,3470,3250,208668
2019-07-16,3255,3125,3290,3075,275702
2019-07-17,3095,3070,3255,2985,216425
2019-07-18,3065,2985,3065,2985,114712
2019-07-19,3010,3880,3880,3000,6069428
2019-07-22,4160,5040,5040,4150,10334046
2019-07-23,5400,4280,5690,4105,6970186
2019-07-24,4190,4800,5240,4110,11775977
2019-07-25,4770,4500,5180,4305,4298639
2019-07-26,4485,4195,5030,4040,5916066
2019-07-29,4205,4100,4485,4020,2617050
2019-07-30,4115,3985,4255,3935,1164897
2019-07-31,3945,3900,4090,3700,1548722
2019-08-01,3895,3800,4390,3725,2946437
2019-08-02,3780,3785,4060,3660,859081
2019-08-05,3775,3260,3845,3160,603863
2019-08-06,3260,3120,3465,2825,634990
2019-08-07,3150,3180,3290,3115,334894
2019-08-08,3170,3350,3590,3150,951060
2019-08-09,3390,3355,3465,3300,317700
2019-08-12,3380,3345,3390,3255,219257
2019-08-13,3365,4345,4345,3310,5433214
2019-08-14,4850,4050,5100,4005,6481649
2019-08-16,4020,4200,4710,3955,5437297
2019-08-19,4230,3970,4370,3960,1430269
2019-08-20,3910,3790,4000,3750,729188
2019-08-21,3735,4085,4490,3725,8283755
2019-08-22,4075,3985,4260,3910,1637904
2019-08-23,4015,4000,4185,3905,955898
2019-08-26,3830,3745,3960,3700,567205
2019-08-27,3785,3890,4325,3785,4446276
2019-08-28,3945,3915,4090,3890,1042469
2019-08-29,3970,4040,4230,3840,2056658
2019-08-30,4040,4050,4270,4000,854152
2019-09-02,4095,4040,4200,4015,535053
2019-09-03,4030,3965,4135,3910,503546
2019-09-04,3955,3990,4080,3935,475122
2019-09-05,4025,3980,4055,3955,340745
2019-09-06,3985,3960,4160,3950,377051
2019-09-09,4045,3890,4060,3880,341712
2019-09-10,3875,3805,3955,3780,197284
2019-09-11,3850,3760,3850,3710,195594
2019-09-16,3795,3785,3865,3740,155732
2019-09-17,3755,3775,3820,3740,129874
2019-09-18,3760,3675,3785,3650,227814
2019-09-19,3650,3680,3780,3650,118059
2019-09-20,3680,3610,3735,3605,118184
2019-09-23,3560,3510,3660,3500,143263
2019-09-24,3500,3735,4140,3450,4535963
2019-09-25,3700,3710,3960,3670,1186093
2019-09-26,3700,3590,3770,3545,324037
2019-09-27,3565,3580,3790,3560,315341
2019-09-30,3630,3530,3735,3515,341176
2019-10-01,3595,3520,3620,3500,181930
2019-10-02,3415,3500,3500,3410,220237
2019-10-04,3500,3475,3750,3465,466805
2019-10-07,3530,3500,3565,3470,135551
2019-10-08,3465,3495,3545,3420,176802
2019-10-10,3585,3505,3745,3500,646486
2019-10-11,3540,3480,3545,3470,155996
2019-10-14,3495,3475,3540,3470,127017
2019-10-15,3510,3500,3555,3470,109995
2019-10-16,3535,3455,3535,3280,106041
2019-10-17,3450,3480,3490,3425,77358
2019-10-18,3480,3430,3505,3425,96329
2019-10-21,3475,3370,3475,3280,143394
2019-10-22,3385,3340,3390,3310,70648
2019-10-23,3320,3310,3515,3275,169748
2019-10-24,3310,3240,3320,3200,116219
2019-10-25,3230,3260,3515,3220,215904
2019-10-28,3310,3260,3325,3230,71669
2019-10-29,3235,3275,3300,3235,77755
2019-10-30,3305,3220,3310,3215,75851
2019-10-31,3200,3180,3255,3165,91851
2019-11-01,3140,3145,3200,3120,69678
2019-11-04,3145,3210,3300,3145,117513
2019-11-05,3245,3210,3250,3150,87920
2019-11-06,3230,3230,3325,3195,115464
2019-11-07,3285,3290,3660,3250,1198195
2019-11-08,3295,3215,3305,3215,150206
2019-11-11,3225,3180,3235,3150,83543
2019-11-12,3155,3220,3300,3155,115109
2019-11-13,3225,3170,3235,3160,80799
2019-11-14,3190,3180,3200,3150,74279
2019-11-15,3180,3185,3375,3160,116293
2019-11-18,3175,3190,3235,3175,46041
2019-11-19,3210,3130,3210,3115,77494
2019-11-20,3130,3030,3145,3020,132509
2019-11-21,3030,2995,3050,2965,58889
2019-11-22,2955,2990,3000,2935,53096
2019-11-25,2930,3010,3035,2930,50490
2019-11-26,2990,2990,3030,2980,51781
2019-11-27,2990,2955,3020,2955,41629
2019-11-28,2960,2910,2995,2900,52250
2019-11-29,2885,2830,2935,2740,87440
2019-12-02,2815,2750,2830,2705,82307
2019-12-03,2720,2785,2810,2710,34880
2019-12-04,2795,2700,2795,2640,87770
2019-12-05,2675,2660,3350,2660,3199941
2019-12-06,2620,2635,2725,2575,316832
2019-12-09,2635,2630,2670,2610,105937
2019-12-10,2615,2605,2660,2605,80340
2019-12-11,2600,2580,2630,2575,63767
2019-12-12,2580,2590,2620,2555,43593
2019-12-13,2600,2660,2800,2600,166765
2019-12-16,2670,2665,2730,2635,60409
2019-12-17,2670,2695,2710,2650,70126
2019-12-18,2685,2695,2700,2655,59416
2019-12-19,2700,2690,2750,2670,61157
2019-12-20,2690,2630,2735,2625,108107
2019-12-23,2630,2630,2680,2595,42364
2019-12-24,2605,2610,2660,2535,75208
2019-12-26,2600,2600,2640,2555,28261
2019-12-27,2595,2590,2625,2565,29446
2019-12-30,2590,2655,2665,2580,52055
2020-01-02,2655,2655,2675,2615,29909
2020-01-03,2685,2630,2685,2620,28154
2020-01-06,2615,2605,2660,2585,37474
2020-01-07,2625,2620,2625,2590,23533
2020-01-08,2580,2450,2620,2420,128093
2020-01-09,2475,2505,2520,2455,75984
2020-01-10,2515,2490,2610,2480,72181
2020-01-13,2475,2520,2590,2475,67030
2020-01-14,2525,2515,2560,2515,24822
2020-01-15,2555,3265,3265,2530,3541062
2020-01-16,3710,3125,3830,3015,7289786
2020-01-17,3120,3590,3990,3085,16943997
2020-01-20,3585,3390,3760,3315,3671871
2020-01-21,3330,3255,3470,3125,1604879
2020-01-22,3410,3105,3665,3105,3382804
2020-01-23,3115,2945,3210,2920,997981
2020-01-28,2865,2815,2920,2795,529905
2020-01-29,2885,3655,3655,2860,4406499
2020-01-30,3940,3535,4300,3440,12927722
2020-01-31,3520,3255,4010,3240,5246305
2020-02-03,3190,3410,3630,3095,3308630
2020-02-04,3425,3400,3645,3320,1807772
2020-02-05,3610,3420,3950,3420,4453495
2020-02-06,3500,3440,3620,3405,1270579
2020-02-07,3480,3360,3565,3265,860380
2020-02-10,3310,3410,3480,3280,704207
2020-02-11,3460,3350,3545,3340,765748
2020-02-12,3330,3350,3380,3295,405533
2020-02-13,3395,3130,3400,3085,522162
2020-02-14,3090,3810,4020,3070,11121300
2020-02-17,3945,3590,3950,3450,2697502
2020-02-18,3685,3345,3715,3345,1098976
2020-02-19,3370,3380,3465,3325,655703
2020-02-20,3515,3390,3560,3365,848375
2020-02-21,3365,3265,3495,3265,458425
2020-02-24,3145,3215,3315,3105,269780
2020-02-25,3120,3260,3290,3120,189865
2020-02-26,3175,3305,3305,3165,186118
2020-02-27,3270,3200,3415,3160,250353
2020-02-28,3100,2940,3145,2850,321943
2020-03-02,2975,3000,3080,2835,329509
2020-03-03,3020,2965,3160,2965,290864
2020-03-04,2910,3010,3100,2895,234131
2020-03-05,3020,3600,3865,3020,9516048
2020-03-06,3480,3235,3515,3180,1669497
2020-03-09,3230,3055,3230,2985,588492
2020-03-10,2955,3085,3390,2910,1817299
2020-03-11,3090,3020,3215,2990,593566
2020-03-12,2900,2855,3035,2820,285685
2020-03-13,2615,2585,2700,2440,402660
2020-03-16,2685,2520,2790,2520,281093
2020-03-17,2280,2510,2610,2280,190758
2020-03-18,2550,2480,2880,2465,516772
2020-03-19,2530,2290,2590,2280,351894
2020-03-20,2300,2400,2555,2295,715555
2020-03-23,2300,2285,2380,2250,127875
2020-03-24,2445,2400,2445,2350,198082
2020-03-25,2500,2470,2585,2410,420237
2020-03-26,2465,2500,2580,2440,365723
2020-03-27,2570,2490,2675,2415,456057
2020-03-30,2475,2575,2600,2400,250860
2020-03-31,2610,2640,2785,2575,514997
2020-04-01,2640,2550,2755,2515,346845
2020-04-02,2520,2565,2580,2480,142299
2020-04-03,2550,2645,2800,2545,526125
2020-04-06,2700,2720,2730,2635,273486
2020-04-07,2750,2690,2790,2660,208894
2020-04-08,2670,2715,2745,2640,155078
2020-04-09,2745,2815,2950,2715,653309
2020-04-10,2805,2785,2885,2625,319878
2020-04-13,2800,2785,2845,2750,149390
2020-04-14,2785,2815,2855,2780,157407
2020-04-16,2815,2745,2820,2745,129245
2020-04-17,2760,2785,2800,2730,127747
2020-04-20,2790,2780,2815,2760,86698
2020-04-21,2750,2670,2775,2550,166850
2020-04-22,2620,2650,2675,2570,83110
2020-04-23,2655,2715,2785,2650,148741
2020-04-24,2705,2610,2725,2600,165686
2020-04-27,2640,2650,2670,2590,82360
2020-04-28,2650,2635,2675,2595,75521
2020-04-29,2635,2715,2800,2580,224700
2020-05-04,2650,2645,2720,2645,77980
2020-05-06,2665,2925,3170,2665,3112969
2020-05-07,2950,3000,3000,2860,724727
2020-05-08,3400,3045,3450,2980,1976446
2020-05-11,3050,2960,3080,2950,298837
2020-05-12,2945,2885,2955,2875,229617
2020-05-13,2865,3030,3030,2865,336022
2020-05-14,3000,2965,3075,2965,194298
2020-05-15,2965,2940,3030,2910,137540
2020-05-18,2940,2930,2945,2900,99287
2020-05-19,2930,2960,2995,2925,125887
2020-05-20,2960,2985,3020,2940,111048
2020-05-21,3000,2955,3035,2945,135538
2020-05-22,2990,2870,2990,2860,117162
2020-05-25,2880,2925,2935,2865,41741
2020-05-26,2925,2915,2965,2895,63165
2020-05-27,2915,2900,2955,2875,100883
2020-05-28,2910,2870,2925,2805,118269
