Date,Open,Close,High,Low,Volume
2020-12-21,2025,2025,2030,2005,638015
2020-12-22,2025,2040,2050,2020,96008
2020-12-23,2040,2055,2070,2030,48944
2020-12-24,2055,2055,2070,2050,13435
2020-12-28,2055,2040,2055,2035,70463
2020-12-29,2040,2050,2050,2040,54592
2020-12-30,2060,2055,2065,2045,2568
2021-01-04,2065,2060,2065,2060,29286
2021-01-05,2055,2055,2065,2045,25064
2021-01-06,2055,2055,2055,2050,33356
2021-01-07,2055,2060,2060,2050,20084
2021-01-08,2065,2060,2065,2055,6250
2021-01-11,2060,2055,2060,2020,18535
2021-01-12,2040,2065,2065,2040,37879
2021-01-13,2045,2060,2060,2040,10067
2021-01-14,2065,2060,2065,2055,1571
2021-01-15,2060,2060,2060,2050,15427
2021-01-18,2060,2055,2060,2050,8458
2021-01-19,2065,2055,2065,2040,6865
2021-01-20,2050,2055,2055,2040,16237
2021-01-21,2050,2050,2055,2050,9994
2021-01-22,2060,2055,2060,2045,1628
2021-01-25,2055,2040,2055,2040,26913
2021-01-26,2045,2060,2060,2045,5424
2021-01-27,2060,2065,2065,2060,12736
2021-01-28,2060,2070,2085,2060,24647
2021-01-29,2060,2080,2085,2060,31529
2021-02-01,2060,2080,2085,2060,132
2021-02-02,2080,2085,2085,2075,3806
2021-02-03,2070,2085,2100,2070,8864
2021-02-04,2085,2085,2085,2080,2197
2021-02-05,2095,2095,2095,2075,2109
2021-02-08,2090,2100,2100,2085,6012
2021-02-09,2100,2100,2100,2080,370
2021-02-10,2090,2090,2090,2085,3028
2021-02-15,2090,2085,2100,2080,997
2021-02-16,2085,2095,2095,2085,410
2021-02-17,2090,2085,2090,2085,692
2021-02-18,2090,2085,2090,2070,30045
2021-02-19,2095,2095,2095,2095,53
2021-02-22,2095,2085,2095,2085,4219
2021-02-23,2085,2085,2085,2085,2
2021-02-24,2090,2080,2095,2080,3582
2021-02-25,2080,2080,2080,2080,116
2021-02-26,2075,2085,2085,2075,5654
2021-03-02,2075,2075,2075,2070,5577
2021-03-03,2065,2075,2080,2065,2658
2021-03-04,2065,2075,2075,2065,3043
2021-03-05,2070,2080,2080,2070,2003
2021-03-08,2065,2065,2080,2065,11423
2021-03-09,2060,2075,2080,2060,321
2021-03-10,2065,2075,2075,2065,1082
2021-03-11,2075,2075,2075,2075,0
2021-03-12,2075,2075,2080,2075,1499
2021-03-15,2065,2075,2075,2065,1314
2021-03-16,2075,2075,2075,2065,702
2021-03-17,2080,2080,2080,2075,23693
2021-03-18,2085,2085,2085,2085,59
2021-03-19,2085,2085,2085,2085,1
2021-03-22,2090,2090,2090,2080,804
2021-03-23,2080,2080,2090,2080,8930
2021-03-24,2100,2100,2100,2095,6573
2021-03-25,2110,2100,2110,2075,24078
2021-03-26,2100,2090,2100,2085,7398
2021-03-29,2090,2090,2090,2080,49
2021-03-30,2085,2090,2090,2080,5777
2021-03-31,2090,2090,2090,2090,4158
2021-04-01,2090,2090,2090,2090,5
2021-04-02,2080,2090,2090,2080,51
2021-04-05,2090,2095,2095,2075,3061
2021-04-06,2090,2090,2090,2080,4
2021-04-07,2090,2090,2090,2090,511
2021-04-08,2090,2090,2090,2090,80
2021-04-09,2095,2110,2120,2095,21687
2021-04-12,2090,2105,2110,2090,7094
2021-04-13,2105,2105,2110,2105,225
2021-04-14,2105,2105,2110,2105,667
2021-04-15,2100,2100,2115,2100,570
2021-04-16,2115,2135,2170,2100,36401
2021-04-19,2100,2120,2120,2100,6701
2021-04-20,2120,2130,2145,2120,7947
2021-04-21,2130,2130,2130,2125,3461
2021-04-22,2140,2145,2145,2130,7431
2021-04-23,2150,2125,2160,2120,16795
2021-04-26,2150,2145,2160,2130,14815
2021-04-27,2140,2160,2160,2125,10095
2021-04-28,2160,2160,2160,2160,0
2021-04-29,2115,2130,2130,2115,427
2021-04-30,2150,2135,2180,2135,7803
