Date,Open,Close,High,Low,Volume
2018-11-26,62691,62534,62769,61434,293
2018-11-27,62062,62534,62691,61670,204
2018-11-28,62534,62062,62534,61355,108
2018-11-29,61355,61827,61905,61277,163
2018-11-30,61827,62612,63241,61827,70
2018-12-03,62612,62455,62612,62455,23
2018-12-04,61670,62455,62455,61670,57
2018-12-05,62377,62455,62455,61512,195
2018-12-06,62377,61670,62377,61670,108
2018-12-07,62062,61905,62062,61355,6
2018-12-10,61905,60805,61905,60805,71
2018-12-11,60805,61591,61591,60570,14
2018-12-12,61591,61512,62848,60177,316
2018-12-13,61277,61670,61670,61277,97
2018-12-14,62062,62062,62062,61041,38
2018-12-17,62062,61277,62141,61198,23
2018-12-18,61905,61120,61905,60648,19
2018-12-19,60648,61984,61984,60570,89
2018-12-20,60727,60805,61670,59784,304
2018-12-21,60805,60805,60805,59941,248
2018-12-24,60491,60491,60491,60413,183
2018-12-26,60491,58841,60491,57742,552
2018-12-27,58056,58684,58684,57663,536
2018-12-28,58606,59077,59156,58056,17
2019-01-02,58920,57899,58920,57349,60
2019-01-03,57820,55778,57820,55778,130
2019-01-04,54992,56328,56485,54992,275
2019-01-07,56328,57349,59313,56328,88
2019-01-08,58920,58920,58920,58920,4
2019-01-09,57977,58606,58763,57506,32
2019-01-10,59156,58920,59156,58920,3
2019-01-11,58763,57663,58763,57270,107
2019-01-14,58920,58684,58920,58527,71
2019-01-15,59077,58684,59077,58684,24
2019-01-16,58684,58920,59234,58684,41
2019-01-17,58527,58527,58527,58527,1
2019-01-18,58684,58920,59234,58684,341
2019-01-21,59313,60413,61355,58920,1366
2019-01-22,60177,58920,60177,58920,131
2019-01-23,58213,58763,60491,58213,1329
2019-01-24,59313,60177,61670,59313,104
2019-01-25,60177,60570,60648,58763,905
2019-01-28,58606,58999,59548,58606,50
2019-01-29,59391,59313,59391,58763,5
2019-01-30,59234,60413,60413,59234,39
2019-01-31,59234,60098,60256,58999,107
2019-02-01,60098,59627,60491,59156,153
2019-02-07,60256,59784,60256,58527,1156
2019-02-08,59077,58841,59706,58841,639
2019-02-11,59313,58134,59313,57742,1487
