Date,Open,Close,High,Low,Volume
2018-11-26,2115,2125,2135,2105,46519
2018-11-27,2165,2140,2165,2130,69423
2018-11-28,2140,2110,2140,2095,73930
2018-11-29,2135,2135,2145,2100,101000
2018-11-30,2145,2110,2165,2100,77954
2018-12-03,2135,2105,2135,2095,120460
2018-12-04,2110,2115,2125,2100,65734
2018-12-05,2085,2115,2165,2085,96878
2018-12-06,2115,2050,2135,2045,111695
2018-12-07,2060,2070,2085,2055,91742
2018-12-10,2065,2030,2065,2020,87803
2018-12-11,2030,2000,2045,1980,89860
2018-12-12,1990,2015,2020,1990,56664
2018-12-13,2015,2020,2025,1995,42409
2018-12-14,2020,1995,2030,1975,109525
2018-12-17,1995,1975,2000,1950,105750
2018-12-18,1970,1950,1980,1920,179503
2018-12-19,1950,1975,1975,1935,80837
2018-12-20,1960,1980,1995,1950,58140
2018-12-21,1980,1965,2005,1960,72031
2018-12-24,1965,1960,1980,1930,82695
2018-12-26,1920,1910,1980,1890,102194
2018-12-27,1925,1920,1945,1905,62943
2018-12-28,1925,1935,1960,1910,89855
2019-01-02,1940,1915,1955,1910,68314
2019-01-03,1915,1910,1935,1895,107481
2019-01-04,1900,1910,1915,1860,126066
2019-01-07,1920,1955,1960,1915,65893
2019-01-08,1960,1970,1975,1945,84797
2019-01-09,1970,2000,2045,1970,55362
2019-01-10,1990,2025,2030,1980,112095
2019-01-11,2010,2035,2065,2010,113185
2019-01-14,2025,2055,2075,2020,204749
2019-01-15,2070,2125,2210,2070,1031645
2019-01-16,2115,2110,2125,2080,113204
2019-01-17,2110,2050,2135,2050,122248
2019-01-18,2060,2075,2085,2050,75250
2019-01-21,2080,2090,2090,2010,196754
2019-01-22,2085,2080,2100,2065,66120
2019-01-23,2070,2080,2080,2050,34398
2019-01-24,2085,2095,2100,2070,89214
2019-01-25,2090,2100,2105,2060,94218
2019-01-28,2120,2130,2195,2105,78997
2019-01-29,2130,2115,2135,2085,109941
2019-01-30,2105,2130,2150,2100,129896
2019-01-31,2140,2195,2210,2125,381104
2019-02-01,2205,2200,2250,2170,134280
2019-02-07,2210,2235,2245,2200,182962
2019-02-08,2195,2220,2235,2195,182697
2019-02-11,2215,2180,2235,2155,131208
2019-02-12,2175,2170,2175,2135,65582
2019-02-13,2170,2230,2235,2150,113510
2019-02-14,2240,2220,2255,2170,116041
2019-02-15,2210,2185,2220,2155,126232
2019-02-18,2190,2190,2235,2165,116579
2019-02-19,2195,2175,2200,2150,127672
2019-02-20,2155,2145,2175,2145,97702
2019-02-21,2145,2155,2160,2100,95602
2019-02-22,2155,2160,2160,2130,60808
2019-02-25,2165,2180,2180,2145,113777
2019-02-26,2185,2300,2395,2185,909733
2019-02-27,2305,2290,2325,2270,307691
2019-02-28,2290,2175,2305,2175,299820
2019-03-04,2175,2235,2235,2140,249481
2019-03-05,2215,2200,2245,2190,123074
2019-03-06,2200,2200,2230,2185,73621
2019-03-07,2200,2190,2220,2150,108229
2019-03-08,2170,2160,2180,2135,105936
2019-03-11,2160,2150,2170,2120,52426
2019-03-12,2150,2180,2185,2140,50866
2019-03-13,2185,2180,2185,2155,93543
2019-03-14,2180,2210,2215,2180,121886
2019-03-15,2240,2200,2240,2170,153202
2019-03-18,2205,2180,2205,2165,87048
2019-03-19,2160,2180,2185,2160,67250
2019-03-20,2170,2180,2195,2120,140292
2019-03-21,2160,2135,2200,2115,152131
2019-03-22,2135,2065,2145,2060,135373
2019-03-25,2025,2055,2080,2020,84848
2019-03-26,2055,2055,2075,2040,68165
2019-03-27,2055,2045,2100,2040,68935
2019-03-28,2040,2035,2055,2005,91817
2019-03-29,2015,2035,2060,2010,77308
2019-04-01,2055,2075,2075,2030,81531
2019-04-02,2075,2065,2095,2050,50247
2019-04-03,2070,2095,2095,2065,54801
2019-04-04,2080,2090,2095,2060,65623
2019-04-05,2090,2085,2150,2085,199461
2019-04-08,2085,2105,2105,2085,93518
2019-04-09,2090,2090,2100,2070,94953
2019-04-10,2080,2090,2090,2065,104723
2019-04-11,2090,2090,2100,2070,81860
2019-04-12,2085,2110,2115,2080,92057
2019-04-15,2115,2110,2140,2090,54023
2019-04-16,2110,2105,2110,2085,48204
2019-04-17,2100,2105,2105,2085,48462
2019-04-18,2105,2105,2150,2090,190481
2019-04-19,2110,2130,2140,2105,82836
2019-04-22,2135,2110,2145,2100,49303
2019-04-23,2110,2125,2130,2105,64283
2019-04-24,2135,2120,2140,2100,44445
2019-04-25,2115,2085,2130,2070,66540
2019-04-26,2085,2060,2090,2040,140023
2019-04-29,2050,2090,2110,2050,50483
2019-04-30,2095,2095,2105,2075,27783
2019-05-02,2095,2100,2100,2075,91141
2019-05-03,2100,2140,2165,2090,139405
2019-05-07,2140,2085,2145,2085,72440
2019-05-08,2080,2080,2095,2050,114848
2019-05-09,2090,2035,2095,2035,182600
2019-05-10,2040,2045,2055,2010,103120
2019-05-13,2055,2010,2055,2000,152995
2019-05-14,1960,1995,2000,1935,145445
2019-05-15,2000,2015,2025,1990,58728
2019-05-16,2030,2015,2030,1990,54131
2019-05-17,2005,2015,2030,2000,48965
2019-05-20,2000,1980,2020,1975,54096
2019-05-21,1950,1965,2000,1950,67704
2019-05-22,1980,1950,1995,1950,33866
2019-05-23,1965,1945,1980,1935,38588
2019-05-24,1945,1910,1945,1890,117343
2019-05-27,1910,1910,1940,1875,101476
2019-05-28,1905,1900,1925,1895,47899
2019-05-29,1900,1880,1920,1865,91979
