Date,Open,Close,High,Low,Volume
2018-11-26,3850,3785,3850,3760,113053
2018-11-27,3795,3865,3935,3780,98663
2018-11-28,3910,3865,3920,3835,87667
2018-11-29,3870,3860,3905,3850,69753
2018-11-30,3860,3780,3890,3750,88081
2018-12-03,3785,3925,3940,3765,139954
2018-12-04,3945,4095,4095,3855,222636
2018-12-05,4050,4100,4140,3960,117031
2018-12-06,4065,3930,4175,3920,178902
2018-12-07,3940,4030,4090,3940,104667
2018-12-10,4030,3965,4160,3910,173061
2018-12-11,3950,3985,4085,3930,97796
2018-12-12,4060,4000,4060,3965,74135
2018-12-13,4000,4090,4120,3970,130015
2018-12-14,4120,3910,4125,3870,117441
2018-12-17,3910,3775,3940,3770,101775
2018-12-18,3750,3765,3810,3710,49168
2018-12-19,3770,3830,3830,3735,69837
2018-12-20,3780,3795,3840,3720,55107
2018-12-21,3735,3820,3825,3735,29494
2018-12-24,3800,3870,3895,3770,59299
2018-12-26,3830,3870,3885,3780,70364
2018-12-27,3865,3860,3940,3825,77314
2018-12-28,3810,3815,3890,3785,52185
2019-01-02,3840,3750,3855,3750,36568
2019-01-03,3750,3760,3770,3695,84628
2019-01-04,3750,3630,3750,3600,74578
2019-01-07,3650,3720,3730,3630,63890
2019-01-08,3700,3815,3875,3700,119578
2019-01-09,3850,3840,3860,3810,41425
2019-01-10,3870,3835,3895,3835,59350
2019-01-11,3835,3935,4040,3835,235241
2019-01-14,4000,5110,5110,3940,4461047
2019-01-15,5300,5390,5740,5110,7674167
2019-01-16,5310,5400,5510,5260,2326281
2019-01-17,5300,5150,5300,5100,656645
2019-01-18,5230,5340,5340,5170,322069
2019-01-21,5370,5310,5370,5230,365837
2019-01-22,5270,5040,5790,4880,2668000
2019-01-23,4965,5090,5250,4830,995061
2019-01-24,5150,5130,5350,5060,966636
2019-01-25,5130,5130,5250,5030,782061
2019-01-28,5170,5330,5440,5080,1305255
2019-01-29,5260,4975,5780,4975,3010109
2019-01-30,5000,5140,5250,4895,786455
2019-01-31,5140,4995,5150,4930,266190
2019-02-01,4955,5220,5650,4955,1488709
2019-02-07,5300,5240,5500,5220,654712
2019-02-08,5210,5260,5320,5120,381023
2019-02-11,5270,5150,5430,5110,323086
2019-02-12,5130,5370,5780,5110,2090902
2019-02-13,5340,5500,5630,5310,699005
2019-02-14,5560,5220,5620,5180,561861
2019-02-15,5100,4835,5190,4750,718770
2019-02-18,4830,4895,4960,4750,209592
2019-02-19,4895,4745,4935,4740,266422
2019-02-20,4755,4750,4840,4745,155884
2019-02-21,4745,4600,4745,4555,245561
2019-02-22,4600,4680,4755,4595,131376
2019-02-25,4690,4725,4750,4560,100979
2019-02-26,4795,4735,4850,4675,120515
2019-02-27,4780,4750,5060,4685,442625
2019-02-28,4780,4265,4800,4210,282408
2019-03-04,4060,4075,4315,4060,297904
2019-03-05,4075,4290,4310,4035,151041
2019-03-06,4215,4310,4480,4215,212710
2019-03-07,4300,4100,4310,3920,159555
2019-03-08,4005,4025,4160,4000,120840
2019-03-11,4005,4065,4080,3950,82730
2019-03-12,4050,4150,4270,4050,78513
2019-03-13,4205,4060,4205,3950,102025
2019-03-14,4060,4185,4200,4005,93023
2019-03-15,4205,4045,4205,4000,178298
2019-03-18,4065,4140,4155,4045,66892
2019-03-19,4125,4165,4190,4090,58214
2019-03-20,4175,4115,4175,4080,48644
2019-03-21,4090,4070,4200,4060,41552
2019-03-22,4030,4050,4090,4000,56786
2019-03-25,4040,3945,4050,3820,115782
2019-03-26,3915,3980,4000,3915,39775
2019-03-27,3995,3965,4030,3910,37178
2019-03-28,3945,3920,3985,3900,38108
2019-03-29,4000,4100,4105,3890,133268
2019-04-01,4150,4090,4150,4065,45853
2019-04-02,4090,4090,4115,4035,40394
2019-04-03,4195,4170,4240,4100,100649
2019-04-04,4180,4145,4195,4075,35677
2019-04-05,4180,4160,4180,4115,49230
2019-04-08,4160,4160,4180,4130,38097
2019-04-09,4160,4125,4180,4100,26539
2019-04-10,4170,4115,4170,4065,59979
2019-04-11,4115,4140,4145,4060,31446
2019-04-12,4105,4120,4165,4020,57469
2019-04-15,4120,4135,4180,4100,30262
2019-04-16,4135,4140,4185,4120,54444
2019-04-17,4120,4100,4150,4045,59747
2019-04-18,4100,4075,4125,4050,38923
2019-04-19,4040,4075,4110,4030,55249
2019-04-22,4080,4060,4100,4050,19113
2019-04-23,4040,4060,4125,4040,88928
2019-04-24,4665,4190,4915,4190,2343312
2019-04-25,4185,4095,4220,4050,302073
2019-04-26,4135,4150,4260,4060,228709
2019-04-29,4110,4100,4195,4095,71426
2019-04-30,4080,4040,4115,4020,158868
2019-05-02,4000,4215,4630,4000,2298389
2019-05-03,4180,4240,4265,4140,193775
2019-05-07,4150,4290,4300,4100,128084
2019-05-08,4225,4235,4470,4190,332425
2019-05-09,4235,4100,4330,4080,192929
2019-05-10,4100,4245,4390,4085,662970
2019-05-13,4245,4810,5300,4240,6033891
2019-05-14,4875,4720,4965,4565,1609513
2019-05-15,4685,4845,4845,4620,1205351
2019-05-16,4780,4485,5190,4475,2213640
2019-05-17,4760,4550,4795,4510,674345
2019-05-20,4485,4365,4540,4350,459668
2019-05-21,5500,5670,5670,5360,5721902
2019-05-22,6320,6200,6770,5950,14186556
2019-05-23,6800,7000,7790,5980,26946214
2019-05-24,6730,6840,7550,6510,10172568
2019-05-27,6630,6170,6840,6170,3349925
2019-05-28,6120,6200,6450,5920,4231784
2019-05-29,7100,6550,7350,6550,17350074
2019-05-30,6600,5920,7490,5870,15130155
2019-05-31,5920,6180,6470,5680,8229724
2019-06-03,6350,6060,6440,6030,5117271
2019-06-04,5990,6080,6580,5900,5572718
2019-06-05,6140,5870,6340,5850,3609314
2019-06-07,6110,5900,6170,5850,1988402
2019-06-10,5900,6090,6240,5790,3055455
2019-06-11,6060,5940,6070,5880,1065119
2019-06-12,5990,6040,6220,5910,4943633
2019-06-13,6030,5940,6090,5880,1108942
2019-06-14,5940,5310,5960,5250,1942765
2019-06-17,5300,5570,5570,5130,1791240
2019-06-18,5580,5250,5590,5250,930242
2019-06-19,5060,5170,5310,4955,942168
2019-06-20,5210,5190,5260,5080,339275
2019-06-21,5100,5070,5210,5040,322216
2019-06-24,4990,5130,5190,4990,299409
2019-06-25,5080,5040,5150,4965,323016
2019-06-26,4970,4880,5020,4850,356676
2019-06-27,4815,4800,4955,4755,363818
2019-06-28,4750,4800,5250,4750,1458886
2019-07-01,4620,4785,4875,4615,528736
2019-07-02,4750,4885,4920,4750,336016
2019-07-03,4855,4880,5300,4820,2966682
2019-07-04,4865,4685,4950,4660,413516
2019-07-05,4670,4750,4925,4670,483547
2019-07-08,4705,4450,4745,4450,241027
2019-07-09,4400,4555,4785,4400,544149
2019-07-10,4460,4770,4850,4460,481260
2019-07-11,4745,4765,4930,4740,215270
2019-07-12,4840,4935,4995,4755,341546
2019-07-15,4985,4810,5020,4690,362513
2019-07-16,4855,4840,4975,4785,425820
2019-07-17,4850,4880,4970,4785,437258
2019-07-18,4880,4960,4960,4765,643764
2019-07-19,5110,4795,5240,4775,1324448
2019-07-22,4800,4630,4805,4585,210567
2019-07-23,4570,4515,4675,4455,274506
2019-07-24,4465,4375,4595,4345,228710
2019-07-25,4285,4330,4440,4250,311478
2019-07-26,4235,4265,4415,4235,257853
2019-07-29,4215,4155,4600,4150,700525
2019-07-30,4020,4335,4430,4020,338321
2019-07-31,4335,4420,4500,4285,169292
2019-08-01,4420,4310,4500,4185,163153
2019-08-02,4355,4400,4600,4340,556512
2019-08-05,4425,4645,5050,4425,3418560
2019-08-06,4705,4210,4905,4150,1752725
2019-08-07,4210,4395,4490,4170,1451443
2019-08-08,5060,4670,5440,4495,7130643
2019-08-09,5970,5330,5980,5170,11659896
2019-08-12,5980,5800,6300,5520,13571602
2019-08-13,5900,5720,5940,5530,3757353
2019-08-14,5200,4980,5220,4950,3531710
2019-08-16,4885,5010,5170,4830,2042104
2019-08-19,4995,4820,4995,4770,1135563
2019-08-20,4775,4815,4855,4665,1492781
2019-08-21,4825,4795,4860,4755,848769
2019-08-22,4750,4630,4850,4610,949102
2019-08-23,4660,4845,4890,4530,1387087
