Date,Open,Close,High,Low,Volume
2018-11-26,13600,13850,13950,13550,3996
2018-11-27,13950,14100,14100,13750,11156
2018-11-28,14250,14400,14450,14100,6124
2018-11-29,14600,14400,14650,13800,1018
2018-11-30,14100,14500,14650,14100,261
2018-12-03,14900,14100,14900,13750,18464
2018-12-04,14350,14000,14350,13950,1625
2018-12-05,13950,14300,14300,13950,2407
2018-12-06,14550,14400,14550,14050,742
2018-12-07,14400,14550,14600,14350,1418
2018-12-10,14700,14600,14700,14150,3708
2018-12-11,14950,14600,14950,14250,2742
2018-12-12,14450,14550,14750,14000,11260
2018-12-13,14550,14900,14950,14350,3112
2018-12-14,14900,14600,14900,14350,5259
2018-12-17,14250,14700,14900,14250,6541
2018-12-18,15000,14800,15000,14700,762
2018-12-19,15200,15000,15200,14700,550
2018-12-20,15150,15000,15200,14600,792
2018-12-21,14750,14650,14950,14350,1705
2018-12-24,14600,14500,15000,14300,7256
2018-12-26,14650,14400,14650,13950,8657
2018-12-27,14400,14600,14700,14150,1496
2018-12-28,14400,14400,14650,14150,1545
2019-01-02,14400,14050,14400,14000,805
2019-01-03,14050,14250,14350,13550,2035
2019-01-04,14250,14500,14500,13800,813
2019-01-07,14500,14700,14750,14350,2933
2019-01-08,14750,14600,14850,14550,548
2019-01-09,14800,14550,14800,14350,1124
2019-01-10,14700,14550,14750,14150,2010
2019-01-11,14350,14550,14600,14350,266
2019-01-14,14550,14500,14650,14400,346
2019-01-15,14550,14600,14800,14200,3634
2019-01-16,14700,14600,14900,14600,2622
2019-01-17,14850,14650,14850,14500,4683
2019-01-18,14850,15050,15050,14800,7189
2019-01-21,14900,14950,15000,14750,1085
2019-01-22,14950,14950,15000,14050,6027
2019-01-23,15000,14950,15000,14700,761
2019-01-24,15150,14900,15500,14750,3388
2019-01-25,14850,15100,15150,14850,2100
2019-01-28,15450,14650,15900,14500,21319
2019-01-29,14750,14700,14950,14550,6055
2019-01-30,14600,15300,15500,14600,9628
2019-01-31,15950,15500,16000,15200,3513
2019-02-01,16000,15500,16000,15350,3522
2019-02-07,15850,16250,16400,15500,11052
2019-02-08,16250,16450,16850,16050,6319
2019-02-11,16450,16400,16800,16250,3025
2019-02-12,16400,16400,16950,15950,3161
2019-02-13,16650,16400,16650,15950,5019
2019-02-14,16350,16400,16450,15650,5187
2019-02-15,16200,16000,16200,15750,4374
2019-02-18,15850,15550,16000,15550,4678
2019-02-19,15850,15650,15850,15550,3874
2019-02-20,15800,16000,16000,15700,2160
2019-02-21,15900,15750,16000,15700,630
2019-02-22,15800,15700,16050,15500,3950
2019-02-25,15550,15100,15700,14500,5869
2019-02-26,15200,15550,15600,15050,15219
2019-02-27,15750,15650,15750,15200,4336
2019-02-28,15400,15500,15700,15200,3413
2019-03-04,15500,15300,16100,15300,5174
2019-03-05,15300,15500,15850,15300,12293
