Date,Open,Close,High,Low,Volume
2018-11-26,15300,17300,18350,14650,284203
2018-11-27,17300,17000,20250,16800,178587
2018-11-28,16800,16300,16950,15800,54514
2018-11-29,16550,15900,17900,15900,56923
2018-11-30,16250,16450,16750,15000,58617
2018-12-03,16000,15500,16450,15450,26999
2018-12-04,15350,15050,15700,14950,27599
2018-12-05,14850,14700,15300,14550,18535
2018-12-06,14850,16400,16850,14350,108148
2018-12-07,17600,15850,19500,15600,287502
2018-12-10,16400,16250,17000,15200,38825
2018-12-11,16200,15100,16450,15000,30575
2018-12-12,15000,15200,15450,14750,16337
2018-12-13,15050,15250,15250,14900,9796
2018-12-14,15150,15900,16150,15100,21058
2018-12-17,15450,15250,15900,15150,9141
2018-12-18,15000,16150,16800,15000,36521
2018-12-19,16200,15800,16350,15800,11867
2018-12-20,16000,16500,16650,15700,11575
2018-12-21,16500,16000,16700,15900,11180
2018-12-24,16000,15200,16100,15200,13378
2018-12-26,14650,14600,15400,14500,11776
2018-12-27,14750,14650,15400,14650,6111
2018-12-28,14650,15000,15100,14650,6066
2019-01-02,15000,15400,15400,14800,2609
2019-01-03,15150,15400,15600,15050,3660
2019-01-04,15050,15650,15700,14700,4284
2019-01-07,15650,15750,15950,15350,4274
2019-01-08,15350,15750,15800,15200,7452
2019-01-09,15750,16000,16300,15600,8937
2019-01-10,15950,15800,16150,15800,4278
2019-01-11,15950,15700,15950,15400,4430
2019-01-14,15800,15900,15900,15650,3914
2019-01-15,15700,16100,16150,15700,7506
2019-01-16,16350,16400,16750,15750,11867
2019-01-17,16200,16100,16600,15650,6333
2019-01-18,16100,16200,16250,15750,6150
2019-01-21,16200,16000,16200,15800,2274
2019-01-22,15900,15950,16200,15650,4515
2019-01-23,15950,15850,16150,15800,4838
2019-01-24,15850,16050,16100,15600,6397
2019-01-25,15850,16000,16250,15650,3700
2019-01-28,15900,16250,16250,15900,5531
2019-01-29,16450,15950,16600,15950,8928
2019-01-30,16000,15750,16300,15750,6894
2019-01-31,15900,15600,16250,15600,9268
2019-02-01,15600,15250,15700,15100,15299
2019-02-07,15250,15050,15300,15000,4831
2019-02-08,15050,15600,15800,15050,3607
2019-02-11,15500,15450,15750,15150,3296
2019-02-12,15250,15300,15450,15100,2079
2019-02-13,15250,15050,15300,14900,3361
2019-02-14,15200,15050,15250,14900,3641
2019-02-15,15050,14700,15250,14700,1158
2019-02-18,14550,14850,14950,14550,3274
2019-02-19,15000,15350,15350,14700,2276
2019-02-20,15300,15050,15300,14950,1329
2019-02-21,15300,14900,15300,14850,3140
2019-02-22,14800,14850,15100,14800,1410
2019-02-25,14900,15000,15700,14900,3456
2019-02-26,15000,15150,15250,14950,1170
2019-02-27,15100,14850,15150,14800,596
2019-02-28,14800,14450,15300,14350,5030
2019-03-04,14450,14700,14800,14300,3057
2019-03-05,14700,14550,15200,14500,6161
2019-03-06,14550,14300,15150,13950,2679
2019-03-07,14300,14050,14300,14000,1256
2019-03-08,14250,13550,14300,13550,2636
2019-03-11,13350,13450,13650,13350,598
2019-03-12,13850,13600,13850,13500,1453
2019-03-13,13650,14500,14550,13650,3567
2019-03-14,14850,15000,16250,14600,23544
2019-03-15,15100,15550,16100,15100,27699
2019-03-18,15300,15550,16000,15300,8272
2019-03-19,15250,15350,15600,15100,4632
2019-03-20,15600,14900,15600,14900,3980
2019-03-21,14900,15300,15650,14600,14260
2019-03-22,15450,14900,15450,14900,3159
2019-03-25,14750,14250,14850,14200,4593
2019-03-26,14650,14350,14650,13950,2640
2019-03-27,14350,14250,14750,14100,3291
2019-03-28,14750,14200,14850,14100,943
2019-03-29,14350,14200,14350,13850,7309
2019-04-01,14150,13850,14150,13600,5803
2019-04-02,13650,14150,14450,13650,6867
2019-04-03,14150,14150,14500,14100,1065
2019-04-04,14400,14350,14500,14150,1019
2019-04-05,14500,14150,14500,13900,1674
2019-04-08,14350,14150,14400,14000,836
2019-04-09,14150,13950,14150,13850,1756
2019-04-10,13900,14250,14500,13650,5470
2019-04-11,14450,14650,15950,14450,24390
2019-04-12,14800,15150,15150,14200,5530
2019-04-15,15350,15500,16100,15100,15852
2019-04-16,15650,15800,15800,14750,6872
2019-04-17,15800,17650,18450,15650,89656
2019-04-18,17650,15950,17700,15700,35603
2019-04-19,15950,20700,20700,15950,113891
2019-04-22,18300,19650,20850,17800,334710
2019-04-23,19650,18000,19650,17350,83502
2019-04-24,18000,17600,18500,17000,40793
2019-04-25,17350,17050,17500,16750,17451
2019-04-26,16900,17400,18500,16300,65580
2019-04-29,18250,17800,18250,17300,16596
2019-04-30,17500,18000,18650,17400,18307
2019-05-02,17500,18250,18400,17500,9876
2019-05-03,18300,17450,18400,17200,14221
2019-05-07,17400,17250,17400,16700,10394
2019-05-08,17350,16600,17400,16400,4558
2019-05-09,16600,16300,17300,16300,13646
2019-05-10,16300,15850,17100,15850,9955
2019-05-13,15850,16450,16550,15700,6812
2019-05-14,15750,16400,16950,15750,5636
2019-05-15,16400,16500,17300,15900,7980
2019-05-16,16300,17000,17400,16300,10164
2019-05-17,16650,17050,17350,16600,5103
2019-05-20,17050,17050,17350,16650,2265
2019-05-21,17000,16750,17050,16600,1992
2019-05-22,16750,16550,16750,16300,816
