Date,Open,Close,High,Low,Volume
2018-11-26,2160,2160,2170,2130,2749
2018-11-27,2160,2160,2165,2140,3665
2018-11-28,2170,2170,2195,2160,5298
2018-11-29,2170,2245,2245,2040,10110
2018-11-30,2395,2275,2395,2245,12207
2018-12-03,2235,2205,2270,2165,3064
2018-12-04,2215,2225,2285,2215,1746
2018-12-05,2175,2195,2225,2175,3077
2018-12-06,2200,2195,2200,2195,843
2018-12-07,2220,2220,2220,2220,7
2018-12-10,2205,2200,2205,2200,301
2018-12-11,2280,2245,2280,2245,28
2018-12-12,2245,2245,2245,2245,482
2018-12-13,2240,2240,2245,2240,478
2018-12-14,2240,2235,2240,2235,252
2018-12-17,2295,2240,2295,2180,2524
2018-12-18,2240,2235,2240,2180,2112
2018-12-19,2230,2220,2230,2170,331
2018-12-20,2215,2195,2240,2195,6850
2018-12-21,2180,2210,2210,2180,461
2018-12-24,2200,2230,2235,2200,267
2018-12-26,2175,2285,2300,2175,562
2018-12-27,2180,2210,2250,2180,3635
2018-12-28,2170,2235,2235,2160,2063
2019-01-02,2235,2260,2260,2235,50
2019-01-03,2200,2200,2200,2200,356
2019-01-04,2200,2180,2200,2100,930
2019-01-07,2120,2140,2175,2120,1501
2019-01-08,2130,2130,2140,2105,2495
2019-01-09,2130,2140,2140,2130,8084
2019-01-10,2140,2125,2140,2105,1571
2019-01-11,2140,2125,2140,2125,121
2019-01-14,2100,2135,2135,2100,18493
2019-01-15,2135,2175,2175,2120,8958
2019-01-16,2175,2175,2175,2170,4
2019-01-17,2175,2175,2175,2175,3
2019-01-18,2125,2170,2170,2125,2913
2019-01-21,2170,2170,2170,2140,1160
2019-01-22,2170,2175,2175,2145,598
2019-01-23,2180,2180,2180,2175,19289
2019-01-24,2180,2175,2180,2165,1155
2019-01-25,2175,2180,2180,2150,716
2019-01-28,2180,2240,2240,2175,1628
2019-01-29,2245,2245,2245,2245,589
2019-01-30,2250,2245,2250,2240,1919
2019-01-31,2290,2295,2300,2250,811
2019-02-01,2300,2300,2300,2295,134
2019-02-07,2270,2300,2300,2270,15
2019-02-08,2300,2300,2300,2220,2036
2019-02-11,2300,2300,2300,2255,81
2019-02-12,2300,2355,2360,2265,15021
2019-02-13,2265,2300,2350,2265,1236
2019-02-14,2300,2295,2300,2245,411
2019-02-15,2270,2260,2270,2210,3309
2019-02-18,2260,2235,2260,2230,14432
2019-02-19,2250,2240,2255,2220,2532
2019-02-20,2225,2255,2255,2220,9396
2019-02-21,2255,2250,2255,2220,2705
2019-02-22,2250,2245,2255,2230,3251
2019-02-25,2220,2240,2240,2220,8012
2019-02-26,2240,2235,2240,2210,4817
2019-02-27,2200,2235,2250,2200,2377
2019-02-28,2230,2220,2230,2195,4513
2019-03-04,2155,2185,2220,2155,3581
2019-03-05,2190,2160,2190,2155,8755
2019-03-06,2175,2160,2175,2150,3287
2019-03-07,2125,2200,2200,2125,4901
2019-03-08,2195,2170,2195,2170,683
2019-03-11,2190,2170,2200,2125,566
2019-03-12,2170,2170,2170,2135,31
2019-03-13,2170,2170,2170,2135,1143
2019-03-14,2165,2165,2165,2140,306
2019-03-15,2165,2170,2170,2165,774
2019-03-18,2170,2170,2170,2165,2319
2019-03-19,2170,2170,2170,2160,14151
2019-03-20,2170,2210,2210,2170,4222
2019-03-21,2180,2195,2195,2155,3825
2019-03-22,2195,2195,2200,2195,542
2019-03-25,2195,2205,2205,2195,148
2019-03-26,2205,2170,2205,2170,65
2019-03-27,2200,2195,2200,2195,25
2019-03-28,2195,2200,2200,2195,291
2019-03-29,2195,2165,2195,2165,396
2019-04-01,2190,2195,2200,2190,1487
2019-04-02,2195,2205,2205,2195,1126
2019-04-03,2200,2205,2205,2170,2944
2019-04-04,2180,2205,2205,2180,1304
2019-04-05,2200,2250,2250,2200,2905
2019-04-08,2250,2230,2250,2225,9179
2019-04-09,2230,2230,2235,2220,8283
2019-04-10,2235,2235,2250,2230,3816
2019-04-11,2230,2265,2270,2230,516
2019-04-12,2215,2265,2265,2215,3556
2019-04-15,2265,2305,2325,2265,42032
2019-04-16,2385,2320,2385,2305,4521
2019-04-17,2325,2355,2375,2325,56820
2019-04-18,2355,2305,2370,2305,38359
2019-04-19,2290,2360,2370,2290,30270
2019-04-22,2355,2325,2360,2295,21230
2019-04-23,2310,2340,2345,2310,12580
2019-04-24,2390,2350,2390,2340,27793
2019-04-25,2340,2345,2345,2300,6454
2019-04-26,2345,2330,2345,2325,9889
2019-04-29,2330,2300,2340,2300,3914
2019-04-30,2325,2315,2325,2300,772
2019-05-02,2340,2325,2340,2325,6462
2019-05-03,2330,2325,2335,2325,13939
2019-05-07,2295,2330,2330,2295,5423
2019-05-08,2330,2335,2335,2310,395
2019-05-09,2330,2330,2335,2300,1890
2019-05-10,2325,2345,2345,2275,17653
2019-05-13,2340,2290,2345,2290,5911
2019-05-14,2250,2250,2315,2250,1828
2019-05-15,2260,2290,2300,2260,1224
2019-05-16,2305,2295,2305,2270,3999
2019-05-17,2340,2300,2340,2280,2405
2019-05-20,2300,2275,2300,2240,6098
2019-05-21,2285,2285,2295,2275,3406
2019-05-22,2285,2290,2295,2270,1695
2019-05-23,2290,2240,2290,2240,463
2019-05-24,2270,2285,2285,2260,13208
2019-05-27,2360,2280,2360,2245,2354
2019-05-28,2355,2300,2355,2280,153
2019-05-29,2300,2315,2330,2245,5157
2019-05-30,2310,2295,2310,2250,2214
2019-05-31,2295,2275,2295,2250,2683
2019-06-03,2275,2280,2280,2275,1605
2019-06-04,2280,2275,2280,2265,1212
2019-06-05,2275,2280,2285,2260,628
2019-06-07,2330,2315,2330,2285,2801
2019-06-10,2315,2315,2315,2265,681
2019-06-11,2315,2320,2345,2300,828
2019-06-12,2320,2275,2320,2275,8801
2019-06-13,2295,2260,2320,2255,5530
2019-06-14,2260,2290,2295,2260,11
2019-06-17,2290,2290,2290,2290,500
2019-06-18,2290,2290,2290,2270,1739
2019-06-19,2290,2270,2290,2255,3737
2019-06-20,2280,2320,2320,2260,1153
2019-06-21,2320,2300,2320,2270,3054
2019-06-24,2300,2275,2300,2260,2647
2019-06-25,2280,2275,2280,2260,74
2019-06-26,2275,2275,2275,2275,955
2019-06-27,2275,2270,2275,2255,419
2019-06-28,2265,2275,2275,2265,814
2019-07-01,2260,2275,2275,2260,219
2019-07-02,2250,2275,2275,2250,628
2019-07-03,2270,2275,2275,2245,1864
2019-07-04,2275,2275,2285,2240,1540
2019-07-05,2275,2260,2285,2260,2004
2019-07-08,2285,2230,2285,2225,1456
2019-07-09,2220,2250,2270,2220,2230
2019-07-10,2250,2280,2280,2250,1439
2019-07-11,2280,2280,2280,2250,852
2019-07-12,2280,2285,2285,2270,1654
2019-07-15,2285,2270,2345,2270,10216
2019-07-16,2250,2285,2285,2250,3434
2019-07-17,2285,2285,2285,2260,131
2019-07-18,2285,2270,2285,2240,3228
2019-07-19,2270,2270,2270,2255,55
2019-07-22,2240,2270,2270,2240,986
2019-07-23,2270,2270,2270,2270,4
2019-07-24,2270,2270,2280,2255,246
2019-07-25,2260,2270,2270,2250,3544
2019-07-26,2245,2270,2270,2240,2591
2019-07-29,2255,2265,2265,2245,450
2019-07-30,2265,2270,2270,2240,3509
2019-07-31,2270,2275,2275,2265,10586
2019-08-01,2275,2270,2275,2265,564
2019-08-02,2265,2270,2270,2250,2437
2019-08-05,2250,2240,2270,2210,4302
2019-08-06,2240,2240,2240,2220,333
2019-08-07,2240,2270,2315,2240,918
2019-08-08,2270,2280,2320,2255,1044
2019-08-09,2245,2270,2270,2245,95
2019-08-12,2265,2255,2265,2255,1701
2019-08-13,2300,2265,2300,2240,1537
2019-08-14,2265,2270,2275,2240,2869
2019-08-16,2300,2325,2325,2255,5614
2019-08-19,2335,2345,2350,2320,35069
2019-08-20,2345,2340,2365,2305,14093
2019-08-21,2350,2330,2350,2315,708
2019-08-22,2340,2335,2350,2330,1008
2019-08-23,2345,2340,2345,2310,2754
2019-08-26,2335,2310,2335,2255,5898
2019-08-27,2310,2320,2330,2310,1102
2019-08-28,2320,2315,2320,2280,47
2019-08-29,2315,2320,2320,2305,16
2019-08-30,2320,2320,2320,2280,356
2019-09-02,2320,2300,2320,2290,1980
2019-09-03,2295,2300,2300,2295,3632
2019-09-04,2290,2310,2310,2280,3775
2019-09-05,2360,2335,2360,2310,1091
2019-09-06,2330,2320,2330,2290,301
2019-09-09,2320,2325,2330,2320,643
2019-09-10,2325,2325,2325,2305,1560
2019-09-11,2325,2325,2325,2305,587
2019-09-16,2325,2325,2330,2320,78
2019-09-17,2320,2330,2330,2300,495
2019-09-18,2330,2335,2335,2290,1062
2019-09-19,2335,2335,2345,2305,3318
2019-09-20,2330,2330,2340,2295,5183
2019-09-23,2320,2310,2320,2300,3632
2019-09-24,2300,2325,2325,2300,488
2019-09-25,2300,2325,2325,2290,3056
2019-09-26,2315,2325,2325,2305,230
2019-09-27,2325,2310,2325,2305,3777
2019-09-30,2310,2310,2310,2305,1065
2019-10-01,2310,2310,2310,2310,1928
2019-10-02,2300,2295,2310,2275,1949
2019-10-04,2295,2300,2305,2295,61
2019-10-07,2320,2305,2320,2300,749
2019-10-08,2305,2305,2305,2280,1011
2019-10-10,2305,2305,2305,2300,74
2019-10-11,2285,2305,2305,2285,1516
2019-10-14,2300,2300,2305,2280,1643
2019-10-15,2310,2290,2310,2285,6077
2019-10-16,2305,2300,2310,2300,1392
2019-10-17,2365,2315,2365,2295,9134
2019-10-18,2315,2315,2315,2305,5911
2019-10-21,2315,2295,2315,2295,21100
2019-10-22,2300,2325,2340,2300,256
2019-10-23,2340,2330,2340,2300,3770
2019-10-24,2300,2305,2305,2285,16675
2019-10-25,2305,2305,2305,2290,3211
2019-10-28,2330,2315,2340,2290,2442
2019-10-29,2320,2315,2320,2310,3035
2019-10-30,2315,2310,2315,2290,3132
2019-10-31,2295,2325,2325,2295,20858
2019-11-01,2325,2325,2325,2300,3327
2019-11-04,2390,2335,2390,2315,736
2019-11-05,2335,2310,2355,2300,18438
2019-11-06,2310,2315,2320,2310,7007
2019-11-07,2315,2310,2315,2305,1230
2019-11-08,2315,2310,2315,2310,1412
2019-11-11,2305,2310,2310,2305,2260
2019-11-12,2315,2320,2325,2315,9129
2019-11-13,2310,2315,2320,2310,652
2019-11-14,2310,2315,2320,2310,1133
2019-11-15,2320,2315,2320,2290,4607
2019-11-18,2315,2310,2315,2290,1432
2019-11-19,2290,2305,2310,2285,5580
2019-11-20,2305,2305,2305,2285,1222
2019-11-21,2305,2295,2305,2295,2984
