Date,Open,Close,High,Low,Volume
2018-11-26,998,999,1005,980,385786
2018-11-27,1015,997,1030,991,484346
2018-11-28,1000,987,1000,985,273803
2018-11-29,985,959,995,959,561674
2018-11-30,959,975,980,957,169673
2018-12-03,983,986,1000,971,356166
2018-12-04,986,1000,1010,986,302488
2018-12-05,990,994,1015,985,349899
2018-12-06,995,971,998,969,319256
2018-12-07,980,976,995,972,130468
2018-12-10,976,938,981,931,274155
2018-12-11,939,938,960,929,277545
2018-12-12,938,955,955,938,182612
2018-12-13,955,973,983,955,205871
2018-12-14,973,960,980,956,139255
2018-12-17,969,950,969,930,188834
2018-12-18,936,935,951,929,266243
2018-12-19,934,949,950,930,113798
2018-12-20,948,928,948,928,141645
2018-12-21,930,921,937,910,231488
2018-12-24,921,911,926,903,293968
2018-12-26,905,893,905,878,333907
2018-12-27,895,925,937,893,154628
2018-12-28,925,925,930,911,134607
2019-01-02,918,920,928,907,63703
2019-01-03,915,920,921,908,135666
2019-01-04,915,920,922,907,80379
2019-01-07,928,921,935,917,234096
2019-01-08,918,930,930,912,256376
2019-01-09,925,950,953,919,141170
2019-01-10,947,952,959,942,105496
2019-01-11,951,959,959,941,126933
2019-01-14,958,970,970,947,171697
2019-01-15,968,971,972,954,237277
2019-01-16,965,961,969,957,164990
2019-01-17,960,962,966,953,223951
2019-01-18,961,975,975,956,300429
2019-01-21,975,974,978,970,162188
2019-01-22,974,969,979,969,171752
2019-01-23,970,970,973,965,89351
2019-01-24,970,966,979,960,202890
2019-01-25,969,956,969,954,297231
2019-01-28,956,965,965,951,331839
2019-01-29,961,975,975,952,406407
2019-01-30,975,963,975,963,153380
2019-01-31,963,975,975,955,143632
2019-02-01,974,969,974,966,137287
2019-02-07,973,965,974,959,123067
2019-02-08,966,966,966,952,159102
2019-02-11,957,969,969,957,184578
2019-02-12,969,977,977,958,317516
2019-02-13,973,974,977,966,136696
2019-02-14,978,982,982,969,194235
2019-02-15,1010,991,1015,972,549757
2019-02-18,992,995,998,978,217110
2019-02-19,996,999,1000,982,287296
2019-02-20,1000,1000,1010,998,434609
2019-02-21,1005,1010,1010,994,367709
2019-02-22,1010,1005,1010,990,466618
2019-02-25,1000,1000,1000,994,145616
2019-02-26,992,992,999,970,548212
2019-02-27,980,990,997,980,277876
2019-02-28,988,979,992,956,537443
2019-03-04,966,960,979,960,407921
2019-03-05,950,950,960,911,620361
2019-03-06,941,934,950,932,215017
2019-03-07,939,914,939,909,466359
2019-03-08,914,919,923,902,287867
2019-03-11,920,917,924,890,433295
2019-03-12,915,926,926,910,176241
2019-03-13,920,934,935,915,407972
2019-03-14,932,934,935,926,284759
2019-03-15,934,931,941,923,300052
2019-03-18,934,934,935,923,273938
2019-03-19,933,942,942,925,482701
2019-03-20,936,924,936,924,331400
2019-03-21,924,922,934,918,254321
2019-03-22,920,920,930,912,235526
2019-03-25,911,899,918,899,352735
2019-03-26,895,908,908,895,281455
2019-03-27,909,914,914,902,181719
2019-03-28,913,905,914,902,315533
2019-03-29,902,913,913,898,235765
2019-04-01,913,931,931,909,324905
2019-04-02,935,932,936,925,210170
2019-04-03,927,933,939,924,186931
2019-04-04,933,935,936,927,159025
2019-04-05,934,939,939,932,140991
2019-04-08,939,942,942,933,101237
2019-04-09,934,939,939,930,140925
2019-04-10,935,939,939,932,106911
2019-04-11,938,949,951,932,354404
2019-04-12,948,967,972,944,638565
2019-04-15,967,960,970,955,165281
2019-04-16,959,960,961,949,178798
2019-04-17,969,969,969,945,602757
2019-04-18,968,966,968,937,346035
2019-04-19,959,954,963,952,159262
2019-04-22,950,956,958,948,138677
2019-04-23,957,963,963,940,293821
2019-04-24,962,957,964,950,248776
2019-04-25,957,953,957,936,446590
2019-04-26,951,949,954,942,132598
2019-04-29,953,957,957,940,225551
2019-04-30,957,955,961,949,228789
2019-05-02,952,953,957,945,120516
2019-05-03,951,1010,1075,949,8434445
2019-05-07,991,1015,1030,990,1897951
2019-05-08,1010,1015,1020,998,895354
2019-05-09,1020,1025,1035,1005,1594378
2019-05-10,1030,1035,1065,1005,3219325
2019-05-13,1040,1030,1055,1000,1437339
2019-05-14,1010,1035,1035,1000,1371560
2019-05-15,1060,1070,1115,1045,4397606
2019-05-16,1075,1075,1075,1035,1468894
2019-05-17,1080,1075,1110,1060,1415176
2019-05-20,1075,1000,1090,1000,1787656
2019-05-21,1010,998,1010,955,1624927
2019-05-22,997,991,999,981,405715
2019-05-23,990,985,993,970,509403
2019-05-24,965,980,980,945,977954
2019-05-27,970,949,975,938,1199631
2019-05-28,943,972,972,940,375297
2019-05-29,971,968,972,950,435555
2019-05-30,960,952,968,950,341748
2019-05-31,950,957,962,945,417671
2019-06-03,951,938,953,938,622717
2019-06-04,930,941,941,929,415899
2019-06-05,941,945,954,941,585311
2019-06-07,946,964,964,942,414934
2019-06-10,973,987,987,961,400136
2019-06-11,989,1010,1010,983,530579
2019-06-12,1005,1025,1030,998,970054
2019-06-13,1030,1025,1045,1010,617360
2019-06-14,1025,1050,1055,1020,971656
2019-06-17,1065,1070,1080,1040,923920
2019-06-18,1075,1080,1080,1065,767265
2019-06-19,1095,1075,1095,1055,699823
2019-06-20,1075,1085,1090,1065,642647
2019-06-21,1080,1070,1085,1060,534209
2019-06-24,1065,1080,1080,1055,571901
2019-06-25,1075,1080,1085,1045,884822
2019-06-26,1065,1055,1075,1055,378898
2019-06-27,1055,1080,1095,1055,867525
2019-06-28,1080,1080,1085,1060,786485
2019-07-01,1080,1100,1100,1075,685513
2019-07-02,1095,1130,1130,1090,1002361
2019-07-03,1165,1095,1290,1080,30225127
2019-07-04,1115,1205,1210,1095,9373052
2019-07-05,1390,1280,1525,1275,77297828
2019-07-08,1330,1520,1560,1295,113362717
2019-07-09,1535,1410,1545,1380,33427625
2019-07-10,1440,1405,1470,1320,22242160
2019-07-11,1390,1325,1415,1295,15027893
2019-07-12,1335,1305,1340,1280,11666172
2019-07-15,1315,1330,1430,1300,44580732
2019-07-16,1435,1340,1500,1310,34589001
2019-07-17,1335,1385,1425,1310,23740852
2019-07-18,1400,1360,1465,1355,18639503
2019-07-19,1360,1380,1390,1290,11204513
2019-07-22,1400,1350,1440,1345,12051591
2019-07-23,1355,1295,1360,1275,6468093
2019-07-24,1290,1225,1320,1210,8976693
2019-07-25,1240,1250,1350,1220,23987335
2019-07-26,1250,1235,1305,1215,8843247
2019-07-29,1250,1435,1480,1250,74582908
2019-07-30,1430,1410,1550,1350,52005389
2019-07-31,1465,1385,1490,1330,21507301
2019-08-01,1360,1390,1485,1335,24701357
2019-08-02,1480,1480,1535,1380,33823892
2019-08-05,1740,1920,1920,1680,28730024
2019-08-06,2100,2495,2495,2070,67420852
2019-08-07,2830,2495,2960,2380,77565627
2019-08-08,2460,2510,2525,2190,45590589
2019-08-09,2410,2315,2455,2225,20461963
2019-08-12,2250,2400,2415,2170,23926251
2019-08-13,2325,2245,2325,2215,7933396
2019-08-14,2260,2105,2285,2070,14906291
2019-08-16,2115,2030,2180,1975,12526722
2019-08-19,2075,2025,2080,1980,7462897
2019-08-20,1990,1960,2015,1910,7010347
2019-08-21,1960,1970,2020,1930,6381390
2019-08-22,1985,2080,2095,1920,13844970
2019-08-23,2250,2230,2365,2105,32954489
2019-08-26,2250,2165,2290,2110,10238570
2019-08-27,2165,2410,2410,2130,32176503
2019-08-28,2350,2100,2375,2080,22748269
2019-08-29,2115,1965,2115,1905,15679505
2019-08-30,1965,1865,2030,1840,14026241
2019-09-02,1870,1865,1940,1855,9052920
2019-09-03,1850,1865,1885,1780,8614887
2019-09-04,1890,1840,1920,1840,6355624
2019-09-05,1845,1745,1860,1730,8036407
2019-09-06,1755,1725,1780,1680,9519746
2019-09-09,1725,1840,1985,1720,39953273
2019-09-10,1845,1760,1925,1750,11830052
2019-09-11,1795,1795,1875,1745,8604338
2019-09-16,1855,1790,1865,1780,4394101
2019-09-17,1750,1790,1795,1710,5250310
2019-09-18,1780,1740,1785,1730,3186867
2019-09-19,1725,1720,1760,1720,2789032
2019-09-20,1725,1655,1745,1645,4221887
2019-09-23,1655,1670,1685,1635,2471827
2019-09-24,1670,1610,1670,1575,4325020
2019-09-25,1625,1715,1875,1610,37369454
2019-09-26,1750,1670,1765,1635,7279046
2019-09-27,1680,1645,1735,1645,5309674
2019-09-30,1605,1590,1625,1550,2849723
2019-10-01,1590,1615,1620,1545,2704819
2019-10-02,1585,1605,1650,1570,3150761
