Date,Open,Close,High,Low,Volume
2018-11-26,2370,2405,2410,2360,33603
2018-11-27,2405,2475,2495,2380,51324
2018-11-28,2480,2535,2545,2475,73838
2018-11-29,2580,2535,2580,2520,48740
2018-11-30,2515,2490,2555,2450,27531
2018-12-03,2500,2565,2575,2500,101625
2018-12-04,2520,2545,2575,2490,56066
2018-12-05,2460,2455,2500,2450,299135
2018-12-06,2420,2405,2505,2365,185718
2018-12-07,2430,2435,2445,2410,38680
2018-12-10,2415,2385,2420,2320,85368
2018-12-11,2385,2295,2390,2230,85644
2018-12-12,2285,2330,2350,2285,65337
2018-12-13,2320,2405,2430,2310,130209
2018-12-14,2405,2450,2450,2390,82949
2018-12-17,2430,2505,2525,2405,177661
2018-12-18,2485,2530,2555,2460,80850
2018-12-19,2530,2525,2560,2480,55502
2018-12-20,2525,2500,2545,2480,64726
2018-12-21,2460,2470,2510,2455,22548
2018-12-24,2440,2465,2485,2430,35214
2018-12-26,2470,2450,2585,2420,97031
2018-12-27,2450,2420,2475,2405,35794
2018-12-28,2445,2440,2475,2410,21319
2019-01-02,2460,2440,2460,2420,45033
2019-01-03,2440,2380,2440,2310,52853
2019-01-04,2330,2360,2370,2310,51099
2019-01-07,2365,2405,2420,2345,42365
2019-01-08,2420,2370,2420,2360,20708
2019-01-09,2425,2460,2470,2395,78081
2019-01-10,2460,2460,2485,2415,28902
2019-01-11,2460,2635,2920,2450,770048
2019-01-14,2655,2735,2740,2635,336652
2019-01-15,2710,2760,2840,2710,293020
2019-01-16,2760,2770,2805,2720,89002
2019-01-17,2770,2780,2825,2740,103892
2019-01-18,2780,2840,2850,2770,130119
2019-01-21,2845,2850,2885,2810,143371
2019-01-22,2870,2800,2870,2800,92443
2019-01-23,2800,2840,2855,2555,112420
2019-01-24,2840,2845,2890,2830,102322
2019-01-25,2880,2865,2880,2810,92675
2019-01-28,2860,2800,2880,2800,60203
2019-01-29,2830,2780,2830,2720,52909
2019-01-30,2760,2800,2845,2755,78249
2019-01-31,2800,2885,2900,2780,132207
2019-02-01,2860,2930,2985,2860,167779
2019-02-07,2930,2920,2970,2855,88596
2019-02-08,2880,2890,2975,2880,93473
2019-02-11,2890,2905,2940,2840,85704
2019-02-12,2900,2865,2905,2860,34300
2019-02-13,2910,2890,2910,2860,90810
