Date,Open,Close,High,Low,Volume
2018-11-26,8510,8590,8660,8490,5062
2018-11-27,8570,8650,8770,8540,8114
2018-11-28,8590,8590,8660,8490,28492
2018-11-29,8610,8630,8760,8610,13299
2018-11-30,8590,8690,8750,8590,4590
2018-12-03,8650,8760,8780,8650,14072
2018-12-04,8810,8760,8840,8690,4575
2018-12-05,8660,8680,8740,8510,17866
2018-12-06,8660,8520,8730,8520,9935
2018-12-07,8640,8500,8640,8350,15505
2018-12-10,8520,8470,8600,8400,20020
2018-12-11,8520,8540,8580,8420,10046
2018-12-12,8800,8820,9250,8630,350522
2018-12-13,9140,9010,9270,8750,120865
2018-12-14,9100,9660,9660,8860,168218
2018-12-17,9650,9620,9780,9410,119613
2018-12-18,9730,10150,10950,9710,1251006
2018-12-19,10100,9990,10800,9640,507788
2018-12-20,10150,10200,10400,9910,202919
2018-12-21,10200,9770,10250,9760,101899
2018-12-24,9900,10250,10300,9800,140079
2018-12-26,10000,10100,10450,9820,201136
2018-12-27,10200,9850,10200,9840,73728
2018-12-28,9970,9990,10050,9780,58901
2019-01-02,10000,10500,10650,9960,241030
2019-01-03,10500,10700,11050,10100,502860
2019-01-04,10600,10600,10750,10350,81691
2019-01-07,10700,10400,10750,10300,80500
2019-01-08,10350,10050,10400,9870,135619
2019-01-09,10000,10200,10400,10000,70967
2019-01-10,10150,10150,10350,9990,79716
2019-01-11,10350,10000,10400,9990,56832
2019-01-14,10100,10250,10400,10050,103350
2019-01-15,10300,10250,10400,10100,90931
2019-01-16,10300,10350,10450,10100,90143
2019-01-17,10350,10550,10950,10200,315847
2019-01-18,10900,13150,13700,10600,3029000
2019-01-21,13200,13000,13300,12550,979187
2019-01-22,12900,12650,12950,11900,808397
2019-01-23,12550,12650,12800,12200,396984
2019-01-24,12800,12200,12900,12050,353400
2019-01-25,12150,12250,12800,11900,434940
2019-01-28,12800,12400,12900,12150,467396
2019-01-29,12450,12700,12750,12200,553443
2019-01-30,12950,12050,13200,11950,665517
2019-01-31,12050,11650,12050,11500,373911
2019-02-01,11650,11250,11650,10950,442106
2019-02-07,11300,11400,11600,11200,175411
2019-02-08,11550,11700,11900,11500,308105
2019-02-11,11800,11800,12050,11150,266363
2019-02-12,12000,11350,12100,11350,160431
2019-02-13,11450,11350,11500,11200,87579
2019-02-14,11400,10950,11450,10750,232206
2019-02-15,10950,11000,11100,10800,86639
2019-02-18,11100,10800,11100,10700,102789
2019-02-19,10800,10950,11250,10750,144909
2019-02-20,11000,11100,11200,10900,89885
2019-02-21,11100,10700,11100,10700,99346
2019-02-22,10700,10550,10850,10550,61440
2019-02-25,10650,11050,11050,10550,98782
2019-02-26,10950,10750,11000,10700,70168
2019-02-27,10800,11000,11150,10750,58802
2019-02-28,10950,10550,11100,10500,139328
2019-03-04,10600,10850,10950,10600,69007
2019-03-05,10750,11100,11200,10700,107608
2019-03-06,11350,11350,11700,11250,276893
2019-03-07,11450,11200,11500,11000,129030
2019-03-08,11250,11550,11750,11250,328295
2019-03-11,11650,11850,11900,11300,281363
2019-03-12,12800,12100,12900,11900,868103
2019-03-13,12650,14300,15000,12250,4932099
2019-03-14,14350,14000,14450,13850,1257132
2019-03-15,13950,14550,15950,13700,3660744
2019-03-18,14400,14050,14500,13800,965497
2019-03-19,13950,13650,14200,13300,1084114
2019-03-20,13850,13650,13900,13300,745727
2019-03-21,13600,13050,13800,12900,634228
2019-03-22,13100,13350,13600,12850,749536
2019-03-25,13100,13450,13800,13100,611438
2019-03-26,13850,13300,14100,13100,654757
2019-03-27,13600,14350,15100,13500,3134432
2019-03-28,14450,13000,14850,13000,1168449
2019-03-29,12800,12100,13050,12000,842819
2019-04-01,12300,12400,12400,12050,404750
2019-04-02,12450,12150,12450,12100,228279
2019-04-03,12250,12500,12600,12250,353045
2019-04-04,12600,12500,12600,12150,253817
2019-04-05,12600,12550,12600,12250,172844
2019-04-08,12650,12450,12700,12350,158702
2019-04-09,12550,12650,12800,12400,230373
2019-04-10,12650,12400,12650,12350,162371
2019-04-11,12350,12500,12600,12300,184984
2019-04-12,12600,12850,13150,12450,401752
2019-04-15,13100,12750,13100,12600,187992
2019-04-16,12700,12200,12750,12150,173971
2019-04-17,12350,12650,12800,12300,160623
2019-04-18,12600,13150,13450,12550,562785
2019-04-19,13400,13150,13400,13000,188983
2019-04-22,13500,12900,13500,12800,246320
2019-04-23,12950,13300,13350,12800,241067
2019-04-24,13450,13050,13600,12950,264631
2019-04-25,12950,12650,13000,12450,205914
2019-04-26,12600,12500,12850,12350,102948
2019-04-29,12600,12800,12800,12400,84536
2019-04-30,12800,12650,12900,12600,100823
2019-05-02,12500,12700,12800,12500,72206
2019-05-03,12800,12700,13000,12600,101541
2019-05-07,12600,12900,13150,12550,190084
2019-05-08,12750,13100,13200,12700,116740
2019-05-09,13100,12700,13200,12400,245077
2019-05-10,12650,12250,12900,12000,248228
2019-05-13,12250,11550,12400,11550,101801
