Date,Open,Close,High,Low,Volume
2018-11-26,51400,51200,51800,50800,96611
2018-11-27,51200,50000,51300,50000,146495
2018-11-28,50300,51200,51500,50000,93365
2018-11-29,51800,51100,52000,50900,56687
2018-11-30,51100,51700,51800,50000,137650
2018-12-03,52100,52200,52700,51900,144559
2018-12-04,51700,51700,52700,51500,136421
2018-12-05,50800,51800,52200,50600,103439
2018-12-06,52200,51400,52300,50900,94476
2018-12-07,51800,53600,53900,51500,126946
2018-12-10,52400,50800,52400,50300,113550
2018-12-11,50800,50100,51200,49100,113619
2018-12-12,50700,51000,51500,50200,68113
2018-12-13,51100,51300,51800,50700,108247
2018-12-14,51300,51800,52200,51200,83554
2018-12-17,52000,51300,52400,51000,70921
2018-12-18,50900,50800,51500,50500,55828
2018-12-19,50800,49550,50900,49500,130258
2018-12-20,49200,48650,49500,48150,94251
2018-12-21,48250,49200,49500,48250,52895
2018-12-24,49300,49450,49600,48500,41751
2018-12-26,48550,48650,49100,48250,72746
2018-12-27,48350,49350,49600,48250,65331
2018-12-28,48900,49000,50300,48900,74668
2019-01-02,49150,47400,49450,47350,77674
2019-01-03,47250,45700,48000,45700,144133
2019-01-04,45300,46250,46600,44850,106996
2019-01-07,46550,48250,48550,46550,119444
2019-01-08,48500,47650,48600,47650,53214
2019-01-09,47650,49800,50600,47650,131528
2019-01-10,49900,51500,52000,49900,135788
2019-01-11,51400,51400,52100,51100,86853
2019-01-14,51500,51100,51800,50500,62878
2019-01-15,51400,51300,51600,50700,83337
2019-01-16,51500,52800,53400,51500,132847
2019-01-17,53000,52900,53500,52600,99531
2019-01-18,53500,53700,54200,52300,111758
2019-01-21,54500,54000,55000,53500,104926
2019-01-22,54000,52200,54100,52000,118050
2019-01-23,51800,51900,52800,51200,114770
2019-01-24,51500,51600,52000,51200,61876
2019-01-25,51600,53200,53400,51500,121590
2019-01-28,53100,52900,53500,52600,65824
2019-01-29,52600,52200,52800,51700,88765
2019-01-30,52900,53100,53400,52300,113833
2019-01-31,53500,52400,53700,52100,96220
2019-02-01,52800,52800,53400,52400,100302
2019-02-07,53500,52300,53800,52000,144998
2019-02-08,52000,51200,52600,50700,142716
2019-02-11,51700,50600,51700,50500,103018
2019-02-12,50700,51100,51700,50700,87087
2019-02-13,51100,51400,51500,51000,74445
2019-02-14,51100,51700,51700,50700,117668
2019-02-15,51500,51400,52000,50800,68024
