Date,Open,Close,High,Low,Volume
2018-11-26,2320,2360,2370,2320,32376
2018-11-27,2385,2370,2385,2350,37497
2018-11-28,2370,2370,2390,2355,37521
2018-11-29,2380,2360,2395,2350,40195
2018-11-30,2360,2330,2370,2325,55852
2018-12-03,2330,2365,2370,2330,49878
2018-12-04,2345,2400,2405,2345,89698
2018-12-05,2390,2420,2440,2370,72540
2018-12-06,2420,2425,2455,2385,111161
2018-12-07,2410,2435,2470,2410,52812
2018-12-10,2390,2400,2445,2390,42214
2018-12-11,2400,2370,2420,2360,21344
2018-12-12,2415,2395,2480,2375,70641
2018-12-13,2430,2445,2445,2385,41329
2018-12-14,2445,2390,2445,2385,50079
2018-12-17,2390,2440,2445,2365,51057
2018-12-18,2420,2445,2475,2420,58619
2018-12-19,2450,2470,2480,2430,84075
2018-12-20,2455,2440,2485,2425,51657
2018-12-21,2420,2405,2470,2380,46436
2018-12-24,2395,2355,2405,2305,121629
2018-12-26,2300,2265,2340,2255,73183
2018-12-27,2295,2270,2330,2260,55003
2018-12-28,2280,2320,2335,2280,26584
2019-01-02,2350,2315,2360,2285,44486
2019-01-03,2340,2295,2340,2285,55559
2019-01-04,2280,2275,2320,2220,91584
2019-01-07,2280,2285,2320,2270,43380
2019-01-08,2295,2290,2315,2275,37671
2019-01-09,2295,2325,2350,2280,68252
2019-01-10,2345,2305,2350,2305,33813
2019-01-11,2310,2335,2340,2295,54913
2019-01-14,2350,2350,2370,2300,92509
2019-01-15,2350,2365,2370,2325,83632
2019-01-16,2375,2385,2405,2365,72189
2019-01-17,2395,2375,2400,2365,49890
2019-01-18,2385,2410,2410,2375,68638
2019-01-21,2410,2400,2415,2385,47573
2019-01-22,2400,2390,2415,2370,47637
2019-01-23,2385,2375,2405,2360,67311
2019-01-24,2385,2395,2410,2380,59396
2019-01-25,2400,2400,2410,2380,74003
2019-01-28,2410,2425,2430,2400,75398
2019-01-29,2490,2420,2500,2410,176164
2019-01-30,2445,2395,2445,2385,84436
2019-01-31,2405,2395,2410,2385,44222
2019-02-01,2410,2435,2450,2410,92482
2019-02-07,2425,2455,2480,2415,144526
2019-02-08,2445,2455,2470,2445,52840
2019-02-11,2475,2465,2475,2445,47407
2019-02-12,2465,2460,2470,2445,37664
2019-02-13,2460,2480,2500,2455,123395
2019-02-14,2480,2490,2510,2465,44714
2019-02-15,2500,2485,2500,2465,77077
2019-02-18,2495,2510,2520,2475,125973
2019-02-19,2515,2505,2535,2490,78844
2019-02-20,2510,2480,2510,2460,91164
2019-02-21,2480,2480,2500,2455,61644
2019-02-22,2480,2460,2480,2460,52041
2019-02-25,2475,2450,2475,2430,69618
2019-02-26,2450,2450,2475,2445,35832
2019-02-27,2455,2455,2465,2435,16714
2019-02-28,2460,2415,2460,2385,75178
2019-03-04,2425,2410,2435,2405,28451
2019-03-05,2400,2400,2415,2375,40876
2019-03-06,2405,2390,2405,2375,35746
2019-03-07,2385,2340,2400,2320,117739
2019-03-08,2330,2340,2350,2310,73224
2019-03-11,2350,2310,2355,2290,43448
2019-03-12,2305,2330,2335,2305,37271
2019-03-13,2320,2365,2365,2315,45098
2019-03-14,2370,2385,2395,2360,56790
2019-03-15,2385,2360,2390,2335,45656
2019-03-18,2360,2375,2380,2360,26451
2019-03-19,2370,2370,2380,2350,31151
2019-03-20,2370,2335,2375,2300,109586
2019-03-21,2330,2320,2345,2310,67446
2019-03-22,2315,2295,2325,2295,51678
2019-03-25,2265,2240,2275,2225,64622
2019-03-26,2235,2260,2290,2235,35048
2019-03-27,2260,2260,2290,2225,38292
2019-03-28,2265,2245,2265,2220,71737
2019-03-29,2245,2215,2245,2210,58937
2019-04-01,2210,2265,2265,2210,45102
2019-04-02,2280,2285,2285,2260,59038
2019-04-03,2290,2320,2320,2270,71870
2019-04-04,2320,2310,2325,2295,33726
2019-04-05,2315,2320,2320,2295,18040
2019-04-08,2335,2325,2340,2310,28841
2019-04-09,2335,2315,2335,2280,48420
2019-04-10,2325,2300,2325,2275,43612
2019-04-11,2320,2300,2320,2280,46111
2019-04-12,2305,2345,2490,2305,549090
2019-04-15,2380,2345,2380,2330,127147
2019-04-16,2440,3045,3045,2395,10196648
2019-04-17,3415,3180,3865,3070,26130428
2019-04-18,3100,2825,3100,2820,5598641
2019-04-19,2815,2800,3025,2770,5628084
2019-04-22,2805,3640,3640,2800,32854446
2019-04-23,3530,3295,3750,3295,14915917
2019-04-24,3340,3145,3500,3040,7445394
2019-04-25,3100,3080,3245,3045,3184860
2019-04-26,3060,2980,3095,2945,1722004
2019-04-29,3060,2925,3070,2880,1518155
2019-04-30,2890,2935,3105,2855,5058355
2019-05-02,2905,2860,2905,2815,2038644
2019-05-03,3080,3210,3520,3010,25194987
2019-05-07,3215,3260,3330,3135,3681580
2019-05-08,3260,3065,3270,3065,2243687
2019-05-09,3010,2865,3045,2855,1899143
2019-05-10,2850,2885,3005,2765,1898774
2019-05-13,2840,2975,3285,2810,6930818
2019-05-14,2905,2905,2950,2865,1106246
2019-05-15,2935,2910,2965,2885,810208
2019-05-16,2935,2665,2995,2595,2070837
2019-05-17,2740,2660,2760,2645,1027928
2019-05-20,2660,2605,2680,2585,634140
2019-05-21,2580,2655,2670,2570,453106
2019-05-22,2685,2700,2725,2635,519850
2019-05-23,2710,2580,2710,2580,465572
2019-05-24,2550,2655,3030,2515,10589129
2019-05-27,2660,2700,2850,2655,2174444
2019-05-28,2655,2705,2715,2620,892893
2019-05-29,2690,2735,2755,2635,905388
2019-05-30,2785,2755,2825,2690,1275501
2019-05-31,2760,2835,2950,2750,3342939
2019-06-03,2830,2855,2950,2805,2318481
2019-06-04,2855,2830,2930,2810,828897
2019-06-05,2890,2840,2910,2825,691991
2019-06-07,2835,2835,2915,2830,582561
2019-06-10,2850,2850,2870,2825,348443
2019-06-11,2860,2895,2905,2820,526632
2019-06-12,2945,2850,2945,2835,540522
2019-06-13,2855,2890,2900,2835,424785
2019-06-14,2890,2860,2915,2850,289063
2019-06-17,2860,2870,2930,2860,576333
2019-06-18,2870,2765,2885,2755,589070
2019-06-19,2770,2790,2800,2730,294984
2019-06-20,2800,2785,2820,2720,197978
2019-06-21,2790,2920,3060,2775,3292236
2019-06-24,2890,2990,3015,2870,2176671
2019-06-25,2980,2910,3005,2875,1070945
2019-06-26,3055,2875,3055,2860,1397591
2019-06-27,2895,2775,2935,2750,857693
2019-06-28,2760,2670,2800,2610,626206
2019-07-01,2635,2615,2710,2615,598945
2019-07-02,2615,2620,2670,2580,355255
2019-07-03,2660,2635,2660,2570,468531
2019-07-04,2615,2605,2650,2590,260026
2019-07-05,2610,2640,2680,2605,282249
2019-07-08,2665,2500,2665,2495,357394
2019-07-09,2500,2510,2545,2450,224450
2019-07-10,2480,2530,2580,2480,138868
2019-07-11,2510,2575,2590,2510,170552
2019-07-12,2570,2595,2620,2560,133953
2019-07-15,2575,2545,2620,2545,91389
2019-07-16,2570,2585,2615,2545,148574
2019-07-17,2565,2505,2615,2490,216809
2019-07-18,2490,2510,2550,2480,135708
2019-07-19,2500,2545,2575,2500,127397
2019-07-22,2530,2545,2585,2520,99811
2019-07-23,2550,2535,2580,2520,118728
2019-07-24,2535,2535,2570,2495,212249
2019-07-25,2525,2405,2555,2405,299757
2019-07-26,2380,2340,2425,2335,258011
2019-07-29,2315,2200,2365,2200,305068
2019-07-30,2170,2385,2450,2170,555079
2019-07-31,2375,2375,2455,2320,178367
2019-08-01,2340,2375,2440,2340,108121
2019-08-02,2315,2290,2390,2255,301568
2019-08-05,2270,2100,2325,2095,343351
2019-08-06,2000,2730,2730,1995,7243865
2019-08-07,3020,2880,3465,2820,25796204
2019-08-08,2830,3035,3050,2630,8507735
2019-08-09,2925,3075,3270,2850,11780241
2019-08-12,3010,3000,3160,2920,4528731
2019-08-13,2930,2850,3025,2805,2625735
2019-08-14,2880,3705,3705,2875,49235526
2019-08-16,3680,3710,3815,3455,25396600
2019-08-19,3600,3710,4040,3545,29503678
2019-08-20,3855,3575,3930,3520,9547602
2019-08-21,3560,3655,3755,3480,8509809
2019-08-22,3615,3390,3640,3375,3458972
2019-08-23,3390,3380,3530,3300,5188456
2019-08-26,3320,3425,3635,3275,7141238
2019-08-27,3425,3505,3575,3400,3258209
2019-08-28,3505,3395,3555,3380,2033494
2019-08-29,3425,3295,3450,3260,1343794
2019-08-30,3390,3610,3815,3350,19345897
2019-09-02,3580,3640,3705,3565,5082789
2019-09-03,3605,3635,3755,3505,8062608
2019-09-04,3635,3650,3780,3555,5628840
2019-09-05,3650,3760,3760,3610,4907069
2019-09-06,3930,3450,3970,3450,8514499
2019-09-09,3450,3355,3595,3350,2630465
2019-09-10,3340,3340,3525,3165,4558093
2019-09-11,3345,3345,3560,3315,3387823
2019-09-16,3300,3270,3340,3230,1141240
2019-09-17,3630,3525,3780,3505,14168197
2019-09-18,3600,3475,3745,3420,6037138
2019-09-19,3450,3370,3470,3365,1641372
2019-09-20,3400,3425,3580,3310,4043718
2019-09-23,3350,3315,3420,3315,1208331
2019-09-24,3470,3355,3520,3350,2913379
2019-09-25,3370,3555,3660,3340,9656527
2019-09-26,3805,3440,3955,3435,23733086
2019-09-27,3500,3305,3570,3275,5328767
2019-09-30,3250,3100,3275,3100,1695096
