Date,Open,Close,High,Low,Volume
2018-11-26,3720,3955,3955,3670,1663212
2018-11-27,4350,4285,4610,4105,9308079
2018-11-28,4300,3970,4355,3970,2242831
2018-11-29,4030,3890,4210,3835,1726038
2018-11-30,3890,3705,3950,3705,643600
2018-12-03,3745,3895,3955,3700,987499
2018-12-04,3905,3995,4080,3895,1409191
2018-12-05,3900,3830,3930,3800,528427
2018-12-06,3830,3695,3830,3660,280669
2018-12-07,3660,3715,3785,3635,288069
2018-12-10,3695,3660,3740,3610,187137
2018-12-11,3615,3550,3685,3520,154160
2018-12-12,3550,3630,3680,3520,158844
2018-12-13,3630,3700,3740,3620,161421
2018-12-14,3745,3615,3745,3520,200075
2018-12-17,3755,3925,4235,3755,4913750
2018-12-18,3990,4165,4170,3915,1763920
2018-12-19,4265,3840,4265,3825,1564079
2018-12-20,3810,3660,3825,3655,686897
2018-12-21,3730,3660,3765,3630,410263
2018-12-24,3595,3570,3655,3560,287087
2018-12-26,3470,3390,3490,3310,437589
2018-12-27,3435,3420,3500,3400,175225
2018-12-28,3420,3500,3540,3410,260134
2019-01-02,3515,3540,3610,3470,183391
2019-01-03,3530,3600,3645,3520,250897
2019-01-04,3600,3555,3655,3520,201868
2019-01-07,3595,3770,3870,3555,1341786
2019-01-08,3780,3660,3790,3630,344169
2019-01-09,3655,3670,3725,3655,204428
2019-01-10,3675,3700,3720,3660,134302
2019-01-11,3750,3645,3790,3620,287992
2019-01-14,3960,3785,4300,3785,4165095
2019-01-15,3930,3750,4120,3745,2345706
2019-01-16,3770,4115,4215,3770,3485438
2019-01-17,4080,4150,4155,3970,1388890
2019-01-18,4170,4090,4205,4050,940829
2019-01-21,4070,4095,4105,3990,665283
2019-01-22,4125,4145,4200,4045,1205683
2019-01-23,4195,3980,4230,3970,1368370
2019-01-24,3980,3970,4115,3860,489785
2019-01-25,3955,3920,4010,3880,382476
2019-01-28,3890,3920,4000,3860,344638
2019-01-29,3890,3855,3940,3820,315819
2019-01-30,3905,3870,3905,3855,186543
2019-01-31,3855,3785,3895,3760,271756
2019-02-01,3735,3800,3830,3720,230383
2019-02-07,3800,3890,3910,3770,221749
2019-02-08,3890,3920,3955,3855,361866
2019-02-11,3930,4095,4100,3925,945411
2019-02-12,4135,4040,4135,3975,531413
2019-02-13,4045,4080,4095,4010,584454
2019-02-14,4050,4090,4125,4025,426369
2019-02-15,4135,4045,4145,4035,640465
2019-02-18,4005,4025,4070,3980,273683
2019-02-19,4025,4115,4155,4025,652665
2019-02-20,4150,4150,4180,4100,485554
2019-02-21,4220,4100,4585,4100,6191335
2019-02-22,4120,4185,4250,4105,833573
2019-02-25,4200,4180,4295,4165,705168
2019-02-26,4215,4140,4230,4080,544350
2019-02-27,4150,4310,4310,4125,1394045
2019-02-28,4305,4100,4305,4065,868136
2019-03-04,4365,4655,4745,4350,12415327
2019-03-05,4885,4605,4945,4540,6020565
2019-03-06,4710,4725,4855,4510,5545743
2019-03-07,4950,4385,4950,4330,3534249
2019-03-08,4260,4460,4490,4260,1058879
2019-03-11,4430,4520,4635,4305,1714464
2019-03-12,4525,4390,4560,4385,878620
2019-03-13,4505,4355,4540,4350,830406
2019-03-14,4370,4435,4440,4315,472108
2019-03-15,4470,4445,4560,4385,990064
2019-03-18,4445,4360,4460,4355,394114
2019-03-19,4360,4460,4510,4360,627151
2019-03-20,4560,4515,4645,4390,1542872
2019-03-21,4470,4420,4590,4420,726533
2019-03-22,4490,4695,4735,4440,3202037
2019-03-25,4580,4620,4665,4560,790538
2019-03-26,4680,4965,5330,4660,12107563
2019-03-27,4990,4930,5390,4800,10142566
2019-03-28,5010,4640,5060,4595,1951665
2019-03-29,4610,4485,4840,4315,1166283
2019-04-01,4425,4445,4485,4340,836034
2019-04-02,4455,4505,4575,4455,738197
2019-04-03,4515,4480,4535,4405,472292
2019-04-04,4490,4415,4500,4395,392189
2019-04-05,4465,4405,4465,4365,324621
2019-04-08,4385,4270,4390,4265,490937
2019-04-09,4295,4190,4300,4155,418586
2019-04-10,4210,4210,4210,4135,297503
2019-04-11,4205,4300,4325,4190,392214
2019-04-12,4270,4320,4350,4265,325385
2019-04-15,4315,4250,4315,4235,276671
2019-04-16,4270,4130,4270,4085,438362
2019-04-17,4130,4140,4200,4040,457903
2019-04-18,4145,4100,4200,4095,278146
2019-04-19,4105,4105,4155,4090,141403
2019-04-22,4115,4100,4140,4080,112456
2019-04-23,4090,4110,4155,4090,126478
2019-04-24,4120,4130,4160,4080,212356
2019-04-25,4180,3995,4180,3990,283367
2019-04-26,3995,3930,3995,3830,282225
2019-04-29,3880,3910,3970,3820,139766
2019-04-30,3940,3920,3960,3895,103072
2019-05-02,3930,4050,4120,3925,218622
2019-05-03,4070,4040,4120,4010,109141
2019-05-07,3950,3960,4000,3935,109217
2019-05-08,3940,3900,3990,3885,131796
2019-05-09,3870,3630,3900,3555,372302
2019-05-10,3580,3625,3740,3565,214689
2019-05-13,3580,3575,3800,3575,204053
2019-05-14,3500,3670,3730,3500,172122
2019-05-15,3780,3790,3805,3685,117180
2019-05-16,3860,3735,3860,3710,154096
2019-05-17,3775,3675,3775,3670,87774
2019-05-20,3640,3655,3780,3620,168022
2019-05-21,3590,3600,3695,3555,82620
2019-05-22,3600,3610,3645,3595,65926
2019-05-23,3600,3525,3640,3505,62642
2019-05-24,3470,3400,3505,3390,152618
2019-05-27,3395,3395,3440,3300,109152
2019-05-28,3400,3475,3490,3380,66143
2019-05-29,3450,3350,3505,3345,145622
2019-05-30,3345,3335,3370,3305,67551
2019-05-31,3295,3365,3400,3275,88983
2019-06-03,3350,3450,3460,3325,66687
2019-06-04,3410,3445,3505,3410,76624
2019-06-05,3445,3525,3540,3445,185956
2019-06-07,3550,3520,3550,3460,94159
2019-06-10,3540,3550,3570,3520,71025
2019-06-11,3550,3640,3640,3550,103104
2019-06-12,3640,3630,3700,3620,68402
2019-06-13,3625,3620,3660,3610,53746
2019-06-14,3630,3565,3630,3530,86208
2019-06-17,3525,3570,3595,3505,83387
2019-06-18,3570,3510,3595,3495,81573
2019-06-19,3520,3560,3570,3515,102774
2019-06-20,3560,3615,3630,3535,84131
