Date,Open,Close,High,Low,Volume
2018-11-26,918,920,923,910,90093
2018-11-27,925,912,925,912,107573
2018-11-28,925,912,925,910,100474
2018-11-29,921,919,931,912,285354
2018-11-30,919,916,927,913,86063
2018-12-03,919,930,947,917,110795
2018-12-04,936,930,936,925,88516
2018-12-05,926,932,932,916,209261
2018-12-06,937,925,940,925,186209
2018-12-07,948,920,948,913,185117
2018-12-10,930,925,930,915,116055
2018-12-11,926,922,929,917,137423
2018-12-12,924,926,934,918,81413
2018-12-13,927,943,946,925,310514
2018-12-14,946,1015,1020,940,4412172
2018-12-17,1020,1270,1315,1020,41140009
2018-12-18,1290,1340,1345,1235,33054746
2018-12-19,1320,1275,1325,1245,11580213
2018-12-20,1255,1285,1305,1240,8743158
2018-12-21,1270,1185,1275,1160,9842395
2018-12-24,1195,1155,1210,1150,4156781
2018-12-26,1130,1105,1145,1065,6237719
2018-12-27,1115,1105,1145,1100,4766307
2018-12-28,1110,1110,1145,1095,3246663
2019-01-02,1140,1220,1230,1135,15773875
2019-01-03,1225,1220,1270,1200,9460154
2019-01-04,1235,1315,1420,1235,45526275
2019-01-07,1335,1330,1380,1270,11475317
2019-01-08,1345,1230,1380,1215,11418688
2019-01-09,1240,1195,1240,1175,4573003
2019-01-10,1195,1195,1255,1185,5951987
2019-01-11,1190,1155,1220,1135,3713415
2019-01-14,1205,1375,1420,1205,46081305
2019-01-15,1380,1285,1380,1285,8824498
2019-01-16,1310,1385,1385,1295,11930582
2019-01-17,1500,1400,1645,1375,49905989
2019-01-18,1425,1440,1445,1335,10122993
2019-01-21,1445,1450,1495,1405,7459718
2019-01-22,1460,1490,1640,1445,31060507
2019-01-23,1495,1475,1525,1450,6852061
2019-01-24,1465,1450,1480,1415,3421691
2019-01-25,1475,1515,1610,1475,29028469
2019-01-28,1570,1550,1625,1525,9171371
2019-01-29,1555,1505,1695,1490,29110267
2019-01-30,1515,1505,1530,1455,7110922
2019-01-31,1505,1420,1530,1420,5066174
2019-02-01,1425,1430,1455,1410,2871374
2019-02-07,1435,1405,1450,1390,2152692
2019-02-08,1405,1420,1470,1385,3522094
2019-02-11,1430,1480,1505,1415,5300467
2019-02-12,1460,1485,1510,1455,3027334
2019-02-13,1490,1490,1515,1470,2604562
2019-02-14,1505,1430,1520,1430,2838250
2019-02-15,1415,1380,1460,1350,2995027
2019-02-18,1380,1365,1395,1350,1320812
2019-02-19,1335,1360,1380,1320,2937154
2019-02-20,1380,1415,1525,1355,17511223
2019-02-21,1420,1355,1490,1340,10996353
2019-02-22,1375,1275,1390,1270,7855758
2019-02-25,1285,1275,1310,1270,3566763
2019-02-26,1275,1270,1290,1255,1752830
2019-02-27,1260,1285,1310,1260,3713856
2019-02-28,1290,1195,1320,1180,6637778
2019-03-04,1235,1235,1275,1220,4063574
2019-03-05,1220,1235,1245,1190,2746295
2019-03-06,1270,1265,1340,1255,12186373
2019-03-07,1275,1215,1275,1210,2144936
2019-03-08,1200,1225,1250,1200,1929863
2019-03-11,1215,1240,1245,1205,1470391
2019-03-12,1245,1235,1250,1225,1130997
2019-03-13,1225,1210,1235,1190,1412931
2019-03-14,1220,1245,1250,1215,2565892
2019-03-15,1250,1235,1260,1225,1615723
2019-03-18,1245,1235,1270,1235,2660921
2019-03-19,1235,1240,1245,1220,1399227
2019-03-20,1235,1245,1270,1235,1971854
2019-03-21,1250,1260,1290,1240,4945200
2019-03-22,1255,1205,1260,1200,2642856
2019-03-25,1185,1175,1195,1160,2173270
2019-03-26,1175,1195,1200,1170,1060360
2019-03-27,1200,1170,1210,1170,1349584
2019-03-28,1170,1175,1215,1165,1770766
2019-03-29,1195,1245,1280,1180,7180149
2019-04-01,1255,1255,1280,1240,3808293
