Date,Open,Close,High,Low,Volume
2018-11-26,174500,179000,181500,174500,2941
2018-11-27,179000,179000,180000,176000,1590
2018-11-28,179500,182000,184500,179500,4647
2018-11-29,182000,182500,184000,182000,963
2018-11-30,183500,174000,185500,174000,17648
2018-12-03,175500,176000,178000,174500,2246
2018-12-04,177500,175500,177500,175500,2717
2018-12-05,176000,179500,188000,175000,14455
2018-12-06,179500,179500,181500,178000,2038
2018-12-07,178500,179000,181000,178500,1223
2018-12-10,178000,181000,182500,178000,1462
2018-12-11,182000,179500,182000,176000,1513
2018-12-12,179500,183000,183500,179000,973
2018-12-13,183500,183000,184500,180000,904
2018-12-14,188000,185000,188000,181000,1403
2018-12-17,185500,181500,185500,180500,565
2018-12-18,180500,179500,181000,178000,265
2018-12-19,178000,179500,179500,177000,267
2018-12-20,177000,178000,179500,177000,361
2018-12-21,178000,181000,182000,177000,248
2018-12-24,178000,180000,182000,178000,1608
2018-12-26,177500,175500,178000,175000,1390
2018-12-27,177000,180000,180000,176500,192
2018-12-28,177000,180000,180500,177000,303
2019-01-02,177500,177500,179000,176500,200
2019-01-03,177500,178000,178500,176000,180
2019-01-04,175500,177500,179000,175500,137
2019-01-07,178500,179000,179500,176000,998
2019-01-08,179000,178000,179000,176000,1437
2019-01-09,178000,178500,178500,177500,245
2019-01-10,178500,179000,179000,176500,206
2019-01-11,179000,179500,179500,178500,668
2019-01-14,179500,195000,197000,179500,3406
2019-01-15,192500,196000,198000,192500,1087
2019-01-16,196000,194000,199500,194000,694
2019-01-17,194500,198500,199000,194500,658
2019-01-18,200000,199500,200500,196000,410
2019-01-21,199500,198000,199500,194500,798
2019-01-22,196500,198500,199500,196500,359
2019-01-23,198500,201500,201500,198500,316
2019-01-24,200500,201500,202000,199000,310
2019-01-25,200500,202500,202500,200500,158
2019-01-28,198500,200000,202000,198500,422
2019-01-29,198500,200500,201000,198500,264
2019-01-30,200000,199500,201500,199000,343
2019-01-31,202000,199000,202000,198000,375
2019-02-01,201500,204500,204500,198500,655
2019-02-07,204500,204000,205500,203500,688
2019-02-08,201500,203000,206000,201500,350
2019-02-11,203500,203500,206000,202000,145
2019-02-12,203500,205000,205000,203500,150
2019-02-13,205000,205000,206000,202500,483
2019-02-14,203000,205000,205500,202500,307
2019-02-15,202000,205500,205500,202000,263
2019-02-18,204500,203500,207000,203000,194
2019-02-19,206000,204500,206000,203500,165
2019-02-20,207000,208000,208500,204000,404
2019-02-21,208000,205500,208000,204000,596
2019-02-22,204000,203000,204000,202000,885
2019-02-25,202500,201500,203000,197500,892
2019-02-26,201500,201500,203000,201500,207
2019-02-27,201500,199000,203000,198500,122
2019-02-28,200000,199000,201500,198000,457
2019-03-04,200000,199000,201500,199000,153
2019-03-05,199500,200500,201500,199000,138
2019-03-06,202500,200500,202500,200000,162
2019-03-07,200000,198500,201500,198500,111
2019-03-08,198500,197000,198500,192500,831
2019-03-11,197000,193500,202500,193000,682
2019-03-12,194000,194500,194500,190000,650
2019-03-13,198500,196500,198500,194000,255
2019-03-14,195000,197000,198000,195000,30
2019-03-15,198500,197000,198500,195000,94
2019-03-18,198000,196500,198000,193000,378
2019-03-19,195000,195000,196500,194500,153
2019-03-20,197000,194500,197000,191000,686
2019-03-21,193000,191500,193500,189500,1046
2019-03-22,190000,190000,191500,189000,259
2019-03-25,190000,190000,193000,183000,3400
2019-03-26,190500,189500,191500,187500,364
2019-03-27,189000,188000,189000,184000,836
2019-03-28,186500,189000,189000,184000,816
2019-03-29,185000,185000,187500,184500,637
2019-04-01,185000,187000,187500,185000,285
2019-04-02,186000,184500,186500,183000,988
2019-04-03,183500,183500,185500,182000,657
2019-04-04,183500,184000,185500,183500,422
2019-04-05,186000,185500,188000,182500,548
2019-04-08,187000,188000,189000,186000,181
2019-04-09,188000,191000,192000,187000,634
2019-04-10,195000,191500,195000,190500,230
2019-04-11,189000,192500,196000,189000,356
2019-04-12,194000,193000,195000,193000,200
2019-04-15,196500,195000,196500,193500,424
2019-04-16,195000,195000,197000,192500,672
2019-04-17,194000,194000,195000,192000,629
2019-04-18,193000,192500,194000,192000,578
2019-04-19,192500,193500,194500,192000,386
2019-04-22,193500,197500,205000,193500,1122
2019-04-23,197500,200000,201000,197500,358
2019-04-24,203000,197500,203000,197500,560
2019-04-25,198500,195000,200000,193500,682
2019-04-26,196000,197000,197000,192500,267
2019-04-29,199000,195500,199000,195500,294
2019-04-30,196000,197500,198000,195500,103
2019-05-02,197500,196000,199500,193000,516
2019-05-03,196000,197000,197000,195500,55
2019-05-07,197000,196500,197000,195000,46
2019-05-08,195000,194500,196000,194000,122
2019-05-09,193000,192000,195000,191500,805
2019-05-10,195000,192000,195000,190000,118
2019-05-13,193000,188000,193000,187000,305
2019-05-14,188000,189000,189000,184000,608
2019-05-15,186500,193000,193000,186500,331
2019-05-16,191500,193000,193000,190000,723
2019-05-17,192500,192500,192500,189500,778
2019-05-20,189000,194000,194500,189000,309
2019-05-21,189500,191500,193000,189500,319
2019-05-22,190500,189500,191500,189500,159
2019-05-23,188500,193000,193000,187000,452
2019-05-24,187500,190500,193000,187500,318
2019-05-27,187500,185000,188000,184000,1597
2019-05-28,186500,185500,186500,181500,614
2019-05-29,185000,180500,188500,177500,1236
2019-05-30,180000,181000,181000,178500,375
2019-05-31,180000,180500,181000,179000,405
2019-06-03,178500,178500,181500,177000,2243
2019-06-04,177500,178500,180000,177500,476
2019-06-05,180500,179500,181500,177500,566
2019-06-07,180500,183000,183000,180000,609
2019-06-10,181000,183500,183500,181000,289
2019-06-11,182000,183000,183500,181000,322
2019-06-12,183000,182000,183500,180500,1765
2019-06-13,180500,181500,181500,178000,708
2019-06-14,181500,189000,190500,181000,1210
2019-06-17,188000,189500,191000,187000,308
2019-06-18,187000,184500,189000,183000,683
2019-06-19,186500,184000,187000,181500,2515
2019-06-20,183000,186000,186000,182500,423
2019-06-21,186000,185500,186000,184000,354
2019-06-24,184000,185000,186000,183500,383
2019-06-25,183500,184000,185000,183500,401
