Date,Open,Close,High,Low,Volume
2018-11-26,3081,3188,3244,3081,163121
2018-11-27,3148,3216,3244,3148,201058
2018-11-28,3204,3184,3240,3148,128644
2018-11-29,3188,3232,3252,3168,300457
2018-11-30,3204,3192,3283,3172,381114
2018-12-03,3275,3374,3472,3241,506837
2018-12-04,3379,3399,3428,3349,141141
2018-12-05,3349,3344,3379,3315,94127
2018-12-06,3300,3231,3399,3226,262493
2018-12-07,3256,3118,3295,3074,354994
2018-12-10,3064,3014,3113,2970,283777
2018-12-11,3009,2906,3029,2886,265404
2018-12-12,2891,2955,2955,2891,160824
2018-12-13,2945,2931,2955,2911,119627
2018-12-14,2936,2857,2936,2842,203738
2018-12-17,2827,2793,2891,2758,222773
2018-12-18,2768,2758,2778,2734,145235
2018-12-19,2729,2748,2758,2689,283415
2018-12-20,2748,2699,2793,2679,336034
2018-12-21,2719,2684,2719,2655,473698
2018-12-24,2694,2679,2699,2655,320865
2018-12-26,2709,2606,2714,2601,589276
2018-12-27,2615,2620,2704,2611,338319
2018-12-28,2650,2655,2660,2591,595596
2019-01-02,2670,2596,2679,2581,396088
2019-01-03,2586,2620,2660,2542,722297
2019-01-04,2596,2586,2635,2551,757892
2019-01-07,2586,2586,2665,2571,1399570
2019-01-08,2591,2468,2596,2458,1044452
2019-01-09,2507,2699,2719,2473,1698264
2019-01-10,2699,3009,3103,2620,3467096
2019-01-11,3029,2955,3162,2906,2994771
2019-01-14,2945,3152,3197,2941,1780848
2019-01-15,3147,3167,3226,3128,1025326
2019-01-16,3167,3039,3221,2955,1451734
2019-01-17,3009,2916,3059,2867,1018079
2019-01-18,2916,2867,2921,2817,559244
2019-01-21,2867,2881,2926,2803,465757
2019-01-22,2886,2808,2891,2753,516449
2019-01-23,2803,2975,3014,2798,1465653
2019-01-24,2970,2872,3000,2867,666800
2019-01-25,2921,2881,3138,2872,2176235
2019-01-28,2891,2906,2965,2881,941380
2019-01-29,2798,3044,3054,2753,4664367
2019-01-30,3064,3083,3147,2965,1985869
2019-01-31,3083,3271,3335,3005,5739827
2019-02-01,3271,3162,3339,3118,3114413
2019-02-07,3162,3009,3182,2980,1967925
2019-02-08,3000,3098,3098,2955,1400800
2019-02-11,3172,3118,3177,3083,1554299
2019-02-12,3123,3044,3128,3044,1035813
2019-02-13,3054,3221,3251,3054,2131562
2019-02-14,3251,3271,3305,3167,1375794
2019-02-15,3246,3394,3428,3197,3580026
2019-02-18,3389,3487,3532,3339,2193913
2019-02-19,3472,3541,3576,3418,1506503
2019-02-20,3556,3448,3556,3428,1583056
2019-02-21,3433,3438,3458,3349,1321658
2019-02-22,3468,3463,3517,3399,1303175
2019-02-25,3453,3566,3581,3443,1399615
2019-02-26,3586,3463,3591,3443,1308814
2019-02-27,3443,3463,3487,3339,1095637
2019-02-28,3463,3369,3468,3305,960031
2019-03-04,3369,3379,3438,3305,899087
2019-03-05,3349,3059,3359,3019,3958556
2019-03-06,3059,3098,3187,3059,1633099
2019-03-07,3113,3202,3423,3069,3114284
2019-03-08,3152,3108,3251,3083,1004882
2019-03-11,3138,3665,3719,3138,15238891
2019-03-12,3669,3694,3743,3551,6522739
2019-03-13,3719,3783,3867,3596,7505582
2019-03-14,3783,3689,3857,3630,3615520
2019-03-15,3566,3271,3669,3231,7405046
2019-03-18,3275,3438,3468,3251,2405511
2019-03-19,3438,3408,3502,3349,1436617
2019-03-20,3463,3522,3630,3418,2979212
2019-03-21,3537,3438,3605,3384,2119583
2019-03-22,3389,3379,3458,3320,1159370
2019-03-25,3330,3152,3349,3133,1754174
2019-03-26,3157,3147,3305,3069,2134971
2019-03-27,3142,3059,3211,3054,853338
2019-03-28,2970,2960,3044,2916,1253093
2019-03-29,3024,2862,3034,2808,2100203
2019-04-01,2827,2881,2881,2798,1622422
2019-04-02,2891,2862,2911,2832,776572
2019-04-03,2842,2867,2891,2822,816224
2019-04-04,2881,2965,3009,2857,1725816
2019-04-05,2955,2945,2980,2906,870834
2019-04-08,2955,2950,2985,2916,632265
2019-04-09,2941,2886,2945,2867,902799
2019-04-10,2876,2916,2950,2867,543739
2019-04-11,2926,3019,3039,2906,1340002
2019-04-12,3019,3039,3113,2990,986653
2019-04-15,3064,3039,3098,3009,977390
2019-04-16,3044,3014,3069,2960,642339
2019-04-17,3044,3019,3074,3005,530385
2019-04-18,3019,2945,3029,2931,600330
2019-04-19,2960,2945,3029,2931,676770
2019-04-22,2941,3034,3059,2926,1003060
2019-04-23,3039,3000,3049,2965,460506
2019-04-24,3009,2916,3014,2886,1070735
