Date,Open,Close,High,Low,Volume
2018-11-26,18898,19177,19345,18730,38920
2018-11-27,19233,18786,19401,18730,45287
2018-11-28,18786,19624,19848,18730,54653
2018-11-29,19792,19121,20128,19121,38074
2018-11-30,19457,19009,19457,19009,119961
2018-12-03,19177,21246,21805,19065,99118
2018-12-04,21469,20519,21469,20295,37146
2018-12-05,20128,19513,20295,19401,46431
2018-12-06,19848,19121,19848,19065,29414
2018-12-07,19233,20128,20463,19233,47602
2018-12-10,19904,19960,21078,19624,40269
2018-12-11,20295,19513,20295,19289,23195
2018-12-12,19624,20351,20407,19457,32122
2018-12-13,20463,21134,21190,20016,62860
2018-12-14,21190,22755,23929,21190,232689
2018-12-17,22755,21581,22923,21469,76573
2018-12-18,21414,20743,21469,20519,66970
2018-12-19,20575,20631,20799,20128,47305
2018-12-20,20463,20575,21190,20128,42861
2018-12-21,20575,20016,20854,19792,80775
2018-12-24,19960,19345,19960,19121,33306
2018-12-26,18898,18450,19009,18338,65029
2018-12-27,18842,18338,19065,18338,74414
2018-12-28,18394,18506,18730,18171,33102
2019-01-02,18562,17779,18674,17668,43702
2019-01-03,17835,16829,17835,16773,75072
2019-01-04,16941,16717,17220,16102,92358
2019-01-07,16717,16717,17332,16717,77428
2019-01-08,16773,12132,16773,11741,737236
2019-01-09,11797,12021,12468,11629,490065
2019-01-10,11965,10489,12021,9807,1070460
2019-01-11,10522,10131,10634,10086,418053
2019-01-14,10399,10410,10802,10187,313261
2019-01-15,10489,13530,13530,10265,838349
2019-01-16,14760,14257,15823,13586,2245238
2019-01-17,14537,12803,14648,12636,721372
2019-01-18,12747,13251,13530,12412,410967
2019-01-21,13474,13362,14760,12971,537785
2019-01-22,13418,13195,13530,12859,174869
2019-01-23,13083,16214,17108,12803,2571047
2019-01-24,15431,18898,19848,15152,3907409
2019-01-25,18674,18953,20519,18059,1409452
2019-01-28,19401,18786,19457,18171,445363
2019-01-29,18953,14089,19009,13866,3241269
2019-01-30,13698,13866,14704,12412,1312387
2019-01-31,14201,13922,15208,13922,752556
2019-02-01,14033,13810,14593,13307,470652
2019-02-07,14201,13810,14425,13586,280929
2019-02-08,13698,13474,14033,13418,247930
2019-02-11,13530,13307,13698,12971,166162
2019-02-12,13251,13362,14313,12915,362286
2019-02-13,13418,13307,13810,13307,145839
2019-02-14,13307,13307,13307,13307,0
2019-02-15,13307,13307,13307,13307,0
2019-02-18,13307,13307,13307,13307,0
2019-02-19,13307,13307,13307,13307,0
2019-02-20,13307,13307,13307,13307,0
2019-02-21,13307,13307,13307,13307,0
2019-02-22,13307,13307,13307,13307,0
2019-02-25,13307,13307,13307,13307,0
2019-02-26,13307,13307,13307,13307,0
2019-02-27,13307,13307,13307,13307,0
2019-02-28,13307,13307,13307,13307,0
2019-03-04,13307,13307,13307,13307,0
2019-03-05,13307,13307,13307,13307,0
2019-03-06,13307,13307,13307,13307,0
2019-03-07,13307,13307,13307,13307,0
2019-03-08,13307,13307,13307,13307,0
2019-03-11,13307,13307,13307,13307,0
2019-03-12,13307,13307,13307,13307,0
2019-03-13,13307,13307,13307,13307,0
2019-03-14,13307,13307,13307,13307,0
2019-03-15,13307,13307,13307,13307,0
2019-03-18,13307,13307,13307,13307,0
2019-03-19,13307,13307,13307,13307,0
2019-03-20,13307,13307,13307,13307,0
2019-03-21,13307,13307,13307,13307,0
2019-03-22,13307,13307,13307,13307,0
2019-03-25,13307,13307,13307,13307,0
2019-03-26,13307,13307,13307,13307,0
2019-03-27,13307,13307,13307,13307,0
2019-03-28,13307,13307,13307,13307,0
2019-03-29,13307,13307,13307,13307,0
2019-04-01,13307,13307,13307,13307,0
2019-04-02,13307,13307,13307,13307,0
2019-04-03,13307,13307,13307,13307,0
2019-04-04,13307,13307,13307,13307,0
2019-04-05,13307,13307,13307,13307,0
2019-04-08,13307,13307,13307,13307,0
2019-04-09,13307,13307,13307,13307,0
2019-04-10,13307,13307,13307,13307,0
2019-04-11,13307,13307,13307,13307,0
2019-04-12,13307,13307,13307,13307,0
2019-04-15,13307,13307,13307,13307,0
2019-04-16,13307,13307,13307,13307,0
2019-04-17,13307,13307,13307,13307,0
2019-04-18,13307,13307,13307,13307,0
2019-04-19,13307,13307,13307,13307,0
2019-04-22,13307,13307,13307,13307,0
2019-04-23,13307,12037,16029,11674,5625845
2019-04-24,11674,10404,11674,10252,2188926
2019-04-25,10646,10494,11069,10373,721090
2019-04-26,10706,10162,11039,10071,615952
2019-04-29,10101,9950,10434,9648,476076
2019-04-30,9950,9950,9950,9950,0
2019-05-02,9950,9950,9950,9950,0
2019-05-03,9950,9950,9950,9950,0
2019-05-07,9950,9950,9950,9950,0
2019-05-08,9950,9950,9950,9950,0
2019-05-09,9950,9950,9950,9950,0
2019-05-10,9950,9950,9950,9950,0
2019-05-13,9950,9950,9950,9950,0
2019-05-14,9950,9950,9950,9950,0
2019-05-15,9950,9950,9950,9950,0
2019-05-16,9950,9950,9950,9950,0
2019-05-17,9950,9950,9950,9950,0
2019-05-20,9950,9950,9950,9950,0
2019-05-21,9950,8930,9950,8510,2982948
2019-05-22,8810,8240,8860,8150,1257836
2019-05-23,8240,8470,8540,8180,834499
2019-05-24,8530,8150,8550,8130,359303
2019-05-27,8150,7150,8160,7070,819892
2019-05-28,7230,7240,7400,7150,241922
2019-05-29,7230,7360,8070,7110,1387444
2019-05-30,7250,7310,7970,7130,869774
2019-05-31,7280,7220,7540,7170,349200
2019-06-03,7260,7250,7320,7180,154837
2019-06-04,7200,7170,7250,7150,185877
2019-06-05,7210,7160,7240,7150,146363
2019-06-07,7230,7150,7300,7130,154726
2019-06-10,7150,7000,7150,6990,258170
2019-06-11,7000,6870,7010,6800,263413
2019-06-12,6860,6740,6860,6740,220762
2019-06-13,6740,6610,6860,6580,278940
2019-06-14,6620,6450,6690,6420,279107
2019-06-17,6440,6400,6510,6330,176629
2019-06-18,6370,6480,6700,6370,391587
2019-06-19,6490,6470,6600,6450,116969
2019-06-20,6470,6400,6530,6380,149169
2019-06-21,6400,6350,6450,6350,482642
2019-06-24,6350,6500,6610,6330,268987
2019-06-25,6500,6510,6590,6460,137563
2019-06-26,6460,6360,6490,6330,130744
2019-06-27,6360,6270,6460,6240,165450
2019-06-28,6240,6030,6270,6000,249458
2019-07-01,6010,6070,6270,5810,371078
2019-07-02,6060,6000,6090,5980,109688
2019-07-03,6010,5860,6030,5840,122171
2019-07-04,5860,5800,5890,5770,151572
2019-07-05,5790,5880,5880,5770,129218
2019-07-08,5860,5630,5980,5600,154010
2019-07-09,5610,5500,5760,5500,88152
2019-07-10,5500,5540,5590,5480,89181
2019-07-11,5580,5660,5710,5540,114846
2019-07-12,5670,5790,5880,5660,102885
2019-07-15,5790,5680,5830,5660,57872
2019-07-16,5650,5720,6200,5580,320152
2019-07-17,5670,5500,5690,5450,176017
2019-07-18,5510,5550,5550,5400,121741
2019-07-19,6100,5740,6100,5650,517248
2019-07-22,5770,5610,5770,5600,107125
2019-07-23,5650,5560,5780,5500,154905
2019-07-24,5550,5500,5600,5470,85194
2019-07-25,5500,5220,5530,5160,189018
2019-07-26,5200,5330,5400,5160,212844
2019-07-29,5790,5300,6140,5280,1082016
2019-07-30,5180,5060,5270,5000,412268
2019-07-31,5080,4950,5080,4815,243241
2019-08-01,4875,4895,4985,4870,100786
2019-08-02,4840,4780,4880,4710,137794
2019-08-05,4765,4355,4765,4330,266324
2019-08-06,4350,4275,4420,4020,196777
2019-08-07,4290,4255,4380,4200,135750
2019-08-08,4255,4385,4405,4230,110832
2019-08-09,4390,4435,4455,4375,78370
2019-08-12,4440,4435,4465,4365,62651
2019-08-13,4410,4405,4440,4385,43366
2019-08-14,4415,4440,4525,4415,117826
2019-08-16,4375,4360,4430,4280,68358
2019-08-19,4360,4450,4475,4280,91475
2019-08-20,4440,4500,4530,4305,105685
2019-08-21,4470,4670,4745,4450,144882
2019-08-22,4670,5000,5240,4670,527752
