Date,Open,Close,High,Low,Volume
2020-08-31,4800,4735,4800,4640,2881153
2020-09-01,4740,4780,4840,4735,526689
2020-09-02,4800,4780,4820,4770,281988
2020-09-03,4780,4710,4790,4705,430289
2020-09-04,4675,4725,4730,4650,303860
2020-09-07,4720,4690,4720,4680,302528
2020-09-08,4690,4695,4710,4680,162889
2020-09-09,4705,4695,4705,4680,131533
2020-09-10,4705,4700,4705,4680,125254
2020-09-11,4700,4700,4705,4690,203424
2020-09-14,4700,4705,4710,4690,126059
2020-09-15,4710,4705,4710,4695,124607
2020-09-16,4705,4710,4710,4700,165725
2020-09-17,4710,4705,4725,4700,185346
2020-09-18,4710,4720,4725,4700,144638
2020-09-21,4705,4710,4720,4705,212739
2020-09-22,4705,4705,4710,4700,99795
2020-09-23,4710,4710,4720,4695,73163
2020-09-24,4710,4710,4715,4690,135615
2020-09-25,4710,4720,4720,4700,126271
2020-09-28,4720,4715,4730,4715,131907
2020-09-29,4725,4735,4740,4715,68078
2020-10-05,4740,4765,4775,4735,183850
2020-10-06,4765,4785,4785,4745,102085
2020-10-07,4790,4785,4790,4760,81563
2020-10-08,4785,4830,4830,4780,186285
2020-10-12,4830,4835,4845,4800,120341
2020-10-13,4830,4845,4845,4810,82717
2020-10-14,4845,4840,4855,4830,173102
2020-10-15,4850,4855,4860,4830,60807
2020-10-16,4860,4860,4870,4850,91433
2020-10-19,4870,4910,4930,4855,209711
2020-10-20,4930,4925,4930,4880,121980
2020-10-21,4930,4920,4935,4910,228990
2020-10-22,4920,4935,4935,4910,296060
2020-10-23,4940,4940,4950,4920,317295
2020-10-26,4965,4935,4965,4920,240107
2020-10-27,4940,4945,4955,4930,156469
2020-10-28,4950,4950,4950,4925,113143
2020-10-29,4940,4940,4950,4930,107974
2020-10-30,4950,4950,4955,4925,90397
2020-11-02,4945,4945,4960,4935,157788
2020-11-03,4950,4940,4955,4935,118005
2020-11-04,4940,4945,4950,4930,100663
2020-11-05,4950,4940,4950,4930,68687
2020-11-06,4940,4930,4940,4915,116123
2020-11-09,4935,4945,4945,4920,59251
2020-11-10,4945,4925,4945,4920,144093
2020-11-11,4925,4900,4930,4890,195919
2020-11-12,4900,4905,4910,4885,131637
2020-11-13,4905,4900,4905,4890,96969
2020-11-16,4905,4885,4905,4875,118940
2020-11-17,4890,4895,4900,4880,71597
2020-11-18,4900,4895,4910,4880,116187
2020-11-19,4900,4890,4900,4880,189421
2020-11-20,4890,4900,4900,4875,71924
2020-11-23,4895,4895,4910,4885,259184
2020-11-24,4895,4900,4905,4880,260823
2020-11-25,4900,4895,4905,4880,331825
2020-11-26,4895,4900,4900,4880,426465
2020-11-27,4805,4830,4845,4770,375357
2020-11-30,4830,4785,4830,4785,100744
2020-12-01,4800,4770,4810,4750,295871
2020-12-02,4790,4795,4800,4760,79505
2020-12-03,4800,4795,4800,4750,67134
2020-12-04,4795,4790,4800,4760,73480
2020-12-07,4790,4775,4790,4740,177581
2020-12-08,4770,4785,4785,4750,60907
2020-12-09,4790,4785,4790,4765,63205
2020-12-10,4790,4785,4795,4760,238932
2020-12-11,4755,4895,4895,4755,667127
2020-12-14,4900,4885,4900,4845,222633
2020-12-15,4890,4870,4890,4840,174693
2020-12-16,4890,4855,4890,4855,42885
2020-12-17,4875,4835,4875,4830,66596
2020-12-18,4875,4825,4875,4815,230311
2020-12-21,4835,4825,4835,4810,184692
2020-12-22,4830,4810,4830,4800,97417
2020-12-23,4815,4795,4825,4795,120416
2020-12-24,4795,4800,4810,4790,228014
2020-12-28,4820,4810,4820,4780,187228
2020-12-29,4800,4810,4835,4795,62614
2020-12-30,4810,4805,4810,4780,123658
2021-01-04,4800,4795,4825,4785,299086
2021-01-05,4785,4800,4820,4785,235104
2021-01-06,4800,4800,4825,4795,237376
2021-01-07,4800,4805,4830,4795,203449
2021-01-08,4805,4800,4815,4790,155839
2021-01-11,4795,4800,4805,4770,201189
2021-01-12,4800,4770,4800,4760,103163
2021-01-13,4780,4770,4800,4750,203451
2021-01-14,4760,4760,4780,4760,74886
2021-01-15,4760,4755,4790,4745,114519
2021-01-18,4755,4715,4770,4710,125168
2021-01-19,4715,4715,4725,4700,135085
2021-01-20,4710,4735,4785,4710,116025
2021-01-21,4770,4790,4805,4735,131325
2021-01-22,4790,4760,4795,4755,175630
2021-01-25,4780,4765,4780,4760,74834
2021-01-26,4785,4775,4800,4735,131754
2021-01-27,4775,4780,4805,4745,98622
2021-01-28,4775,4765,4790,4750,63396
2021-01-29,4775,4750,4780,4745,88756
2021-02-01,4765,4760,4790,4730,70931
2021-02-02,4750,4745,4765,4740,118837
2021-02-03,4750,4765,4775,4740,67710
2021-02-04,4760,4745,4775,4745,64183
2021-02-05,4740,4765,4775,4740,66694
