Date,Open,High,Low,Close,Volume
2019-09-23,2165,2320,2155,2255,102883
2019-09-24,2255,2255,2200,2235,26418
2019-09-25,2220,2235,2170,2200,18118
2019-09-26,2200,2205,2170,2200,5518
2019-09-27,2200,2210,2170,2200,12688
2019-09-30,2220,2230,2175,2190,7382
2019-10-01,2205,2215,2175,2195,1318
2019-10-02,2215,2215,2175,2190,804
2019-10-04,2170,2210,2170,2195,5839
2019-10-07,2185,2210,2165,2185,2400
2019-10-08,2185,2200,2175,2180,2719
2019-10-10,2190,2230,2150,2180,3882
2019-10-11,2170,2180,2155,2170,6882
2019-10-14,2190,2190,2145,2170,23698
2019-10-15,2165,2170,2155,2170,411
2019-10-16,2175,2220,2150,2185,7153
2019-10-17,2200,2205,2170,2185,1502
2019-10-18,2275,2275,2165,2185,4818
2019-10-21,2185,2185,2155,2165,2746
2019-10-22,2165,2180,2135,2155,9918
2019-10-23,2145,2155,2115,2120,5518
2019-10-24,2100,2165,2100,2115,4500
2019-10-25,2100,2130,2065,2115,10818
2019-10-28,2125,2125,2075,2115,20666
2019-10-29,2085,2115,2040,2065,10218
2019-10-30,2035,2400,2035,2060,379218
2019-10-31,2070,2070,2030,2050,26700
2019-11-01,2030,2050,2005,2035,19080
2019-11-04,2035,2065,2015,2050,16878
2019-11-05,2050,2080,2025,2080,26924
2019-11-06,2090,2115,2060,2080,12418
2019-11-07,2080,2120,2070,2100,16687
2019-11-08,2115,2115,2065,2075,8118
2019-11-11,2065,2090,2050,2065,4002
2019-11-12,2060,2080,2040,2060,4176
2019-11-13,2060,2085,2035,2045,6285
2019-11-14,2050,2075,2030,2055,17728
2019-11-15,2070,2070,2030,2055,9405
2019-11-18,2025,2050,2020,2035,9903
2019-11-19,2045,2065,2030,2065,11823
2019-11-20,2075,2085,2045,2055,4267
2019-11-21,2055,2090,2000,2015,21918
2019-11-22,2030,2035,2005,2025,12227
2019-11-25,1990,2080,1990,2045,21718
2019-11-26,2055,2055,2030,2040,7066
2019-11-27,2040,2085,2020,2080,17334
2019-11-28,2040,2095,2040,2085,3234
2019-11-29,2090,2180,2040,2105,46496
2019-12-02,2105,2200,2075,2080,33723
2019-12-03,2060,2080,2020,2060,10818
2019-12-04,2060,2060,2025,2050,8233
2019-12-05,2045,2095,2020,2080,15610
2019-12-06,2075,2075,2035,2065,10073
2019-12-09,2035,2055,2025,2045,4818
2019-12-10,2045,2065,2030,2055,3118
2019-12-11,2055,2065,2025,2055,4144
2019-12-12,2055,2055,2025,2045,7530
2019-12-13,2045,2055,2030,2050,4838
2019-12-16,2045,2060,2030,2050,3865
2019-12-17,2050,2090,2035,2045,5325
2019-12-18,2050,2065,2040,2065,939
2019-12-19,2065,2065,2040,2040,1728
2019-12-20,2040,2045,2025,2040,6486
2019-12-23,2030,2035,1990,2020,7968
2019-12-24,2005,2030,2005,2025,5425
2019-12-26,2030,2030,2000,2030,1556
2019-12-27,2030,2040,2025,2030,3758
2019-12-30,2030,2030,2000,2030,6411
2020-01-02,2030,2040,2010,2025,4427
2020-01-03,2025,2035,2010,2025,13727
2020-01-06,2030,2030,1980,2025,1302
2020-01-07,2010,2045,2010,2040,7977
2020-01-08,2030,2035,1995,2015,4593
2020-01-09,2035,2060,2005,2035,21749
2020-01-10,2060,2060,2015,2040,16819
2020-01-13,2050,2050,2005,2035,10545
2020-01-14,2045,2045,2000,2005,9056
2020-01-15,2000,2035,1990,2015,10081
2020-01-16,2015,2030,2000,2020,2418
2020-01-17,2010,2055,2010,2020,645
2020-01-20,2035,2035,2015,2035,2928
2020-01-21,2030,2030,1995,2020,13709
2020-01-22,2015,2015,1980,2005,9652
2020-01-23,2000,2005,1980,2000,8939
2020-01-28,2000,2000,1950,1965,3887
2020-01-29,1960,2000,1950,1965,9492
2020-01-30,1975,1980,1940,1970,2246
2020-01-31,1960,2000,1920,1930,12331
2020-02-03,1920,1985,1880,1950,7155
2020-02-04,1935,2010,1935,1960,15730
2020-02-05,1960,1995,1935,1960,18698
2020-02-06,1940,2020,1930,1960,39637
2020-02-07,1985,1985,1905,1950,9138
2020-02-10,1945,2030,1930,1940,12871
2020-02-11,1955,1985,1935,1950,4384
2020-02-12,1960,1960,1910,1930,54328
2020-02-13,1935,1990,1920,1930,41518
2020-02-14,1930,1975,1925,1950,11071
2020-02-17,1940,1980,1940,1970,5620
2020-02-18,1955,1995,1940,1945,22343
2020-02-19,1940,1990,1930,1970,11544
2020-02-20,1970,1970,1930,1965,13864
2020-02-21,1945,2130,1935,1940,60102
2020-02-24,1940,1990,1915,1965,55189
2020-02-25,1955,2040,1900,2010,55262
2020-02-26,1970,1985,1940,1980,9764
2020-02-27,1975,1975,1915,1965,7401
2020-02-28,1935,1940,1885,1900,38050
2020-03-02,1870,1915,1865,1915,22557
2020-03-03,1915,1930,1895,1925,16581
2020-03-04,1885,1970,1885,1945,20732
2020-03-05,1945,2030,1920,1955,15265
2020-03-06,1955,1970,1875,1890,184754
2020-03-09,1895,1895,1830,1870,124660
2020-03-10,1810,1810,1760,1780,48504
2020-03-11,1800,1830,1730,1775,4729
2020-03-12,1770,1770,1600,1620,60907
2020-03-13,1460,1480,1360,1450,87946
2020-03-16,1450,1490,1335,1375,139697
2020-03-17,1305,1395,1270,1360,49669
2020-03-18,1345,1440,1340,1380,14207
2020-03-19,1380,1450,1125,1270,72510
2020-03-20,1200,1400,1135,1165,97301
2020-03-23,1130,1180,1075,1080,69857
2020-03-24,1105,1150,1060,1145,124588
2020-03-25,1160,1215,1130,1185,46898
2020-03-26,1185,1395,1165,1325,116250
2020-03-27,1330,1400,1230,1285,124218
2020-03-30,1285,1305,1240,1245,32057
2020-03-31,1255,1315,1240,1305,48618
