Date,Open,High,Low,Close,Volume
2019-09-23,8680,8720,8660,8690,6251
2019-09-24,8670,8710,8610,8680,7688
2019-09-25,8660,8690,8630,8650,63156
2019-09-26,8670,8690,8630,8660,9613
2019-09-27,8660,8660,8590,8610,15476
2019-09-30,8610,8680,8610,8670,13234
2019-10-01,8680,8680,8620,8680,20103
2019-10-02,8630,8670,8610,8630,13490
2019-10-04,8610,8640,8580,8600,8999
2019-10-07,8600,8630,8580,8610,5020
2019-10-08,8610,8680,8580,8620,26251
2019-10-10,8620,8620,8550,8590,12008
2019-10-11,8600,8610,8580,8610,6571
2019-10-14,8620,8650,8610,8630,12107
2019-10-15,8630,8640,8610,8640,4817
2019-10-16,8650,8670,8630,8630,8328
2019-10-17,8600,8670,8600,8650,5606
2019-10-18,8650,8660,8620,8640,10358
2019-10-21,8640,8640,8600,8640,9173
2019-10-22,8670,8670,8600,8640,9266
2019-10-23,8610,8650,8550,8620,9563
2019-10-24,8660,8660,8560,8630,5769
2019-10-25,8630,8650,8600,8630,5465
2019-10-28,8630,8650,8600,8630,4552
2019-10-29,8600,8650,8600,8630,9189
2019-10-30,8660,8660,8570,8610,4033
2019-10-31,8610,8630,8550,8600,9381
2019-11-01,8630,8630,8580,8630,3308
2019-11-04,8630,8660,8600,8660,14894
2019-11-05,8670,8680,8660,8670,10329
2019-11-06,8670,8700,8660,8700,13434
2019-11-07,8700,8710,8680,8700,33202
2019-11-08,8710,8710,8680,8680,5670
2019-11-11,8700,8760,8680,8760,11714
2019-11-12,8760,8760,8710,8760,3817
2019-11-13,8760,8760,8650,8740,15867
2019-11-14,8740,8740,8670,8730,12765
2019-11-15,8720,8750,8660,8750,33391
2019-11-18,8760,8770,8700,8720,6332
2019-11-19,8760,8770,8650,8750,14046
2019-11-20,8750,8750,8670,8740,12680
2019-11-21,8740,8740,8630,8730,9793
2019-11-22,8640,8710,8620,8670,11511
2019-11-25,8640,8720,8640,8690,3241
2019-11-26,8690,8720,8640,8720,11806
2019-11-27,8730,8730,8640,8700,9414
2019-11-28,8700,8750,8620,8700,27352
2019-11-29,8700,8800,8600,8680,13559
2019-12-02,8680,8690,8640,8670,6624
2019-12-03,8630,8740,8510,8580,380809
2019-12-04,8640,8640,8530,8570,7619
2019-12-05,8530,8640,8530,8560,8660
2019-12-06,8570,8580,8500,8500,19172
2019-12-09,8520,8650,8510,8580,4912
2019-12-10,8590,8630,8580,8620,3998
2019-12-11,8640,8640,8600,8630,4217
2019-12-12,8630,8670,8610,8670,17008
2019-12-13,8680,8730,8650,8720,27077
2019-12-16,8710,8720,8680,8710,9994
2019-12-17,8710,8720,8690,8710,13430
2019-12-18,8710,8730,8700,8730,5542
2019-12-19,8720,8780,8720,8770,10533
2019-12-20,8790,8790,8680,8770,7331
2019-12-23,8780,8820,8750,8800,23908
2019-12-24,8820,8860,8700,8800,24669
2019-12-26,8800,8810,8760,8810,85171
2019-12-27,8500,8500,8260,8280,40055
2019-12-30,8280,8310,8250,8290,6789
2020-01-02,8330,8330,8190,8230,11784
2020-01-03,8200,8340,8160,8230,10781
2020-01-06,8190,8250,8120,8140,12678
2020-01-07,8140,8210,8130,8160,4634
2020-01-08,8190,8190,8060,8120,14957
2020-01-09,8180,8220,8120,8160,3124
2020-01-10,8160,8210,8120,8160,3947
2020-01-13,8160,8160,8090,8150,6734
2020-01-14,8150,8180,8150,8160,2279
2020-01-15,8160,8170,8130,8160,5489
2020-01-16,8190,8190,8150,8170,1662
2020-01-17,8150,8180,8150,8160,4374
2020-01-20,8140,8170,8110,8160,4069
2020-01-21,8130,8130,7990,8050,57598
2020-01-22,8050,8070,7980,8010,13734
2020-01-23,8010,8020,7960,7960,13772
2020-01-28,7900,7990,7810,7870,14875
2020-01-29,7860,7950,7860,7950,6055
2020-01-30,7860,7940,7850,7900,12704
2020-01-31,7900,7940,7820,7850,10092
2020-02-03,7820,7820,7760,7800,11426
2020-02-04,7830,7840,7790,7840,12545
2020-02-05,7850,7960,7830,7860,9910
2020-02-06,7900,8010,7890,8000,20232
2020-02-07,8000,8000,7910,7930,3726
2020-02-10,7930,7930,7860,7880,6173
2020-02-11,7880,7890,7840,7880,5069
2020-02-12,7880,7880,7840,7870,6122
2020-02-13,7880,7900,7840,7850,6854
2020-02-14,7850,7860,7770,7800,13481
2020-02-17,7780,7780,7360,7420,68797
2020-02-18,7420,7420,7310,7350,23887
2020-02-19,7350,7350,7270,7340,9236
2020-02-20,7340,7410,7290,7370,38276
2020-02-21,7310,7310,7200,7240,59389
2020-02-24,7090,7220,7010,7080,17620
2020-02-25,7080,7230,7080,7230,7400
2020-02-26,7230,7230,7050,7100,22609
2020-02-27,7100,7200,7050,7100,12506
2020-02-28,7080,7080,6930,7030,13441
2020-03-02,7030,7370,6990,7080,17894
2020-03-03,7380,7510,7300,7510,38860
2020-03-04,7510,7750,7510,7690,22753
2020-03-05,7800,7800,7690,7770,54192
2020-03-06,7770,7770,7590,7650,55015
2020-03-09,7540,7550,7310,7430,42966
2020-03-10,7230,7460,7210,7440,19880
2020-03-11,7500,7540,7380,7470,37276
2020-03-12,7470,7470,7100,7240,40140
2020-03-13,6990,7490,6620,6950,87464
2020-03-16,7200,7200,6790,6900,39161
2020-03-17,6900,6900,6650,6760,32642
2020-03-18,6650,6920,6650,6660,40427
2020-03-19,6630,6690,6000,6080,75459
2020-03-20,6000,6250,6000,6210,77044
2020-03-23,6000,6000,5710,5850,45086
2020-03-24,5850,6280,5850,6270,37831
2020-03-25,6680,6680,6310,6650,65000
2020-03-26,6660,6800,6600,6680,49423
2020-03-27,6820,7090,6750,6900,36055
2020-03-30,6720,7250,6700,7190,51747
2020-03-31,7370,7380,7210,7380,25536
2020-04-01,7370,7460,7250,7370,20605
2020-04-02,7270,7390,7230,7360,26448
2020-04-03,7400,7400,7230,7340,35878
2020-04-06,7300,7570,7300,7530,45075
2020-04-07,7630,7660,7510,7600,20857
2020-04-08,7630,7630,7520,7580,12540
2020-04-09,7600,7630,7500,7580,13602
2020-04-10,7590,7750,7530,7750,23620
2020-04-13,7750,7750,7580,7580,33859
2020-04-14,7640,7690,7530,7690,23843
2020-04-16,7660,7690,7570,7690,23425
2020-04-17,7690,7780,7660,7710,39823
2020-04-20,7760,7760,7610,7650,33251
2020-04-21,7630,7630,7490,7560,33946
2020-04-22,7500,7580,7420,7580,29425
2020-04-23,7550,7650,7540,7580,14759
2020-04-24,7560,7570,7520,7530,9806
2020-04-27,7510,7760,7510,7750,52390
2020-04-28,7750,7860,7740,7800,39611
2020-04-29,7710,8020,7710,7970,46740
