Date,Open,High,Low,Close,Volume
2019-09-23,2905,2965,2855,2880,948731
2019-09-24,2840,3075,2810,3070,2445677
2019-09-25,3050,3065,2910,2930,1557273
2019-09-26,2940,3090,2940,3005,1689054
2019-09-27,3035,3075,3005,3035,1105774
2019-09-30,3020,3050,2810,2895,1204681
2019-10-01,2890,3045,2825,3040,1295946
2019-10-02,2980,2995,2910,2930,828910
2019-10-04,2885,2990,2870,2940,620533
2019-10-07,2980,3090,2940,3085,2189840
2019-10-08,3070,3140,2960,3000,2115143
2019-10-10,3000,3085,2975,3045,956649
2019-10-11,3100,3240,3030,3045,3470504
2019-10-14,3055,3250,3035,3250,3340901
2019-10-15,3215,3290,3140,3250,2779872
2019-10-16,3250,3620,3165,3270,11427139
2019-10-17,3295,3495,3280,3310,7465222
2019-10-18,3360,3395,3180,3220,2389756
2019-10-21,3180,3180,3075,3105,1561662
2019-10-22,3105,3240,3040,3120,2330257
2019-10-23,3100,3200,3070,3200,1748638
2019-10-24,3215,3240,3040,3070,1674331
2019-10-25,3070,3135,2935,2935,1425372
2019-10-28,2935,3005,2910,2980,881344
2019-10-29,2760,2915,2700,2810,2835355
2019-10-30,2740,2780,2615,2675,2841177
2019-10-31,2675,2745,2630,2705,1200513
2019-11-01,2675,2695,2645,2690,683246
2019-11-04,2705,2830,2595,2830,1769982
2019-11-05,2855,2990,2780,2940,3000729
2019-11-06,2925,3010,2840,2890,1189082
2019-11-07,2900,3755,2850,3755,34269528
2019-11-08,3705,4670,3600,4120,77537271
2019-11-11,4180,4485,3855,4095,24345985
2019-11-12,3950,3975,3660,3790,9691472
2019-11-13,3720,3835,3565,3700,7488318
2019-11-14,3520,3520,3070,3120,14576223
2019-11-15,3035,3410,2985,3160,11220158
2019-11-18,3100,3385,3075,3295,6772563
2019-11-19,3275,3380,3195,3260,3850399
2019-11-20,3230,3330,3100,3150,2640507
2019-11-21,3120,3270,3070,3200,2225291
2019-11-22,3190,3215,2930,2995,2990853
2019-11-25,2990,3065,2975,3005,1180456
2019-11-26,3100,3405,3065,3195,10629630
2019-11-27,3180,3220,3045,3060,1799288
2019-11-28,3035,3115,3015,3065,1049608
2019-11-29,3050,3060,2970,3015,1196697
2019-12-02,3015,3045,2960,2990,815252
2019-12-03,2945,3060,2940,3000,913182
2019-12-04,3000,3075,2990,3000,866940
2019-12-05,3050,3060,2755,2825,2158000
2019-12-06,2805,2985,2780,2970,1160764
2019-12-09,2960,3145,2920,3060,2204728
2019-12-10,3040,3100,2990,3085,1321649
2019-12-11,3050,3080,3000,3015,951995
2019-12-12,3005,3290,3005,3165,7206291
2019-12-13,3170,3230,3135,3175,1603248
2019-12-16,3200,3250,3100,3120,1900662
2019-12-17,3125,3190,3095,3175,1635776
2019-12-18,3210,3210,3110,3130,1155283
2019-12-19,3130,3180,3055,3085,927635
2019-12-20,3085,3255,2955,3000,2623107
2019-12-23,3000,3025,2935,2945,1164503
2019-12-24,2935,2960,2820,2830,1514567
2019-12-26,2835,2915,2835,2880,1230583
2019-12-27,2785,3055,2780,3030,2007546
2019-12-30,3075,3085,3020,3060,734590
2020-01-02,3245,3245,3095,3195,1825076
2020-01-03,3195,3260,3150,3240,1663784
2020-01-06,3215,3220,3065,3090,1134075
2020-01-07,3100,3260,3100,3210,1257519
2020-01-08,3150,3170,2980,3010,1517965
2020-01-09,3100,3345,3100,3235,3394077
2020-01-10,3220,3300,3180,3240,1525516
2020-01-13,3230,3300,3210,3260,1437032
2020-01-14,3270,3315,3165,3195,1496794
2020-01-15,3165,3300,3165,3235,1388610
2020-01-16,3245,3270,3185,3220,731497
2020-01-17,3235,3245,3165,3200,795535
2020-01-20,3210,3305,3170,3255,1415095
2020-01-21,3260,3330,3125,3130,1955031
2020-01-22,3120,3195,3110,3140,614290
2020-01-23,3160,3205,3025,3075,1328856
2020-01-28,2855,3010,2850,2980,1187873
2020-01-29,2995,3095,2965,3035,916171
2020-01-30,3040,3050,2905,2915,785341
2020-01-31,2885,2995,2825,2835,796834
2020-02-03,2755,2865,2680,2825,853357
2020-02-04,2880,2965,2840,2940,474275
2020-02-05,2980,3105,2975,3010,1055323
2020-02-06,3030,3280,3030,3260,2984618
2020-02-07,3200,3360,3165,3250,1854928
2020-02-10,3225,3315,3220,3290,988851
2020-02-11,3275,3480,3140,3165,4563491
2020-02-12,3160,3245,3115,3195,828628
2020-02-13,3185,3260,3170,3210,839161
2020-02-14,3175,3280,3170,3240,814631
2020-02-17,3230,3275,3175,3220,693979
2020-02-18,3195,3255,3130,3155,691110
2020-02-19,3155,3230,3135,3165,702007
2020-02-20,3170,3190,3050,3065,723309
2020-02-21,3010,3095,2980,3020,738557
2020-02-24,2950,2955,2860,2875,983724
2020-02-25,2780,3010,2780,2980,934134
2020-02-26,2900,3000,2840,2955,550384
2020-02-27,2915,3060,2850,2890,924159
2020-02-28,2810,2880,2735,2765,993252
2020-03-02,2765,2825,2675,2825,666272
2020-03-03,2865,2960,2800,2820,676402
2020-03-04,2820,2910,2810,2890,379200
2020-03-05,2910,3030,2910,3015,733581
2020-03-06,2975,3020,2895,2955,495633
2020-03-09,2870,2910,2765,2785,661373
2020-03-10,2705,2850,2675,2850,889646
2020-03-11,2895,2895,2600,2640,1044679
2020-03-12,2600,2645,2340,2395,1127621
2020-03-13,2165,2310,2005,2170,1659687
2020-03-16,2170,2340,2170,2170,876764
2020-03-17,2060,2295,2010,2250,1029997
2020-03-18,2260,2420,2220,2230,964088
2020-03-19,2230,2295,1910,1960,1955662
2020-03-20,1930,2100,1930,2045,1232602
2020-03-23,1965,1965,1850,1850,997400
2020-03-24,1905,1970,1855,1935,1020118
2020-03-25,1970,2105,1970,2065,1310494
2020-03-26,2075,2255,2025,2125,1428601
2020-03-27,2210,2280,2070,2155,1287724
2020-03-30,2130,2290,2030,2250,1128979
2020-03-31,2310,2470,2290,2380,1547224
2020-04-01,2430,2505,2320,2320,1231183
2020-04-02,2325,2380,2245,2375,775457
2020-04-03,2390,2455,2315,2350,687213
2020-04-06,2390,2450,2360,2440,1133615
2020-04-07,2540,2540,2420,2535,1144516
2020-04-08,2535,2595,2465,2545,755547
2020-04-09,2560,2780,2560,2635,1680407
2020-04-10,2620,2680,2490,2605,704205
2020-04-13,2625,2710,2550,2550,945404
2020-04-14,2565,2635,2555,2595,517103
2020-04-16,2605,2700,2525,2665,756214
2020-04-17,2730,2940,2710,2890,2738823
2020-04-20,2945,3010,2805,2820,1569342
2020-04-21,2820,2885,2545,2705,1536948
2020-04-22,2695,2735,2640,2705,645560
2020-04-23,2715,2805,2705,2755,611990
2020-04-24,2700,2990,2700,2865,4326208
2020-04-27,2865,2900,2780,2835,950959
2020-04-28,2905,2905,2750,2790,679234
2020-04-29,2795,2840,2740,2840,706861
2020-05-04,2810,2885,2780,2815,488251
2020-05-06,2830,2885,2820,2835,636574
2020-05-07,2845,2900,2840,2880,563591
2020-05-08,2925,3040,2890,2940,1355383
2020-05-11,2960,3000,2875,2895,740480
2020-05-12,2895,2935,2800,2880,773809
2020-05-13,2800,2880,2800,2830,503953
2020-05-14,2800,2845,2700,2735,892794
2020-05-15,2755,2760,2625,2660,1069974
2020-05-18,2665,2670,2525,2580,955302
2020-05-19,2625,2630,2530,2585,1080093
2020-05-20,2585,2665,2545,2650,857649
2020-05-21,2685,2695,2635,2650,666314
2020-05-22,2660,2845,2615,2635,2125085
2020-05-25,2635,2655,2560,2610,510481
2020-05-26,2600,2720,2600,2645,1117939
2020-05-27,2700,2700,2610,2630,580408
2020-05-28,2635,2650,2490,2545,864546
2020-05-29,2520,2530,2385,2385,1722235
2020-06-01,2410,2475,2410,2435,722934
2020-06-02,2415,2455,2370,2455,830234
2020-06-03,2475,2475,2390,2410,868711
2020-06-04,2410,2430,2360,2360,732669
2020-06-05,2360,2395,2330,2345,687891
2020-06-08,2385,2385,2285,2300,1118962
2020-06-09,2290,2335,2265,2280,708336
2020-06-10,2260,2290,2190,2235,781056
2020-06-11,2245,2265,2140,2170,1228722
2020-06-12,2030,2115,2030,2105,850244
2020-06-15,2095,2125,1970,1990,1135880
2020-06-16,2040,2075,2015,2060,691528
2020-06-17,2000,2090,1990,2020,603223
2020-06-18,2070,2070,1980,2025,637828
2020-06-19,2020,2035,1995,2035,362576
2020-06-22,2020,2285,2020,2160,1625016
2020-06-23,2155,2180,2065,2105,517646
2020-06-24,2120,2140,2055,2090,395062
2020-06-25,2090,2100,2030,2060,269684
2020-06-26,2090,2095,2015,2050,274092
2020-06-29,2045,2045,2000,2020,305707
2020-06-30,2020,2090,2020,2045,262481
2020-07-01,2085,2085,2020,2035,246002
2020-07-02,2035,2070,2020,2045,299357
2020-07-03,2050,2055,2020,2040,237784
2020-07-06,2060,2065,2025,2040,402986
2020-07-07,2070,2070,2035,2070,335371
2020-07-08,2070,2075,2020,2030,416790
2020-07-09,2040,2055,2020,2030,338670
2020-07-10,2020,2035,1985,2000,360325
2020-07-13,1980,2000,1850,1945,977914
2020-07-14,1980,1980,1900,1930,369128
2020-07-15,1890,2025,1890,1995,587590
2020-07-16,2015,2025,1975,1985,325640
2020-07-17,1990,2000,1965,1980,294744
2020-07-20,1980,1995,1920,1935,479430
2020-07-21,1940,2025,1920,2005,605336
2020-07-22,2010,2025,1955,1970,358103
2020-07-23,1970,2055,1940,1990,934657
2020-07-24,2015,2160,1990,2100,2105405
2020-07-27,2120,2215,2090,2200,1826401
2020-07-28,2230,2240,2140,2170,752649
2020-07-29,2170,2195,1850,2010,2582894
2020-07-30,2005,2035,1950,1980,716629
2020-07-31,1960,2015,1955,1965,511294
2020-08-03,1955,1965,1905,1920,856916
2020-08-04,1915,2100,1915,2100,1305088
2020-08-05,2190,2730,2050,2540,44196069
2020-08-06,2540,2540,2300,2380,7220172
2020-08-07,2380,2395,2250,2280,2882608
2020-08-10,2225,2450,2220,2305,6037505
2020-08-11,2300,2305,2210,2250,1482570
2020-08-12,2245,2245,2160,2185,1450111
2020-08-13,2210,2315,2190,2200,2233304
2020-08-14,2155,2295,2120,2205,1819257
2020-08-18,2170,2235,2015,2030,1510821
2020-08-19,2005,2110,2005,2055,697139
2020-08-20,2030,2075,1950,1960,1149733
2020-08-21,1975,2020,1955,1985,935708
2020-08-24,1985,2035,1950,2020,649643
2020-08-25,2005,2150,2005,2130,1240875
2020-08-26,2195,2280,2165,2250,2935427
2020-08-27,2250,2300,2100,2245,1414952
2020-08-28,2300,2340,2205,2240,3121713
2020-08-31,2255,2265,2170,2200,1164110
2020-09-01,2210,2235,2155,2230,907507
2020-09-02,2275,2290,2210,2235,1055352
2020-09-03,2255,2730,2185,2350,23120462
2020-09-04,2260,2350,2215,2310,2398715
2020-09-07,2290,2325,2260,2280,1370859
2020-09-08,2300,2300,2200,2215,1341964
2020-09-09,2215,2560,2205,2380,17120833
2020-09-10,2410,2480,2315,2330,2450183
2020-09-11,2340,2350,2260,2320,1209276
2020-09-14,2340,2415,2310,2335,1252960
2020-09-15,2340,2340,2285,2305,816298
2020-09-16,2310,2335,2280,2310,1048226
2020-09-17,2305,2310,2265,2285,660510
2020-09-18,2285,2480,2285,2415,6432027
2020-09-21,2480,2690,2415,2650,12575758
2020-09-22,2630,2940,2495,2675,18103265
2020-09-23,2750,2750,2560,2585,3442811
2020-09-24,2525,2540,2400,2415,2364511
2020-09-25,2495,2725,2415,2420,7005564
2020-09-28,2485,2675,2435,2645,3518057
2020-09-29,2625,2630,2485,2545,2365149
2020-10-05,2545,2570,2475,2525,1013125
2020-10-06,2500,2530,2440,2490,1025539
2020-10-07,2465,2550,2465,2465,881362
2020-10-08,2515,2515,2445,2450,843899
2020-10-12,2470,2475,2385,2450,910458
2020-10-13,2500,2590,2490,2550,1876778
2020-10-14,2575,2710,2535,2650,4181077
2020-10-15,2620,2810,2520,2640,4728101
2020-10-16,2600,2640,2505,2520,1349501
2020-10-19,2500,2630,2500,2550,731912
2020-10-20,2550,2565,2415,2475,1157639
2020-10-21,2500,2600,2420,2580,1765557
2020-10-22,2690,2690,2505,2505,2091273
2020-10-23,2570,2575,2455,2480,878963
2020-10-26,2480,2500,2365,2375,953898
2020-10-27,2325,2395,2300,2320,862255
2020-10-28,2320,2350,2285,2345,603690
2020-10-29,2275,2340,2270,2305,753195
2020-10-30,2300,2330,2245,2245,692955
2020-11-02,2235,2270,2225,2245,416390
2020-11-03,2245,2315,2245,2305,384702
2020-11-04,2340,2340,2270,2295,514909
2020-11-05,2310,2360,2295,2350,492539
2020-11-06,2345,2430,2315,2380,796254
2020-11-09,2440,2440,2370,2400,597015
2020-11-10,2405,2420,2355,2380,637426
2020-11-11,2380,2390,2315,2335,596331
2020-11-12,2320,2365,2305,2345,421479
2020-11-13,2340,2370,2295,2305,758822
2020-11-16,2340,2500,2315,2460,2296279
2020-11-17,2440,2515,2420,2435,908449
2020-11-18,2495,2535,2430,2445,1177938
2020-11-19,2400,2455,2390,2415,586563
2020-11-20,2415,2450,2410,2430,481107
2020-11-23,2420,2485,2390,2415,999792
2020-11-24,2410,2435,2400,2415,455370
2020-11-25,2420,2425,2360,2385,745951
2020-11-26,2375,2375,2295,2320,837510
2020-11-27,2365,2365,2310,2330,325817
2020-11-30,2345,2385,2330,2350,454585
2020-12-01,2350,2380,2315,2335,439063
2020-12-02,2335,2355,2285,2300,757168
2020-12-03,2340,2340,2255,2265,671280
2020-12-04,2280,2285,2195,2220,1010349
2020-12-07,2245,2255,2140,2155,860340
2020-12-08,2155,2215,2155,2170,543435
2020-12-09,2170,2210,2150,2190,572045
2020-12-10,2190,2210,2145,2210,383998
2020-12-11,2215,2225,2185,2200,465987
2020-12-14,2200,2200,2140,2160,636853
2020-12-15,2145,2160,2120,2150,491114
2020-12-16,2155,2250,2120,2190,876737
2020-12-17,2240,2240,2170,2200,364749
2020-12-18,2190,2230,2175,2175,446171
2020-12-21,2155,2180,2130,2140,569754
2020-12-22,2145,2150,2050,2050,880284
2020-12-23,2070,2115,2040,2050,513383
2020-12-24,2050,2095,2005,2070,530079
2020-12-28,2075,2080,1990,2010,823947
2020-12-29,2005,2080,2005,2080,371284
2020-12-30,2075,2120,2070,2110,432350
2021-01-04,2160,2190,2105,2105,529682
2021-01-05,2125,2260,2105,2230,1179516
2021-01-06,2230,2285,2215,2225,988632
2021-01-07,2240,2450,2235,2315,3701345
2021-01-08,2325,2340,2235,2255,1029317
2021-01-11,2260,2290,2135,2195,1357596
2021-01-12,2130,2190,2125,2150,549552
2021-01-13,2185,2365,2180,2295,2565435
2021-01-14,2295,2370,2280,2280,911306
2021-01-15,2300,2345,2245,2300,554992
2021-01-18,2365,2430,2280,2280,2317353
2021-01-19,2320,2360,2255,2320,728092
2021-01-20,2295,2350,2285,2305,603526
2021-01-21,2310,2330,2280,2295,550024
2021-01-22,2310,2495,2305,2495,3577814
2021-01-25,2520,2660,2480,2480,4956905
2021-01-26,2455,2545,2450,2505,1254175
2021-01-27,2560,2600,2485,2525,1433640
2021-01-28,2470,2500,2400,2450,1072646
2021-01-29,2450,2485,2290,2330,960649
2021-02-01,2270,2395,2270,2350,653249
2021-02-02,2385,2390,2340,2355,398542
2021-02-03,2355,2390,2330,2330,459530
2021-02-04,2330,2490,2330,2410,985614
2021-02-05,2420,2555,2415,2510,1479694
2021-02-08,2530,2560,2455,2495,691310
2021-02-09,2495,2525,2445,2500,728238
2021-02-10,2510,2565,2420,2540,1530650
2021-02-15,2540,2665,2500,2640,2191978
2021-02-16,2655,2655,2510,2550,1370526
2021-02-17,2565,2565,2460,2515,819341
2021-02-18,2515,2520,2425,2455,1211408
2021-02-19,2430,2495,2415,2475,565907
2021-02-22,2490,2545,2470,2510,749367
2021-02-23,2510,2515,2465,2495,605626
2021-02-24,2495,2765,2495,2600,7158562
2021-02-25,2575,2785,2570,2730,4353395
2021-02-26,2620,3100,2620,2900,14334623
2021-03-02,2900,2900,2720,2740,3656119
2021-03-03,2685,2890,2655,2865,3106187
2021-03-04,2835,2905,2790,2870,1511280
2021-03-05,2835,2840,2650,2785,1576851
2021-03-08,2785,2900,2775,2815,1074975
2021-03-09,2795,2815,2630,2685,1313824
2021-03-10,2745,2750,2635,2730,872810
2021-03-11,2680,2740,2680,2705,631058
2021-03-12,2760,2830,2700,2800,1051998
2021-03-15,2800,3000,2790,2925,2672033
2021-03-16,2935,2955,2870,2910,909445
2021-03-17,2915,3060,2890,3005,2037882
2021-03-18,3005,3520,3005,3360,12942406
2021-03-19,3315,3475,3310,3405,3534670
2021-03-22,3405,3730,3390,3695,4812431
2021-03-23,3735,3970,3445,3500,6367662
2021-03-24,3500,3650,3400,3600,2129424
2021-03-25,3600,4080,3590,3995,7861072
2021-03-26,4000,4000,3160,3310,23295302
2021-03-29,3370,3480,2935,3060,7347187
2021-03-30,3060,3075,2895,2935,3691578
2021-03-31,2940,3110,2750,3110,4460507
2021-04-01,3110,3110,2910,2985,2036516
2021-04-02,2970,3085,2960,2985,1306800
2021-04-05,3010,3035,2850,2910,1359486
2021-04-06,2925,2950,2830,2870,942249
2021-04-07,2870,2915,2765,2860,1177146
2021-04-08,2860,3260,2825,3030,6169518
2021-04-09,3015,3130,3000,3030,1105559
2021-04-12,3030,3070,2960,3020,932213
2021-04-13,3020,3060,2980,3000,1083400
2021-04-14,3000,3085,2955,3045,1146238
2021-04-15,3130,3225,3115,3140,2338161
2021-04-16,3165,3245,3150,3245,1270297
2021-04-19,3325,3350,3240,3270,1401970
2021-04-20,3270,3450,3200,3395,1872783
