Date,Open,High,Low,Close,Volume
2019-09-23,33500,33950,33000,33950,406
2019-09-24,34500,34500,33500,33500,568
2019-09-25,33050,33800,33050,33800,142
2019-09-26,33750,34200,33400,34000,212
2019-09-27,34000,34450,33500,33950,788
2019-09-30,34450,34450,34250,34250,171
2019-10-01,34250,34600,33750,34600,203
2019-10-02,34550,34700,34150,34500,166
2019-10-04,33850,34600,33850,34200,137
2019-10-07,34600,34600,33950,34300,119
2019-10-08,34800,34800,33950,34500,485
2019-10-10,34300,34600,34000,34500,311
2019-10-11,34500,34750,33800,34750,293
2019-10-14,34750,34750,33800,33850,427
2019-10-15,33700,33950,33700,33800,262
2019-10-16,33650,34100,33600,34100,79
2019-10-17,33800,33800,33650,33700,127
2019-10-18,33700,33700,33600,33700,189
2019-10-21,33950,33950,33300,33300,729
2019-10-22,33500,33850,33300,33750,214
2019-10-23,33700,33700,33300,33300,479
2019-10-24,33300,34300,33000,33250,592
2019-10-25,33400,33850,33100,33800,75
2019-10-28,33200,33550,33200,33400,225
2019-10-29,33200,33400,32950,33000,204
2019-10-30,33000,33000,32650,32650,152
2019-10-31,33000,33000,32250,32700,238
2019-11-01,32650,32700,32250,32700,481
2019-11-04,32900,33200,32550,32550,229
2019-11-05,33000,33000,32500,32750,121
2019-11-06,32500,34450,32500,34200,449
2019-11-07,34050,34100,33050,33150,245
2019-11-08,32950,33950,32800,33900,241
2019-11-11,33250,33950,32850,32850,579
2019-11-12,32850,32950,32550,32800,124
2019-11-13,32500,32950,32500,32800,581
2019-11-14,32550,34000,32550,34000,689
2019-11-15,34000,34000,33050,33850,693
2019-11-18,33300,33950,33300,33600,273
2019-11-19,33300,33550,33300,33550,464
2019-11-20,33150,33950,33150,33950,72
2019-11-21,33950,33950,33000,33050,434
2019-11-22,33050,33800,32950,33800,126
2019-11-25,33350,33650,33250,33300,148
2019-11-26,33950,33950,33300,33550,30
2019-11-27,33750,33800,33150,33600,56
2019-11-28,33250,33250,33250,33250,151
2019-11-29,32850,33350,32850,33300,17
2019-12-02,33500,33550,33100,33550,512
2019-12-03,33200,33350,32850,33350,226
