Date,Open,High,Low,Close,Volume
2019-09-23,1020,1025,1005,1020,346776
2019-09-24,1025,1025,1005,1010,582325
2019-09-25,1015,1015,1000,1005,913895
2019-09-26,998,998,920,946,3305420
2019-09-27,933,945,931,940,524197
2019-09-30,939,939,922,927,443579
2019-10-01,925,935,922,923,633193
2019-10-02,920,932,920,925,254414
2019-10-04,912,924,909,920,890028
2019-10-07,924,924,907,909,553010
2019-10-08,909,914,906,910,558056
2019-10-10,909,920,909,914,322754
2019-10-11,913,935,910,916,408836
2019-10-14,913,949,913,949,635369
2019-10-15,946,955,933,951,266872
2019-10-16,952,957,937,941,357393
2019-10-17,942,943,927,928,300427
2019-10-18,926,940,924,926,273380
2019-10-21,931,931,905,911,380967
2019-10-22,909,920,909,912,326061
2019-10-23,913,915,901,902,546721
2019-10-24,900,909,896,902,371793
2019-10-25,905,917,900,904,313588
2019-10-28,905,925,905,925,536946
2019-10-29,922,929,916,928,364967
2019-10-30,929,932,910,912,301687
2019-10-31,913,917,910,916,199617
2019-11-01,918,918,908,914,315616
2019-11-04,915,919,911,917,348967
2019-11-05,917,923,913,921,333962
2019-11-06,923,925,917,920,294617
2019-11-07,921,925,915,921,231167
2019-11-08,924,935,920,935,690622
2019-11-11,937,938,927,931,420452
2019-11-12,933,936,927,933,301357
2019-11-13,931,965,931,957,1083624
2019-11-14,965,966,942,964,910574
2019-11-15,976,978,950,956,1337094
2019-11-18,960,975,950,975,1082266
2019-11-19,975,975,950,957,680118
2019-11-20,958,958,928,933,575161
2019-11-21,931,933,909,916,494753
2019-11-22,920,925,913,916,282314
2019-11-25,915,932,914,932,272643
2019-11-26,932,944,923,940,319562
2019-11-27,942,947,932,934,188666
2019-11-28,939,939,929,934,145164
2019-11-29,941,941,915,934,307556
2019-12-02,928,942,928,939,211986
2019-12-03,940,940,922,923,348392
2019-12-04,924,935,909,912,402793
2019-12-05,920,921,899,909,253979
2019-12-06,909,918,904,913,164972
2019-12-09,915,915,888,889,776289
2019-12-10,892,900,888,890,227099
2019-12-11,895,899,886,898,287788
2019-12-12,898,925,897,924,393267
2019-12-13,925,936,919,922,205322
2019-12-16,922,926,908,912,355581
2019-12-17,909,923,909,920,199381
2019-12-18,922,950,920,937,613812
2019-12-19,948,948,929,934,342380
2019-12-20,929,938,925,926,321482
2019-12-23,931,935,925,925,215235
2019-12-24,931,931,921,921,237092
2019-12-26,927,927,913,923,246077
2019-12-27,921,940,921,934,317443
2019-12-30,934,952,934,950,529176
2020-01-02,950,954,943,954,342419
2020-01-03,954,957,949,956,282109
2020-01-06,952,955,934,934,478131
2020-01-07,935,953,935,945,307585
2020-01-08,958,970,921,923,1796276
2020-01-09,939,972,935,967,986105
2020-01-10,973,1005,957,995,1641276
2020-01-13,994,1010,992,1000,810829
2020-01-14,995,1010,984,991,521236
2020-01-15,986,1005,986,999,434538
2020-01-16,1005,1005,985,996,496123
2020-01-17,993,1005,986,996,353195
2020-01-20,996,1010,992,994,577939
2020-01-21,997,997,965,979,576525
2020-01-22,979,980,967,976,203254
2020-01-23,976,979,947,961,606480
2020-01-28,930,940,916,928,693337
2020-01-29,928,950,928,942,356990
2020-01-30,942,951,921,923,465558
2020-01-31,930,930,884,889,974338
2020-02-03,880,881,845,871,995075
2020-02-04,873,903,873,890,424266
2020-02-05,901,919,901,914,399593
2020-02-06,914,995,914,967,2135326
2020-02-07,956,988,950,980,962062
2020-02-10,980,980,958,970,209128
2020-02-11,965,992,963,992,585677
2020-02-12,990,990,969,982,427070
2020-02-13,981,983,965,973,497320
2020-02-14,981,991,960,970,401148
2020-02-17,975,975,949,960,375244
2020-02-18,954,960,941,941,408049
2020-02-19,946,947,925,931,349307
2020-02-20,937,992,937,964,2154595
2020-02-21,964,971,936,940,1409026
2020-02-24,935,943,905,907,1328990
2020-02-25,903,919,893,912,527816
2020-02-26,905,911,894,907,492388
2020-02-27,913,930,895,896,1036831
2020-02-28,889,889,855,859,1218025
2020-03-02,859,875,850,865,735850
2020-03-03,884,897,880,881,485166
2020-03-04,877,910,875,909,397357
2020-03-05,925,925,909,918,392195
2020-03-06,916,919,896,907,339460
2020-03-09,900,900,862,866,778301
2020-03-10,849,869,847,869,616480
2020-03-11,872,889,840,844,517273
2020-03-12,840,840,751,770,1429959
2020-03-13,710,748,644,690,1736792
2020-03-16,699,718,680,683,766094
2020-03-17,639,692,592,675,963458
2020-03-18,714,714,670,670,412926
