Date,Open,High,Low,Close,Volume
2019-09-23,11200,11300,10950,11100,47782
2019-09-24,11100,11150,10750,10800,108717
2019-09-25,10800,10850,10500,10550,72859
2019-09-26,10550,10850,10450,10700,41435
2019-09-27,10700,10800,10400,10800,57835
2019-09-30,10650,10850,10500,10550,60514
2019-10-01,10650,10800,10550,10800,38406
2019-10-02,10700,10800,10500,10500,48388
2019-10-04,10400,10700,10300,10450,63121
2019-10-07,10450,10700,10300,10400,53730
2019-10-08,10350,10600,10050,10450,92356
2019-10-10,10400,10400,10100,10200,107405
2019-10-11,10200,10450,10200,10250,84198
2019-10-14,10400,10850,10300,10800,181477
2019-10-15,10800,11100,10650,10950,151997
2019-10-16,11000,11000,10550,10750,163019
2019-10-17,10700,10850,10500,10550,60822
2019-10-18,10650,10700,10300,10350,46833
2019-10-21,10350,10500,10200,10250,39926
2019-10-22,10300,10300,10050,10150,88840
2019-10-23,10250,10250,9950,10050,100674
2019-10-24,10050,10150,9900,10050,71111
2019-10-25,10100,10500,9980,10300,109192
2019-10-28,10250,10400,10100,10300,58466
2019-10-29,10300,10450,10100,10200,68955
2019-10-30,10100,10350,9920,10150,140611
2019-10-31,10100,10350,10000,10050,80873
2019-11-01,10050,10200,9930,10050,72837
2019-11-04,10050,10300,9950,10300,72171
2019-11-05,10350,10500,10200,10500,80294
2019-11-06,10400,10500,10200,10200,50928
2019-11-07,10150,10400,9890,9900,251602
2019-11-08,9990,10300,9850,10250,212162
2019-11-11,10250,10250,9760,9890,191043
2019-11-12,9900,9970,9870,9910,53879
2019-11-13,9900,9970,9820,9840,80791
2019-11-14,9890,9890,9760,9820,61327
2019-11-15,9790,9930,9730,9880,57549
2019-11-18,9880,10100,9800,10000,130739
2019-11-19,10000,10000,9840,9850,42065
2019-11-20,10000,10100,9670,9750,135793
2019-11-21,9860,9860,9380,9410,112091
2019-11-22,9570,9750,9310,9720,86973
2019-11-25,9800,9960,9600,9940,62104
2019-11-26,9810,10400,9760,10200,200893
2019-11-27,10200,10200,9940,10000,60285
2019-11-28,10000,10050,9910,9940,31288
2019-11-29,9940,10000,9810,9870,59030
2019-12-02,9830,9890,9700,9760,27185
2019-12-03,9730,9750,9610,9640,30801
2019-12-04,9600,9610,9410,9460,70440
2019-12-05,9470,9730,9470,9570,53680
2019-12-06,9530,9740,9510,9720,47257
2019-12-09,9680,9840,9670,9840,34583
2019-12-10,9750,9980,9620,9930,52444
2019-12-11,9830,9980,9830,9890,18367
2019-12-12,9860,10200,9860,9900,110120
2019-12-13,10000,10200,9920,10100,70305
2019-12-16,10200,10200,9900,9990,46561
2019-12-17,9990,10150,9930,10100,49401
