Date,Open,High,Low,Close,Volume
2019-09-23,5650,5720,5630,5690,26919
2019-09-24,5690,5820,5690,5800,21525
2019-09-25,5800,5840,5600,5690,24417
2019-09-26,5690,5750,5580,5590,16741
2019-09-27,5650,5670,5510,5530,7688
2019-09-30,5530,5570,5440,5440,10200
2019-10-01,5380,5450,5340,5430,11104
2019-10-02,5430,5430,5360,5400,6801
2019-10-04,5400,5490,5370,5370,8589
2019-10-07,5360,5500,5340,5350,9083
2019-10-08,5450,5450,5370,5430,6430
2019-10-10,5440,5490,5400,5440,2817
2019-10-11,5440,5440,5210,5400,10561
2019-10-14,5440,5440,5330,5380,3974
2019-10-15,5390,5430,5380,5400,5600
2019-10-16,5440,5480,5400,5470,8824
2019-10-17,5470,5590,5410,5450,15408
2019-10-18,5500,5500,5410,5500,4880
2019-10-21,5460,5540,5460,5500,4637
2019-10-22,5420,5540,5350,5450,18925
2019-10-23,5450,5450,5340,5340,22466
2019-10-24,5210,5390,5210,5390,11163
2019-10-25,5310,5420,5310,5410,6907
2019-10-28,5360,5440,5330,5400,13133
2019-10-29,5330,5440,5320,5370,8998
2019-10-30,5330,5380,5100,5220,43832
2019-10-31,5250,5290,5170,5180,11018
2019-11-01,5170,5240,5120,5200,11790
2019-11-04,5240,5240,5150,5240,5893
2019-11-05,5250,5320,5230,5280,12481
2019-11-06,5330,5340,5230,5270,9731
2019-11-07,5270,5330,5210,5300,15036
2019-11-08,5260,5310,5260,5290,8137
2019-11-11,5330,5330,5270,5290,10888
2019-11-12,5240,5340,5230,5340,9400
2019-11-13,5340,5340,5250,5300,6723
2019-11-14,5310,5310,5170,5300,17971
2019-11-15,5440,6580,5410,5750,1954861
2019-11-18,5740,5990,5690,5970,364656
2019-11-19,5820,6150,5810,5970,305097
2019-11-20,5910,6000,5540,5690,173338
2019-11-21,5650,5890,5530,5750,106897
2019-11-22,5840,7430,5820,6670,8232750
2019-11-25,6760,7370,6660,6820,2873798
2019-11-26,6900,7160,6760,6840,1020013
2019-11-27,6800,7010,6680,6950,504106
2019-11-28,7460,7700,6740,6770,903638
2019-11-29,6750,6860,6420,6420,233124
2019-12-02,6500,6520,6330,6420,159818
2019-12-03,6430,6630,6340,6440,133411
2019-12-04,6470,6540,6230,6330,134883
2019-12-05,6380,6480,6070,6130,153088
2019-12-06,6130,6240,6040,6130,95461
2019-12-09,6190,6230,6100,6160,57654
2019-12-10,6220,6220,6080,6200,46810
2019-12-11,6220,6770,6060,6390,610693
2019-12-12,6390,6410,6070,6100,158594
2019-12-13,6100,6190,6080,6100,58552
2019-12-16,6110,6190,6020,6060,43197
2019-12-17,6110,6250,5900,6170,156177
2019-12-18,6080,6110,5850,5980,110006
2019-12-19,6030,6140,5930,6090,51849
2019-12-20,6180,6760,6100,6420,1277725
2019-12-23,6420,6500,6010,6110,231529
2019-12-24,6120,6160,5710,5790,188939
2019-12-26,5770,6030,5770,5980,61133
2019-12-27,6020,6060,5900,5930,27547
2019-12-30,5920,6010,5860,5950,49171
2020-01-02,5970,6190,5970,6160,67497
2020-01-03,6180,6290,6060,6140,48982
2020-01-06,6140,6240,5980,6140,53338
2020-01-07,6140,6290,6100,6160,42972
2020-01-08,6110,6290,5830,5880,148442
2020-01-09,6070,6410,6030,6310,243725
2020-01-10,6500,7630,6400,6920,4561948
2020-01-13,6980,7120,6870,6990,517744
2020-01-14,7030,7060,6700,6780,364247
2020-01-15,6750,6870,6730,6820,83665
2020-01-16,6820,7050,6680,6950,463123
2020-01-17,6950,6950,6740,6830,102795
2020-01-20,6830,6850,6630,6670,113676
2020-01-21,6710,6760,6200,6510,123431
2020-01-22,6500,7010,6450,6740,323575
2020-01-23,6730,6840,6620,6700,93365
2020-01-28,6480,6590,6290,6440,68224
2020-01-29,6560,6800,6500,6780,176924
2020-01-30,6770,6840,6400,6460,117436
2020-01-31,6580,6580,6060,6170,94068
2020-02-03,5970,6740,5950,6720,236161
2020-02-04,6740,6800,6100,6400,189544
2020-02-05,6440,6570,6380,6490,76779
2020-02-06,6620,7010,6480,6520,789663
2020-02-07,6600,6650,6360,6440,106465
2020-02-10,6460,6650,6400,6570,72963
2020-02-11,6580,6770,6520,6720,139029
2020-02-12,6970,7890,6870,7190,3818968
2020-02-13,7150,7200,6840,6880,347442
2020-02-14,6880,6920,6520,6620,237638
2020-02-17,6600,6840,6510,6790,140665
2020-02-18,6740,6780,6490,6500,116883
2020-02-19,6500,6580,6340,6500,69706
2020-02-20,6500,6630,6360,6360,83808
2020-02-21,6300,6400,6160,6160,66835
2020-02-24,6000,6110,5700,5760,190710
2020-02-25,5760,6600,5600,6070,470927
2020-02-26,5900,6280,5860,6100,171171
2020-02-27,6180,6180,5810,6030,86339
2020-02-28,5810,6090,5800,5850,83138
2020-03-02,5760,5960,5600,5850,104699
2020-03-03,5930,6080,5920,5950,62388
2020-03-04,5890,6120,5830,6120,53845
2020-03-05,6230,6410,6120,6400,162614
2020-03-06,6340,6590,6160,6400,282768
2020-03-09,6300,6310,5930,5930,81329
2020-03-10,5750,6150,5730,6000,87406
2020-03-11,6000,6130,5710,5740,59793
2020-03-12,5650,5770,5200,5240,119690
2020-03-13,5000,5000,4380,4840,189712
2020-03-16,4785,5000,4410,4540,71840
2020-03-17,4270,4580,4200,4480,76814
2020-03-18,4490,4710,4285,4300,56388
2020-03-19,4290,4420,3430,3510,183618
2020-03-20,3510,3885,3460,3700,196818
2020-03-23,3335,3520,3310,3360,106629
2020-03-24,3405,3790,3380,3780,158321
2020-03-25,3950,4275,3900,4160,239220
