Date,Open,High,Low,Close,Volume
2020-09-24,48900,48900,40000,43700,1530069
2020-09-25,44700,45950,42050,42500,413052
2020-09-28,43550,44300,42700,42950,176768
2020-09-29,43600,44500,42650,43200,151368
2020-10-05,43200,43600,41900,42150,174625
2020-10-06,42600,44700,42550,43650,207886
2020-10-07,43300,46750,43200,46400,242581
2020-10-08,46850,49300,46850,47700,212696
2020-10-12,47700,48250,46300,46550,64584
2020-10-13,46950,47150,44500,45050,104983
2020-10-14,45000,45000,43000,43400,105212
2020-10-15,43900,43900,41900,43450,68459
2020-10-16,43550,45400,42650,44250,90388
2020-10-19,44650,44750,43400,43500,42836
2020-10-20,42900,44350,42550,44200,66028
2020-10-21,44400,44900,43950,44500,36143
2020-10-22,44300,45200,44050,44650,49944
2020-10-23,44800,45900,44300,45600,78356
2020-10-26,45600,45650,43100,43150,82307
2020-10-27,42550,43850,42500,43050,39197
2020-10-28,43500,43500,42850,43350,37132
2020-10-29,42200,43250,42150,43050,33094
2020-10-30,43300,43450,42500,42750,37956
2020-11-02,42750,43500,42450,43000,33797
2020-11-03,42850,43500,42700,43100,43176
2020-11-04,43150,46800,42500,44500,167929
2020-11-05,45150,48600,44600,46850,306309
2020-11-06,47900,48300,45000,45400,245139
2020-11-09,46350,46600,45250,45600,115726
2020-11-10,45750,45750,44350,45300,78653
2020-11-11,45450,45550,44000,44000,61180
2020-11-12,44000,44950,43700,44400,50852
2020-11-13,44600,45950,43750,44400,64846
2020-11-16,45000,47600,44100,47450,169966
2020-11-17,45750,46550,44000,44100,180721
2020-11-18,44200,44550,42900,43600,99324
2020-11-19,43800,44700,43250,43450,103917
2020-11-20,43850,43900,43250,43650,54441
2020-11-23,43750,44300,43650,43850,57745
2020-11-24,44100,44150,43500,43600,53563
2020-11-25,44000,44000,42850,43200,56299
2020-11-26,43750,47300,43400,45000,484557
2020-11-27,44750,44900,43550,43850,123057
2020-11-30,43800,43850,43250,43350,61111
2020-12-01,43100,43700,43100,43200,48121
2020-12-02,43500,43750,43100,43350,66999
2020-12-03,43700,43700,43100,43200,51809
2020-12-04,43500,43600,43100,43150,72780
2020-12-07,43500,44200,43200,43200,115917
2020-12-08,43350,43550,42950,43000,67736
2020-12-09,43300,43400,43000,43300,35072
2020-12-10,43100,43900,43100,43450,49693
2020-12-11,43900,44550,43250,43250,94658
2020-12-14,43550,45600,43300,44400,248811
2020-12-15,45100,46000,43900,43900,155356
2020-12-16,44350,45000,44100,44100,77383
2020-12-17,44500,45050,44150,44600,73888
2020-12-18,45000,45000,44000,44200,64946
2020-12-21,44750,57400,44300,55800,3268455
2020-12-22,54800,55400,50000,50500,776842
2020-12-23,51800,52600,48800,49200,571819
2020-12-24,48600,49400,47300,47900,273493
2020-12-28,48500,48600,47400,47700,169220
2020-12-29,46400,47950,46300,47600,171481
2020-12-30,47200,49550,47100,49100,303208
2021-01-04,49100,49100,47600,47850,157738
2021-01-05,47850,48800,47250,48300,145602
2021-01-06,48850,49050,47900,48300,104744
2021-01-07,48350,49650,48350,48450,141786
2021-01-08,48650,48850,47100,47850,126796
2021-01-11,48100,48100,45300,45300,163975
2021-01-12,45750,46800,45350,46050,91007
2021-01-13,46150,46850,46100,46500,45707
2021-01-14,46250,46500,45800,45900,46084
2021-01-15,46400,46500,45900,46250,45308
2021-01-18,45900,46200,45200,45400,53142
2021-01-19,45300,45800,44550,45500,52333
2021-01-20,46100,46250,45600,45750,39926
2021-01-21,45900,46700,45900,46400,65705
2021-01-22,46700,49650,46650,48150,260993
2021-01-25,48450,49300,47900,49150,148662
2021-01-26,49450,49500,48300,48650,75004
2021-01-27,48750,49100,48200,48500,52132
2021-01-28,47800,48000,46950,47250,66544
2021-01-29,47300,47850,44900,46000,85618
2021-02-01,45300,46550,45000,46450,49364
2021-02-02,46750,47300,46050,46700,29355
2021-02-03,46600,47500,46450,46850,39951
2021-02-04,46550,52000,46000,49850,667060
2021-02-05,48800,49350,47900,48200,122974
2021-02-08,47850,47900,46950,47150,58408
2021-02-09,47150,48550,47100,48500,57220
2021-02-10,48650,49250,48500,48800,74704
2021-02-15,47600,48300,47100,48050,60769
2021-02-16,48000,49150,48000,48450,57999
2021-02-17,49150,52000,48900,51800,360606
2021-02-18,52500,52600,50500,51900,239146
2021-02-19,51900,51900,47000,50800,178393
2021-02-22,51000,51100,49300,49300,81150
2021-02-23,48600,53100,47850,49200,217720
2021-02-24,49600,49600,47250,47500,66599
2021-02-25,48200,48800,47650,48800,50584
2021-02-26,47500,48800,47300,48000,58900
2021-03-02,48600,48900,47500,47900,42679
2021-03-03,47600,48250,47500,47800,25467
2021-03-04,47300,49950,47250,48650,65839
2021-03-05,48100,48450,47450,48450,33688
2021-03-08,48500,48900,47600,47600,29692
2021-03-09,47500,47750,46000,47250,36414
2021-03-10,47400,48050,47000,48050,31978
2021-03-11,49300,49500,47500,47900,65650
2021-03-12,48400,48400,47500,47700,46237
2021-03-15,47600,47600,46900,46950,40158
2021-03-16,46800,46950,46150,46550,51496
2021-03-17,46550,46800,45900,46100,36659
2021-03-18,46600,46900,46350,46400,27700
2021-03-19,45800,46750,45750,46400,17459
2021-03-22,46400,46700,46100,46150,17983
2021-03-23,45800,46600,45750,45750,37191
2021-03-24,45700,45700,45050,45450,35597
2021-03-25,45450,45850,45100,45100,22883
2021-03-26,45200,45500,45100,45300,20551
2021-03-29,45750,45750,44850,45300,28995
2021-03-30,45350,45550,45100,45150,24221
2021-03-31,45150,45300,44850,45300,22879
2021-04-01,45400,46150,45300,45850,29550
2021-04-02,45950,46150,45100,45700,19574
2021-04-05,45900,45950,45050,45200,24855
2021-04-06,45550,45550,44550,44600,33552
2021-04-07,44600,44950,44600,44750,20416
2021-04-08,45100,45100,44650,44850,16919
2021-04-09,44800,45000,44700,44850,23337
2021-04-12,46600,47100,45500,46100,105870
2021-04-13,46100,48100,46100,47400,128318
2021-04-14,47400,48050,47050,47450,51555
2021-04-15,47450,47750,46900,47000,22069
2021-04-16,47450,47800,46950,47250,28702
2021-04-19,47500,48200,47500,48000,44259
2021-04-20,48300,49350,48200,48900,119755
2021-04-21,49250,49400,48100,48250,57846
2021-04-22,48450,48500,48000,48100,30444
2021-04-23,48550,49550,48450,48900,100696
2021-04-26,49250,49450,48600,49050,59424
2021-04-27,49050,49050,47750,47950,44386
2021-04-28,48300,48300,46700,46800,53620
2021-04-29,46650,47800,46250,46500,36215
2021-04-30,46250,47000,46150,46450,21735
2021-05-03,46550,47550,46550,47050,24987
2021-05-04,47000,47350,46350,46900,20922
2021-05-06,46650,47450,46500,47100,16888
2021-05-07,47500,47500,46800,47050,16784
2021-05-10,47150,47400,46650,46950,21732
2021-05-11,46350,46750,46100,46400,25317
2021-05-12,46250,46450,45400,45600,25762
2021-05-13,45000,45400,44500,45150,24948
2021-05-14,45500,45900,45150,45550,11628
2021-05-17,45500,45500,44600,44800,25021
2021-05-18,44650,46000,44650,45600,12252
2021-05-20,45600,45750,45350,45500,10440
2021-05-21,45700,47050,45500,46500,42196
2021-05-24,47100,47150,45600,45600,21328
2021-05-25,45600,45900,45000,45200,23536
2021-05-26,45100,45450,45000,45100,11413
2021-05-27,45100,45400,45000,45200,8718
2021-05-28,45550,46150,45200,45750,12223
2021-05-31,46050,46050,45350,45650,13471
2021-06-01,45750,45900,45400,45900,17218
2021-06-02,46000,46050,45450,45700,14192
2021-06-03,45700,46100,45350,45900,24571
2021-06-04,45900,46200,45450,45800,11540
2021-06-07,45400,45950,45400,45750,14401
2021-06-08,45800,45800,45250,45400,14714
2021-06-09,45500,45600,45000,45150,23179
2021-06-10,45150,45450,45050,45400,7335
2021-06-11,45400,45550,44950,45150,14951
2021-06-14,45150,45150,44800,45100,13489
2021-06-15,45150,45350,44750,44950,11740
2021-06-16,44950,45500,44850,45400,14595
2021-06-17,45200,45700,45000,45400,17655
2021-06-18,45500,45700,45200,45450,15062
2021-06-21,45000,45500,44900,45200,14890
2021-06-22,45400,45450,45050,45250,11056
2021-06-23,45400,45400,44850,44900,12348
2021-06-24,45050,45450,44750,45000,14534
2021-06-25,44950,45400,44950,45100,7312
2021-06-28,45050,45400,45050,45400,15190
2021-06-29,45200,45400,44850,44850,22834
2021-06-30,45050,45100,44800,44950,8678
2021-07-01,45000,45000,44550,44850,17197
2021-07-02,44700,45350,44700,45300,17487
2021-07-05,45100,45250,44900,45100,9225
2021-07-06,45100,45200,44850,45000,13245
2021-07-07,44950,46150,44950,45900,62918
2021-07-08,46100,46100,45000,45050,30050
2021-07-09,45150,47000,44900,46500,158945
2021-07-12,47050,48200,46650,47150,158705
2021-07-13,47200,47200,46000,46550,47715
2021-07-14,46650,47650,46400,46650,70572
2021-07-15,46500,46500,45900,46150,38203
2021-07-16,46150,46400,45700,46100,18171
2021-07-19,46100,46800,45650,46100,25780
2021-07-20,45650,46500,45500,46350,26492
2021-07-21,46750,46750,45750,46000,19505
2021-07-22,46150,46200,45500,45600,16436
2021-07-23,45600,46000,45450,45700,17403
2021-07-26,45900,45900,44700,45000,31812
2021-07-27,44850,45200,44700,44900,25039
2021-07-28,44800,45000,44550,44650,22427
2021-07-29,45000,45200,44600,45000,14443
2021-07-30,45000,45700,44800,45200,27237
2021-08-02,45200,45400,44600,44900,13450
2021-08-03,44650,45150,44350,44650,26479
2021-08-04,44850,44850,43900,44050,38236
2021-08-05,44150,44200,43000,43250,72814
2021-08-06,43350,43650,43000,43100,24576
2021-08-09,43200,43350,42450,42550,30623
2021-08-10,42600,43000,42550,42750,12699
2021-08-11,42800,43650,42800,43600,35398
2021-08-12,51300,56600,49500,56600,1777325
2021-08-13,64800,73500,64200,73500,2590872
2021-08-17,83000,88000,73500,73500,2411362
2021-08-18,75700,80500,70100,74900,936523
2021-08-19,72500,73000,68100,70300,323241
2021-08-20,69000,75600,68000,69500,298042
2021-08-23,71000,73100,67000,68400,204830
2021-08-24,68400,68900,64300,65200,250959
2021-08-25,65600,66700,61000,66700,322362
2021-08-26,27650,29100,27000,29100,338744
2021-08-27,30150,36550,27900,29150,2689400
2021-08-30,27850,28300,25600,25850,570034
2021-08-31,26550,26650,24450,26650,321078
2021-09-01,26900,27000,25850,26500,170649
2021-09-02,26650,32200,25400,28700,1627829
2021-09-03,29000,29600,28100,28250,305948
2021-09-06,27800,29100,26950,27000,200704
2021-09-07,26600,27650,25500,25600,224984
2021-09-08,25600,25600,24200,24400,156219
2021-09-09,24000,24200,22750,23050,172800
2021-09-10,21050,22200,20550,20850,630943
2021-09-13,20550,21100,19850,20150,292584
2021-09-14,19500,19700,18450,19200,1044707
2021-09-15,19050,19500,18750,18950,443853
2021-09-16,19250,21800,19100,20000,2936897
2021-09-17,19900,19900,18900,19000,551592
2021-09-23,18600,19000,18050,18300,501377
2021-09-24,18400,20150,18300,19400,1218453
2021-09-27,20000,20700,19550,19700,727416
2021-09-28,19600,19600,18850,19400,332878
2021-09-29,18650,19100,18650,19050,200521
2021-09-30,18700,19300,18400,18400,355408
2021-10-01,18200,18350,17400,17700,318014
2021-10-05,17300,18300,17200,17800,308412
2021-10-06,18100,18150,16000,16300,389699
2021-10-07,17200,17350,16400,16600,267289
2021-10-08,16650,16950,16250,16300,169770
2021-10-12,16200,16250,15400,15600,194061
2021-10-13,15950,16300,15600,15950,142191
2021-10-14,15950,16800,15950,16800,171778
2021-10-15,16900,17050,16400,17000,176353
2021-10-18,17200,17400,16900,16950,149841
2021-10-19,16950,18100,16900,17700,361382
2021-10-20,17700,17700,16800,16800,182448
2021-10-21,17050,17700,16300,16450,178311
2021-10-22,16450,16800,16350,16450,107581
2021-10-25,16250,16350,16000,16200,118415
2021-10-26,16450,16800,16100,16800,116887
2021-10-27,16900,16900,16200,16350,126960
2021-10-28,16200,16350,15750,15950,136398
2021-10-29,16200,16200,15600,15750,101024
2021-11-01,15950,15950,15400,15550,109614
2021-11-02,15450,16250,15350,16150,124164
2021-11-03,16400,16450,16000,16200,116159
2021-11-04,16300,16400,15500,15750,137132
2021-11-05,15750,16400,15450,15600,156475
2021-11-08,15500,15500,14800,15050,137286
2021-11-09,14850,15200,14650,14700,97014
2021-11-10,14550,14650,14100,14500,199324
2021-11-11,14200,14700,13950,14150,152437
2021-11-12,14000,14800,13950,14600,130330
2021-11-15,14900,15400,14650,15150,178545
2021-11-16,14900,15450,14750,15150,181094
2021-11-17,15450,15700,15000,15450,242940
2021-11-18,16000,17000,15550,16050,832033
2021-11-19,16150,16600,15550,15700,286806
2021-11-22,15650,16700,15650,16350,577679
2021-11-23,16250,16250,15100,15100,416103
2021-11-24,15100,16250,14850,15700,646228
2021-11-25,15950,16150,15100,15200,277880
2021-11-26,15450,16400,14950,16200,758035
2021-11-29,16800,17300,15600,16000,868993
2021-11-30,15800,15950,14200,14200,495872
2021-12-01,14100,14600,13550,14500,293270
2021-12-02,14200,14800,14050,14350,175882
2021-12-03,14500,14500,14000,14150,164731
2021-12-06,14200,14250,13750,13950,120221
2021-12-07,14050,14300,13750,13900,111570
2021-12-08,14050,16700,13900,15750,3213985
2021-12-09,15350,15750,14900,15150,773500
2021-12-10,15500,17000,15200,15800,3022133
2021-12-13,16100,16850,15850,16150,1133822
2021-12-14,16400,16550,15550,15700,562773
2021-12-15,16150,16750,15900,16100,1417379
2021-12-16,16350,16400,15500,15650,434374
2021-12-17,15600,15600,14950,14950,248797
2021-12-20,14600,15650,14600,15600,532688
2021-12-21,15200,15400,14850,14900,266268
2021-12-22,14900,15550,14850,14900,379512
2021-12-23,15000,15100,14600,14750,208374
2021-12-24,14750,14850,14450,14450,156986
2021-12-27,14400,14650,14250,14350,114116
2021-12-28,14400,14500,14200,14200,107605
2021-12-29,14300,14550,14150,14400,71970
2021-12-30,14350,14700,14250,14700,114238
2022-01-03,14650,14850,14500,14850,104807
2022-01-04,14750,14950,14700,14850,97498
2022-01-05,14850,14850,14300,14350,122117
2022-01-06,14200,14300,13850,14000,126351
2022-01-07,14000,14250,14000,14050,46851
2022-01-10,14000,14000,13700,13800,76015
2022-01-11,13700,13850,13050,13300,138795
2022-01-12,13300,13600,13300,13450,49351
2022-01-13,13400,14400,13300,14400,265439
2022-01-14,14100,14550,14050,14400,129373
2022-01-17,14500,14600,13800,13900,83843
2022-01-18,13700,14300,13450,13650,102188
2022-01-19,13300,13800,13300,13350,64737
2022-01-20,13300,13850,13250,13600,93830
2022-01-21,13500,14100,13500,13750,112976
2022-01-24,13750,14200,13600,13650,133205
2022-01-25,13800,14750,13700,13750,383746
2022-01-26,13750,14300,13700,13700,211793
2022-01-27,13950,13950,12650,12650,212833
2022-01-28,12650,12900,12050,12800,136393
2022-02-03,13000,13350,12900,13200,92278
2022-02-04,13200,13200,12850,12850,118138
2022-02-07,13000,13000,12600,12800,66562
2022-02-08,12800,13050,12550,12800,137614
2022-02-09,12850,13650,12800,13250,238222
2022-02-10,13300,13450,13050,13050,110802
2022-02-11,13000,13100,12550,12600,97969
2022-02-14,12350,12500,11750,11900,112638
2022-02-15,11800,12100,11450,11500,98093
2022-02-16,11600,12350,11600,12300,109606
2022-02-17,12300,12450,11850,12100,68117
2022-02-18,11850,12250,11600,12100,60223
2022-02-21,12250,12450,12100,12350,68702
2022-02-22,12050,12200,11750,11850,113705
2022-02-23,12100,12150,11900,11950,55835
2022-02-24,11850,12150,11350,11500,96717
