Date,Open,High,Low,Close,Volume
2019-09-23,1610,1630,1595,1610,102220
2019-09-24,1625,1625,1590,1605,138744
2019-09-25,1605,1605,1500,1540,442444
2019-09-26,1540,1560,1500,1500,208320
2019-09-27,1510,1540,1480,1540,127209
2019-09-30,1510,1545,1460,1505,181344
2019-10-01,1505,1540,1490,1515,106353
2019-10-02,1505,1535,1480,1515,182835
2019-10-04,1515,1545,1475,1475,146874
2019-10-07,1490,1490,1430,1470,188881
2019-10-08,1485,1485,1430,1450,114757
2019-10-10,1450,1465,1415,1455,107640
2019-10-11,1465,1505,1430,1500,187367
2019-10-14,1500,1520,1470,1505,171934
2019-10-15,1505,1560,1495,1540,201981
2019-10-16,1560,1575,1525,1535,78726
2019-10-17,1555,1555,1505,1505,102869
2019-10-18,1520,1550,1505,1505,90361
2019-10-21,1510,1520,1450,1480,177867
2019-10-22,1495,1540,1460,1520,220843
2019-10-23,1520,1610,1510,1575,510443
2019-10-24,1555,1575,1540,1555,170795
2019-10-25,1550,1645,1510,1640,571951
2019-10-28,1670,1710,1590,1630,615686
2019-10-29,1610,1680,1595,1670,283468
2019-10-30,1665,1700,1600,1690,343228
2019-10-31,1730,1815,1655,1780,1570846
2019-11-01,1790,1850,1720,1750,755038
2019-11-04,1750,1770,1690,1715,485471
2019-11-05,1715,1755,1690,1700,342215
2019-11-06,1755,1850,1705,1720,1177625
2019-11-07,1730,1750,1685,1710,254923
2019-11-08,1715,1720,1685,1700,154433
2019-11-11,1705,1760,1695,1735,240456
2019-11-12,1735,1820,1695,1800,615511
2019-11-13,1825,1830,1755,1795,428618
2019-11-14,1790,1800,1750,1750,207022
2019-11-15,1725,1745,1585,1640,1301609
2019-11-18,1625,1715,1620,1675,631715
2019-11-19,1710,1940,1690,1910,6409263
2019-11-20,1900,1945,1830,1860,1822891
2019-11-21,1880,1890,1770,1830,1118488
2019-11-22,1830,1890,1715,1785,1943056
2019-11-25,1815,1835,1750,1800,853596
2019-11-26,1870,1875,1770,1800,1103841
2019-11-27,1815,1830,1750,1795,770583
2019-11-28,1795,1800,1705,1715,651873
2019-11-29,1720,1725,1580,1700,532076
2019-12-02,1690,1740,1670,1730,252488
2019-12-03,1700,1730,1670,1690,159235
2019-12-04,1690,1690,1615,1650,372972
2019-12-05,1665,1685,1615,1625,295309
2019-12-06,1625,1705,1600,1695,368654
2019-12-09,1705,1705,1625,1625,321679
2019-12-10,1650,1725,1650,1670,595407
2019-12-11,1715,1865,1675,1805,4113856
2019-12-12,1805,1855,1785,1815,1473994
2019-12-13,1835,1870,1760,1830,1079374
2019-12-16,1850,1855,1785,1830,677219
2019-12-17,1845,1845,1790,1805,461969
2019-12-18,1795,1815,1765,1815,691565
2019-12-19,1805,1860,1785,1800,655183
2019-12-20,1815,1870,1785,1865,603092
2019-12-23,1880,1920,1780,1810,982621
2019-12-24,1810,1825,1765,1765,366065
2019-12-26,1790,1815,1765,1810,482033
2019-12-27,1790,1855,1790,1830,502544
2019-12-30,1830,1875,1795,1875,793144
2020-01-02,1910,1910,1830,1860,586051
2020-01-03,1860,1930,1850,1900,1491708
2020-01-06,1870,1880,1805,1835,911352
2020-01-07,1845,1895,1820,1820,621226
2020-01-08,1830,1870,1760,1780,1410923
2020-01-09,1835,1935,1810,1920,1211668
2020-01-10,2015,2140,1955,2000,4966967
2020-01-13,2025,2060,1995,2005,1679481
2020-01-14,2030,2060,1935,1955,3765503
2020-01-15,1985,2020,1975,1980,1695445
2020-01-16,1960,1980,1920,1980,1038550
2020-01-17,1995,2000,1930,1945,981820
2020-01-20,1945,1970,1895,1915,902836
2020-01-21,1880,1950,1810,1950,1740875
2020-01-22,1960,1995,1920,1945,736483
2020-01-23,1945,1945,1895,1910,592480
2020-01-28,1820,1855,1775,1820,1034502
2020-01-29,1835,1890,1820,1840,435497
2020-01-30,1840,1845,1715,1730,746619
2020-01-31,1735,1770,1645,1670,720057
2020-02-03,1600,1705,1550,1690,905913
2020-02-04,1735,1750,1680,1745,426918
2020-02-05,1755,1790,1685,1700,481697
2020-02-06,1740,1740,1695,1715,353119
2020-02-07,1735,1745,1695,1730,293407
2020-02-10,1755,1860,1730,1850,1175979
2020-02-11,1845,1845,1795,1830,786920
2020-02-12,1820,1820,1780,1800,592941
2020-02-13,1805,1820,1765,1790,434926
2020-02-14,1810,1815,1790,1805,412538
2020-02-17,1810,1910,1810,1885,2124919
2020-02-18,1880,1885,1785,1805,1012697
2020-02-19,1805,1805,1710,1745,785603
