Date,Open,High,Low,Close,Volume
2019-09-23,62800,63200,61900,61900,7400
2019-09-24,62500,62600,61800,62300,9012
2019-09-25,62700,62900,61300,61600,14365
2019-09-26,60600,61800,59900,61000,29618
2019-09-27,61100,61400,60100,60100,8668
2019-09-30,59800,60800,59300,60300,12479
2019-10-01,60300,61700,59800,61500,13609
2019-10-02,61500,61500,59600,59700,14426
2019-10-04,59600,60200,59100,59200,10081
2019-10-07,59000,60500,58600,59700,12734
2019-10-08,60400,60400,59200,60400,15036
2019-10-10,59400,60200,58600,58600,28275
2019-10-11,59700,59700,57200,57900,40523
2019-10-14,58000,58400,57600,58400,20654
2019-10-15,57800,59400,57800,58800,16320
2019-10-16,58600,59200,58100,59100,13613
2019-10-17,59300,59600,58700,58700,11743
2019-10-18,59300,59300,57700,58100,45125
2019-10-21,58400,58500,56700,57100,29104
2019-10-22,57400,58200,56800,57900,15101
2019-10-23,57900,58900,57200,58200,15923
2019-10-24,57600,59100,57600,58100,16944
2019-10-25,58800,59500,57700,59300,19910
2019-10-28,59900,60200,58800,59800,15415
2019-10-29,60100,60300,59500,59700,7759
2019-10-30,59200,59700,58600,58600,9677
2019-10-31,59300,59900,58500,59500,16671
2019-11-01,59100,59500,58100,58600,9577
2019-11-04,59100,60000,58200,59400,18749
2019-11-05,59300,60000,59000,59700,10980
2019-11-06,59400,60300,59200,59600,14281
2019-11-07,59100,60200,59100,59800,23449
2019-11-08,60000,60300,59500,59800,15848
2019-11-11,59500,60100,58700,59500,11914
2019-11-12,59100,60700,58800,60400,18634
2019-11-13,60900,60900,59400,59600,9840
2019-11-14,59500,60300,59300,60200,17101
2019-11-15,59800,61500,59700,61200,17678
2019-11-18,60800,61500,59800,60000,13123
2019-11-19,59700,60100,58800,58800,12516
2019-11-20,58300,59400,57600,58000,17828
2019-11-21,58900,58900,56600,57100,24725
2019-11-22,56800,57400,56700,57000,9563
2019-11-25,57100,57700,57000,57700,10459
2019-11-26,57700,58100,57300,57600,10944
2019-11-27,58100,58200,57400,57600,10186
2019-11-28,57600,57900,56900,57800,6696
2019-11-29,57000,58000,56900,57700,12220
2019-12-02,57900,57900,57000,57100,6621
2019-12-03,56100,56800,55800,55800,30322
2019-12-04,56000,56000,54700,55000,15402
2019-12-05,55200,55400,54500,54500,13832
2019-12-06,54100,54900,53900,54000,16450
2019-12-09,53900,54800,52500,53000,26835
2019-12-10,53000,53300,52500,52800,18302
2019-12-11,53200,53700,52600,53600,22834
2019-12-12,54000,54700,53600,54500,29189
2019-12-13,54700,55500,54300,54300,18579
2019-12-16,55000,55000,53700,53700,20447
2019-12-17,53500,54700,53500,54300,14028
2019-12-18,54000,54700,53700,53800,10156
2019-12-19,53700,54500,53700,54500,10027
2019-12-20,54900,55200,53900,54200,12817
2019-12-23,54900,55500,54300,54800,20460
2019-12-24,54800,55500,54400,55000,12051
2019-12-26,55300,56000,54500,55300,18679
2019-12-27,54900,55200,54000,54700,15735
