Date,Open,High,Low,Close,Volume
2020-12-02,30150,33150,28050,28900,12960603
2020-12-03,30050,34600,29150,31450,8171741
2020-12-04,31950,32300,29750,30150,1446064
2020-12-07,30500,31900,29700,31200,1162602
2020-12-08,31000,33500,30500,31550,1771212
2020-12-09,31900,34800,30400,33800,1476998
2020-12-10,32950,33750,31900,32900,542712
2020-12-11,32600,33400,32200,32600,406035
2020-12-14,32400,34300,32350,32600,751675
2020-12-15,33300,33600,31100,31400,740401
2020-12-16,31850,31950,30250,30500,585687
2020-12-17,30450,30600,27450,28350,1198677
2020-12-18,29100,29500,28050,28300,728963
2020-12-21,28150,28250,26900,27050,584876
2020-12-22,27050,27200,24800,25100,889352
2020-12-23,25600,27350,24800,25850,937606
2020-12-24,26350,28150,26100,27750,1000019
2020-12-28,27950,28400,26800,27000,457126
2020-12-29,27250,28400,27100,27850,368215
2020-12-30,27850,28250,27250,27800,377071
2021-01-04,28000,28000,26350,26400,411425
2021-01-05,26400,27150,26250,26700,301025
2021-01-06,27250,28800,26950,27200,755007
2021-01-07,27150,28900,27150,28850,888863
2021-01-08,29000,29500,28200,28250,459666
2021-01-11,27950,28000,26100,26850,366304
2021-01-12,26450,27150,26100,26350,162208
2021-01-13,26750,30300,26350,29450,2191498
2021-01-14,29650,30850,29100,29900,873148
2021-01-15,30200,30200,28800,29250,332956
2021-01-18,29000,30450,28300,30050,455080
2021-01-19,30900,31800,29850,30100,782861
2021-01-20,29950,29950,29250,29600,270542
2021-01-21,29600,29950,29000,29950,210181
2021-01-22,30000,30100,29250,29450,190641
2021-01-25,29500,29950,29400,29550,142640
2021-01-26,29550,29550,28450,28600,238230
2021-01-27,28650,29000,27700,28050,220546
2021-01-28,27450,29800,27300,29500,404540
2021-01-29,29600,29850,28450,29500,405335
2021-02-01,29500,31050,29450,30700,772046
2021-02-02,30850,31250,29150,29450,727206
2021-02-03,29750,30100,28750,29200,536990
2021-02-04,29250,29250,28500,28650,133431
2021-02-05,28800,28850,28100,28750,126975
2021-02-08,28550,28600,27950,28050,147931
2021-02-09,28350,28500,27950,28250,101331
2021-02-10,28250,28450,27950,28350,94277
2021-02-15,28500,28850,28250,28550,132590
2021-02-16,28750,29400,26200,27400,920566
2021-02-17,27850,27850,27000,27100,237381
2021-02-18,27500,27750,27100,27250,229661
2021-02-19,27250,27550,26400,26950,169481
2021-02-22,27250,27500,27000,27000,116759
2021-02-23,26800,27000,26500,26900,119213
2021-02-24,26900,27200,25500,25700,190476
2021-02-25,26500,27200,26150,26900,229382
2021-02-26,26000,26700,26000,26350,102995
2021-03-02,26400,26900,26350,26550,105435
2021-03-03,26750,27150,26550,26900,75336
2021-03-04,26550,26650,26000,26200,93237
2021-03-05,25800,27000,25700,26700,83956
2021-03-08,27300,27300,26150,26150,66977
2021-03-09,26150,26300,25450,26050,86885
2021-03-10,26200,26350,25600,25600,50284
2021-03-11,25700,26150,25500,25700,57551
2021-03-12,25850,25900,25500,25750,83080
2021-03-15,25850,26550,25600,26450,122904
2021-03-16,26500,26550,26050,26250,75872
2021-03-17,26450,26500,26050,26100,54715
2021-03-18,26450,26500,26200,26400,49718
2021-03-19,26000,26350,25900,26150,46820
2021-03-22,26400,27300,26300,27150,158902
2021-03-23,27150,27300,26400,26550,84767
2021-03-24,26550,26950,26200,26850,56628
2021-03-25,26450,27050,26350,26900,56494
2021-03-26,26900,27100,26600,26950,48502
2021-03-29,27200,27300,26650,26850,92732
2021-03-30,26850,26950,26350,26550,83162
2021-03-31,26000,26000,24100,25350,441789
2021-04-01,25450,25600,24850,24900,118058
2021-04-02,25000,25300,24550,24950,117674
2021-04-05,24950,24950,24700,24950,63488
2021-04-06,25100,25150,24700,25050,60760
2021-04-07,24900,25050,24850,25000,40258
2021-04-08,25050,25200,24800,25000,72655
2021-04-09,25000,25600,24800,25400,93174
2021-04-12,25700,25800,25200,25450,63317
2021-04-13,25500,26150,25350,26000,84761
2021-04-14,26000,26300,25600,25950,69962
2021-04-15,25850,26200,25700,26050,47823
2021-04-16,26150,26200,25700,25850,76022
2021-04-19,26350,26350,25500,25950,90118
2021-04-20,25750,26150,25650,26100,82030
2021-04-21,26150,26150,25400,25500,99997
2021-04-22,25750,25750,25500,25550,35613
2021-04-23,25800,27200,25650,26550,322720
2021-04-26,26700,27050,26250,26650,127752
2021-04-27,26750,26750,26350,26400,72293
2021-04-28,27150,27200,26000,26100,163716
2021-04-29,26150,26400,25550,25750,63089
2021-04-30,25850,26200,25150,25300,84012
2021-05-03,25200,26250,25200,25650,54364
