Date,Open,High,Low,Close,Volume
2019-09-23,8290,8290,7900,8060,6243
2019-09-24,8200,8200,8000,8000,490
2019-09-25,8190,8190,7800,7970,1722
2019-09-26,7940,7970,7800,7960,1938
2019-09-27,7990,8300,7500,8000,5767
2019-09-30,8200,8310,7900,8200,3193
2019-10-01,8400,8400,8000,8290,2519
2019-10-02,8200,8300,8000,8190,6904
2019-10-04,8400,8400,7930,8140,1769
2019-10-07,8400,8590,7950,8180,12711
2019-10-08,8190,8300,8000,8220,11486
2019-10-10,8340,8340,7910,8080,7337
2019-10-11,8200,8200,7950,8070,229
2019-10-14,8600,8600,7980,8090,658
2019-10-15,8090,8090,7800,7990,3688
2019-10-16,8200,8200,7800,7950,1316
2019-10-17,8500,8500,7900,8050,15561
2019-10-18,8050,8210,8000,8100,21795
2019-10-21,8020,8290,7980,8170,11101
2019-10-22,8000,8270,7960,8080,6908
2019-10-23,8000,8080,7910,8000,5245
2019-10-24,7990,7990,7700,7940,3170
2019-10-25,7800,8090,7710,7850,3239
2019-10-28,9020,9020,7750,7790,476
2019-10-29,8000,8000,7720,7800,2323
2019-10-30,7780,7900,7650,7800,3754
2019-10-31,7730,7980,7730,7970,5693
2019-11-01,8200,9160,7900,8750,5940
2019-11-04,8800,9700,8510,9700,10871
2019-11-05,9700,9990,9200,9550,13232
2019-11-06,9600,10500,9200,10000,4505
2019-11-07,10000,10000,9460,9600,57033
2019-11-08,9600,9600,9200,9400,3837
2019-11-11,9400,9400,9000,9380,4700
2019-11-12,9380,9380,8350,9200,3348
2019-11-13,9190,9190,8810,9160,97
2019-11-14,9180,9390,8820,9290,6019
2019-11-15,9400,9400,9000,9190,1129
2019-11-18,9000,9180,9000,9160,1124
2019-11-19,8850,9140,8520,8900,3754
2019-11-20,8900,9400,8850,8920,1223
2019-11-21,9000,9190,8010,8360,5746
2019-11-22,8500,9000,8360,8400,2676
2019-11-25,9000,9000,8200,8210,3382
2019-11-26,8350,8350,7850,8100,19001
2019-11-27,8600,8600,8000,8250,3318
2019-11-28,8100,8390,7820,8080,9369
2019-11-29,7830,8180,7750,8000,8250
2019-12-02,8100,8100,7750,7890,1923
2019-12-03,7890,8000,7610,7900,9803
2019-12-04,7890,8200,7780,7940,9028
2019-12-05,8600,8600,7800,7850,3128
2019-12-06,8000,8000,7660,7660,7286
2019-12-09,8000,8090,7620,7940,5970
2019-12-10,7960,7960,7600,7880,2431
2019-12-11,7990,7990,7570,7850,2257
2019-12-12,7850,7970,7560,7710,13804
2019-12-13,7980,7980,7500,7900,14106
2019-12-16,7970,7970,7410,7610,12757
2019-12-17,7540,7770,7510,7670,5679
2019-12-18,7550,7930,7550,7930,9943
2019-12-19,7800,9000,7800,8270,14734
2019-12-20,8300,8300,8000,8290,695
2019-12-23,8600,8790,7850,8170,4803
2019-12-24,7910,8360,7620,7950,5826
2019-12-26,7700,8300,7600,8280,90723
2019-12-27,8280,8280,7960,7960,5575
2019-12-30,7990,7990,7800,7970,46
2020-01-02,8000,8990,7800,8700,17332
2020-01-03,8800,9000,8210,8210,6647
2020-01-06,8580,8590,7600,8380,6150
2020-01-07,8000,8370,8000,8240,2544
2020-01-08,8190,8380,7910,8080,2062
2020-01-09,8390,8390,7930,8150,1532
2020-01-10,8120,8400,8120,8200,3168
2020-01-13,8400,8600,8070,8600,889
2020-01-14,8590,8680,8180,8680,5375
2020-01-15,8700,8800,8400,8800,1402
2020-01-16,8600,8800,8400,8790,447
2020-01-17,8800,10000,8550,9400,417
2020-01-20,9400,9980,8800,9590,6322
2020-01-21,9200,9600,8480,9330,4108
2020-01-22,9330,9600,8620,9190,4470
2020-01-23,9400,9400,9000,9200,1158
2020-01-28,9000,9190,8800,9090,6299
2020-01-29,9000,9000,8710,8900,1318
2020-01-30,9000,9150,8220,9000,8367
2020-01-31,9000,9000,8310,8490,7327
2020-02-03,8540,8540,7810,8350,8188
2020-02-04,8350,8430,8110,8420,2281
2020-02-05,8400,8400,7830,8360,4465
2020-02-06,8300,8350,8010,8330,7325
2020-02-07,8800,9350,8360,8720,8229
2020-02-10,8720,8720,8020,8360,10789
2020-02-11,8600,8600,8050,8160,4131
2020-02-12,8400,8400,7810,8100,9423
2020-02-13,8640,8640,7810,8500,15723
2020-02-14,8580,9200,8400,8730,1838
2020-02-17,9200,9200,8400,8610,1180
2020-02-18,8790,8790,8400,8640,1766
2020-02-19,8800,8800,8210,8300,2539
2020-02-20,8300,8570,8000,8480,2436
2020-02-21,8600,8600,8110,8230,2679
2020-02-24,8000,8390,7410,8030,6540
2020-02-25,8000,8380,7700,8270,1436
2020-02-26,8260,8260,7760,7950,1973
2020-02-27,8190,8700,7800,7870,1683
2020-02-28,7010,8000,6830,7780,3258
2020-03-02,7780,8380,6810,7800,4328
2020-03-03,7800,8790,7800,8480,3563
2020-03-04,8650,8650,8400,8500,2338
2020-03-05,8020,8500,7880,8470,1136
2020-03-06,8460,8460,8110,8450,621
2020-03-09,8600,8600,8210,8430,2910
2020-03-10,8430,8690,8370,8690,7481
2020-03-11,8410,8610,8210,8500,6608
2020-03-12,9500,9500,8000,8400,3234
2020-03-13,8500,8500,7140,7540,15168
2020-03-16,7600,8000,7000,7680,2974
2020-03-17,7200,8000,7200,7800,1308
2020-03-18,7800,8390,7410,7780,4566
2020-03-19,7800,7950,6620,7570,6457
2020-03-20,7980,7990,7190,7670,430
2020-03-23,7790,7790,6800,7470,2905
2020-03-24,7600,7790,7200,7400,560
2020-03-25,7400,7800,7160,7300,3704
2020-03-26,7280,7280,6810,7180,5500
2020-03-27,7400,7480,6840,7190,3974
2020-03-30,7200,7910,6610,6980,6769
2020-03-31,7000,7370,6900,7040,8403
2020-04-01,7200,7450,6800,7050,3665
2020-04-02,6800,7170,6710,7090,1053
2020-04-03,7200,7250,6900,7200,961
2020-04-06,6830,7310,6830,7050,2413
2020-04-07,7190,7190,6800,7080,8366
2020-04-08,7190,7190,6700,6730,11284
2020-04-09,6990,6990,6610,6760,6743
2020-04-10,6980,6980,6660,6770,3643
2020-04-13,6970,7160,6650,6950,9232
2020-04-14,6950,6950,6800,6890,2147
2020-04-16,7000,7150,6700,6940,2299
2020-04-17,7200,7200,6850,6940,2859
2020-04-20,6940,7090,6870,7030,1535
2020-04-21,6910,7020,6600,6920,4345
2020-04-22,6980,6980,6790,6950,6057
2020-04-23,6950,7000,6800,6950,3847
2020-04-24,7000,7100,6750,6990,579
2020-04-27,7000,7020,6780,6870,7296
2020-04-28,6990,7000,6680,6680,16391
2020-04-29,6980,6980,6610,6610,2380
2020-05-04,6700,7600,6500,6800,12053
2020-05-06,7000,7000,6600,6720,1916
2020-05-07,6800,6800,6600,6650,3671
2020-05-08,6800,6890,6500,6650,10579
2020-05-11,6790,6980,6620,6960,2594
2020-05-12,6620,6950,6620,6790,2630
2020-05-13,6790,6880,6630,6850,926
2020-05-14,6900,7000,6640,7000,3371
2020-05-15,7000,7000,6700,6800,5093
2020-05-18,6900,6900,6900,6900,563
2020-05-19,6760,6960,6760,6900,3045
2020-05-20,6900,7890,6820,7790,15324
2020-05-21,7800,8200,7670,8000,7443
2020-05-22,8000,8030,7800,7940,5416
2020-05-25,7660,7880,7660,7880,6248
2020-05-26,8000,8000,7280,7690,5623
2020-05-27,8470,8470,7690,7940,1528
2020-05-28,8050,8090,7610,7630,2730
2020-05-29,7980,8280,7630,7980,2144
2020-06-01,7980,8490,7860,7900,2296
2020-06-02,7900,8100,7810,7990,3103
2020-06-03,7990,8100,7850,8090,3997
2020-06-04,7880,8200,7880,8190,5685
2020-06-05,8100,9390,8040,8480,9079
2020-06-08,9000,9000,8400,8570,2195
2020-06-09,8800,8800,8450,8480,8485
2020-06-10,8480,9200,8390,9200,18576
2020-06-11,9400,10000,8200,9300,51829
2020-06-12,8900,9500,8800,9480,9688
2020-06-15,10600,10600,8990,8990,11405
2020-06-16,9200,9600,8950,9440,12360
2020-06-17,9400,10500,9130,9830,9731
2020-06-18,10900,10900,9860,10800,16901
2020-06-19,10950,12000,10950,11950,19106
2020-06-22,11950,13700,11950,12400,29145
2020-06-23,12100,12950,12000,12400,7274
2020-06-24,12450,12450,11800,12050,8659
2020-06-25,12000,12000,11700,11900,13584
2020-06-26,11900,11950,11200,11950,8578
2020-06-29,11300,11950,11250,11500,3927
2020-06-30,11400,11750,10750,11250,6419
2020-07-01,11200,11250,10500,10700,8595
2020-07-02,10100,12000,10100,10900,3321
2020-07-03,10850,11000,10550,10950,3212
2020-07-06,11350,12000,10600,10950,5752
2020-07-07,10700,11500,10700,11200,92194
2020-07-08,11900,11900,10600,11250,2366
2020-07-09,11500,11500,10500,11100,7354
2020-07-10,11200,11200,10800,11150,464
