Date,Open,High,Low,Close,Volume
2019-09-23,5100,5600,4900,4995,475392
2019-09-24,4930,5040,4910,4910,93415
2019-09-25,5000,5050,4750,4750,59836
2019-09-26,4675,4750,4530,4580,75939
2019-09-27,4505,4745,4480,4620,79540
2019-09-30,4530,4590,4485,4590,36656
2019-10-01,4585,4585,4400,4455,47446
2019-10-02,4410,4510,4410,4450,20024
2019-10-04,4540,4570,4445,4495,96525
2019-10-07,4590,5090,4280,4735,289755
2019-10-08,4625,4950,4625,4885,188324
2019-10-10,4895,4980,4705,4850,67517
2019-10-11,4765,4900,4740,4770,34152
2019-10-14,4775,4835,4610,4785,37119
2019-10-15,4750,4805,4600,4680,42621
2019-10-16,4680,4710,4580,4600,67915
2019-10-17,4595,4605,4540,4605,42499
2019-10-18,4550,4645,4425,4550,115474
2019-10-21,4505,4565,4410,4560,125730
2019-10-22,4570,4570,4440,4480,78239
2019-10-23,4410,4525,4365,4430,107715
2019-10-24,4365,4685,4225,4520,209355
2019-10-25,4550,4700,4405,4700,423315
2019-10-28,4820,5090,4745,5040,772195
2019-10-29,5060,5070,4780,4830,470703
2019-10-30,4850,4975,4570,4665,100960
2019-10-31,4745,4745,4315,4440,261411
2019-11-01,4440,4500,4315,4360,155180
2019-11-04,4390,4420,4270,4340,171038
2019-11-05,4300,4380,4190,4345,184653
2019-11-06,4345,4540,4305,4480,198368
2019-11-07,4480,4560,4400,4480,135850
2019-11-08,4480,4535,4365,4415,135555
2019-11-11,4480,4480,4290,4450,99818
2019-11-12,4450,4450,4300,4395,78561
2019-11-13,4395,5000,4265,4855,610212
2019-11-14,5050,5280,4925,5050,478679
2019-11-15,5050,6000,4970,5910,1688201
2019-11-18,5960,6740,5330,5850,1545369
2019-11-19,6000,6500,5410,5450,1331557
2019-11-20,6350,6630,5470,5600,2283106
2019-11-21,5630,5700,4890,5010,727192
2019-11-22,5000,5000,4635,4730,494355
2019-11-25,4790,4830,4485,4755,364945
2019-11-26,4765,4885,4565,4685,213632
2019-11-27,4700,4700,4495,4500,510197
2019-11-28,4435,4450,3995,4215,969219
2019-11-29,4180,4180,3985,4080,461423
2019-12-02,4085,4260,3985,4175,430481
2019-12-03,4135,4200,3995,4200,244681
2019-12-04,4200,4205,4035,4190,155266
2019-12-05,4055,4095,4000,4025,172808
2019-12-06,3965,4110,3880,4110,231306
2019-12-09,4110,4125,3970,4100,158849
2019-12-10,4040,4200,3985,4195,336186
2019-12-11,4195,4285,4090,4220,155679
2019-12-12,4220,4295,4105,4295,167630
2019-12-13,4250,4360,4225,4260,256428
2019-12-16,4260,4270,4150,4180,92441
2019-12-17,4180,4205,4020,4050,135256
2019-12-18,4095,4105,3985,4080,100018
2019-12-19,4125,4135,4000,4130,96975
2019-12-20,4170,4170,4015,4130,117172
2019-12-23,4130,4130,4020,4085,59062
2019-12-24,4085,4150,3980,4115,153740
2019-12-26,4040,4145,3990,4120,196991
2019-12-27,4050,4205,4050,4125,133638
2019-12-30,4170,4205,4050,4150,104999
2020-01-02,4175,4180,4110,4140,74713
2020-01-03,4180,4180,4065,4085,94169
2020-01-06,3990,4080,3965,3985,110539
2020-01-07,3980,4175,3980,4170,101018
2020-01-08,4170,4170,4000,4125,129800
2020-01-09,4125,4125,4030,4085,139774
2020-01-10,4085,4095,3990,4050,150286
2020-01-13,4050,4050,3975,3990,151876
2020-01-14,4000,4005,3890,4000,203302
2020-01-15,3990,4000,3925,3970,71304
2020-01-16,3970,3990,3900,3980,93708
2020-01-17,3980,4005,3915,3925,90658
2020-01-20,3925,3950,3850,3860,91971
2020-01-21,3860,3985,3590,3750,428380
2020-01-22,3755,3860,3655,3855,186347
2020-01-23,3770,3850,3755,3850,94959
2020-01-28,3850,3850,3600,3840,108523
2020-01-29,3805,3840,3660,3755,59546
2020-01-30,3710,3795,3675,3780,65733
2020-01-31,3795,3850,3610,3715,168785
2020-02-03,3680,3700,3345,3700,133044
2020-02-04,3700,3710,3545,3705,126237
2020-02-05,3720,3725,3645,3715,38789
2020-02-06,3745,3745,3635,3700,57745
2020-02-07,3690,3690,3560,3680,39218
2020-02-10,3730,3730,3595,3635,44780
2020-02-11,3635,3705,3600,3695,54943
2020-02-12,3730,4155,3720,3850,1274409
2020-02-13,3850,3850,3675,3830,229965
2020-02-14,3790,3820,3695,3795,122991
2020-02-17,3770,3770,3685,3700,120710
2020-02-18,3665,3740,3600,3660,114252
2020-02-19,3670,3735,3570,3705,144182
2020-02-20,3700,3710,3630,3700,81948
2020-02-21,3700,3700,3595,3635,84327
2020-02-24,3580,3625,3415,3600,130341
2020-02-25,3475,3600,3475,3600,66545
2020-02-26,3505,3600,3485,3600,70280
2020-02-27,3580,3595,3510,3590,85505
