Date,Open,High,Low,Close,Volume
2019-09-23,7010,7010,7010,7010,0
2019-09-24,7010,7010,7010,7010,0
2019-09-25,7010,7010,7010,7010,0
2019-09-26,7010,7010,7010,7010,0
2019-09-27,7010,7010,7010,7010,0
2019-09-30,7010,7010,7010,7010,0
2019-10-01,7010,7010,7010,7010,0
2019-10-02,7010,7010,7010,7010,0
2019-10-04,7010,7010,7010,7010,0
2019-10-07,7010,7010,7010,7010,0
2019-10-08,7010,7010,7010,7010,0
2019-10-10,7010,7010,7010,7010,0
2019-10-11,7010,7010,7010,7010,0
2019-10-14,7010,7010,7010,7010,0
2019-10-15,7010,7010,7010,7010,0
2019-10-16,7010,7010,7010,7010,0
2019-10-17,7010,7010,7010,7010,0
2019-10-18,7010,7010,7010,7010,0
2019-10-21,7010,7010,7010,7010,0
2019-10-22,7010,7010,7010,7010,0
2019-10-23,7010,7010,7010,7010,0
2019-10-24,7010,7010,7010,7010,0
2019-10-25,7010,7010,7010,7010,0
2019-10-28,7010,7010,7010,7010,0
2019-10-29,7010,7010,7010,7010,0
2019-10-30,7010,7010,7010,7010,0
2019-10-31,7010,7010,7010,7010,0
2019-11-01,7010,7010,7010,7010,0
2019-11-04,7010,7010,7010,7010,0
2019-11-05,7010,7010,7010,7010,0
2019-11-06,7010,7010,7010,7010,0
2019-11-07,7010,7010,7010,7010,0
2019-11-08,7010,7010,7010,7010,0
2019-11-11,7010,7010,7010,7010,0
2019-11-12,7010,7010,7010,7010,0
2019-11-13,7010,7010,7010,7010,0
2019-11-14,7010,7010,7010,7010,0
2019-11-15,7010,7010,7010,7010,0
2019-11-18,7010,7010,7010,7010,0
2019-11-19,7010,7010,7010,7010,0
2019-11-20,7010,7010,7010,7010,0
2019-11-21,7010,7010,7010,7010,0
2019-11-22,7010,7010,7010,7010,0
2019-11-25,7010,7010,7010,7010,0
2019-11-26,7010,7010,7010,7010,0
2019-11-27,7010,7010,7010,7010,0
2019-11-28,7010,7010,7010,7010,0
2019-11-29,7010,7010,7010,7010,0
2019-12-02,7010,7010,7010,7010,0
2019-12-03,7010,7010,7010,7010,0
2019-12-04,7010,7010,7010,7010,0
2019-12-05,7010,7010,7010,7010,0
2019-12-06,7010,7010,7010,7010,0
2019-12-09,7010,7010,7010,7010,0
2019-12-10,7010,7010,7010,7010,0
2019-12-11,7010,7010,7010,7010,0
2019-12-12,7010,7010,7010,7010,0
