Date,Open,High,Low,Close,Volume
2019-09-23,9000,10000,8760,9200,15114
2019-09-24,9000,9100,9000,9100,3502
2019-09-25,8520,9000,8520,9000,2193
2019-09-26,8950,9100,8950,9000,8723
2019-09-27,9000,9100,8930,9000,35686
2019-09-30,9000,9100,8950,9100,20262
2019-10-01,8770,9000,8770,9000,5585
2019-10-02,9000,9000,8990,9000,3056
2019-10-04,9000,9000,8850,8850,8079
2019-10-07,8990,9000,8950,9000,10940
2019-10-08,8990,9970,8990,9970,351020
2019-10-10,9960,10300,9030,9490,12174
2019-10-11,9480,9500,9480,9500,2375
2019-10-14,9490,9900,9140,9150,1682
2019-10-15,9500,9900,9200,9800,3880
2019-10-16,9700,10100,9700,10000,3612
2019-10-17,10500,10500,9510,10300,12856
2019-10-18,10500,11000,10400,11000,8935
2019-10-21,10100,11000,10050,10450,16553
2019-10-22,10300,10700,10000,10450,10384
2019-10-23,10900,10900,9840,10100,13089
2019-10-24,10200,10200,9750,9960,7279
2019-10-25,10000,10500,9900,10200,10442
2019-10-28,10400,10550,10150,10500,15339
2019-10-29,10500,10650,10350,10500,12533
2019-10-30,10600,10600,10250,10350,19204
2019-10-31,10500,10600,10300,10600,13661
2019-11-01,10600,10600,10300,10400,10134
2019-11-04,10450,10650,10000,10600,18467
2019-11-05,10500,11500,10500,11000,14765
2019-11-06,11000,11100,10600,11000,6553
2019-11-07,10950,11000,10400,10800,9968
2019-11-08,11200,11200,10700,10750,8469
2019-11-11,10500,10600,10000,10600,12790
2019-11-12,10600,11000,10150,10200,14973
2019-11-13,10300,10300,10000,10300,25566
2019-11-14,10300,10350,10100,10350,7067
2019-11-15,10700,10750,10000,10500,20568
2019-11-18,10800,10800,10400,10600,6580
2019-11-19,10600,11400,10500,11000,17652
2019-11-20,10600,11050,10600,11050,14046
2019-11-21,10700,10800,10600,10600,7178
2019-11-22,10350,10800,10350,10800,6824
2019-11-25,10800,10900,10800,10800,18793
2019-11-26,10600,10800,10600,10650,1645
2019-11-27,10600,10800,10400,10400,3134
2019-11-28,10750,10750,10150,10400,3823
2019-11-29,10450,10700,10100,10700,17153
2019-12-02,10250,10600,10100,10300,5652
2019-12-03,10050,10300,10000,10200,3261
