Date,Open,High,Low,Close,Volume
2019-09-23,2610,2625,2550,2595,18540
2019-09-24,2595,2640,2520,2540,30384
2019-09-25,2505,2540,2490,2495,27018
2019-09-26,2505,2560,2460,2465,23918
2019-09-27,2540,2540,2355,2430,32949
2019-09-30,2405,2520,2385,2475,31183
2019-10-01,2530,2530,2340,2475,25262
2019-10-02,2475,2475,2420,2430,26853
2019-10-04,2430,2430,2385,2430,8113
2019-10-07,2430,2430,2370,2380,15781
2019-10-08,2380,2430,2240,2425,31261
2019-10-10,2440,2440,2365,2400,15276
2019-10-11,2400,2760,2375,2420,201848
2019-10-14,2470,2480,2420,2430,14359
2019-10-15,2460,2500,2430,2480,10810
2019-10-16,2520,2670,2505,2560,78807
2019-10-17,2520,2570,2520,2560,30625
2019-10-18,2560,2595,2525,2560,24696
2019-10-21,2550,2575,2475,2475,16773
2019-10-22,2480,2495,2410,2470,44073
2019-10-23,2475,2475,2395,2395,28845
2019-10-24,2395,2425,2315,2390,13717
2019-10-25,2390,2445,2355,2385,14400
2019-10-28,2365,2410,2335,2385,13112
2019-10-29,2385,2485,2355,2450,31755
2019-10-30,2535,2950,2445,2495,806661
2019-10-31,2505,2505,2465,2495,59584
2019-11-01,2470,2535,2450,2480,29675
2019-11-04,2455,2605,2455,2575,55924
2019-11-05,2555,2670,2540,2575,40505
2019-11-06,2600,2600,2530,2530,25239
2019-11-07,2530,2565,2485,2530,32650
2019-11-08,2535,2940,2495,2600,663180
2019-11-11,2660,2705,2620,2670,173596
2019-11-12,2650,2730,2610,2670,71699
2019-11-13,2725,2725,2615,2630,47050
2019-11-14,2630,2660,2610,2650,37240
2019-11-15,2655,2680,2560,2630,73479
2019-11-18,2630,2680,2585,2600,19448
2019-11-19,2650,2650,2570,2585,21828
2019-11-20,2585,2630,2540,2545,49034
2019-11-21,2545,2545,2430,2545,46999
2019-11-22,2540,2610,2500,2500,13837
2019-11-25,2470,2520,2470,2475,23286
2019-11-26,2480,2575,2455,2540,28907
2019-11-27,2540,2560,2495,2530,22867
2019-11-28,2530,2590,2500,2505,11656
2019-11-29,2550,2880,2540,2605,534491
2019-12-02,2610,2665,2540,2625,73894
2019-12-03,2645,2645,2570,2600,24870
2019-12-04,2620,2620,2545,2595,32049
2019-12-05,2650,2650,2565,2585,41998
2019-12-06,2600,2600,2510,2575,58063
2019-12-09,2575,2580,2525,2570,15168
