Date,Open,High,Low,Close,Volume
2019-09-23,2385,2385,2245,2290,40749
2019-09-24,2260,2330,2215,2290,54396
2019-09-25,2280,2330,2205,2245,45628
2019-09-26,2240,2240,2060,2130,45592
2019-09-27,2160,2245,1945,2110,66589
2019-09-30,2110,2170,1995,2170,53822
2019-10-01,2170,2170,2020,2165,59580
2019-10-02,2150,2430,1970,2000,418287
2019-10-04,2045,2050,1920,1975,86003
2019-10-07,2000,2340,1995,2100,410677
2019-10-08,2095,2350,2030,2255,402754
2019-10-10,2090,2130,2005,2020,191838
2019-10-11,2070,2070,1935,1975,62696
2019-10-14,1985,2035,1960,2010,46424
2019-10-15,2035,2040,1950,1960,66893
2019-10-16,2010,2010,1960,1970,48022
2019-10-17,2055,2055,1965,2005,45649
2019-10-18,2005,2010,1950,2010,57193
2019-10-21,2010,2010,1955,1980,31478
2019-10-22,1950,2000,1920,1945,63486
2019-10-23,2000,2100,1935,1990,118065
2019-10-24,2005,2065,1920,2005,83970
2019-10-25,2060,2060,1975,2010,69998
2019-10-28,2010,2060,1995,2035,38938
2019-10-29,2035,2205,2030,2190,201070
2019-10-30,2215,2395,2155,2190,609024
2019-10-31,1980,2065,1905,2000,439814
2019-11-01,1980,2055,1950,1970,161844
2019-11-04,1970,1995,1905,1945,81678
2019-11-05,1975,1975,1900,1940,35966
2019-11-06,1940,1950,1915,1940,46391
2019-11-07,1940,1955,1915,1920,40282
2019-11-08,1915,1950,1910,1950,47844
2019-11-11,1970,1970,1920,1955,16737
2019-11-12,1955,1965,1925,1945,43014
2019-11-13,1975,2090,1950,2005,164306
2019-11-14,2040,2370,2015,2310,585813
2019-11-15,2320,2320,2150,2290,189535
2019-11-18,2230,2305,2185,2205,145926
2019-11-19,2275,2275,2195,2225,78222
2019-11-20,2265,2285,2130,2190,67412
2019-11-21,2270,2270,2015,2090,52344
2019-11-22,2155,2155,1985,2045,63174
2019-11-25,2090,2165,2035,2080,27553
2019-11-26,2125,2170,2070,2105,62403
2019-11-27,2150,2200,2035,2080,42431
2019-11-28,2140,2140,2045,2055,25802
2019-11-29,2085,2095,2025,2045,36972
2019-12-02,2115,2115,2015,2035,32776
2019-12-03,2085,2090,2005,2065,37539
2019-12-04,2100,2100,2020,2070,40643
2019-12-05,2045,2150,2035,2130,82577
2019-12-06,2165,2220,2095,2125,74710
2019-12-09,2130,2300,2105,2280,188754
2019-12-10,2280,2280,2195,2220,96497
2019-12-11,2275,2885,2230,2595,3098291
2019-12-12,3025,3370,2640,2685,3614930
2019-12-13,2610,2755,2510,2735,525566
2019-12-16,2735,2990,2660,2925,502135
2019-12-17,2915,2995,2835,2975,321202
2019-12-18,2800,2965,2615,2940,421362
2019-12-19,2940,3820,2940,3820,2596912
2019-12-20,3950,3965,3410,3590,1094560
2019-12-23,3775,3775,3410,3520,443380
2019-12-24,3525,3525,3350,3420,242556
2019-12-26,3485,3485,3055,3150,283031
2019-12-27,3150,3200,3015,3200,110457
2019-12-30,3200,3200,3035,3105,113358
2020-01-02,3180,3245,3145,3235,83826
2020-01-03,3275,3275,3150,3180,74489
2020-01-06,3180,3790,3180,3345,772281
2020-01-07,3345,3345,2740,3060,761418
2020-01-08,3070,3100,2545,2555,786250
2020-01-09,2600,2675,2555,2615,202128
2020-01-10,2675,2675,2390,2435,434195
2020-01-13,2490,2490,2365,2440,311126
