Date,Open,High,Low,Close,Volume
2019-09-23,4170,4170,3105,3535,2647
2019-09-24,3590,3590,3005,3195,8118
2019-09-25,3345,3345,3285,3285,10
2019-09-26,3775,3775,2795,3550,2314
2019-09-27,3895,3895,3020,3865,1286
2019-09-30,3395,3395,3290,3380,1209
2019-10-01,3380,3380,3380,3380,5
2019-10-02,3380,3500,3380,3500,27
2019-10-04,3900,3900,2975,3000,2548
2019-10-07,3445,3445,2715,2730,375
2019-10-08,3090,3090,2575,3025,513
2019-10-10,3395,3395,2720,3390,26
2019-10-11,3850,3850,2900,3745,7
2019-10-14,3195,4295,3185,3185,7938
2019-10-15,3595,3595,2855,3390,15
2019-10-16,3780,3780,2950,3665,9
2019-10-17,3445,3445,3125,3370,555
2019-10-18,3495,3495,2915,3395,13
2019-10-21,3370,3370,2915,2925,1024
2019-10-22,3325,3325,2815,3250,2432
2019-10-23,3195,3695,2910,3490,1316
2019-10-24,3945,3945,3050,3870,14
2019-10-25,3985,3985,3300,3950,417
2019-10-28,3700,3700,3700,3700,10
2019-10-29,3485,4255,3320,4250,2052
2019-10-30,3995,4000,3615,4000,1366
2019-10-31,4000,4000,3410,3990,631
2019-11-01,3995,4000,3990,3990,43
2019-11-04,3990,3990,3395,3450,630
2019-11-05,3890,3890,3060,3880,1892
2019-11-06,3300,3985,3300,3385,377
2019-11-07,3875,3875,3015,3595,384
2019-11-08,3590,4100,3575,3580,2285
2019-11-11,3575,4000,3045,3780,4737
2019-11-12,3215,4285,3215,3475,2111
2019-11-13,3465,3465,2955,3450,6708
2019-11-14,3945,3945,3000,3000,7
2019-11-15,3395,3395,3395,3395,26
2019-11-18,3885,3885,3845,3845,509
2019-11-19,3990,3990,3270,3695,3134
2019-11-20,3685,4185,3500,3500,400
2019-11-21,3500,3900,3015,3485,3240
2019-11-22,3795,3795,3495,3495,22
2019-11-25,3800,3800,3015,3470,4457
2019-11-26,3800,3800,3005,3780,1487
2019-11-27,3215,3775,3215,3585,5525
2019-11-28,3575,3575,3100,3400,25
2019-11-29,3295,3795,3250,3730,1233
2019-12-02,4000,4250,3180,3390,1433
2019-12-03,3300,3785,3025,3400,414
2019-12-04,3390,3390,3390,3390,5
2019-12-05,3350,3350,2915,3330,4286
2019-12-06,3695,3695,3685,3690,26
2019-12-09,4000,4195,3140,3140,1597
2019-12-10,3380,3380,2750,3150,321
2019-12-11,3150,3150,2750,2750,2915
2019-12-12,3090,3090,2500,3050,228
2019-12-13,3495,3495,3490,3490,21
2019-12-16,3995,3995,2970,3965,9
2019-12-17,3695,3695,3695,3695,5
2019-12-18,3395,3395,3145,3385,1508
2019-12-19,3595,3595,2880,3195,1251
2019-12-20,3185,3185,3180,3180,110
2019-12-23,3170,3170,3155,3155,96
2019-12-24,3500,3500,3000,3445,298
2019-12-26,3895,3895,3580,3580,106
2019-12-27,3895,3895,3050,3295,419
2019-12-30,3295,3745,2870,3700,1163
2020-01-02,3900,3900,3850,3850,11
2020-01-03,4000,4000,3960,3960,11
2020-01-06,3900,3900,3800,3800,10
2020-01-07,3950,3950,3230,3685,733
2020-01-08,3495,3495,3495,3495,6
2020-01-09,3485,3485,2975,3185,2402
2020-01-10,3650,3650,2765,3000,2161
2020-01-13,3445,3445,2800,3325,21
2020-01-14,3815,3815,3815,3815,6
2020-01-15,3990,3990,3245,3445,1080
2020-01-16,3700,3700,3680,3680,25
2020-01-17,3900,3900,3130,3825,666
2020-01-20,3820,3820,3260,3470,575
2020-01-21,3900,3900,3750,3750,36
2020-01-22,3845,3845,3190,3190,1150
2020-01-23,2815,3300,2815,3290,419
2020-01-28,3715,3715,3430,3430,111
2020-01-29,3430,3430,2920,3395,1107
2020-01-30,3650,3650,2950,3480,1141
2020-01-31,3995,3995,3680,3680,17
2020-02-03,3840,3840,3130,3130,258
2020-02-04,3580,3580,2800,3085,2076
2020-02-05,3230,3230,3220,3220,105
2020-02-06,3690,3690,3650,3650,105
2020-02-07,3630,3630,3105,3545,277
2020-02-10,3050,3300,3015,3300,1530
2020-02-11,3100,3465,3100,3465,222
2020-02-12,3965,3965,3800,3800,108
2020-02-13,3795,3795,3230,3770,17
2020-02-14,3495,3495,3205,3205,154
2020-02-17,3495,3495,2725,2725,5194
2020-02-18,3000,3000,2360,2950,994
2020-02-19,3300,3375,2645,3300,2342
2020-02-20,3285,3285,2830,3245,310
2020-02-21,3290,3290,2900,3280,269
2020-02-24,3195,3195,2850,3100,1226
2020-02-25,3295,3295,2955,3290,16
2020-02-26,3295,3295,2800,3100,1585
2020-02-27,3300,3300,2800,3285,960
2020-02-28,3245,3245,2795,3190,2046
2020-03-02,3150,3150,2800,2800,14
2020-03-03,3195,3195,2850,3180,302
2020-03-04,3295,3295,3280,3280,17
2020-03-05,3295,3295,3290,3290,15
2020-03-06,3295,3295,3295,3295,13
2020-03-09,3295,3295,2855,3270,28
2020-03-10,3295,3295,3290,3290,13
2020-03-11,3295,3295,3280,3280,13
2020-03-12,3295,3295,3290,3290,14
2020-03-13,3295,3295,3290,3290,13
2020-03-16,3295,3295,3290,3290,13
2020-03-17,3285,3290,3285,3285,35
2020-03-18,3300,3300,3295,3295,8
2020-03-19,3300,3300,3300,3300,3
2020-03-20,3295,3295,3290,3290,10
2020-03-23,3295,3295,3290,3290,8
2020-03-24,3300,3300,3290,3290,8
2020-03-25,3740,3740,3740,3740,101
2020-03-26,4185,4185,4185,4185,101
2020-03-27,3560,4000,3560,4000,2151
2020-03-30,3400,4450,3400,3400,3984
2020-03-31,2890,3700,2890,3500,18212
2020-04-01,3200,3200,3195,3200,1448
2020-04-02,3200,3650,2720,3195,7209
2020-04-03,3200,3200,3160,3160,330
2020-04-06,3200,3200,3150,3190,209
2020-04-07,3190,3200,2800,3190,80
2020-04-08,3500,3500,3100,3100,53
2020-04-09,3200,3200,2710,3190,433
2020-04-10,3200,3660,3000,3190,4010
2020-04-13,3200,3200,3195,3195,8
2020-04-14,3200,3200,3200,3200,41
2020-04-16,3670,3670,3500,3670,3006
2020-04-17,3200,3800,3200,3800,4243
2020-04-20,3800,4350,3795,4295,392
2020-04-21,4000,4000,3655,3800,2436
2020-04-22,3800,4350,3800,4350,201
2020-04-23,4800,4800,3700,4195,338
2020-04-24,4000,4000,3800,3800,57
2020-04-27,3800,3800,3795,3800,96
2020-04-28,3800,3800,3795,3800,19
2020-04-29,4200,4200,4200,4200,3
2020-05-04,4200,4700,3570,3570,515
2020-05-06,4000,4000,3050,3940,1798
2020-05-07,3350,4095,3350,3900,862
2020-05-08,4000,4000,3330,3590,534
2020-05-11,3500,4110,3055,3055,3674
2020-05-12,3450,3450,3450,3450,3
2020-05-13,3895,3895,3895,3895,3
2020-05-14,3795,3795,3315,3395,1006
2020-05-15,3795,3795,2890,3740,506
2020-05-18,4290,4290,3180,4000,529
2020-05-19,4000,4490,4000,4440,9
2020-05-20,3775,4290,3775,4290,833
2020-05-21,3795,3795,3775,3775,4
2020-05-22,4000,4000,3210,3795,557
2020-05-25,4345,4345,3230,3930,1351
2020-05-26,3695,3970,3345,3560,3511
2020-05-27,3995,3995,3030,3030,2188
2020-05-28,3455,3480,2750,3435,8639
2020-05-29,3435,3435,2965,3265,1397
2020-06-01,3250,3700,3250,3700,420
2020-06-02,3895,3895,3785,3785,569
2020-06-03,4340,4340,3260,3790,1108
2020-06-04,3885,3885,3270,3695,1932
2020-06-05,3995,3995,3935,3990,4469
2020-06-08,3985,3985,3400,3795,1239
2020-06-09,3900,3900,3500,3795,1767
2020-06-10,3745,3845,3745,3810,1139
2020-06-11,3800,3800,3770,3770,215
2020-06-12,3750,4195,3690,4195,620
2020-06-15,4400,4400,4150,4300,695
2020-06-16,4940,4940,3800,4495,348
2020-06-17,5140,5140,5100,5100,131
2020-06-18,5100,5100,4350,4900,166
2020-06-19,4900,4900,4900,4900,25
2020-06-22,4900,4900,4900,4900,3
2020-06-23,5610,5610,5610,5610,3
2020-06-24,5600,5610,4770,5540,530
2020-06-25,5510,5510,4720,5490,1337
2020-06-26,6300,6300,4670,5940,4122
2020-06-29,6810,6810,5060,6050,10085
2020-06-30,6930,6930,5150,6000,3849
2020-07-01,6890,6890,5100,5890,2960
2020-07-02,6690,6690,5010,5680,1463
2020-07-03,6490,6490,4830,5690,1749
2020-07-06,6490,6490,4840,5080,1669
2020-07-07,5490,5490,4320,4320,1396
2020-07-08,4955,4955,3800,4880,363
2020-07-09,5590,5590,4200,5270,31
2020-07-10,4500,4990,4480,4985,1660
2020-07-13,5710,5710,4300,4985,726
2020-07-14,5480,5480,5470,5470,9
2020-07-15,5470,6260,4650,5050,898
2020-07-16,5010,5010,4355,4980,16
2020-07-17,5490,5490,5490,5490,6
2020-07-20,5990,5990,4685,5690,453
2020-07-21,5000,5990,5000,5690,84
2020-07-22,5470,5470,4860,5470,48
2020-07-23,5240,6280,4665,6280,387
2020-07-24,7190,7190,5350,7060,25
2020-07-27,8070,8070,6010,7990,48
2020-07-28,9120,9120,6800,8780,2059
2020-07-29,7500,9660,7470,8940,2977
2020-07-30,7600,9780,7600,7600,246
2020-07-31,8490,8490,6460,6460,251
2020-08-03,6990,6990,5560,6980,2588
2020-08-04,8000,8000,8000,8000,1
2020-08-05,7590,9170,6890,8460,1216
2020-08-06,8460,8460,7200,7200,9
2020-08-07,8240,8250,6200,7400,16
2020-08-10,8230,8230,8230,8230,1
2020-08-11,8220,8220,7000,7000,737
2020-08-12,7000,7000,6060,6940,839
2020-08-13,6930,6930,6850,6850,125
2020-08-14,7490,7490,5830,7000,34
2020-08-18,6500,6990,5950,6390,2084
2020-08-19,6990,6990,5440,5690,4823
2020-08-20,6510,6510,4840,5890,2572
2020-08-21,6750,6750,5010,5820,528
2020-08-24,5810,5820,4950,5820,391
2020-08-25,6670,6670,4950,6580,1171
2020-08-26,5600,7500,5600,6330,4780
2020-08-27,7240,7240,5410,6980,126
2020-08-28,7900,7900,5940,6180,2160
