Date,Open,High,Low,Close,Volume
2019-09-23,10400,10400,10150,10250,33238
2019-09-24,10200,10550,10200,10500,78293
2019-09-25,10500,10500,10000,10200,63022
2019-09-26,10250,11000,10150,11000,265694
2019-09-27,11000,11000,10650,10850,93255
2019-09-30,10850,10850,10350,10550,103043
2019-10-01,10550,10600,10350,10450,41540
2019-10-02,10350,10500,10100,10350,59062
2019-10-04,10250,10400,10100,10250,31020
2019-10-07,10250,10500,10100,10250,30485
2019-10-08,10250,10350,10000,10350,69983
2019-10-10,10300,10300,10050,10150,43940
2019-10-11,10150,10250,10000,10100,31281
2019-10-14,10200,10500,10100,10300,54125
2019-10-15,10350,10600,10300,10500,77690
2019-10-16,10500,10650,10450,10500,62437
2019-10-17,10600,10600,10150,10300,42780
2019-10-18,10400,10500,10250,10350,30093
2019-10-21,10350,10400,10100,10200,31963
2019-10-22,10150,10300,9980,10250,72386
2019-10-23,10250,10400,10000,10150,54762
2019-10-24,10150,10150,9870,9870,90238
2019-10-25,10100,10500,10050,10300,122115
2019-10-28,10450,10750,10050,10700,123365
2019-10-29,10700,11100,10550,10900,264342
2019-10-30,10800,10950,10400,10500,68866
2019-10-31,10500,10650,10250,10300,53353
2019-11-01,10250,10650,10200,10650,94510
2019-11-04,10850,10850,10500,10650,65668
2019-11-05,10650,10700,10450,10600,51166
2019-11-06,10600,10600,10150,10250,186199
2019-11-07,10250,10300,10100,10200,50406
2019-11-08,10100,10250,9970,10050,71176
2019-11-11,10000,10250,9950,9950,66188
2019-11-12,9960,10050,9600,9870,106290
2019-11-13,9770,9900,9710,9850,27933
2019-11-14,9710,9990,9710,9770,34197
2019-11-15,9730,9950,9730,9890,40167
2019-11-18,9970,10050,9890,9940,40772
2019-11-19,10050,10050,9800,9910,33546
2019-11-20,9900,9980,9660,9720,35765
2019-11-21,9680,9680,9280,9430,72334
2019-11-22,9530,9620,9140,9330,67134
2019-11-25,9350,9620,9330,9540,23711
2019-11-26,9600,9600,9430,9500,13332
2019-11-27,9500,9570,9350,9400,18216
2019-11-28,9350,9460,9300,9350,12386
2019-11-29,9340,9350,9090,9320,23094
2019-12-02,9040,9260,9000,9090,55784
2019-12-03,9000,9150,8650,8830,105157
2019-12-04,8750,8750,8550,8550,66722
2019-12-05,8560,8750,8500,8540,59042
2019-12-06,8540,8850,8540,8780,46431
2019-12-09,8860,9060,8700,9060,41048
2019-12-10,9060,9080,8910,9080,14735
2019-12-11,9100,9550,9030,9460,35192
2019-12-12,9460,9680,9350,9520,55226
2019-12-13,9550,9740,9540,9740,113483
2019-12-16,9900,9900,9660,9710,34464
2019-12-17,9810,10100,9730,10100,188801
2019-12-18,10150,10300,10000,10100,145026
2019-12-19,10250,10600,10150,10300,190480
2019-12-20,10600,10600,10200,10300,83043
2019-12-23,10300,10400,9910,10150,72141
2019-12-24,10200,10250,10000,10100,55381
2019-12-26,10100,10450,10100,10400,130467
2019-12-27,10400,10450,10150,10300,85387
2019-12-30,10400,10450,10200,10300,48451
2020-01-02,10300,10550,10250,10400,69057
2020-01-03,10400,10600,10200,10350,79006
2020-01-06,10200,10200,10000,10150,55053
2020-01-07,10150,10350,10000,10100,100521
2020-01-08,10100,10100,9820,10000,80857
2020-01-09,10150,10700,10100,10700,206844
2020-01-10,10800,10950,10700,10850,75659
2020-01-13,11300,11600,10950,11450,350531
2020-01-14,11550,11600,11200,11500,172933
2020-01-15,11600,11600,11200,11500,71822
2020-01-16,11550,12200,11550,12000,294772
2020-01-17,12100,12400,11700,12400,221702
2020-01-20,12400,12700,12300,12450,224381
2020-01-21,12400,12450,11900,12300,156491
2020-01-22,12300,12450,12100,12400,118554
2020-01-23,12400,12450,11900,12150,111773
2020-01-28,11500,11800,11200,11700,202357
2020-01-29,11750,12050,11450,11800,124035
2020-01-30,12000,12000,11350,11600,88855
2020-01-31,11600,12050,11150,11250,182429
2020-02-03,10950,11450,10450,11350,144296
2020-02-04,11450,11450,11150,11350,58591
2020-02-05,11500,11800,11200,11200,109877
2020-02-06,11250,11650,11250,11600,90814
2020-02-07,11650,11650,11100,11350,99227
2020-02-10,11200,11400,11100,11350,54044
2020-02-11,11300,11600,11250,11500,86882
2020-02-12,11450,11900,11350,11850,127866
2020-02-13,12000,12000,11750,12000,98997
2020-02-14,12000,12250,11800,12150,103154
2020-02-17,12200,12250,11900,12200,83856
2020-02-18,12300,12300,11550,11650,91522
2020-02-19,11650,11700,11200,11500,45264
2020-02-20,11650,11800,11500,11700,75117
2020-02-21,11450,11700,11300,11450,66190
2020-02-24,11000,11200,10700,10850,92306
2020-02-25,10850,11000,10350,10900,73156
2020-02-26,10600,10800,10250,10500,76159
2020-02-27,10500,10650,10100,10350,152831
2020-02-28,10050,10150,9680,9820,135024
2020-03-02,9820,10450,9700,10400,91176
2020-03-03,10750,10950,10500,10600,146858
2020-03-04,10450,10850,10400,10800,60910
2020-03-05,10950,11050,10700,10950,42372
2020-03-06,10700,10850,10200,10400,77868
2020-03-09,10200,10200,9540,9540,191840
2020-03-10,9630,9670,9320,9640,103176
2020-03-11,9660,9780,9320,9400,97135
2020-03-12,9070,9430,8700,9000,152890
2020-03-13,8010,8340,7160,8140,283839
2020-03-16,8340,8540,7170,7260,183862
2020-03-17,6210,7400,6210,7220,239547
2020-03-18,7300,7780,7070,7070,130367
2020-03-19,7120,7500,6010,6300,176153
2020-03-20,6500,7090,6350,7090,114965
2020-03-23,6580,7040,6350,6470,74712
2020-03-24,6700,7200,6680,7200,80263
2020-03-25,7870,7890,7400,7800,82989
2020-03-26,7810,8150,7580,8030,77991
2020-03-27,8380,8380,7630,8150,45104
2020-03-30,7970,8130,7500,8100,34474
2020-03-31,8390,8390,8110,8260,27037
2020-04-01,8260,8350,7940,8050,36565
2020-04-02,8050,8090,7800,8050,40301
2020-04-03,8220,8300,7650,7990,101335
2020-04-06,8040,8600,7850,8580,152489
2020-04-07,8750,8990,8150,8700,106144
2020-04-08,8560,8960,8550,8890,74678
2020-04-09,8930,9090,8660,8790,126317
2020-04-10,8790,8970,8630,8860,50003
2020-04-13,8860,8860,8500,8680,77343
2020-04-14,8680,9150,8680,9060,87366
2020-04-16,9180,9180,8910,9080,51704
2020-04-17,9220,9480,9160,9230,83724
2020-04-20,9390,9390,9050,9130,42855
2020-04-21,9130,9170,8230,8920,51019
2020-04-22,8790,8960,8670,8950,43427
2020-04-23,9040,9180,8850,9160,42899
2020-04-24,9140,9340,9000,9090,47957
2020-04-27,9040,9300,9040,9230,36730
2020-04-28,9380,9380,9140,9290,29667
2020-04-29,9290,9480,9280,9390,53803
2020-05-04,9160,9400,9130,9170,24654
2020-05-06,9170,9330,9070,9210,27575
2020-05-07,9330,9430,9080,9400,55568
2020-05-08,9500,11600,9410,10550,1379634
2020-05-11,10750,11500,10350,11500,680382
2020-05-12,11400,11450,10750,10750,289657
2020-05-13,10700,10900,10300,10900,209702
2020-05-14,11150,11350,10650,11000,322550
2020-05-15,11350,12150,11200,11700,668000
2020-05-18,11350,11900,10600,11850,450964
2020-05-19,12000,13000,11700,11850,673661
2020-05-20,12100,12800,12100,12750,384209
2020-05-21,12900,13500,12600,12950,471329
2020-05-22,13200,13850,12700,13500,672678
2020-05-25,14150,15300,14000,14600,969059
2020-05-26,14600,14850,13700,14600,564890
2020-05-27,14500,14600,13650,13800,354086
2020-05-28,13850,14400,13100,13550,480960
2020-05-29,13550,13650,12850,13500,188791
2020-06-01,14800,17550,14150,15900,3069266
2020-06-02,16050,17100,15600,16050,857853
2020-06-03,16150,16850,15100,16050,1024761
2020-06-04,15950,16100,15000,15450,534749
2020-06-05,15550,16300,15450,15950,420359
2020-06-08,16150,16200,15300,16000,348213
2020-06-09,15700,16350,15500,15950,261585
2020-06-10,16000,16350,15550,16200,228179
2020-06-11,16000,17850,15950,16950,609073
2020-06-12,15700,17250,15300,17000,465623
2020-06-15,17100,17500,15700,15700,433276
2020-06-16,16500,16900,16250,16800,219470
2020-06-17,16650,17250,16200,16850,156099
2020-06-18,17250,17250,16350,16850,132902
2020-06-19,16900,18200,16600,17900,565846
2020-06-22,17800,17800,16750,17050,361199
2020-06-23,17000,17750,16900,17350,205761
2020-06-24,17400,18550,17250,18050,308004
2020-06-25,17650,18650,17400,18400,198993
2020-06-26,18600,19200,18050,18300,228336
2020-06-29,17850,18300,17550,18100,147398
2020-06-30,18250,18950,17550,17800,175584
2020-07-01,17800,18400,17400,17400,93298
2020-07-02,17500,18600,17500,18600,122928
2020-07-03,18900,18900,18250,18600,64431
2020-07-06,18600,20500,18600,20200,384311
2020-07-07,20250,21000,19150,19900,348404
2020-07-08,19850,22700,19300,22150,624690
2020-07-09,22450,22750,21000,21050,413412
2020-07-10,21050,21700,20550,20600,166582
2020-07-13,20550,20850,19800,20400,214580
2020-07-14,20000,20250,19100,19500,235905
