Date,Open,High,Low,Close,Volume
2019-09-23,8920,8920,8760,8800,11369
2019-09-24,8820,9130,8660,8980,44259
2019-09-25,8860,9220,8800,8940,28473
2019-09-26,8940,9090,8860,8990,19513
2019-09-27,9000,11650,8880,11650,2163659
2019-09-30,12650,13000,11000,11000,2029280
2019-10-01,10850,13600,10750,12000,5606235
2019-10-02,11800,12450,11600,12000,1232313
2019-10-04,12000,12500,11550,12100,1299757
2019-10-07,12900,14300,12150,12300,5402310
2019-10-08,12250,12250,12000,12200,304481
2019-10-10,12250,12300,11950,11950,192679
2019-10-11,12050,12500,12050,12450,388769
2019-10-14,12450,12700,11950,12150,455134
2019-10-15,12200,12400,11750,12000,297063
2019-10-16,12000,14600,11750,13100,4456192
2019-10-17,13050,13350,12500,12700,510865
2019-10-18,12400,12600,12100,12500,352395
2019-10-21,12300,12850,12200,12450,297777
2019-10-22,12500,12800,12300,12650,326660
2019-10-23,12750,13650,12650,13050,969583
2019-10-24,13000,13050,12050,12400,246112
2019-10-25,12500,12500,11750,11850,122387
2019-10-28,11850,14500,11600,12200,1925148
2019-10-29,13400,15000,12600,12700,5115955
2019-10-30,12800,16500,12800,15900,7203573
2019-10-31,16300,17900,14250,14650,8150704
2019-11-01,14900,17750,14700,16400,8841541
2019-11-04,16400,16500,15350,16100,1407809
2019-11-05,15850,18900,15100,16850,5660755
2019-11-06,16750,18200,16450,16450,2984944
2019-11-07,16700,18000,16400,16400,2232649
2019-11-08,16600,16950,15400,15500,796209
2019-11-11,15600,15850,14850,15600,632523
2019-11-12,15850,17000,15500,16300,2167474
2019-11-13,16650,16650,15400,15400,714555
2019-11-14,15500,15700,14700,14700,385287
2019-11-15,14500,15450,14150,14650,473619
2019-11-18,14900,16100,14900,15050,985576
2019-11-19,15050,15700,14500,14500,292063
2019-11-20,14650,15950,13950,14300,1548712
2019-11-21,14200,14400,13350,13350,435584
2019-11-22,13300,13650,12950,13050,310647
2019-11-25,13250,13650,13250,13600,206845
2019-11-26,14100,14550,13700,13850,502402
2019-11-27,13800,14200,13550,13550,139930
2019-11-28,13600,14700,13350,13900,1519549
2019-11-29,13250,13550,12650,12650,407056
2019-12-02,12800,13400,12800,13000,227434
2019-12-03,12750,13150,12750,13100,135896
2019-12-04,13000,13300,12900,13150,144355
2019-12-05,13150,13950,12950,12950,633162
2019-12-06,12950,14900,12950,13600,1594485
2019-12-09,13900,14400,13300,13300,960571
2019-12-10,13200,13550,13000,13300,191949
2019-12-11,13300,13700,13200,13550,275806
2019-12-12,13750,13950,13500,13500,180778
2019-12-13,13550,14400,13450,14050,712550
2019-12-16,14050,14450,13800,13950,320256
2019-12-17,14000,14050,13450,13550,203317
2019-12-18,13500,13800,13450,13550,119856
2019-12-19,13800,14200,13600,13800,300937
2019-12-20,13850,14350,13750,13900,262194
2019-12-23,14150,14250,13550,13600,194444
2019-12-24,13500,13550,11850,12400,503118
2019-12-26,12400,12850,12300,12750,132222
2019-12-27,12550,13000,12550,12850,92030
2019-12-30,12850,14100,12850,14100,330608
2020-01-02,14100,14800,13900,14400,301244
2020-01-03,14450,15050,14200,14900,517554
2020-01-06,14600,15200,13900,13900,365795
2020-01-07,13900,14500,13900,14000,175032
2020-01-08,13750,13950,12850,12900,244450
2020-01-09,13450,14200,13450,14000,249092
2020-01-10,14000,14300,13900,14150,135609
2020-01-13,14150,14650,13950,14000,188347
2020-01-14,14200,14250,13650,13800,117623
2020-01-15,13850,14300,13700,13900,117709
2020-01-16,13900,14450,13800,14200,184819
2020-01-17,14350,16500,14100,14700,3125106
2020-01-20,14850,15000,13900,14150,1175747
2020-01-21,14300,14450,13650,13700,381176
2020-01-22,13550,13900,13550,13700,141317
2020-01-23,13600,14400,13600,13850,294592
2020-01-28,14200,15350,14000,14300,1388491
2020-01-29,14300,14500,13600,13650,345799
2020-01-30,13700,13800,13000,13050,181668
2020-01-31,13150,13350,12200,12250,149036
2020-02-03,11950,12800,11900,12050,148344
2020-02-04,12050,12950,12050,12750,144981
2020-02-05,12750,13000,12700,12800,73688
2020-02-06,12800,13600,12800,13350,167863
2020-02-07,13350,13650,13100,13450,98174
2020-02-10,13850,13850,13250,13350,105256
2020-02-11,13300,13550,13200,13350,80572
2020-02-12,13300,13450,12900,13100,106828
2020-02-13,13100,13250,13050,13150,57352
2020-02-14,13050,13800,13050,13350,222619
2020-02-17,13450,13500,13000,13100,111499
2020-02-18,13000,13250,12800,12850,101898
2020-02-19,12850,13400,12850,13300,96090
2020-02-20,13250,13450,13000,13000,115278
2020-02-21,13000,13150,12500,12650,113398
2020-02-24,12050,12350,11600,11650,167362
2020-02-25,11650,12700,11550,12500,146141
2020-02-26,12600,12600,12000,12350,68497
2020-02-27,12300,12850,11900,11950,79968
2020-02-28,11750,12150,11100,11150,193534
2020-03-02,11100,11550,11050,11550,87476
2020-03-03,11700,12100,11650,11950,98328
2020-03-04,11750,12250,11750,12000,43712
2020-03-05,12100,12550,12050,12400,83253
2020-03-06,12200,12700,12000,12100,69674
2020-03-09,12050,12150,11450,11550,88625
2020-03-10,11250,11550,11050,11450,122721
2020-03-11,11450,11750,10450,10600,158587
2020-03-12,10400,10700,9750,9800,140342
2020-03-13,8450,9250,8050,8780,302136
2020-03-16,8790,9580,8780,8790,204472
2020-03-17,8300,8950,8300,8800,210573
2020-03-18,8850,9390,8400,8400,150741
2020-03-19,8410,8710,7400,7400,265448
2020-03-20,7410,7970,7350,7790,136554
2020-03-23,7300,8620,7100,7440,316028
2020-03-24,7560,8050,7530,7850,112722
2020-03-25,8220,9160,8060,8480,442077
2020-03-26,8600,8980,8310,8560,219145
2020-03-27,9000,9430,8570,8870,342800
2020-03-30,8650,9880,8650,9790,283580
2020-03-31,10300,11300,9990,10650,601875
2020-04-01,13550,13800,13000,13800,1437519
2020-04-02,12700,12900,10850,11450,1685459
2020-04-03,11500,12100,11100,11300,826013
2020-04-06,13800,14650,13400,14650,4904176
2020-04-07,14000,14200,12500,12950,2567663
2020-04-08,13100,13150,12300,12350,942645
2020-04-09,12500,12850,12350,12750,637405
2020-04-10,12800,14050,12450,12750,2355265
2020-04-13,12900,13100,11650,11650,659195
2020-04-14,11850,12500,11350,11850,750366
2020-04-16,11850,11900,11400,11800,219218
2020-04-17,11950,12200,11700,12050,300389
