Date,Open,High,Low,Close,Volume
2019-09-23,4500,4500,4500,4500,0
2019-09-24,4500,4500,4500,4500,0
2019-09-25,4500,4500,4500,4500,0
2019-09-26,4500,4500,4500,4500,0
2019-09-27,4500,4500,4500,4500,0
2019-09-30,4500,4500,4500,4500,0
2019-10-01,4500,4500,4500,4500,0
2019-10-02,4500,4500,4500,4500,0
2019-10-04,4500,4500,4500,4500,0
2019-10-07,4500,4500,4500,4500,0
2019-10-08,4500,4500,4500,4500,0
2019-10-10,4500,4500,4500,4500,0
2019-10-11,4500,4500,4500,4500,0
2019-10-14,4500,4500,4500,4500,0
2019-10-15,4500,4500,4500,4500,0
2019-10-16,4500,4500,4500,4500,0
2019-10-17,4500,4500,4500,4500,0
2019-10-18,4500,4500,4500,4500,0
2019-10-21,4500,4500,4500,4500,0
2019-10-22,4500,4500,4500,4500,0
2019-10-23,4500,4500,4500,4500,0
2019-10-24,4500,4500,4500,4500,0
2019-10-25,4500,4500,4500,4500,0
2019-10-28,4500,4500,4500,4500,0
2019-10-29,4500,4500,4500,4500,0
2019-10-30,4500,4500,4500,4500,0
2019-10-31,4500,4500,4500,4500,0
2019-11-01,4500,4500,4500,4500,0
2019-11-04,4500,4500,4500,4500,0
2019-11-05,4500,4500,4500,4500,0
2019-11-06,4500,4500,4500,4500,0
2019-11-07,4500,4500,4500,4500,0
2019-11-08,4500,4500,4500,4500,0
2019-11-11,4500,4500,4500,4500,0
2019-11-12,4500,4500,4500,4500,0
2019-11-13,4500,4500,4500,4500,0
2019-11-14,4500,4500,4500,4500,0
2019-11-15,4500,4500,4500,4500,0
2019-11-18,4500,4500,4500,4500,0
2019-11-19,4500,4500,4500,4500,0
2019-11-20,4500,4500,4500,4500,0
2019-11-21,4500,4500,4500,4500,0
2019-11-22,4500,4500,4500,4500,0
2019-11-25,4500,4500,4500,4500,0
2019-11-26,4500,4500,4500,4500,0
2019-11-27,4500,4500,4500,4500,0
2019-11-28,4500,4500,4500,4500,0
2019-11-29,4500,4500,4500,4500,0
2019-12-02,4500,4500,4500,4500,0
2019-12-03,4500,4500,4500,4500,0
2019-12-04,4500,4500,4500,4500,0
2019-12-05,4500,4500,4500,4500,0
2019-12-06,4500,4500,4500,4500,0
2019-12-09,4500,4500,4500,4500,0
2019-12-10,4500,4500,4500,4500,0
2019-12-11,4500,4500,4500,4500,0
2019-12-12,4500,4500,4500,4500,0
2019-12-13,4500,4500,4500,4500,0
2019-12-16,4500,4500,4500,4500,0
2019-12-17,4500,4500,4500,4500,0
2019-12-18,4500,4500,4500,4500,0
2019-12-19,4500,4500,4500,4500,0
2019-12-20,4500,4500,4500,4500,0
2019-12-23,4500,4500,4500,4500,0
2019-12-24,4500,4500,4500,4500,0
2019-12-26,4500,4500,4500,4500,0
2019-12-27,4500,4500,4500,4500,0
2019-12-30,4500,4500,4500,4500,0
2020-01-02,4500,4500,4500,4500,0
2020-01-03,4500,4500,4500,4500,0
2020-01-06,4500,4500,4500,4500,0
2020-01-07,4500,4500,4500,4500,0
2020-01-08,4500,4500,4500,4500,0
2020-01-09,4500,4500,4500,4500,0
2020-01-10,4500,4500,4500,4500,0
2020-01-13,4500,4500,4500,4500,0
2020-01-14,4500,4500,4500,4500,0
2020-01-15,4500,4500,4500,4500,0
2020-01-16,4500,4500,4500,4500,0
2020-01-17,4500,4500,4500,4500,0
2020-01-20,4500,4500,4500,4500,0
2020-01-21,4000,4000,4000,4000,10
2020-01-22,4000,4000,4000,4000,0
2020-01-23,4000,4000,4000,4000,0
2020-01-28,4000,4000,4000,4000,0
2020-01-29,4000,4000,4000,4000,0
2020-01-30,4000,4000,4000,4000,0
2020-01-31,4200,4200,4200,4200,0
2020-02-03,4200,4200,4200,4200,0
2020-02-04,4500,4500,4500,4500,0
2020-02-05,4500,4500,4500,4500,0
2020-02-06,4500,4500,4500,4500,0
2020-02-07,4500,4500,4500,4500,0
2020-02-10,4500,4500,4500,4500,0
2020-02-11,4500,4500,4500,4500,0
2020-02-12,4500,4500,4500,4500,0
2020-02-13,4500,4500,4500,4500,0
2020-02-14,4500,4500,4500,4500,0
2020-02-17,4500,4500,4500,4500,0
2020-02-18,4500,4500,4500,4500,0
2020-02-19,4500,4500,4500,4500,0
2020-02-20,4500,4500,4500,4500,0
2020-02-21,4500,4500,4500,4500,0
2020-02-24,4500,4500,4500,4500,0
2020-02-25,4500,4500,4500,4500,0
2020-02-26,4500,4500,4500,4500,0
2020-02-27,4500,4500,4500,4500,0
2020-02-28,4500,4500,4500,4500,0
2020-03-02,4500,4500,4500,4500,0
2020-03-03,4500,4500,4500,4500,0
2020-03-04,4500,4500,4500,4500,0
2020-03-05,4500,4500,4500,4500,0
2020-03-06,4500,4500,4500,4500,0
2020-03-09,4500,4500,4500,4500,0
2020-03-10,4500,4500,4500,4500,0
2020-03-11,4500,4500,4500,4500,0
2020-03-12,4500,4500,4500,4500,0
2020-03-13,4500,4500,4500,4500,0
2020-03-16,4500,4500,4500,4500,0
2020-03-17,4500,4500,4500,4500,0
2020-03-18,4500,4500,4500,4500,0
2020-03-19,4500,4500,4500,4500,0
2020-03-20,4500,4500,4500,4500,0
2020-03-23,4500,4500,4500,4500,0
2020-03-24,4500,4500,4500,4500,0
2020-03-25,4500,4500,4500,4500,0
2020-03-26,4500,4500,4500,4500,0
2020-03-27,4500,4500,4500,4500,0
2020-03-30,4500,4500,4500,4500,0
2020-03-31,4500,4500,4500,4500,0
2020-04-01,4500,4500,4500,4500,0
2020-04-02,4500,4500,4500,4500,0
2020-04-03,4500,4500,4500,4500,0
2020-04-06,4500,4500,4500,4500,0
2020-04-07,4500,4500,4500,4500,0
2020-04-08,4500,4500,4500,4500,0
2020-04-09,4500,4500,4500,4500,0
2020-04-10,4500,4500,4500,4500,0
2020-04-13,4500,4500,4500,4500,0
2020-04-14,4500,4500,4500,4500,0
2020-04-16,4500,4500,4500,4500,0
2020-04-17,4500,4500,4500,4500,0
2020-04-20,4500,4500,4500,4500,0
2020-04-21,4500,4500,4500,4500,0
2020-04-22,4500,4500,4500,4500,0
2020-04-23,4500,4500,4500,4500,0
2020-04-24,4500,4500,4500,4500,0
2020-04-27,4500,4500,4500,4500,0
2020-04-28,4500,4500,4500,4500,0
2020-04-29,4990,4990,4990,4990,1
2020-05-04,4990,4990,4990,4990,0
2020-05-06,4990,4990,4990,4990,0
2020-05-07,5500,5500,4245,4245,2
2020-05-08,4245,4880,4005,4005,802
2020-05-11,4130,4130,4130,4130,1
2020-05-12,4745,4745,4745,4745,2292
2020-05-13,4045,4045,4045,4045,1
2020-05-14,4650,4650,4650,4650,1701
2020-05-15,3955,5000,3955,5000,2
2020-05-18,4720,5000,4720,5000,313
2020-05-19,5200,5200,5200,5200,1
2020-05-20,4455,4455,4455,4455,1
2020-05-21,4455,4455,4455,4455,0
2020-05-22,4455,4455,4455,4455,0
2020-05-25,4455,4455,3815,3815,228
2020-05-26,4385,4385,3300,3300,4
2020-05-27,3585,3585,3585,3585,0
2020-05-28,3890,3890,3890,3890,0
2020-05-29,3350,3350,3350,3350,1
2020-06-01,3850,3850,3635,3635,262
2020-06-02,4180,4180,4180,4180,181
2020-06-03,4180,4800,4180,4800,6
2020-06-04,5100,5100,5100,5100,1
2020-06-05,5100,5100,5100,5100,0
2020-06-08,5270,5270,5270,5270,0
2020-06-09,6060,6060,6060,6060,1
2020-06-10,6430,6430,6430,6430,0
2020-06-11,7390,7390,7390,7390,1
2020-06-12,6290,8490,6290,8490,160
2020-06-15,8490,8490,8490,8490,0
2020-06-16,7220,7220,7220,7220,139
2020-06-17,6730,6730,6730,6730,0
2020-06-18,6730,6730,6730,6730,0
2020-06-19,6730,6730,6730,6730,0
2020-06-22,6730,6730,6730,6730,0
2020-06-23,6730,6730,6730,6730,0
2020-06-24,6730,6730,6730,6730,0
2020-06-25,6730,6730,6730,6730,0
2020-06-26,7730,7730,7730,7730,1
2020-06-29,8830,8830,8830,8830,1
2020-06-30,8330,8830,8330,8830,122
2020-07-01,8330,8830,8330,8830,122
2020-07-02,7860,8330,7860,8330,129
2020-07-03,9570,9570,9570,9570,6
2020-07-06,11000,11000,11000,11000,1
2020-07-07,11000,12650,11000,12600,58
