Date,Open,High,Low,Close,Volume
2019-11-12,5740,5750,5600,5690,41494
2019-11-13,5640,6080,5640,5900,783243
2019-11-14,5930,6000,5730,5910,151884
2019-11-15,5820,5910,5680,5780,177360
2019-11-18,5730,5790,5660,5750,76259
2019-11-19,5740,5830,5610,5670,108549
2019-11-20,5670,5700,5440,5450,76690
2019-11-21,5430,5510,5150,5340,73687
2019-11-22,5280,5380,5270,5330,32458
2019-11-25,5330,5410,5320,5390,27607
2019-11-26,5360,5450,5330,5380,58153
2019-11-27,5410,5410,5310,5310,44992
2019-11-28,5310,5390,5280,5350,28537
2019-11-29,5390,5390,5270,5310,25224
2019-12-02,5310,5360,5220,5220,24665
2019-12-03,5200,5280,5170,5260,28467
2019-12-04,5250,5280,5170,5240,11323
2019-12-05,5250,5260,5100,5140,35063
2019-12-06,5100,5200,5100,5180,33258
2019-12-09,5240,5240,5110,5170,32877
2019-12-10,5140,5220,5110,5130,23515
2019-12-11,5130,5190,5090,5090,19557
2019-12-12,5090,5190,5090,5190,22619
2019-12-13,5240,5280,5190,5280,33635
2019-12-16,5280,5280,5200,5260,11009
2019-12-17,5230,5310,5210,5310,22490
2019-12-18,5300,5310,5220,5270,18835
2019-12-19,5300,5310,5230,5260,22943
2019-12-20,5300,5340,5260,5340,48960
2019-12-23,5340,5360,5280,5330,13089
2019-12-24,5340,5340,5220,5270,33848
2019-12-26,5240,5320,5230,5280,16589
2019-12-27,5280,5290,5210,5260,33997
2019-12-30,5310,5330,5250,5290,17696
2020-01-02,5260,5330,5260,5330,28871
2020-01-03,5330,5380,5250,5310,44418
2020-01-06,5310,5310,5080,5150,66074
2020-01-07,5150,5200,5120,5150,25202
2020-01-08,5100,5190,4875,4950,111070
2020-01-09,4950,5020,4900,5000,77651
2020-01-10,5010,5090,4945,4990,30578
2020-01-13,4955,5060,4955,5060,28831
2020-01-14,5050,5130,5030,5080,41412
2020-01-15,5110,5110,5050,5080,22720
2020-01-16,5110,5110,5060,5090,13594
2020-01-17,5090,5160,5080,5140,26670
2020-01-20,5110,5160,5030,5090,35759
2020-01-21,5090,5090,4970,5000,33421
2020-01-22,5000,5030,4950,5020,44133
2020-01-23,5010,5010,4875,4960,69059
2020-01-28,4860,4935,4785,4930,89460
2020-01-29,4940,5030,4880,4980,59691
2020-01-30,4980,5000,4850,4900,29813
2020-01-31,4940,4950,4745,4805,52424
2020-02-03,4735,4975,4735,4870,198843
2020-02-04,4880,4920,4800,4835,61426
2020-02-05,4835,4860,4760,4825,71994
2020-02-06,4825,4880,4800,4870,69523
2020-02-07,4880,4880,4800,4840,41204
2020-02-10,4815,4850,4615,4675,391303
2020-02-11,4680,4705,4625,4695,47518
2020-02-12,4700,4745,4690,4730,58269
2020-02-13,4690,4820,4690,4775,96726
2020-02-14,4805,4925,4740,4785,139615
2020-02-17,4785,4810,4720,4765,38748
2020-02-18,4735,4780,4685,4715,39303
2020-02-19,4700,4725,4615,4685,38431
2020-02-20,4720,4720,4595,4630,46312
2020-02-21,4650,4650,4460,4510,100358
2020-02-24,4600,5760,4520,5300,6724707
2020-02-25,4985,5290,4510,4555,2944578
2020-02-26,4660,4765,4575,4585,901026
2020-02-27,4595,4660,4480,4480,340477
2020-02-28,4410,4550,4200,4285,614874
2020-03-02,4225,4375,4220,4240,240450
2020-03-03,4295,4330,4190,4230,174874
2020-03-04,4205,4250,4125,4250,132353
2020-03-05,4260,4280,4210,4260,105709
2020-03-06,4260,4260,4130,4155,114448
2020-03-09,4130,4130,3790,3815,263600
2020-03-10,3665,3795,3625,3770,355861
2020-03-11,3790,3800,3630,3630,236404
2020-03-12,3610,3665,3360,3400,193794
2020-03-13,3120,3230,2940,3085,331860
2020-03-16,3105,3345,3050,3090,183524
2020-03-17,2815,3160,2810,3085,150368
2020-03-18,3110,3215,2905,3040,173566
2020-03-19,3015,3100,2470,2550,351903
2020-03-20,2535,2705,2520,2700,212364
2020-03-23,2505,2850,2320,2370,925147
2020-03-24,2405,2510,2385,2500,246524
2020-03-25,2590,2640,2535,2590,308879
2020-03-26,2640,2750,2560,2630,349896
2020-03-27,2720,2830,2615,2760,414279
2020-03-30,2670,3030,2665,2985,516249
2020-03-31,3400,3620,3065,3230,1072133
2020-04-01,3230,4050,3145,3900,3514328
2020-04-02,3855,3860,3490,3610,570476
2020-04-03,3690,3690,3450,3585,365367
2020-04-06,3720,3850,3700,3800,687124
2020-04-07,3875,3920,3655,3770,352378
2020-04-08,3815,3855,3660,3780,311799
2020-04-09,3880,4000,3750,3890,678746
2020-04-10,3900,3970,3750,3820,305502
2020-04-13,3825,4415,3770,3910,2523773
2020-04-14,3965,4030,3905,3915,293420
2020-04-16,3935,3990,3845,3940,140599
2020-04-17,3940,3975,3910,3935,174843
2020-04-20,4020,4030,3915,3970,190287
2020-04-21,3980,3990,3650,3890,221210
2020-04-22,3875,3880,3725,3875,99932
2020-04-23,3875,3995,3850,3980,283855
2020-04-24,3990,3990,3860,3900,153088
2020-04-27,3955,4025,3900,4015,231476
2020-04-28,4050,4080,3955,4070,252999
2020-04-29,4100,4210,4045,4140,449997
2020-05-04,4110,4360,4070,4230,505544
2020-05-06,4295,4480,4225,4310,963942
2020-05-07,4450,4480,4225,4260,398548
2020-05-08,4260,4290,4165,4170,175202
2020-05-11,4160,4190,4070,4080,168417
2020-05-12,4080,4115,3760,3990,198757
2020-05-13,3935,4020,3890,3990,86201
2020-05-14,3990,3990,3890,3930,93001
2020-05-15,4020,4185,3960,4050,268923
2020-05-18,4080,4080,3920,3985,156554
2020-05-19,4020,4035,3940,3995,85678
2020-05-20,4020,4150,3985,4125,159837
2020-05-21,4120,4130,4050,4085,96787
2020-05-22,4060,4090,3945,3995,85574
2020-05-25,3995,4045,3950,4045,41772
2020-05-26,4045,4045,3975,4010,77593
2020-05-27,4020,4070,3980,4040,122020
2020-05-28,4070,4360,3950,3990,641822
2020-05-29,3955,4060,3950,4000,91970
2020-06-01,4005,4020,3935,3990,90572
2020-06-02,3995,4060,3980,4010,120575
2020-06-03,4050,4050,3990,4020,96180
2020-06-04,4020,4045,3990,4005,93344
2020-06-05,4040,4065,4005,4045,88504
2020-06-08,4080,4345,4045,4330,850773
2020-06-09,4895,4980,4335,4345,2991509
2020-06-10,4320,4320,4200,4205,407242
2020-06-11,4145,4160,4020,4020,344297
2020-06-12,3875,3910,3795,3910,172889
2020-06-15,3855,3925,3665,3665,174761
2020-06-16,3670,3840,3670,3785,86309
2020-06-17,3720,3810,3695,3770,86571
