Date,Open,High,Low,Close,Volume
2019-11-12,9110,9280,9110,9240,12758
2019-11-13,9240,9350,9150,9240,21764
2019-11-14,9240,9400,9220,9300,23181
2019-11-15,9190,9310,9190,9250,30829
2019-11-18,9270,9270,9130,9150,35601
2019-11-19,9020,9170,9020,9110,27789
2019-11-20,9180,9180,9020,9070,27907
2019-11-21,9070,9180,8980,9150,55855
2019-11-22,9030,9320,9030,9100,22233
2019-11-25,9030,9250,9030,9190,10924
2019-11-26,9190,9310,9080,9090,68186
2019-11-27,9130,9190,9030,9040,71874
2019-11-28,9080,9080,8960,8980,37629
2019-11-29,8980,9020,8950,8960,49601
2019-12-02,8920,9020,8920,8960,23168
2019-12-03,8900,8970,8810,8860,280887
2019-12-04,8850,8930,8800,8850,33179
2019-12-05,8820,8900,8800,8820,18463
2019-12-06,8800,8880,8740,8750,26976
2019-12-09,8750,8780,8660,8660,20989
2019-12-10,8660,8730,8560,8560,15539
2019-12-11,8550,8590,8390,8400,26778
2019-12-12,8420,8460,8320,8400,42013
2019-12-13,8390,8470,8310,8320,70496
2019-12-16,8320,8430,8320,8410,15933
2019-12-17,8420,8480,8410,8440,18743
2019-12-18,8460,8460,8360,8390,13123
2019-12-19,8430,8440,8380,8440,10638
2019-12-20,8420,8450,8370,8380,10842
2019-12-23,8380,8470,8370,8370,14996
2019-12-24,8380,8450,8360,8410,14862
2019-12-26,8460,8550,8430,8550,24765
2019-12-27,8530,8580,8400,8520,16026
2019-12-30,8590,8590,8480,8490,10162
2020-01-02,8490,8520,8410,8410,13604
2020-01-03,8410,8490,8400,8460,9304
2020-01-06,8400,8500,8340,8350,27249
2020-01-07,8350,8450,8300,8320,20111
2020-01-08,8350,8370,8120,8130,28226
2020-01-09,8210,8220,8100,8130,21148
2020-01-10,8110,8300,8110,8270,18453
2020-01-13,8220,8410,8220,8300,18820
2020-01-14,8260,8340,8230,8240,10074
2020-01-15,8230,8350,8230,8320,8452
2020-01-16,8370,8380,8300,8300,8275
2020-01-17,8300,8370,8300,8310,5855
2020-01-20,8320,8330,8230,8250,15841
2020-01-21,8260,8280,8190,8200,10527
2020-01-22,8220,8290,8190,8200,7957
2020-01-23,8200,8250,8200,8250,7874
2020-01-28,8060,8230,8020,8110,23346
2020-01-29,8130,8300,8130,8190,24128
2020-01-30,8170,8250,8120,8150,22643
2020-01-31,8140,8300,8140,8230,21435
2020-02-03,8210,8410,8120,8280,37026
2020-02-04,8280,8340,8280,8300,9620
2020-02-05,8370,8370,8260,8300,7392
2020-02-06,8320,8360,8270,8330,14220
2020-02-07,8350,8350,8270,8330,7422
2020-02-10,8350,8350,8180,8240,20096
2020-02-11,8150,8250,8030,8090,49912
2020-02-12,8050,8090,8000,8070,18331
2020-02-13,8070,8100,8020,8020,20917
2020-02-14,8060,8060,7960,7990,22751
2020-02-17,7990,8020,7860,7860,29956
2020-02-18,7850,7960,7660,7680,40014
2020-02-19,7650,7760,7420,7490,47516
2020-02-20,7430,8250,7410,7550,276412
2020-02-21,7610,7950,7510,7510,96021
2020-02-24,7500,7600,7140,7170,45149
2020-02-25,7170,7170,6900,6970,107901
2020-02-26,6970,6990,6600,6730,147151
2020-02-27,6810,7010,6500,6500,192935
2020-02-28,6430,6470,6160,6160,79458
2020-03-02,6060,6340,6040,6280,45282
2020-03-03,6350,6520,6330,6330,30383
2020-03-04,6320,6420,6320,6370,16880
2020-03-05,6460,6490,6390,6460,21029
2020-03-06,6450,6450,6320,6380,15048
