Date,Open,High,Low,Close,Volume
2019-11-12,43500,44400,43400,44150,54945
2019-11-13,44150,44400,43550,43800,32040
2019-11-14,43750,44750,43600,44750,58649
2019-11-15,44750,45350,44350,45100,62371
2019-11-18,45150,46800,44550,46600,114621
2019-11-19,46950,48050,44550,45100,243027
2019-11-20,45500,45600,43600,43850,76839
2019-11-21,43900,44400,42350,42650,84753
2019-11-22,42950,43500,42450,42600,40081
2019-11-25,43000,43050,42150,42700,54467
2019-11-26,42800,43500,42000,42050,58250
2019-11-27,42200,42400,41850,41950,31617
2019-11-28,42200,42200,40900,41100,75997
2019-11-29,41100,41500,40700,41150,46422
2019-12-02,41150,41300,40250,41200,55289
2019-12-03,40600,41000,40100,40150,51261
2019-12-04,40050,40300,39500,40000,52480
2019-12-05,40000,40350,36100,39450,64360
2019-12-06,39800,40050,39300,39500,41592
2019-12-09,39550,40200,38950,39250,40722
2019-12-10,38900,39200,38350,38750,46919
2019-12-11,38850,39650,38400,39550,50148
2019-12-12,39550,40300,39350,40000,117202
2019-12-13,39800,40750,39200,39700,108007
2019-12-16,39850,39900,38800,39000,46417
2019-12-17,39100,39700,39050,39700,49366
2019-12-18,39700,39700,38300,38650,96438
2019-12-19,38700,39600,38350,39000,61762
2019-12-20,39300,39300,38700,39000,48974
2019-12-23,39000,39800,38550,39000,98377
2019-12-24,39000,39300,38400,38600,86269
2019-12-26,38650,40250,38350,40250,125089
2019-12-27,39950,42100,39950,40800,139180
2019-12-30,40350,42150,40350,42000,74812
2020-01-02,41450,42000,40800,41050,70826
2020-01-03,41700,41850,39350,39500,112538
2020-01-06,39500,39650,38150,38400,88427
2020-01-07,38700,39400,38650,39200,78451
2020-01-08,39200,39200,38350,38400,88799
2020-01-09,39100,39500,38150,38650,82123
2020-01-10,38900,38950,37900,38700,79012
2020-01-13,38900,38900,38250,38750,75041
2020-01-14,38700,39400,38600,38650,78157
2020-01-15,38650,38850,38200,38400,55711
2020-01-16,38700,39300,38500,38900,56903
2020-01-17,38800,39200,38500,38750,115558
2020-01-20,38550,39050,38000,38500,88781
2020-01-21,38650,38650,37600,38100,66964
2020-01-22,37900,38850,37650,38350,67265
2020-01-23,38400,40300,38350,38950,122798
2020-01-28,37750,38650,35800,36050,166067
2020-01-29,36400,37750,36400,37600,52201
2020-01-30,37000,37900,37000,37150,55471
2020-01-31,36900,38950,36900,38000,98723
2020-02-03,37000,38700,36600,37400,63436
2020-02-04,37150,38850,36750,38800,95586
2020-02-05,38750,39100,38200,38600,77692
2020-02-06,39100,39500,38650,39400,71376
2020-02-07,38250,39550,38100,39000,42976
2020-02-10,38350,39850,38350,39600,59202
2020-02-11,39000,40000,38850,39800,91867
2020-02-12,39200,39850,39000,39150,54702
2020-02-13,39050,39050,38050,38750,64158
2020-02-14,38250,39000,38250,38450,61802
2020-02-17,38750,39400,37500,38750,148598
2020-02-18,39150,40250,38100,39450,215742
2020-02-19,39700,40050,38500,38600,96191
2020-02-20,39150,39500,38300,38800,73802
2020-02-21,38000,38400,37400,37400,98543
2020-02-24,36400,36800,34400,34600,267130
2020-02-25,34000,36200,34000,36200,104557
2020-02-26,35200,36450,35000,36300,85526
2020-02-27,35950,36250,34450,35000,110345
2020-02-28,34500,35050,32700,33150,186616
2020-03-02,34400,34400,31700,33350,140833
2020-03-03,33950,34200,33200,33450,98184
2020-03-04,33000,34100,33000,33750,45276
2020-03-05,34300,34300,33000,33500,116345
2020-03-06,33050,33300,31850,32900,144505
2020-03-09,32350,32350,30550,30700,133955
2020-03-10,29850,30950,29800,30950,164583
2020-03-11,30900,31000,29600,29600,118622
2020-03-12,29300,29300,27500,27900,199280
2020-03-13,25300,27800,24050,27400,259707
2020-03-16,27050,27450,25250,25550,126318
2020-03-17,23600,26800,23600,26700,157628
2020-03-18,26150,26250,23650,23700,146453
2020-03-19,24100,24700,16900,18250,357465
2020-03-20,18500,22650,18100,22300,394125
2020-03-23,20750,21350,18850,20300,189288
2020-03-24,20800,22300,20350,22200,219697
2020-03-25,23000,23700,22200,23250,206106
2020-03-26,23500,24300,22300,22950,135998
2020-03-27,23600,24050,23000,23400,132261
2020-03-30,23000,23500,21950,23350,115279
2020-03-31,23500,25350,23500,25350,210733
2020-04-01,24650,26700,24150,24450,167490
2020-04-02,24000,24900,23000,24100,137787
2020-04-03,24100,24450,23350,23800,91100
2020-04-06,24000,25200,23500,25200,132459
2020-04-07,25800,26050,24650,25200,147272
2020-04-08,24900,26450,24350,25750,185545
2020-04-09,26250,26500,25500,25650,115198
2020-04-10,25700,26150,25250,25900,98104
2020-04-13,26150,27750,25900,26150,248515
2020-04-14,26350,26900,26000,26800,119536
2020-04-16,26400,26700,25800,26550,107554
2020-04-17,27150,28500,27000,28000,192940
2020-04-20,28200,29400,27650,28250,141698
2020-04-21,28000,28150,26550,27500,142147
2020-04-22,26750,27700,26400,27200,89543
2020-04-23,27400,28400,27300,27950,69503
2020-04-24,27550,27700,27000,27200,75387
2020-04-27,27250,27650,27000,27600,73890
2020-04-28,27650,28900,27450,28450,176239
2020-04-29,28450,28950,28150,28650,68988
2020-05-04,28100,28650,27850,27850,65134
2020-05-06,28100,28500,27500,28250,84011
2020-05-07,28250,29450,28150,29100,161009
2020-05-08,29900,30800,29500,30000,161391
2020-05-11,30000,30450,29450,29500,92967
2020-05-12,29750,29950,28750,29000,92202
2020-05-13,28500,29250,28150,28900,61032
2020-05-14,28800,28800,27850,27900,106122
2020-05-15,28000,28300,27400,27700,89211
2020-05-18,27550,27850,26900,27200,89964
2020-05-19,27800,28600,27800,28500,83260
2020-05-20,28500,28950,28150,28950,62460
2020-05-21,29200,29400,28750,28950,109949
2020-05-22,28900,28900,27850,28000,97835
2020-05-25,28200,28400,27750,28200,59610
2020-05-26,28000,29250,28000,29100,117448
2020-05-27,29200,29200,28400,28850,76040
2020-05-28,29150,29150,27600,28000,89064
2020-05-29,27700,28000,27300,27300,109551
2020-06-01,27350,27900,27100,27600,104383
2020-06-02,27550,28550,27550,28200,73099
2020-06-03,28200,28650,27900,28250,85755
2020-06-04,28300,28750,27950,28250,97892
2020-06-05,28100,28550,27850,28350,82016
2020-06-08,28600,30150,28450,29500,251474
2020-06-09,29750,30100,29000,29300,119620
2020-06-10,30000,30000,29100,29200,82084
2020-06-11,29200,30000,28650,29100,147934
2020-06-12,27850,28400,27450,27950,137790
2020-06-15,27550,28450,26100,26100,143718
2020-06-16,26750,27400,26750,27300,92808
2020-06-17,27050,27600,26650,26950,67127
2020-06-18,26700,27000,26350,26650,61362
2020-06-19,26750,27200,26350,26950,42441
2020-06-22,26750,27100,26500,26650,38348
2020-06-23,26700,27150,26100,26700,55649
2020-06-24,26350,26850,26300,26550,50394
2020-06-25,26000,26350,25600,25850,90166
2020-06-26,25900,26400,25900,26300,35006
2020-06-29,25750,26000,24600,24850,108060
2020-06-30,25050,25700,24850,24950,67830
2020-07-01,25000,25400,24850,24900,32840
2020-07-02,25100,25550,24800,25200,35597
2020-07-03,25250,25700,25050,25350,61349
2020-07-06,25150,26150,25150,25750,66195
2020-07-07,26400,26400,25550,26200,66885
2020-07-08,25800,26450,25550,25900,67310
2020-07-09,26000,26400,25650,26050,55734
2020-07-10,25850,26150,25300,25550,47935
2020-07-13,25550,25650,24500,25100,95471
2020-07-14,24700,25000,24500,24650,52682
2020-07-15,24650,25100,24550,25000,57183
2020-07-16,24800,25600,24700,24900,43768
2020-07-17,25100,25300,24850,25200,33066
2020-07-20,25200,25950,24800,25350,112307
2020-07-21,25800,27900,25600,26550,265832
2020-07-22,26450,26900,26250,26600,102899
2020-07-23,26650,26800,25950,26450,93758
2020-07-24,26150,26350,25650,25700,73669
2020-07-27,26300,27350,25950,27300,196306
2020-07-28,27300,28200,26900,27850,247533
2020-07-29,28050,28050,27200,27500,90474
2020-07-30,27850,27900,26850,26850,86807
2020-07-31,27200,27200,26200,26300,66132
2020-08-03,26400,26500,25850,26050,60158
2020-08-04,26000,27200,26000,26850,73402
2020-08-05,26800,27000,26200,26550,69671
2020-08-06,27000,27400,26650,27400,108642
2020-08-07,27550,27650,26700,27250,86861
2020-08-10,27050,27900,26800,27600,130293
2020-08-11,27650,28350,27450,27850,167542
2020-08-12,27600,29150,26900,28750,321495
2020-08-13,29000,29650,28400,28800,261295
2020-08-14,28950,29250,28300,29000,128759
2020-08-18,28950,28950,26850,26900,179767
2020-08-19,27600,28500,27150,27950,115879
2020-08-20,27550,27750,26050,26150,144097
2020-08-21,26800,26800,25850,26600,77616
2020-08-24,26500,27200,26000,27150,84814
2020-08-25,27200,27800,27050,27450,69035
2020-08-26,27250,27450,26650,27000,99250
2020-08-27,26950,26950,25700,26050,103851
2020-08-28,26050,26350,25650,25750,86038
2020-08-31,26100,26450,25700,25700,82076
2020-09-01,25700,26400,25500,26150,65331
2020-09-02,26350,26400,25950,26300,50715
2020-09-03,26300,27850,26300,27400,245890
2020-09-04,26700,27600,26200,27350,114877
2020-09-07,27350,28600,26800,28300,197918
2020-09-08,28550,28700,27900,28100,100060
2020-09-09,27600,28850,27400,28750,117901
2020-09-10,29000,29000,28150,28650,106472
2020-09-11,28500,28600,27800,28250,69018
2020-09-14,28250,28450,27850,28350,52930
2020-09-15,28400,28750,28100,28650,66533
2020-09-16,28650,28750,28000,28150,106843
2020-09-17,28150,28500,27650,28100,100352
2020-09-18,28100,30100,28100,29800,315078
2020-09-21,30700,31200,29750,29900,339588
2020-09-22,30400,30650,28500,29500,183987
2020-09-23,30400,31650,29550,31250,363044
2020-09-24,30750,32300,30250,31250,337149
2020-09-25,31850,32000,30750,30800,150680
2020-09-28,31100,31500,30200,31450,108449
2020-09-29,31500,31550,30450,31150,97429
2020-10-05,30850,31500,30700,30900,67036
2020-10-06,31000,31550,30600,31550,116004
2020-10-07,31500,32750,31350,31700,143982
2020-10-08,32000,32650,31800,32300,100645
2020-10-12,32500,32800,31450,31550,112978
2020-10-13,31550,31750,30400,30700,85924
2020-10-14,30900,30900,29850,30350,119376
2020-10-15,30400,30600,29300,29400,109629
2020-10-16,29650,29650,28650,29050,93674
2020-10-19,29250,29850,28550,28650,81381
2020-10-20,28600,29700,28450,29700,78613
2020-10-21,29650,30000,29150,30000,51558
2020-10-22,29900,30050,29050,29050,69692
2020-10-23,29250,30200,28750,28900,64887
2020-10-26,29300,29300,27850,28450,86516
2020-10-27,28100,29900,27800,29600,173530
2020-10-28,29100,30200,28750,30200,119763
2020-10-29,29600,30400,29000,30200,95163
2020-10-30,30200,30300,29050,29200,42738
2020-11-02,29200,29450,28850,29350,37310
2020-11-03,29350,30150,29300,29600,64995
2020-11-04,29650,30150,29100,29750,62612
2020-11-05,30000,30800,29900,30200,66100
2020-11-06,30750,30750,29600,29800,73949
2020-11-09,30650,30700,30000,30250,72075
2020-11-10,30900,32400,30350,31900,261202
2020-11-11,31850,33700,31400,32950,301502
2020-11-12,32900,33700,31900,32200,147875
2020-11-13,32050,32150,30600,31700,140929
2020-11-16,31500,32350,31100,32200,90440
2020-11-17,32250,32550,31350,31700,80992
2020-11-18,31600,31900,31300,31400,50651
2020-11-19,31050,31800,30800,31350,71199
2020-11-20,31100,32150,31100,31950,67119
2020-11-23,32150,32450,31700,32350,69060
2020-11-24,32300,32800,31850,32250,87379
2020-11-25,32750,33650,31550,32750,266142
2020-11-26,33300,33300,31800,33100,107666
2020-11-27,33150,33450,32600,33250,115640
2020-11-30,33350,33400,31450,31450,141109
2020-12-01,32200,32400,31200,31950,108083
2020-12-02,32150,32150,30800,31200,143871
2020-12-03,31400,32400,30750,32300,113081
2020-12-04,32300,32400,31550,32300,134304
2020-12-07,32300,32300,31050,31600,123990
2020-12-08,31250,31750,30800,30900,94648
2020-12-09,30800,31300,30800,30850,61654
2020-12-10,30750,31200,30350,30650,320146
2020-12-11,31000,31550,30800,31400,142951
2020-12-14,31250,31900,30600,31400,151950
2020-12-15,31550,31600,31000,31300,50806
2020-12-16,31300,31500,31000,31100,55752
2020-12-17,31050,31100,30500,30950,89392
2020-12-18,31000,31050,30350,30400,76722
2020-12-21,30700,30800,30400,30700,54733
2020-12-22,30550,30550,29700,30000,83566
2020-12-23,30300,31550,29700,31550,174340
2020-12-24,31500,34600,31400,31550,603206
2020-12-28,32150,32800,31500,31600,220425
2020-12-29,31900,32150,31000,31200,102892
2020-12-30,31200,31950,31050,31650,86461
2021-01-04,31900,31950,30950,31250,103950
2021-01-05,31200,31350,30850,31300,83463
2021-01-06,31300,32150,31100,31900,144031
2021-01-07,32100,32350,31000,31450,210003
2021-01-08,31650,36000,31350,33850,643093
2021-01-11,33750,33850,31300,31950,328268
2021-01-12,31750,33100,31100,32600,151513
2021-01-13,32350,32800,31950,32350,64925
2021-01-14,32550,32600,31950,32350,83091
2021-01-15,32500,32650,31800,31950,65897
2021-01-18,31950,32350,31350,31500,79316
2021-01-19,31500,32500,31500,32100,58265
2021-01-20,32450,33300,31800,32450,156083
2021-01-21,32850,32950,32000,32450,105625
2021-01-22,32650,33650,32050,33050,151810
2021-01-25,33700,35350,33100,35250,395752
2021-01-26,35300,35950,34350,35800,225168
2021-01-27,35800,37550,34800,37450,300634
2021-01-28,36750,40400,36450,38200,610808
2021-01-29,38300,39950,37000,38450,381601
2021-02-01,38450,39800,36800,39150,189925
2021-02-02,40150,40350,38500,38900,168226
2021-02-03,39300,39450,37800,38350,147021
2021-02-04,38100,39300,37900,38950,81268
2021-02-05,39200,39700,38800,39450,87333
2021-02-08,39850,39850,38900,39000,59611
2021-02-09,39000,39600,38800,39050,58770
2021-02-10,39500,40700,38800,40650,169401
2021-02-15,40550,41050,40150,40700,71541
2021-02-16,40800,40800,39350,39600,91453
2021-02-17,39900,40350,38500,39600,136084
2021-02-18,38950,39600,38850,39200,52622
2021-02-19,38900,39600,37250,37900,184799
2021-02-22,38400,38400,35550,35800,146814
2021-02-23,36900,36900,35100,36150,120128
2021-02-24,36450,37250,34900,34950,124819
2021-02-25,35350,37850,35350,37700,140734
2021-02-26,36600,39000,36100,39000,109115
2021-03-02,39000,39150,36950,37300,92521
2021-03-03,37300,37750,36750,37650,40940
2021-03-04,37300,37650,36750,37300,59050
2021-03-05,36900,37450,36450,37450,40787
2021-03-08,37650,38300,36300,36300,70807
2021-03-09,36300,37000,35100,36500,48549
2021-03-10,37000,37200,35400,35900,45300
2021-03-11,36100,37150,35900,36550,71929
2021-03-12,36600,37200,36200,37000,65023
2021-03-15,37550,41200,37050,38250,384267
2021-03-16,39400,41900,38500,39200,488129
2021-03-17,39200,39600,38450,38750,83541
2021-03-18,38900,39100,37850,38950,110952
2021-03-19,38600,39550,38350,39150,59757
2021-03-22,39400,39400,38900,39350,44316
2021-03-23,39400,39650,38400,38400,64159
2021-03-24,37950,38900,37700,38450,32570
2021-03-25,38550,38550,37750,38000,72482
2021-03-26,38050,38650,37850,38200,35761
2021-03-29,38050,38450,36850,37250,92405
2021-03-30,37250,37500,36800,37500,46846
2021-03-31,37500,37850,37050,37350,28573
2021-04-01,37350,38900,36750,38400,74878
2021-04-02,38650,38800,37350,38400,78364
2021-04-05,38900,39150,38500,38800,64121
2021-04-06,38800,38950,38450,38650,31569
2021-04-07,38650,38950,37950,38000,54482
2021-04-08,37900,38600,37850,38450,37220
2021-04-09,38800,40900,38500,40200,307678
2021-04-12,40250,41000,40200,40800,131958
2021-04-13,41000,43250,40600,42800,377224
2021-04-14,42400,43150,41450,42000,239578
2021-04-15,43000,43100,41000,41600,308170
2021-04-16,42000,42550,41500,41700,120726
2021-04-19,41850,41950,40650,40750,130526
2021-04-20,40800,42500,40550,42150,149348
2021-04-21,42150,42500,41000,41200,65258
2021-04-22,41400,41750,40800,41050,62492
2021-04-23,40800,41150,40000,40700,93264
2021-04-26,40950,40950,40150,40750,76740
2021-04-27,41000,41650,40350,40900,98336
2021-04-28,40950,41350,40500,40600,79873
2021-04-29,40650,41400,39700,40800,98627
2021-04-30,40900,41300,40300,40850,85058
2021-05-03,40450,41550,40000,41350,78659
2021-05-04,41800,41800,40350,41250,72453
2021-05-06,41350,41400,40150,40250,87253
2021-05-07,40400,40900,39850,40050,59032
2021-05-10,40100,40300,39350,39450,70543
2021-05-11,39200,39450,38550,38700,76549
2021-05-12,38800,38850,37000,37400,151442
2021-05-13,36850,37200,36150,36200,95398
2021-05-14,36500,37750,36500,37750,68951
2021-05-17,37700,38000,36450,37400,72031
2021-05-18,37300,37300,36500,37100,69631
2021-05-20,37100,37200,36450,36850,67216
2021-05-21,36950,37250,36750,37050,43059
2021-05-24,37450,37450,36800,37200,37577
2021-05-25,37200,38300,37200,37750,92994
2021-05-26,37850,38000,37300,37750,41656
2021-05-27,37950,38900,37700,38900,69159
2021-05-28,39500,39500,38250,38650,94957
2021-05-31,38750,39200,38350,39200,56096
2021-06-01,39200,39500,38800,39100,35059
2021-06-02,39100,39200,37900,38500,87322
2021-06-03,39000,39050,38700,38900,70478
2021-06-04,39400,39800,38900,39200,124993
2021-06-07,39500,39650,39300,39550,61471
2021-06-08,39550,39750,39300,39600,42537
2021-06-09,39700,40900,39500,39600,227826
2021-06-10,39550,41200,39550,41000,195306
2021-06-11,41350,41450,40250,40600,119540
2021-06-14,40600,41200,40350,40550,50263
2021-06-15,40600,40850,40150,40800,45322
2021-06-16,40200,40950,39850,40500,76471
2021-06-17,40200,41450,40100,41000,149053
2021-06-18,41450,42700,41300,42000,220986
2021-06-21,41700,41950,40800,41150,96883
2021-06-22,41500,41850,40450,41000,95644
2021-06-23,41000,41850,40650,40900,81274
2021-06-24,40900,40900,40150,40550,56019
2021-06-25,40550,41200,39550,39900,131937
2021-06-28,39950,40700,39950,40500,73836
2021-06-29,40500,41900,40500,41800,129745
2021-06-30,41800,42400,41250,41450,83597
2021-07-01,41600,41750,40400,40600,96289
2021-07-02,40900,41950,40450,41150,115850
2021-07-05,41700,42500,40700,41050,131215
2021-07-06,41150,41450,40550,40750,94674
2021-07-07,40750,40950,40250,40750,83136
2021-07-08,40900,42300,40800,41400,176730
2021-07-09,41200,41200,39600,40600,181102
2021-07-12,40650,42150,40600,41550,138101
2021-07-13,41850,42500,41400,42000,165992
2021-07-14,42250,43150,41650,43000,201699
2021-07-15,43850,51700,43850,47500,1957747
2021-07-16,47000,47850,46150,47650,395808
2021-07-19,47750,55000,47050,50000,2813113
2021-07-20,49750,52500,49100,51600,965375
2021-07-21,52300,53000,51000,51100,554538
2021-07-22,51200,52800,50300,51900,424391
2021-07-23,51500,53800,51300,52500,294985
2021-07-26,52100,54500,52100,53300,326692
2021-07-27,54000,54000,48000,49050,770669
2021-07-28,49000,49700,48000,48650,233806
2021-07-29,49100,50200,48600,49350,231595
2021-07-30,49650,49800,48300,48900,166115
2021-08-02,48900,49300,47850,49000,118910
2021-08-03,49300,50500,48500,49250,184689
2021-08-04,49850,50900,49000,49400,158135
2021-08-05,49250,50300,49150,50100,119351
2021-08-06,50100,50200,49000,49350,138959
