Date,Open,High,Low,Close,Volume
2019-11-12,4190,4410,4120,4275,522061
2019-11-13,4260,4260,4170,4180,252291
2019-11-14,4200,4330,4120,4330,364199
2019-11-15,4370,4370,4275,4325,286617
2019-11-18,4270,4320,4200,4280,257333
2019-11-19,4280,4310,4190,4270,365291
2019-11-20,4220,4250,4150,4190,358062
2019-11-21,4190,4200,4090,4140,328656
2019-11-22,4185,4185,4050,4160,264813
2019-11-25,4155,4195,4100,4195,213771
2019-11-26,4195,4270,4185,4255,356029
2019-11-27,4280,4295,4190,4235,252094
2019-11-28,4195,4245,4180,4245,136671
2019-11-29,4255,4275,4195,4245,336492
2019-12-02,4255,4255,4200,4250,212438
2019-12-03,4245,4250,4195,4240,144644
2019-12-04,4155,4230,4140,4200,252591
2019-12-05,4160,4230,4100,4170,317745
2019-12-06,4175,4180,4100,4160,228644
2019-12-09,4170,4190,4010,4090,566311
2019-12-10,4080,4110,4050,4105,173102
2019-12-11,4110,4130,4000,4060,639979
2019-12-12,4055,4095,4040,4085,548743
2019-12-13,4100,4180,4090,4175,309234
2019-12-16,4185,4200,4145,4190,192472
2019-12-17,4190,4200,4070,4125,398413
2019-12-18,4125,4145,3960,4030,806542
2019-12-19,4040,4055,3985,4055,364619
2019-12-20,4085,4085,3995,4000,390454
2019-12-23,4040,4040,3995,4010,239505
2019-12-24,4010,4030,3935,3970,420413
2019-12-26,3970,3995,3930,3985,460477
2019-12-27,3945,4095,3945,4080,384373
2019-12-30,4080,4200,4055,4195,450666
2020-01-02,4190,4195,4125,4160,308723
2020-01-03,4140,4175,4085,4120,345165
2020-01-06,4110,4110,4020,4055,347356
2020-01-07,4080,4095,4040,4050,163420
2020-01-08,4005,4065,3965,4050,587727
2020-01-09,4050,4070,3980,4065,605427
2020-01-10,4020,4065,4010,4035,427205
2020-01-13,4070,4070,4000,4040,235377
2020-01-14,4020,4055,4005,4030,327958
2020-01-15,4010,4050,4010,4045,198121
2020-01-16,4020,4050,4000,4045,291859
2020-01-17,4020,4065,3995,4010,546739
2020-01-20,4000,4020,3990,4010,352838
2020-01-21,4005,4015,3985,4005,262054
2020-01-22,3985,4020,3985,4020,184015
2020-01-23,4000,4030,3990,4030,248379
2020-01-28,3950,4020,3900,3905,644339
2020-01-29,3920,3940,3865,3890,557689
2020-01-30,3880,3900,3835,3865,340556
2020-01-31,3890,3890,3795,3820,513684
2020-02-03,3800,3830,3680,3830,495517
2020-02-04,3730,3840,3730,3800,503530
2020-02-05,3800,3830,3745,3770,390368
2020-02-06,3800,3865,3800,3860,244491
2020-02-07,3835,3855,3800,3855,360402
2020-02-10,3815,3860,3775,3860,365021
2020-02-11,3835,3885,3835,3880,275510
2020-02-12,3850,3955,3850,3955,316854
2020-02-13,3950,4020,3930,3975,383129
2020-02-14,3900,3980,3900,3980,348323
2020-02-17,4000,4005,3930,3980,286663
2020-02-18,4010,4025,3960,4025,382982
2020-02-19,4025,4035,3965,4020,239457
2020-02-20,4020,4025,3960,4010,275350
2020-02-21,3960,4005,3930,3980,321432
2020-02-24,3940,3960,3760,3810,499909
2020-02-25,3800,3840,3770,3830,382130
2020-02-26,3855,3870,3770,3840,543118
2020-02-27,3770,3840,3735,3770,414207
2020-02-28,3700,3760,3630,3665,609936
2020-03-02,3670,3695,3595,3630,486076
2020-03-03,3645,3680,3570,3640,483568
2020-03-04,3640,3730,3595,3730,411359
2020-03-05,3700,3860,3650,3860,399427
2020-03-06,3850,3890,3700,3735,534112
2020-03-09,3695,3695,3430,3605,802712
2020-03-10,3650,3660,3565,3655,465470
2020-03-11,3605,3670,3580,3625,445830
2020-03-12,3645,3650,3265,3420,1087266
2020-03-13,3160,3295,2585,3295,1020172
2020-03-16,3295,3480,3250,3335,730559
2020-03-17,3200,3350,3070,3350,668961
2020-03-18,3300,3340,3170,3235,689816
2020-03-19,3240,3250,2895,2970,1292563
2020-03-20,2880,3035,2590,3030,3340229
2020-03-23,2800,2865,2660,2730,870369
2020-03-24,2735,2875,2650,2875,1030655
2020-03-25,2910,3000,2840,2985,1131899
2020-03-26,2970,3015,2895,2955,1051559
2020-03-27,3035,3060,2925,2990,896635
2020-03-30,2965,3010,2870,2990,568577
2020-03-31,3030,3175,2995,3060,855096
2020-04-01,3045,3140,2970,3060,772673
2020-04-02,3000,3105,3000,3085,554420
2020-04-03,3025,3075,2985,3070,712544
2020-04-06,3075,3170,3060,3145,559156
2020-04-07,3190,3200,3130,3185,705808
2020-04-08,3185,3205,3115,3135,577285
2020-04-09,3170,3195,3135,3195,594870
2020-04-10,3200,3220,3130,3205,614864
2020-04-13,3205,3205,3135,3160,462942
2020-04-14,3105,3165,3100,3160,490773
2020-04-16,3090,3180,3055,3180,578086
2020-04-17,3095,3310,3095,3295,828148
2020-04-20,3255,3310,3190,3225,619765
2020-04-21,3220,3225,3050,3125,643684
2020-04-22,3115,3115,2980,3040,638019
2020-04-23,3010,3110,2980,3075,475347
2020-04-24,3035,3060,2985,3025,501378
2020-04-27,3035,3085,3000,3075,354437
2020-04-28,3050,3115,3035,3080,310016
2020-04-29,3110,3140,3060,3060,473839
2020-05-04,3000,3005,2920,2975,732320
2020-05-06,3000,3005,2965,2995,373130
2020-05-07,3010,3010,2960,2990,284726
2020-05-08,3015,3040,3000,3025,488435
2020-05-11,3050,3190,3025,3165,1038627
2020-05-12,3170,3170,3000,3025,770726
2020-05-13,2975,3035,2970,3030,399964
2020-05-14,3035,3045,2960,2975,515826
2020-05-15,2980,3000,2955,2990,395613
2020-05-18,3000,3000,2890,2940,354470
2020-05-19,2985,3035,2970,3015,497408
2020-05-20,3010,3020,2990,3005,260346
2020-05-21,3005,3040,2990,3000,559983
2020-05-22,3030,3030,2940,3000,610329
2020-05-25,3030,3030,2945,2975,310706
2020-05-26,2985,3030,2975,3030,529345
2020-05-27,3015,3160,3015,3130,944447
2020-05-28,3125,3140,3045,3070,607587
2020-05-29,3070,3095,2945,2945,884606
2020-06-01,2960,3015,2960,3010,379947
2020-06-02,2975,3095,2970,3090,586357
2020-06-03,3110,3300,3110,3290,1686508
2020-06-04,3320,3400,3195,3215,907373
2020-06-05,3200,3325,3185,3310,644097
2020-06-08,3370,3370,3275,3330,538431
2020-06-09,3380,3395,3315,3340,693160
2020-06-10,3370,3420,3290,3410,656955
2020-06-11,3410,3500,3305,3500,1196132
2020-06-12,3380,3380,3300,3315,748631
2020-06-15,3310,3315,3065,3065,624406
2020-06-16,3080,3215,3080,3215,433056
2020-06-17,3220,3225,3080,3150,524590
2020-06-18,3110,3180,3085,3180,347555
2020-06-19,3190,3190,3095,3135,420862
2020-06-22,3065,3185,3060,3090,388722
2020-06-23,3080,3135,3035,3120,425490
2020-06-24,3125,3130,3075,3095,315018
2020-06-25,3040,3070,3000,3015,499191
2020-06-26,3010,3030,2980,3030,439913
2020-06-29,2940,3010,2935,2995,420724
2020-06-30,2960,3045,2960,3015,283960
2020-07-01,3020,3040,2985,3000,238589
2020-07-02,3015,3070,3005,3030,205591
2020-07-03,3030,3045,2995,3030,199217
2020-07-06,3050,3095,2995,3080,322930
2020-07-07,3100,3105,3010,3015,354583
2020-07-08,3000,3040,3000,3035,273065
2020-07-09,3040,3040,2985,3000,354422
2020-07-10,3000,3010,2930,2940,526575
2020-07-13,2945,2970,2930,2960,259063
2020-07-14,2940,2960,2905,2945,412279
2020-07-15,2960,3040,2955,2995,507926
2020-07-16,2985,3020,2965,2995,301441
2020-07-17,3000,3015,2960,2985,261519
2020-07-20,2985,2990,2945,2975,407086
2020-07-21,2965,3050,2960,3025,493329
2020-07-22,3020,3090,3010,3035,591789
2020-07-23,3030,3035,2950,2990,443526
2020-07-24,2970,2975,2930,2965,403039
2020-07-27,2965,2980,2935,2960,287303
2020-07-28,2945,2975,2920,2945,605036
2020-07-29,2915,2950,2885,2950,588646
2020-07-30,2950,3000,2925,3000,473341
2020-07-31,2970,2975,2840,2890,1359700
2020-08-03,2890,2890,2790,2815,834432
2020-08-04,2815,2845,2805,2825,449912
2020-08-05,2800,2830,2780,2815,736586
2020-08-06,2815,2855,2780,2850,568251
2020-08-07,2845,2895,2810,2855,589205
2020-08-10,2815,2860,2795,2850,577954
2020-08-11,2830,2930,2830,2930,778630
2020-08-12,2930,2965,2900,2955,638578
2020-08-13,2960,3160,2960,3100,1918317
2020-08-14,3145,3150,3020,3090,942096
2020-08-18,3115,3140,3015,3090,1071494
2020-08-19,3140,3315,3085,3290,1573416
2020-08-20,3320,3325,3140,3150,937501
2020-08-21,3140,3255,3125,3205,449924
2020-08-24,3205,3250,3115,3200,485276
2020-08-25,3205,3230,3145,3200,503646
2020-08-26,3160,3200,3105,3165,509526
2020-08-27,3105,3140,3035,3070,513815
2020-08-28,3070,3700,3070,3440,3182275
2020-08-31,3420,3650,3350,3650,1346069
2020-09-01,3580,4095,3560,3970,2429167
2020-09-02,3940,4040,3790,3975,1518815
2020-09-03,3920,3930,3795,3845,894859
2020-09-04,3725,3840,3660,3840,892440
2020-09-07,3780,3780,3630,3670,707458
2020-09-08,3660,3790,3640,3740,577532
2020-09-09,3700,3735,3545,3575,581447
2020-09-10,3530,3610,3460,3570,652519
2020-09-11,3500,3540,3420,3480,555839
2020-09-14,3520,3990,3505,3865,2221176
2020-09-15,3820,3890,3705,3860,698682
2020-09-16,3765,3885,3725,3835,496949
2020-09-17,3835,4280,3800,4180,3442418
2020-09-18,4180,4210,3985,4030,1074152
2020-09-21,4030,4210,3985,4010,953006
2020-09-22,4030,4045,3725,3780,873504
2020-09-23,3780,3815,3590,3800,751148
2020-09-24,3750,3805,3650,3795,689540
2020-09-25,3800,3825,3630,3655,468481
2020-09-28,3655,3735,3600,3670,504097
2020-09-29,3760,3795,3610,3675,448247
2020-10-05,3870,3870,3685,3790,492279
2020-10-06,3785,3840,3745,3785,330585
2020-10-07,3880,3880,3705,3805,299903
2020-10-08,3810,3850,3745,3750,442244
2020-10-12,3810,3810,3700,3725,280363
2020-10-13,3665,3705,3530,3585,758382
2020-10-14,3585,3615,3500,3500,386096
2020-10-15,3520,3520,3395,3455,381485
2020-10-16,3460,3505,3250,3330,880843
2020-10-19,3395,3465,3375,3430,525785
2020-10-20,3430,3470,3380,3460,366847
2020-10-21,3455,3485,3395,3470,235315
2020-10-22,3470,3625,3405,3610,666859
2020-10-23,3640,3775,3610,3640,673968
2020-10-26,3630,3885,3625,3845,1170298
2020-10-27,3840,3845,3635,3690,684547
2020-10-28,3630,3695,3575,3695,269895
2020-10-29,3600,3700,3540,3695,1016007
2020-10-30,3625,3680,3520,3560,446436
2020-11-02,3590,3685,3560,3625,261594
2020-11-03,3600,3725,3600,3720,290961
2020-11-04,3745,3790,3710,3760,438857
2020-11-05,3755,3840,3720,3825,515408
2020-11-06,3795,3855,3765,3780,346081
2020-11-09,3825,3920,3790,3850,624812
2020-11-10,3830,3950,3785,3940,538954
2020-11-11,3920,4150,3915,4110,848595
2020-11-12,4050,4115,3965,4015,551340
2020-11-13,4015,4160,4000,4100,615813
2020-11-16,4200,4200,4040,4070,789187
2020-11-17,4035,4080,3960,4055,449194
2020-11-18,3995,4060,3855,3910,712219
2020-11-19,3905,3975,3855,3940,567534
