Date,Open,High,Low,Close,Volume
2019-11-12,7910,8070,7910,8060,33460
2019-11-13,8060,8110,8010,8090,26429
2019-11-14,8150,8150,8000,8080,39196
2019-11-15,8200,8410,8100,8340,194416
2019-11-18,8340,8400,8160,8320,67103
2019-11-19,8330,8370,8220,8320,63530
2019-11-20,8330,8380,8010,8080,76793
2019-11-21,8080,8120,7880,8010,114922
2019-11-22,8140,8600,8080,8180,163870
2019-11-25,8150,8290,8080,8160,74842
2019-11-26,8180,8340,8130,8230,101194
2019-11-27,8230,8330,8230,8300,20209
2019-11-28,8300,8350,8260,8280,13977
2019-11-29,8220,8280,8130,8130,46750
2019-12-02,8130,8210,8070,8140,41993
2019-12-03,8080,8140,8030,8070,30526
2019-12-04,8070,8230,8030,8130,53893
2019-12-05,8130,8250,8080,8150,21433
2019-12-06,8210,8290,8120,8220,21076
2019-12-09,8180,8240,8130,8140,18296
2019-12-10,8100,8160,8080,8140,16265
2019-12-11,8140,8200,8030,8070,42833
2019-12-12,8080,8200,8080,8140,21473
2019-12-13,8150,8290,8140,8140,30828
2019-12-16,8120,8280,8120,8230,34717
2019-12-17,8200,8250,8170,8210,20248
2019-12-18,8210,8330,8170,8200,23966
2019-12-19,8130,8400,8130,8300,102506
2019-12-20,8380,8400,8230,8290,21150
2019-12-23,8300,8330,8150,8250,28633
2019-12-24,8270,8300,8160,8290,40030
2019-12-26,8330,8390,8240,8370,53413
2019-12-27,8200,8290,8180,8190,38487
2019-12-30,8190,8250,8070,8150,41545
2020-01-02,8200,8200,8100,8180,16636
2020-01-03,8230,8240,8060,8140,40658
2020-01-06,8060,8060,7860,7870,72742
2020-01-07,7900,7970,7860,7920,38203
2020-01-08,7860,7880,7730,7800,81072
2020-01-09,7860,7990,7860,7900,23335
2020-01-10,7900,7940,7790,7850,34791
2020-01-13,7850,7860,7760,7830,16799
2020-01-14,7830,7940,7800,7820,30554
2020-01-15,7800,7890,7800,7830,36348
2020-01-16,7870,7970,7800,7910,61982
2020-01-17,7920,8030,7530,7930,43229
2020-01-20,7940,7990,7890,7940,13717
2020-01-21,7940,7940,7860,7910,12168
2020-01-22,7880,7990,7870,7910,11510
2020-01-23,7910,7910,7830,7850,20363
2020-01-28,7810,7810,7620,7670,54128
2020-01-29,7730,7880,7300,7300,208144
2020-01-30,7580,8330,7250,7350,1025046
2020-01-31,7680,7720,7330,7400,212521
2020-02-03,7450,7640,7350,7470,187105
2020-02-04,7470,7720,7430,7590,112343
2020-02-05,7590,7650,7400,7410,128388
2020-02-06,7420,7550,7420,7520,62856
2020-02-07,7520,8820,7500,8000,4133923
