Date,Open,High,Low,Close,Volume
2019-11-12,3875,3935,3815,3855,48320
2019-11-13,3920,3920,3800,3830,32007
2019-11-14,3835,3855,3760,3780,30902
2019-11-15,3780,3810,3760,3760,20140
2019-11-18,3775,3805,3720,3755,17639
2019-11-19,3755,3795,3720,3740,9850
2019-11-20,3720,3755,3630,3685,22660
2019-11-21,3655,3680,3615,3640,13567
2019-11-22,3650,3710,3650,3695,10684
2019-11-25,3945,4170,3740,3795,250612
2019-11-26,3800,3875,3780,3840,60818
2019-11-27,3850,3850,3800,3840,22466
2019-11-28,3840,3845,3780,3845,22945
2019-11-29,3850,3850,3775,3815,19090
2019-12-02,3815,3830,3750,3760,17373
2019-12-03,3755,3760,3690,3695,27373
2019-12-04,3715,3780,3690,3700,8528
2019-12-05,3705,3785,3675,3750,18459
2019-12-06,3750,3790,3740,3770,5542
2019-12-09,3800,3800,3745,3755,4331
2019-12-10,3755,3795,3740,3785,1603
2019-12-11,3795,3820,3740,3820,5086
2019-12-12,3820,3830,3730,3765,18975
2019-12-13,3750,3775,3735,3760,10562
2019-12-16,3795,3795,3750,3760,4134
2019-12-17,3795,3800,3740,3785,5585
2019-12-18,3785,3815,3735,3785,15925
2019-12-19,3780,3780,3750,3770,23462
2019-12-20,3770,3790,3760,3785,22199
2019-12-23,3790,3795,3730,3760,39687
2019-12-24,3780,3780,3725,3740,22028
2019-12-26,3780,3780,3720,3720,35216
2019-12-27,3720,3800,3720,3750,40781
2019-12-30,3770,3790,3760,3775,26825
2020-01-02,3760,3895,3760,3880,98388
2020-01-03,3870,3960,3850,3945,94549
2020-01-06,3945,3945,3820,3845,70959
2020-01-07,3855,3920,3840,3840,20687
2020-01-08,3840,3840,3725,3750,59618
2020-01-09,3790,3840,3775,3815,14744
2020-01-10,3815,3860,3795,3830,16141
2020-01-13,3830,3875,3820,3850,27934
2020-01-14,3850,3885,3820,3855,37955
2020-01-15,3870,3900,3850,3885,20570
2020-01-16,3885,3920,3870,3885,22900
2020-01-17,3900,3930,3890,3925,14790
2020-01-20,3940,3980,3895,3910,40746
2020-01-21,3910,3990,3875,3875,26356
