Date,Open,High,Low,Close,Volume
2019-12-11,4480,4620,4360,4620,234840
2019-12-12,4595,4625,4500,4590,27546
2019-12-13,4655,4680,4545,4620,43768
2019-12-16,4625,4650,4560,4605,31681
2019-12-17,4565,4645,4560,4620,78161
2019-12-18,4625,4815,4600,4650,53489
2019-12-19,4680,4680,4600,4620,18921
2019-12-20,4645,4645,4570,4570,31242
2019-12-23,4620,4730,4515,4710,39962
2019-12-24,4725,4740,4635,4660,340097
2019-12-26,4670,4715,4570,4580,72793
2019-12-27,4640,4720,4550,4630,45907
2019-12-30,4750,4750,4545,4565,52081
2020-01-02,4620,4695,4600,4625,22104
2020-01-03,4670,4695,4570,4600,29479
2020-01-06,4600,4665,4530,4590,40844
2020-01-07,4545,4680,4500,4550,67628
2020-01-08,4570,4585,4465,4550,57733
2020-01-09,4615,4615,4500,4550,57433
2020-01-10,4510,4585,4500,4535,21787
2020-01-13,4630,4630,4460,4550,41486
2020-01-14,4585,4615,4465,4505,38884
2020-01-15,4535,4625,4465,4625,54299
2020-01-16,4625,4630,4550,4570,22876
2020-01-17,4610,4620,4530,4590,58453
2020-01-20,4590,4625,4540,4600,20845
2020-01-21,4555,4630,4545,4600,70705
2020-01-22,4600,4600,4540,4550,972374
2020-01-23,4555,4580,4540,4550,20529
2020-01-28,4565,4565,4455,4545,62753
2020-01-29,4460,4600,4445,4595,35966
2020-01-30,4595,4625,4485,4565,25527
2020-01-31,4560,4595,4480,4550,672020
2020-02-03,4580,4580,4445,4500,41206
2020-02-04,4450,4515,4450,4500,10909
2020-02-05,4540,4540,4450,4480,308506
2020-02-06,4480,4520,4430,4495,42463
2020-02-07,4505,4505,4450,4500,33040
2020-02-10,4500,4520,4450,4510,102041
2020-02-11,4520,4520,4450,4510,48131
2020-02-12,4500,4510,4475,4500,15874
2020-02-13,4500,4520,4450,4450,21490
2020-02-14,4475,4500,4440,4500,43140
2020-02-17,4520,4520,4440,4480,40944
2020-02-18,4430,4500,4430,4500,28841
2020-02-19,4500,4510,4440,4480,38892
2020-02-20,4500,4500,4440,4490,94947
2020-02-21,4490,4490,4425,4470,34190
2020-02-24,4465,4465,4220,4465,63459
2020-02-25,4310,4430,4275,4275,85206
2020-02-26,4270,4270,4050,4050,63898
2020-02-27,3930,4000,3700,3980,131919
2020-02-28,3735,4100,3590,4015,279402
2020-03-02,3950,4340,3930,4340,128637
2020-03-03,4490,4550,4350,4470,75006
2020-03-04,4470,4595,4230,4585,93024
2020-03-05,4585,4585,4475,4570,30030
2020-03-06,4570,4570,4300,4525,43064
2020-03-09,4475,4550,4355,4475,29367
2020-03-10,4445,4465,4140,4460,32071
2020-03-11,4490,4550,4330,4385,11253
2020-03-12,4430,4450,4125,4370,104825
2020-03-13,4260,4260,3510,3990,222339
2020-03-16,3810,4230,3755,3965,257508
2020-03-17,3230,3790,3230,3745,548650
2020-03-18,3750,4085,3710,3745,154570
2020-03-19,3740,4080,3460,3530,197263
2020-03-20,3610,4090,3610,3890,315317
2020-03-23,3840,4200,3700,4035,186599
2020-03-24,4145,4975,4045,4925,722481
2020-03-25,5200,5240,4715,5170,1009849
2020-03-26,5250,5460,4960,5350,755244
2020-03-27,5400,5640,5260,5430,921197
2020-03-30,5600,5710,5320,5440,602857
2020-03-31,5480,5630,5430,5500,446949
2020-04-01,5460,5990,5420,5850,656620
2020-04-02,5970,6060,5510,6050,427747
2020-04-03,6000,6350,6000,6230,473466
2020-04-06,6360,6360,6180,6200,399222
2020-04-07,6250,6640,6070,6580,479350
2020-04-08,6650,7350,6650,7350,1286505
2020-04-09,7730,8200,7530,8020,954917
2020-04-10,7970,7970,7200,7670,813792
2020-04-13,7720,7990,7590,7660,319660
2020-04-14,7600,7750,7100,7410,392141
2020-04-16,7450,7930,7350,7820,324864
2020-04-17,7880,7990,7630,7740,413619
2020-04-20,7890,7950,5420,5420,1877217
2020-04-21,5200,5480,4215,5440,4674712
2020-04-22,5440,6140,5440,5810,1495381
2020-04-23,5990,5990,5020,5650,864215
2020-04-24,5550,5550,4630,4805,2007459
2020-04-27,5050,5560,4955,5440,1294035
2020-04-28,5460,5670,5310,5440,640456
2020-04-29,5450,5850,4925,5610,1038081
2020-05-04,5480,5520,5180,5380,540378
2020-05-06,5500,5680,5400,5590,750208
2020-05-07,5590,5860,5390,5600,1043851
2020-05-08,5490,5530,4950,5130,1368220
2020-05-11,4850,5420,4850,5210,1245463
2020-05-12,5270,5360,5000,5100,453288
2020-05-13,4980,5430,4980,5180,432133
2020-05-14,5210,5280,5100,5270,340586
2020-05-15,5270,5350,5140,5200,278793
2020-05-18,5190,5230,5110,5150,272222
2020-05-19,5150,5280,5100,5270,302979
2020-05-20,5270,5380,5210,5250,311154
2020-05-21,5300,5390,5200,5300,326429
2020-05-22,5250,5400,5190,5310,345739
2020-05-25,5350,6150,5310,6070,1512801
2020-05-26,6080,6570,5820,6360,1003815
2020-05-27,6280,6400,5470,5830,1996140
2020-05-28,5950,6010,5450,5730,505116
2020-05-29,5650,5730,5410,5490,409054
2020-06-01,5490,5770,5400,5600,351641
2020-06-02,5600,5640,5390,5500,374447
2020-06-03,5510,5910,5510,5620,847796
2020-06-04,5710,5810,5520,5520,400879
2020-06-05,5550,6040,5500,5850,854386
2020-06-08,5990,6330,5880,5960,551971
2020-06-09,5960,5960,5740,5840,380882
2020-06-10,5890,5940,5680,5850,308632
2020-06-11,5850,5850,5660,5700,227088
2020-06-12,5550,6120,5380,6040,575896
2020-06-15,6050,6670,6050,6200,1486775
2020-06-16,6300,6640,5550,6370,1165179
2020-06-17,6100,6790,6090,6610,819873
2020-06-18,6620,6730,6280,6490,613149
2020-06-19,6470,6490,5910,6030,587885
2020-06-22,6040,6120,5890,6120,380273
2020-06-23,6120,6280,6060,6250,394260
2020-06-24,6250,6300,6020,6090,304340
2020-06-25,6000,6070,5810,5900,288901
2020-06-26,6000,6350,5890,6350,417236
2020-06-29,6350,6900,6240,6680,974587
2020-06-30,6750,6800,6230,6300,526193
2020-07-01,6300,6500,6060,6500,423552
2020-07-02,6540,6770,6530,6720,375245
2020-07-03,6750,6780,6310,6590,254930
2020-07-06,6600,6830,6410,6490,277835
2020-07-07,6520,6580,6020,6160,419486
2020-07-08,6150,6340,6050,6200,220371
2020-07-09,6280,6350,5980,6050,229859
2020-07-10,6060,6200,5810,5820,241740
2020-07-13,5940,6060,5800,6020,123352
2020-07-14,5970,6150,5920,6000,165307
2020-07-15,6030,6230,5950,6030,282051
2020-07-16,6140,6140,5930,6050,123589
2020-07-17,6120,6120,5910,5990,140016
2020-07-20,6100,6230,5950,6220,365752
2020-07-21,6300,6520,6250,6420,353414
2020-07-22,6440,6580,6270,6400,208375
2020-07-23,6420,6470,6180,6280,246992
2020-07-24,6300,6300,6080,6150,122425
2020-07-27,6150,6240,6100,6170,105608
2020-07-28,6230,6230,6020,6160,143020
2020-07-29,6160,6170,5960,6060,136301
2020-07-30,6000,6200,5950,6160,168001
2020-07-31,6100,6220,6040,6070,128041
2020-08-03,6020,6120,5900,6070,118988
2020-08-04,6070,6190,5950,6170,179964
2020-08-05,6190,6190,5990,6060,130589
2020-08-06,6030,6090,5900,6030,198334
2020-08-07,6030,6030,5850,5900,136860
2020-08-10,5920,5920,5670,5880,117417
2020-08-11,6000,6030,5870,5990,144658
2020-08-12,5980,5980,5750,5770,121677
2020-08-13,5780,6350,5780,6110,595182
2020-08-14,6230,6230,5950,6130,169874
2020-08-18,6160,6180,5970,6050,255248
2020-08-19,6050,6360,5950,6200,272910
2020-08-20,6200,6200,5800,5840,281321
