Date,Open,High,Low,Close,Volume
2019-12-11,5550,5590,5500,5540,33280
2019-12-12,5550,5850,5530,5760,52972
2019-12-13,5770,5810,5700,5770,11670
2019-12-16,5850,5850,5610,5740,17977
2019-12-17,5740,5890,5620,5720,13590
2019-12-18,5720,5720,5500,5630,23060
2019-12-19,5630,5630,5370,5410,56635
2019-12-20,5380,5520,5150,5300,104848
2019-12-23,5340,5400,5300,5370,18363
2019-12-24,5370,5500,5310,5400,13472
2019-12-26,5400,5440,5340,5380,10496
2019-12-27,5360,5430,5290,5360,11232
2019-12-30,5360,5420,5350,5400,10833
2020-01-02,5410,5480,5400,5460,11385
2020-01-03,5490,5540,5450,5500,15042
2020-01-06,5500,5540,5400,5510,21354
2020-01-07,5510,5510,5400,5490,12070
2020-01-08,5480,5490,5240,5310,25637
2020-01-09,5400,5410,5220,5280,32775
2020-01-10,5350,5430,5240,5300,21497
2020-01-13,5350,5360,5200,5290,33814
2020-01-14,5350,5390,5250,5320,24421
2020-01-15,5350,5380,5300,5360,34774
2020-01-16,5360,5500,5330,5450,24307
2020-01-17,5450,5650,5450,5600,79516
2020-01-20,5600,5660,5470,5470,22197
2020-01-21,5470,5540,5400,5480,7344
2020-01-22,5590,5590,5330,5380,26523
2020-01-23,5400,5490,5310,5380,23109
2020-01-28,5290,5350,5180,5240,45759
2020-01-29,5290,5290,5200,5290,14266
2020-01-30,5300,5390,5180,5190,15143
2020-01-31,5200,5300,5050,5120,43481
2020-02-03,5100,5160,4990,5050,36530
2020-02-04,5100,5200,5000,5160,12997
2020-02-05,5160,5230,5100,5170,8054
2020-02-06,5210,5250,5140,5250,4911
2020-02-07,5260,5260,5130,5260,6852
2020-02-10,5250,5250,5110,5190,7658
2020-02-11,5200,5240,5170,5210,5458
2020-02-12,5190,6660,5170,6350,5806454
2020-02-13,7290,8200,7270,8010,12052488
2020-02-14,8300,9700,6520,6740,23935809
2020-02-17,6570,7300,6240,6770,5662978
2020-02-18,6500,6760,6160,6180,2117251
2020-02-19,6300,6340,5940,5960,1125498
2020-02-20,5910,6050,5770,5790,861797
2020-02-21,5750,6210,5730,5810,1653175
2020-02-24,5690,6090,5680,5840,1167757
2020-02-25,5920,6130,5680,6040,1034848
2020-02-26,5980,6000,5800,5930,379557
2020-02-27,5900,6250,5900,6200,1593411
2020-02-28,6200,6390,5900,6000,1549041
2020-03-02,6000,6190,5840,5970,454305
2020-03-03,6030,6050,5750,5750,498354
2020-03-04,5690,5970,5620,5950,342022
2020-03-05,5960,5970,5800,5930,227895
2020-03-06,5880,6200,5790,6200,493424
2020-03-09,6330,6340,5750,5750,655845
2020-03-10,5590,5760,5470,5640,379310
2020-03-11,5660,5770,5320,5350,257551
2020-03-12,5300,5350,4810,4940,366952
2020-03-13,4695,4710,4200,4530,392269
2020-03-16,4550,4710,4220,4240,253482
2020-03-17,3890,4270,3890,4165,246542
2020-03-18,4260,4310,3975,3975,244678
2020-03-19,4290,4290,3250,3525,359265
2020-03-20,3505,3755,3335,3675,285179
2020-03-23,3495,3510,3365,3370,164729
2020-03-24,3400,3950,3400,3595,463243
2020-03-25,3750,3850,3665,3800,311787
2020-03-26,3850,4125,3750,3870,478583
2020-03-27,4050,4140,3900,4040,379478
2020-03-30,3965,4280,3955,4175,254902
2020-03-31,4285,4550,4200,4540,366403
2020-04-01,4550,4860,4335,4500,795466
2020-04-02,4500,4685,4350,4655,266026
2020-04-03,4750,4775,4625,4720,187373
2020-04-06,4770,5010,4705,4970,408353
2020-04-07,5040,5050,4875,4980,244484
2020-04-08,5000,5050,4880,4960,184663
2020-04-09,4980,5800,4975,5710,1629612
2020-04-10,5720,5890,5400,5530,975612
2020-04-13,5560,5570,5250,5270,275596
2020-04-14,5300,5390,5210,5250,202787
2020-04-16,5250,5450,5240,5410,208430
2020-04-17,5450,5890,5390,5680,997343
2020-04-20,5780,5790,5620,5680,326739
2020-04-21,5590,5650,5150,5460,324311
2020-04-22,5390,5480,5220,5460,199114
2020-04-23,5480,5610,5450,5550,175426
2020-04-24,5500,5600,5350,5430,177801
2020-04-27,5490,5800,5410,5790,496783
2020-04-28,5900,5900,5570,5660,316936
2020-04-29,5660,5730,5480,5620,135487
2020-05-04,5580,5700,5480,5540,150586
2020-05-06,5600,5930,5550,5900,562677
2020-05-07,5930,5930,5820,5880,258793
2020-05-08,5920,6000,5870,5950,256725
2020-05-11,5970,5970,5750,5810,325131
2020-05-12,5860,5920,5690,5800,177893
2020-05-13,5720,6090,5680,6090,413994
2020-05-14,6020,6530,5950,6370,807126
2020-05-15,6150,6150,5700,5920,1059753
2020-05-18,6000,6000,5750,5780,257820
2020-05-19,5830,5900,5730,5770,225901
2020-05-20,5750,5890,5750,5840,133509
2020-05-21,5840,5920,5710,5760,207757
2020-05-22,5730,5770,5460,5530,283659
2020-05-25,5530,5580,5490,5510,87355
2020-05-26,5640,5780,5600,5730,192980
2020-05-27,5760,5760,5550,5610,138464
2020-05-28,5610,5670,5330,5450,221997
2020-05-29,5470,5540,5390,5540,79239
2020-06-01,5540,5600,5460,5520,72028
2020-06-02,5530,5580,5500,5570,101680
2020-06-03,5630,5660,5490,5520,108035
2020-06-04,5520,5640,5460,5540,126204
2020-06-05,5550,5580,5350,5420,164752
2020-06-08,5390,5470,5310,5370,124803
2020-06-09,5370,5430,5300,5380,143597
2020-06-10,5380,5430,5320,5370,102814
2020-06-11,5370,5380,5190,5210,131981
2020-06-12,4950,5160,4905,5110,139116
2020-06-15,5110,5110,4745,4745,139053
2020-06-16,4750,4980,4750,4955,46911
2020-06-17,4955,4975,4610,4955,57365
2020-06-18,4920,4970,4875,4945,32166
2020-06-19,4900,4990,4900,4965,28167
2020-06-22,4960,4980,4905,4910,23292
2020-06-23,4840,4960,4840,4890,37226
2020-06-24,4920,4995,4885,4970,37791
2020-06-25,4890,4965,4865,4935,21332
2020-06-26,4920,4965,4770,4915,43424
2020-06-29,4940,4940,4755,4780,35950
2020-06-30,4845,4865,4740,4815,26134
2020-07-01,4850,4850,4675,4725,42696
2020-07-02,4725,4770,4685,4735,25223
2020-07-03,4735,4755,4675,4750,26335
