Date,Open,High,Low,Close,Volume
2019-12-11,2270,2275,2230,2250,25201
2019-12-12,2240,2280,2235,2260,43733
2019-12-13,2260,2275,2250,2275,40571
2019-12-16,2275,2290,2265,2290,32674
2019-12-17,2270,2310,2270,2295,26914
2019-12-18,2295,2330,2285,2310,62611
2019-12-19,2295,2325,2295,2295,36863
2019-12-20,2310,2320,2290,2315,42759
2019-12-23,2325,2325,2290,2300,17622
2019-12-24,2285,2300,2275,2285,37937
2019-12-26,2285,2325,2285,2325,32768
2019-12-27,2300,2325,2285,2300,20495
2019-12-30,2280,2310,2275,2305,51547
2020-01-02,2325,2340,2305,2325,54410
2020-01-03,2345,2345,2320,2330,38206
2020-01-06,2320,2325,2275,2285,64171
2020-01-07,2275,2330,2275,2315,60162
2020-01-08,2285,2285,2210,2220,131514
2020-01-09,2275,2295,2250,2290,64258
2020-01-10,2295,2315,2290,2310,37254
2020-01-13,2310,2400,2300,2385,166053
2020-01-14,2385,2440,2375,2385,125277
2020-01-15,2410,2435,2380,2420,70158
2020-01-16,2420,2450,2400,2415,64097
2020-01-17,2415,2445,2410,2435,39846
2020-01-20,2435,2440,2385,2410,44515
2020-01-21,2390,2440,2360,2400,76563
2020-01-22,2395,2395,2365,2395,45540
2020-01-23,2380,2410,2365,2410,47968
2020-01-28,2400,2400,2290,2300,117952
2020-01-29,2305,2330,2295,2325,43918
2020-01-30,2325,2325,2255,2295,64757
2020-01-31,2295,2295,2185,2200,111413
2020-02-03,2155,2205,2155,2185,36115
2020-02-04,2165,2270,2165,2270,33685
2020-02-05,2275,2290,2235,2255,27065
2020-02-06,2255,2305,2250,2290,42948
2020-02-07,2280,2395,2275,2335,105338
2020-02-10,2335,2350,2310,2335,53692
2020-02-11,2320,2390,2320,2340,42382
2020-02-12,2340,2740,2285,2485,5079953
2020-02-13,2465,2535,2445,2520,610782
2020-02-14,2520,2540,2450,2500,501040
2020-02-17,2465,2500,2405,2435,321666
2020-02-18,2435,2490,2410,2460,234442
2020-02-19,2450,2510,2410,2430,266920
2020-02-20,2480,2480,2390,2390,223101
2020-02-21,2385,2385,2315,2320,150530
2020-02-24,2235,2300,2205,2215,203737
2020-02-25,2215,2265,2210,2250,145681
2020-02-26,2195,2270,2195,2230,125082
2020-02-27,2270,2270,2175,2175,133655
2020-02-28,2120,2160,2070,2100,254709
2020-03-02,2060,2155,2055,2130,117799
2020-03-03,2155,2195,2140,2140,133731
2020-03-04,2120,2210,2120,2190,154577
2020-03-05,2190,2245,2190,2235,182728
2020-03-06,2195,2280,2140,2200,115520
2020-03-09,2170,2170,2075,2085,128785
2020-03-10,2055,2100,2020,2065,113238
2020-03-11,2080,2090,1985,1995,175411
2020-03-12,1960,1995,1820,1840,249782
2020-03-13,1705,1745,1570,1630,419227
2020-03-16,1625,1710,1590,1590,358113
2020-03-17,1405,1585,1405,1520,238428
2020-03-18,1515,1575,1450,1450,186183
2020-03-19,1450,1475,1250,1250,442730
2020-03-20,1235,1360,1235,1345,214624
2020-03-23,1230,1330,1225,1265,75778
2020-03-24,1360,1380,1290,1350,76879
2020-03-25,1450,1500,1400,1430,864619
2020-03-26,1430,1540,1410,1530,171252
2020-03-27,1555,1625,1485,1580,193082
2020-03-30,1580,1640,1550,1625,151863
2020-03-31,1650,1740,1650,1710,101814
2020-04-01,1705,1740,1650,1675,104467
2020-04-02,1695,1700,1620,1700,47518
