Date,Open,High,Low,Close,Volume
2019-12-11,5220,5260,5190,5230,12118
2019-12-12,5230,5260,5190,5250,16703
2019-12-13,5330,5330,5230,5260,38339
2019-12-16,5280,5280,5220,5260,34620
2019-12-17,5260,5280,5210,5260,44984
2019-12-18,5280,5320,5260,5280,45962
2019-12-19,5280,5310,5280,5300,41054
2019-12-20,5300,5370,5290,5360,59104
2019-12-23,5370,5370,5290,5340,57222
2019-12-24,5340,5440,5340,5410,117500
2019-12-26,5430,5460,5390,5460,163024
2019-12-27,5290,5330,5230,5230,93214
2019-12-30,5230,5260,5130,5190,43056
2020-01-02,5200,5240,5130,5180,32976
2020-01-03,5190,5210,5130,5160,17323
2020-01-06,5100,5140,5000,5020,55898
2020-01-07,5020,5090,5010,5060,31222
2020-01-08,5060,5080,4910,4925,67632
2020-01-09,4930,5070,4930,5010,32630
2020-01-10,5060,5060,4950,4995,26567
2020-01-13,5030,5030,4960,5000,12903
2020-01-14,5030,5040,4990,4990,22234
2020-01-15,5040,5060,4840,4890,69834
2020-01-16,4950,4950,4900,4920,42968
2020-01-17,4935,4970,4920,4950,42278
2020-01-20,4970,5050,4960,5010,32764
2020-01-21,5050,5050,4910,4930,48055
2020-01-22,4930,4970,4920,4945,40729
2020-01-23,4980,4980,4920,4940,14483
2020-01-28,4860,4910,4760,4800,72737
2020-01-29,4850,4860,4745,4760,34136
2020-01-30,4795,4795,4720,4740,25443
2020-01-31,4800,4800,4690,4750,43672
2020-02-03,4705,4745,4605,4680,40626
2020-02-04,4700,4745,4660,4735,36564
2020-02-05,4750,4785,4655,4670,49714
2020-02-06,4665,4735,4655,4695,75084
2020-02-07,4725,4760,4695,4740,43158
2020-02-10,4740,4810,4715,4785,35271
2020-02-11,4785,4805,4755,4790,22762
2020-02-12,4765,4860,4765,4855,35534
2020-02-13,4940,5180,4840,4920,164474
2020-02-14,4950,5050,4920,4985,62283
2020-02-17,5000,5060,4970,5040,35716
2020-02-18,5040,5070,4975,4990,27048
2020-02-19,4980,5020,4930,4990,19500
2020-02-20,4950,5000,4875,4900,48125
2020-02-21,4840,4885,4810,4815,29593
2020-02-24,4785,4800,4660,4660,56084
2020-02-25,4700,4755,4605,4705,25495
2020-02-26,4700,4750,4645,4715,22206
2020-02-27,4710,4735,4660,4700,25382
2020-02-28,4550,4670,4550,4610,34792
2020-03-02,4540,4650,4530,4630,23279
2020-03-03,4630,4685,4570,4580,18304
2020-03-04,4540,4650,4540,4640,26449
2020-03-05,4640,4705,4640,4695,18222
2020-03-06,4680,4700,4630,4660,14034
2020-03-09,4585,4645,4500,4520,32963
2020-03-10,4415,4675,4410,4570,41076
2020-03-11,4540,4610,4410,4460,28835
2020-03-12,4460,4485,4215,4320,43530
2020-03-13,4135,4205,3920,4040,102512
2020-03-16,4150,4150,3950,3990,47551
2020-03-17,3850,4035,3850,3990,22711
2020-03-18,4000,4095,3815,3815,43269
2020-03-19,3755,3885,3395,3485,80746
2020-03-20,3410,3780,3410,3780,36597
2020-03-23,3590,3590,3430,3500,29495
2020-03-24,3490,3645,3490,3530,57207
2020-03-25,3595,3685,3520,3635,117058
2020-03-26,3660,3740,3625,3640,121703
2020-03-27,3700,3815,3595,3630,159660
2020-03-30,3595,3755,3485,3725,71118
2020-03-31,3810,3865,3775,3860,47225
2020-04-01,3860,3970,3825,3840,51996
2020-04-02,3805,3880,3790,3880,20940
2020-04-03,3895,3930,3840,3880,29152
2020-04-06,3920,4005,3870,3980,40373
2020-04-07,4015,4100,3980,4090,73543
2020-04-08,4090,4180,4050,4145,36225
2020-04-09,4170,4225,4150,4190,39270
2020-04-10,4230,4230,4110,4145,39572
2020-04-13,4160,4160,3995,4030,57544
2020-04-14,4075,4100,3995,4100,42548
2020-04-16,3950,4105,3950,4100,38465
2020-04-17,4100,4285,4100,4250,76122
2020-04-20,4250,4310,4225,4260,53078
2020-04-21,4250,4250,4010,4180,34965
2020-04-22,4065,4250,4065,4180,28253
2020-04-23,4245,4290,4160,4280,19073
2020-04-24,4280,4280,4135,4210,30808
2020-04-27,4210,4240,4195,4240,29684
2020-04-28,4240,4295,4225,4260,28863
2020-04-29,4285,4285,4205,4250,39161
2020-05-04,4205,4245,4155,4240,31340
2020-05-06,4210,4280,4210,4265,14219
2020-05-07,4265,4280,4225,4270,29557
2020-05-08,4340,4340,4270,4320,30400
2020-05-11,4330,4360,4260,4290,40312
2020-05-12,4330,4330,4215,4265,21357
2020-05-13,4265,4265,4210,4260,17218
2020-05-14,4265,4265,4145,4160,38774
2020-05-15,4080,4140,4065,4075,53028
2020-05-18,4080,4130,4040,4100,29144
2020-05-19,4120,4170,4120,4145,29099
2020-05-20,4160,4255,4105,4215,25257
2020-05-21,4205,4265,4200,4230,36577
2020-05-22,4230,4240,4120,4200,23807
2020-05-25,4230,4250,4140,4200,32950
2020-05-26,4200,4230,4185,4225,37898
2020-05-27,4220,4265,4210,4235,24984
2020-05-28,4230,4300,4155,4270,82626
2020-05-29,4270,4280,4210,4270,39203
2020-06-01,4290,4290,4245,4260,21928
2020-06-02,4260,4350,4255,4320,63372
2020-06-03,4345,4350,4275,4330,53789
2020-06-04,4330,4375,4295,4315,18789
2020-06-05,4315,4345,4300,4330,13915
