Date,Open,High,Low,Close,Volume
2019-12-11,2980,2980,2980,2980,0
2019-12-12,2980,2980,2980,2980,0
2019-12-13,2980,2980,2980,2980,0
2019-12-16,2980,2980,2980,2980,0
2019-12-17,2980,2980,2980,2980,0
2019-12-18,2980,2980,2980,2980,0
2019-12-19,2980,2980,2980,2980,0
2019-12-20,2980,2980,2980,2980,0
2019-12-23,2980,2980,2980,2980,0
2019-12-24,2980,2980,2980,2980,0
2019-12-26,2980,2980,2980,2980,0
2019-12-27,2980,2980,2980,2980,0
2019-12-30,2980,2980,2980,2980,0
2020-01-02,2980,2980,2980,2980,0
2020-01-03,2980,2980,2980,2980,0
2020-01-06,2980,2980,2980,2980,0
2020-01-07,2980,2980,2980,2980,0
2020-01-08,2980,2980,2980,2980,0
2020-01-09,2980,2980,2980,2980,0
2020-01-10,2980,2980,2980,2980,0
2020-01-13,2980,2980,2980,2980,0
2020-01-14,2980,2980,2980,2980,0
2020-01-15,2980,2980,2980,2980,0
2020-01-16,2980,2980,2980,2980,0
2020-01-17,2980,2980,2980,2980,0
2020-01-20,2980,2980,2980,2980,0
2020-01-21,2980,2980,2980,2980,0
2020-01-22,2980,2980,2980,2980,0
2020-01-23,2980,2980,2980,2980,0
2020-01-28,2980,2980,2980,2980,0
2020-01-29,2980,2980,2980,2980,0
2020-01-30,2980,2980,2980,2980,0
2020-01-31,2980,2980,2980,2980,0
2020-02-03,2980,2980,2980,2980,0
2020-02-04,2980,2980,2980,2980,0
2020-02-05,2980,2980,2980,2980,0
2020-02-06,2980,2980,2980,2980,0
2020-02-07,2980,2980,2980,2980,0
2020-02-10,2980,2980,2980,2980,0
2020-02-11,2980,2980,2980,2980,0
2020-02-12,2980,2980,2980,2980,0
2020-02-13,2980,2980,2980,2980,0
2020-02-14,2980,2980,2980,2980,0
2020-02-17,2980,2980,2980,2980,0
2020-02-18,2980,2980,2980,2980,0
2020-02-19,2980,2980,2980,2980,0
2020-02-20,2980,2980,2980,2980,0
2020-02-21,2980,2980,2980,2980,0
2020-02-24,2980,2980,2980,2980,0
2020-02-25,2980,2980,2980,2980,0
2020-02-26,2980,2980,2980,2980,0
2020-02-27,2980,2980,2980,2980,0
2020-02-28,2980,2980,2980,2980,0
2020-03-02,2980,2980,2980,2980,0
2020-03-03,2980,2980,2980,2980,0
2020-03-04,2980,2980,2980,2980,0
2020-03-05,2980,2980,2980,2980,0
2020-03-06,2980,2980,2980,2980,0
