Date,Open,High,Low,Close,Volume
2019-12-11,273,274,254,267,11665900
2019-12-12,260,271,259,265,4577803
2019-12-13,265,296,260,267,23239830
2019-12-16,272,283,259,260,6356628
2019-12-17,259,267,254,261,4557840
2019-12-18,260,260,253,255,2857696
2019-12-19,255,260,252,254,1789854
2019-12-20,251,256,248,249,1460087
2019-12-23,246,251,238,240,1812328
2019-12-24,241,243,229,235,2657158
2019-12-26,251,305,251,305,64049662
2019-12-27,321,324,271,272,94440422
2019-12-30,278,285,260,263,21289072
2020-01-02,265,276,254,261,22983211
2020-01-03,260,265,245,251,16072635
2020-01-06,248,259,238,252,13165427
2020-01-07,252,261,242,250,16484111
2020-01-08,251,252,236,237,7212372
2020-01-09,241,244,239,242,3789310
2020-01-10,241,253,241,251,8183743
2020-01-13,253,253,231,244,11653461
2020-01-14,246,246,229,238,6682439
2020-01-15,240,241,236,238,2649845
2020-01-16,241,242,236,238,3042152
2020-01-17,236,241,235,239,2928955
2020-01-20,239,241,235,239,3118919
2020-01-21,239,240,233,237,3674236
2020-01-22,235,237,233,234,2660566
2020-01-23,235,237,227,237,3649769
2020-01-28,228,231,220,224,4874308
2020-01-29,224,231,223,229,2875332
2020-01-30,231,232,222,226,2519254
2020-01-31,224,244,223,236,8748896
2020-02-03,229,235,220,227,3261162
2020-02-04,228,231,225,228,2157884
2020-02-05,228,230,226,227,1909176
2020-02-06,227,231,225,228,2272824
2020-02-07,227,228,219,223,6935931
2020-02-10,221,223,218,219,3154774
2020-02-11,221,221,215,218,2414564
2020-02-12,217,219,210,211,5146164
2020-02-13,213,216,210,214,2114015
2020-02-14,223,225,214,217,4882044
2020-02-17,217,217,210,214,2489147
2020-02-18,217,217,209,209,2532104
2020-02-19,211,214,205,205,3069582
2020-02-20,206,207,199,201,3494729
2020-02-21,201,201,192,197,3589661
2020-02-24,190,193,180,184,5835076
2020-02-25,183,201,182,196,4962423
2020-02-26,196,197,190,192,1952465
2020-02-27,194,195,178,185,3107525
2020-02-28,181,182,172,175,4722235
2020-03-02,171,180,170,172,6455772
2020-03-03,198,205,179,180,27133020
2020-03-04,180,187,178,186,5398986
2020-03-05,192,193,185,188,2967694
2020-03-06,187,189,183,188,2911478
2020-03-09,187,187,177,179,4533719
2020-03-10,172,174,165,172,4962329
2020-03-11,174,181,166,169,3982675
2020-03-12,165,167,152,158,5387478
2020-03-13,146,147,128,136,8188659
2020-03-16,142,146,130,132,5914270
2020-03-17,122,136,120,135,3883471
2020-03-18,136,140,130,130,3491170
2020-03-19,127,131,108,113,4764306
2020-03-20,113,122,113,119,2855309
2020-03-23,114,116,106,109,4028875
2020-03-24,110,115,107,113,2801592
2020-03-25,117,124,117,124,4061993
2020-03-26,126,139,122,134,6530218
2020-03-27,138,141,125,129,6044122
2020-03-30,128,137,123,135,3083717
2020-03-31,138,150,137,148,10340985
2020-04-01,148,154,142,146,8738031
2020-04-02,142,150,141,148,3313822
2020-04-03,151,152,146,148,2691946
2020-04-06,148,151,146,151,2300538
2020-04-07,155,155,150,153,4128833
2020-04-08,154,160,150,159,4548611
2020-04-09,161,164,160,164,3452104
2020-04-10,168,168,158,161,3298016
2020-04-13,162,162,154,156,3836063
2020-04-14,157,160,155,157,3107934
2020-04-16,158,163,151,160,4774938
2020-04-17,161,184,159,170,23280051
2020-04-20,172,180,169,176,7947996
2020-04-21,174,180,161,169,9481759
2020-04-22,166,167,162,165,4043010
2020-04-23,168,169,165,166,2301379
2020-04-24,166,168,162,164,1801318
2020-04-27,163,167,163,166,2621833
2020-04-28,166,168,163,167,1498992
2020-04-29,165,169,160,168,2645859
2020-05-04,168,169,165,167,1298575
2020-05-06,168,171,166,170,2334887
2020-05-07,171,180,168,179,7474988
2020-05-08,187,195,176,180,8636845
2020-05-11,178,180,173,173,4359072
2020-05-12,174,175,166,170,3827147
2020-05-13,169,172,166,171,1464177
2020-05-14,170,171,166,169,2659832
2020-05-15,171,173,167,168,1495254
2020-05-18,171,171,165,169,2045402
2020-05-19,170,173,167,172,2494863
2020-05-20,172,175,170,174,2683680
2020-05-21,174,177,172,174,2691729
2020-05-22,174,174,170,172,1698172
2020-05-25,172,173,170,172,966770
2020-05-26,172,173,169,172,1377808
2020-05-27,172,173,170,172,1182498
2020-05-28,172,173,164,169,2753809
2020-05-29,167,169,165,169,1197208
2020-06-01,169,171,167,169,1314055
2020-06-02,170,173,167,172,2754876
2020-06-03,173,175,171,172,2644991
2020-06-04,174,174,171,173,2249698
2020-06-05,173,178,173,175,4190064
2020-06-08,177,180,173,180,4299140
2020-06-09,181,207,181,202,28217431
2020-06-10,199,209,190,203,14146993
2020-06-11,203,208,196,201,7746532
2020-06-12,191,209,181,203,8230344
2020-06-15,199,202,176,183,7192815
2020-06-16,183,191,182,184,3660047
2020-06-17,180,187,178,184,3790250
2020-06-18,183,185,180,181,1968770
2020-06-19,181,183,178,181,1660068
2020-06-22,183,184,180,180,1430317
2020-06-23,181,181,171,173,3044299
2020-06-24,173,175,169,174,2205994
2020-06-25,171,174,167,170,1585192
2020-06-26,169,171,163,168,2621866
2020-06-29,167,167,155,157,2156919
2020-06-30,159,164,157,162,1970643
2020-07-01,162,168,162,162,1499742
2020-07-02,163,166,157,164,986360
2020-07-03,164,164,160,162,995375
2020-07-06,162,165,157,161,1438471
2020-07-07,163,167,160,161,1530199
2020-07-08,161,161,157,159,1445401
2020-07-09,159,160,157,158,998346
2020-07-10,158,158,155,158,1150033
2020-07-13,158,160,155,158,1265975
2020-07-14,157,161,156,160,1500688
2020-07-15,161,199,159,180,32221876
2020-07-16,183,184,173,173,8342485
2020-07-17,175,179,171,174,3283407
2020-07-20,172,176,170,174,2288138
2020-07-21,178,178,170,171,2454607
2020-07-22,171,172,169,170,1743727
2020-07-23,170,172,166,172,2425572
2020-07-24,171,173,168,169,1592944
2020-07-27,167,173,167,173,1786778
2020-07-28,174,174,170,172,1847895
2020-07-29,172,172,167,168,1643218
2020-07-30,169,190,168,172,24650661
2020-07-31,173,174,168,169,3030954
2020-08-03,167,170,165,165,3249580
2020-08-04,166,168,164,166,1248281
2020-08-05,167,167,164,166,1572056
2020-08-06,166,166,159,164,3017570
2020-08-07,164,165,161,164,1122504
2020-08-10,163,164,161,163,1546330
2020-08-11,163,165,161,165,1250155
2020-08-12,164,165,161,165,1306308
2020-08-13,166,169,164,168,1833025
2020-08-14,169,169,164,166,851067
2020-08-18,166,166,157,158,2892987
2020-08-19,158,164,158,159,1771550
2020-08-20,160,161,150,152,3405667
2020-08-21,155,156,150,153,1520540
2020-08-24,153,156,149,153,1342688
2020-08-25,153,156,150,154,2553753
2020-08-26,154,155,150,152,2195001
2020-08-27,152,153,148,149,3784317
2020-08-28,150,153,148,150,1601497
2020-08-31,150,155,150,153,1982663
2020-09-01,152,157,152,155,1317268
2020-09-02,157,168,156,161,5292436
2020-09-03,161,164,159,163,1996997
2020-09-04,158,162,157,160,2105118
2020-09-07,161,163,158,161,1505843
2020-09-08,161,163,159,161,1599186
2020-09-09,160,162,158,162,1170026
2020-09-10,162,188,161,166,22985808
2020-09-11,163,176,163,171,9392243
2020-09-14,174,186,173,178,13470654
2020-09-15,179,181,173,175,3225583
2020-09-16,175,175,170,173,1910094
2020-09-17,171,174,169,169,2058791
2020-09-18,169,170,165,166,1509788
2020-09-21,166,215,163,215,83879853
2020-09-22,235,279,205,240,397455138
2020-09-23,232,295,227,250,288043848
2020-09-24,256,256,223,225,22307409
2020-09-25,229,229,209,216,11120272
2020-09-28,224,280,224,280,24364382
2020-09-29,284,289,253,263,80868520
2020-10-05,262,334,252,315,226556256
2020-10-06,317,370,300,329,199401409
2020-10-07,335,354,321,331,58944774
2020-10-08,346,347,314,319,33996090
2020-10-12,319,319,288,296,30270262
2020-10-13,298,298,274,283,27379230
2020-10-14,285,297,279,285,22604846
2020-10-15,280,282,253,268,19848262
2020-10-16,269,283,255,268,18295518
2020-10-19,270,309,265,292,55862728
2020-10-20,294,303,276,281,16522393
2020-10-21,280,292,276,280,9631782
2020-10-22,285,285,272,273,7251602
2020-10-23,272,278,266,271,5698148
2020-10-26,271,271,256,258,6063310
2020-10-27,255,275,246,262,13587779
2020-10-28,264,272,260,268,6846973
2020-10-29,262,269,253,258,11481277
2020-10-30,258,312,252,270,133272802
2020-11-02,272,311,268,291,109205732
2020-11-03,290,294,276,278,26781416
2020-11-04,274,283,266,268,17679252
2020-11-05,268,288,267,269,22361765
2020-11-06,271,283,266,274,19949624
2020-11-09,275,311,275,304,95182139
2020-11-10,305,305,284,290,27425804
2020-11-11,286,289,276,280,11253652
2020-11-12,282,293,282,286,10038669
2020-11-13,287,294,279,285,10923252
2020-11-16,288,290,280,283,7106080
2020-11-17,283,283,273,276,7693978
2020-11-18,278,279,271,273,6999053
2020-11-19,274,276,264,272,5216737
2020-11-20,270,283,270,280,7473051
2020-11-23,283,287,275,279,8054455
2020-11-24,279,280,273,274,5930194
2020-11-25,275,333,273,314,234955467
2020-11-26,311,313,281,290,64725979
2020-11-27,288,289,277,283,16310624
2020-11-30,283,294,280,283,15189606
2020-12-01,283,294,280,286,16686114
2020-12-02,290,290,282,283,6581374
2020-12-03,284,286,281,283,5449100
2020-12-04,285,297,282,290,17313944
2020-12-07,293,328,291,307,99326536
2020-12-08,305,327,298,307,64050049
2020-12-09,313,318,302,316,30280522
2020-12-10,322,366,313,350,219304108
2020-12-11,350,354,337,344,33214909
2020-12-14,344,363,344,350,37979427
2020-12-15,357,419,356,382,178427585
2020-12-16,382,390,354,363,39270266
2020-12-17,362,362,332,335,37759228
2020-12-18,338,345,325,335,23090434
2020-12-21,334,349,319,332,30407201
2020-12-22,333,349,320,342,35252848
2020-12-23,358,362,331,331,25455971
2020-12-24,333,335,317,323,13285918
2020-12-28,320,321,289,292,23957967
