Date,Open,High,Low,Close,Volume
2019-12-11,20150,20700,20150,20600,11676
2019-12-12,20600,21950,20600,21750,23071
2019-12-13,21800,21900,21400,21700,11456
2019-12-16,21500,21800,21300,21550,9768
2019-12-17,21550,21800,21350,21700,9782
2019-12-18,21800,22250,21100,21500,32994
2019-12-19,21500,21750,20550,20800,15116
2019-12-20,20800,21150,20350,20700,13972
2019-12-23,20800,20800,20050,20300,16607
2019-12-24,20100,20150,19700,19750,21342
2019-12-26,19950,20400,19750,20300,13045
2019-12-27,20400,21000,20350,20600,22445
2019-12-30,20650,20800,20300,20700,9332
2020-01-02,20950,21500,20850,21250,21860
2020-01-03,21250,21550,20400,20800,24834
2020-01-06,20700,20800,20200,20750,12530
2020-01-07,20600,21000,20500,21000,13308
2020-01-08,20800,20800,19900,19950,30988
2020-01-09,20450,20750,20200,20550,20421
2020-01-10,20400,21550,20400,21300,31951
2020-01-13,21150,23250,21150,22700,91248
2020-01-14,22950,23550,22400,22900,48568
2020-01-15,23250,23500,22700,23150,31845
2020-01-16,23350,25150,22900,25000,96448
2020-01-17,25300,26050,24800,25400,123842
2020-01-20,25650,25650,24450,24550,52584
2020-01-21,24550,24650,23950,24200,28695
2020-01-22,24400,25200,24100,25000,26421
2020-01-23,24750,25250,24150,24600,33249
2020-01-28,23500,24050,22950,23350,49631
2020-01-29,23350,24050,23250,23700,23644
2020-01-30,23700,24050,23000,23500,18908
2020-01-31,23350,23750,21850,22450,41281
2020-02-03,21850,22950,21650,22350,36200
2020-02-04,22500,23250,22100,23250,24858
2020-02-05,21950,22200,19850,19850,291613
2020-02-06,19950,20200,18950,19250,133010
2020-02-07,19250,19500,19100,19250,42073
2020-02-10,19250,19650,18750,19400,37707
2020-02-11,19500,19700,19000,19150,40917
2020-02-12,19300,19500,19100,19100,23015
2020-02-13,19200,19200,18650,19200,31456
2020-02-14,19200,19200,18900,19100,15898
2020-02-17,18850,19050,18650,18750,27514
2020-02-18,18850,18850,18000,18200,40795
2020-02-19,18450,18700,18050,18600,21806
2020-02-20,18600,19100,18550,18900,22018
2020-02-21,18450,18850,18250,18700,15228
2020-02-24,18500,18500,17250,17300,14946
2020-02-25,17150,18200,17100,18150,20399
