Date,Open,High,Low,Close,Volume
2019-12-11,2035,2060,1980,1980,47564
2019-12-12,2000,2050,1975,2005,48305
2019-12-13,2030,2080,2000,2050,6365
2019-12-16,2050,2080,2000,2010,37375
2019-12-17,1985,2020,1980,2020,25513
2019-12-18,1985,2020,1980,2010,3047
2019-12-19,2010,2040,2000,2020,4324
2019-12-20,2000,2035,1995,2020,18755
2019-12-23,2045,2045,1995,2000,1907
2019-12-24,1975,2040,1975,2015,6433
2019-12-26,1995,2075,1995,2015,5262
2019-12-27,2060,2060,2005,2040,8723
2019-12-30,2040,2055,2010,2055,7386
2020-01-02,2070,2080,2035,2055,2148
2020-01-03,2075,2075,2030,2050,9188
2020-01-06,2050,2050,2015,2035,6364
2020-01-07,2015,2090,2015,2090,13318
2020-01-08,2070,2070,1980,1985,17376
2020-01-09,2030,2045,2010,2040,4762
2020-01-10,2010,2085,2010,2035,12822
2020-01-13,2060,2060,2015,2035,10725
2020-01-14,2050,2050,2010,2015,9513
2020-01-15,2015,2030,2000,2025,6023
2020-01-16,2025,2070,2010,2045,21175
2020-01-17,2045,2080,2040,2050,2476
2020-01-20,2080,2080,1930,2015,21985
2020-01-21,2005,2015,1990,2000,7359
2020-01-22,2000,2020,1995,2015,3702
2020-01-23,2010,2090,2010,2055,16151
2020-01-28,2020,2060,1950,1985,7442
2020-01-29,1985,2050,1985,2040,6064
2020-01-30,2030,2240,2030,2100,146078
2020-01-31,2150,2160,2030,2090,20650
2020-02-03,2065,2090,2030,2070,11043
2020-02-04,2060,2065,2010,2020,16046
2020-02-05,2020,2115,2020,2030,7470
2020-02-06,2030,2080,2020,2025,10110
2020-02-07,2095,2095,1995,2005,28766
2020-02-10,2090,2145,2005,2025,7057
2020-02-11,2030,2085,2030,2060,19267
2020-02-12,2060,2080,1945,2005,37648
2020-02-13,2015,2040,2000,2030,10848
2020-02-14,2040,2060,2015,2050,8991
2020-02-17,2030,2190,2020,2060,31876
2020-02-18,2060,2100,2035,2050,10565
2020-02-19,2080,2080,2020,2060,10805
2020-02-20,2100,2100,2000,2020,9412
2020-02-21,2015,2015,1965,1990,16910
2020-02-24,1950,1985,1900,1945,18042
2020-02-25,1875,2030,1875,2005,8528
2020-02-26,1975,2030,1970,1970,734
2020-02-27,1970,2025,1935,2000,7225
2020-02-28,1890,1995,1890,1900,17115
2020-03-02,1835,2050,1835,1865,11336
2020-03-03,1930,1965,1890,1900,5390
2020-03-04,1975,1975,1895,1900,3028
2020-03-05,1980,1980,1890,1910,6090
2020-03-06,1910,1950,1885,1890,4351
2020-03-09,1920,1920,1730,1800,12312
2020-03-10,1935,1935,1730,1800,5273
2020-03-11,1800,1910,1700,1750,8152
2020-03-12,1600,1675,1450,1510,92060
2020-03-13,1300,1470,1290,1410,53314
2020-03-16,1525,1525,1365,1410,32997
2020-03-17,1370,1400,1300,1340,32269
2020-03-18,1340,1415,1300,1300,22107
2020-03-19,1300,1310,1030,1090,76733
2020-03-20,1025,1180,1025,1095,20935
2020-03-23,1005,1180,1005,1115,4171
2020-03-24,1055,1160,1055,1140,43772
2020-03-25,1155,1230,1155,1190,43663
2020-03-26,1240,1290,1190,1195,29778
2020-03-27,1205,1305,1110,1155,21111
2020-03-30,1155,1205,1150,1195,23941
2020-03-31,1270,1270,1195,1215,48673
2020-04-01,1260,1265,1200,1240,76183
2020-04-02,1240,1240,1200,1230,15361
2020-04-03,1235,1260,1220,1245,19807
2020-04-06,1265,1285,1225,1285,31709
2020-04-07,1310,1670,1290,1670,539696
2020-04-08,1735,1845,1625,1730,742074
2020-04-09,1735,1745,1685,1720,145327
2020-04-10,1740,1740,1600,1730,72058
2020-04-13,1730,1820,1650,1760,83675
2020-04-14,1820,1930,1740,1800,162462
2020-04-16,1820,1910,1730,1800,35518
2020-04-17,1800,1860,1780,1825,38524
2020-04-20,1845,1855,1765,1775,41024
2020-04-21,1735,1765,1670,1745,44631
2020-04-22,1730,1740,1675,1740,9586
2020-04-23,1700,1750,1700,1745,24174
2020-04-24,1765,1820,1660,1720,15747
2020-04-27,1720,1765,1670,1765,32773
2020-04-28,1795,1795,1640,1720,48342
2020-04-29,1720,1795,1715,1755,52155
2020-05-04,1755,1755,1700,1745,9115
2020-05-06,1715,1770,1710,1750,14548
2020-05-07,1750,1780,1660,1760,21633
2020-05-08,1760,1765,1725,1760,31323
2020-05-11,1760,1790,1745,1765,24336
2020-05-12,1765,1765,1530,1620,1216506
2020-05-13,1600,1605,1540,1560,111633
2020-05-14,1560,1585,1495,1495,67602
2020-05-15,1525,1530,1475,1490,31254
2020-05-18,1475,1510,1450,1495,48800
2020-05-19,1495,1930,1485,1845,1427872
2020-05-20,1705,1755,1675,1690,485033
2020-05-21,1710,1745,1675,1735,182598
2020-05-22,1710,1735,1645,1665,103287
2020-05-25,1665,1705,1650,1705,69793
2020-05-26,1710,1720,1655,1670,59244
2020-05-27,1695,1705,1660,1670,22899
2020-05-28,1670,1700,1600,1615,62491
2020-05-29,1615,1930,1545,1685,1028315
2020-06-01,1685,1780,1660,1715,151701
2020-06-02,1715,1750,1695,1725,29455
2020-06-03,1760,1800,1725,1760,89109
2020-06-04,1760,1820,1760,1795,62977
2020-06-05,1820,1995,1785,1810,144835
2020-06-08,1870,2055,1800,2030,315465
2020-06-09,1960,1970,1865,1890,182694
2020-06-10,1890,1940,1880,1920,52229
2020-06-11,1890,1950,1820,1840,39702
2020-06-12,1700,1825,1700,1820,33691
2020-06-15,1795,1815,1620,1630,37298
2020-06-16,1630,1690,1630,1680,29667
2020-06-17,1680,1700,1635,1680,19787
2020-06-18,1735,1810,1670,1730,57958
2020-06-19,1730,1755,1680,1725,15853
2020-06-22,1720,1745,1680,1695,10387
2020-06-23,1695,1710,1650,1700,15076
2020-06-24,1700,1710,1625,1710,29759
2020-06-25,1690,1710,1615,1630,32796
2020-06-26,1625,1665,1625,1650,11894
2020-06-29,1650,1680,1605,1680,14268
2020-06-30,1680,1760,1680,1740,29903
2020-07-01,1770,1770,1715,1735,7592
2020-07-02,1740,1760,1695,1715,12692
2020-07-03,1720,1755,1695,1720,7717
2020-07-06,1720,1755,1700,1735,10452
2020-07-07,1735,1745,1685,1715,13756
2020-07-08,1715,1740,1650,1715,14849
2020-07-09,1715,1740,1700,1720,10595
2020-07-10,1700,1735,1690,1705,6652
2020-07-13,1685,1750,1685,1735,28816
2020-07-14,1715,1740,1680,1710,145530
2020-07-15,1720,1730,1695,1730,34877
2020-07-16,1740,1840,1730,1735,234980
2020-07-17,1730,1770,1715,1770,65340
2020-07-20,1775,1915,1760,1765,275660
2020-07-21,1775,1835,1735,1835,43341
2020-07-22,1835,1845,1760,1790,52369
2020-07-23,1790,1790,1745,1750,14522
2020-07-24,1740,1755,1705,1725,12284
2020-07-27,1715,1750,1705,1730,22287
2020-07-28,1740,1755,1710,1715,20957
2020-07-29,1705,1730,1705,1725,11970
2020-07-30,1725,1750,1705,1725,21916
2020-07-31,1730,1730,1695,1695,21323
2020-08-03,1645,1690,1645,1675,37552
2020-08-04,1665,1720,1650,1715,22264
2020-08-05,1725,1730,1695,1730,9706
2020-08-06,1730,1735,1700,1730,28245
2020-08-07,1740,1745,1700,1710,26646
2020-08-10,1720,1750,1700,1740,66522
2020-08-11,1745,1795,1725,1795,327614
2020-08-12,1785,1790,1700,1715,166969
2020-08-13,1735,1885,1715,1875,349460
2020-08-14,1840,1840,1770,1830,95673
2020-08-18,1830,1970,1635,1655,341063
2020-08-19,1665,1725,1640,1685,54608
2020-08-20,1685,1735,1615,1620,44355
2020-08-21,1620,1775,1620,1675,34990
2020-08-24,1750,1750,1680,1705,43932
2020-08-25,1690,1760,1690,1725,20208
2020-08-26,1770,1770,1705,1735,35206
2020-08-27,1740,1800,1700,1745,65409
2020-08-28,1810,1810,1705,1750,43785
2020-08-31,1775,1790,1745,1770,29874
2020-09-01,1790,1790,1750,1780,26369
2020-09-02,1760,1805,1760,1795,52873
2020-09-03,1810,1845,1720,1750,87198
2020-09-04,1670,1735,1665,1730,36093
2020-09-07,1730,1735,1695,1720,16771
2020-09-08,1730,1800,1710,1750,88382
2020-09-09,1735,1770,1695,1765,18594
2020-09-10,1745,1770,1710,1725,103661
2020-09-11,1715,1735,1705,1735,31611
2020-09-14,1735,1790,1715,1750,116538
2020-09-15,1760,1825,1740,1810,182245
2020-09-16,1810,2350,1810,2350,1713271
2020-09-17,2520,2845,2195,2345,7844427
2020-09-18,2410,2440,2215,2285,853430
2020-09-21,2275,2310,2050,2065,653291
2020-09-22,2005,2680,1940,2680,7594147
2020-09-23,2795,3135,2425,2535,6278099
2020-09-24,2640,3170,2435,2680,9017345
2020-09-25,2650,3055,2350,2360,3685112
2020-09-28,2410,2575,2335,2440,561309
2020-09-29,2445,2780,2360,2690,1302366
2020-10-05,2655,2735,2535,2665,480103
2020-10-06,2770,2800,2585,2700,517047
2020-10-07,2770,3200,2605,2885,2483268
2020-10-08,2920,2940,2700,2845,609896
2020-10-12,2820,2820,2680,2750,197425
2020-10-13,2750,3060,2710,2850,1261186
2020-10-14,2820,2850,2735,2835,196985
2020-10-15,2870,2870,2680,2765,176611
2020-10-16,2745,2760,2570,2650,166431
2020-10-19,2650,2780,2605,2685,166956
2020-10-20,2740,2740,2470,2630,119577
2020-10-21,2605,2680,2550,2635,53134
2020-10-22,2660,2750,2600,2715,82317
2020-10-23,2710,3470,2680,2840,2450531
2020-10-26,2840,2840,2660,2790,423186
2020-10-27,2740,2995,2670,2890,449853
2020-10-28,3065,3380,2860,3010,972624
2020-10-29,2950,3080,2780,3000,180517
2020-10-30,2955,2995,2820,2935,148429
2020-11-02,2850,3030,2850,2900,96234
2020-11-03,3025,3200,2910,3125,568009
2020-11-04,3150,3180,2900,2985,382588
2020-11-05,3005,3120,2935,3030,189459
2020-11-06,3005,3060,2950,3000,96423
2020-11-09,3090,3110,2980,3035,116210
2020-11-10,3050,3120,2985,3120,96115
2020-11-11,3095,3350,3070,3180,226081
2020-11-12,3115,3175,2955,2955,196372
2020-11-13,2955,3040,2905,2930,77596
