Date,Open,High,Low,Close,Volume
2019-12-11,8860,8860,8530,8610,65523
2019-12-12,8800,8800,8590,8660,44653
2019-12-13,8760,9300,8760,9230,139950
2019-12-16,9130,9990,9130,9990,285463
2019-12-17,10150,10200,9840,9980,195506
2019-12-18,9940,10550,9870,10500,197819
2019-12-19,10550,10950,10200,10550,224505
2019-12-20,10650,10850,10400,10600,99491
2019-12-23,10600,10600,10100,10200,109305
2019-12-24,10300,10350,10100,10250,41771
2019-12-26,10250,10600,10200,10350,53827
2019-12-27,10300,10800,10300,10700,113590
2019-12-30,10700,10900,10600,10850,84402
2020-01-02,10850,11050,10600,10850,117858
2020-01-03,11000,11000,10500,10650,107079
2020-01-06,10350,10550,10250,10400,62869
2020-01-07,10450,10700,10250,10400,59280
2020-01-08,10250,10350,9820,9950,168442
2020-01-09,10250,10450,10150,10350,62039
2020-01-10,10450,10700,10300,10500,56118
2020-01-13,10450,10600,10250,10350,46974
2020-01-14,10450,10650,10300,10350,57013
2020-01-15,10400,10450,10150,10250,34561
2020-01-16,10250,10400,10200,10250,48189
2020-01-17,10350,10650,10150,10600,120397
2020-01-20,10800,10800,10250,10300,126676
2020-01-21,10300,10350,10100,10100,45776
2020-01-22,10050,10150,10000,10150,58680
2020-01-23,10150,10150,9950,9960,77645
2020-01-28,9580,9740,9310,9370,129281
2020-01-29,9530,9550,9350,9390,64478
2020-01-30,9390,9440,8980,9020,77318
2020-01-31,9020,9190,8800,8800,75611
2020-02-03,8650,9000,8570,8830,80606
2020-02-04,8820,9190,8820,9150,51937
2020-02-05,9250,9340,9070,9100,59806
2020-02-06,9220,9350,9150,9260,33646
2020-02-07,9260,9470,8930,9370,62483
2020-02-10,9250,9450,9250,9330,57587
2020-02-11,9330,9440,9310,9320,44129
2020-02-12,9410,9720,9320,9710,72883
2020-02-13,9690,9850,9560,9620,64974
2020-02-14,9640,10100,9630,9990,141086
2020-02-17,9980,10100,9800,10050,80670
2020-02-18,10000,10000,9850,9950,60317
2020-02-19,9980,10500,9900,10450,184126
2020-02-20,10350,10750,10350,10400,153852
2020-02-21,10200,10600,10100,10100,84178
2020-02-24,9630,9920,9630,9800,140226
2020-02-25,9720,10000,9670,9960,55528
2020-02-26,9810,10100,9530,10050,104048
2020-02-27,10050,10150,9640,9720,123254
2020-02-28,9410,9590,9000,9130,106346
2020-03-02,8970,9460,8970,9410,64190
2020-03-03,9740,9740,9500,9500,52336
2020-03-04,9420,9980,9420,9900,92622
2020-03-05,10050,10050,9780,9880,38340
2020-03-06,9720,9850,9450,9520,69041
2020-03-09,9280,9350,8950,9000,93143
2020-03-10,8810,9040,8750,9000,106271
2020-03-11,9000,9050,8540,8570,85692
2020-03-12,8570,8620,7630,7700,229816
2020-03-13,7200,7380,6490,7100,239122
2020-03-16,7520,7600,6770,6910,162592
2020-03-17,6300,7080,6300,6910,114208
2020-03-18,6910,7080,6510,6510,97952
2020-03-19,6510,6790,4950,5030,310953
2020-03-20,5180,5540,4900,5500,236954
2020-03-23,4900,5170,4850,5050,153057
2020-03-24,5230,5800,5050,5800,139814
2020-03-25,6050,6200,5910,6110,137429
2020-03-26,6120,6630,5980,6390,131963
2020-03-27,6860,6860,6270,6370,114120
2020-03-30,6340,6600,6000,6600,63361
2020-03-31,6700,6880,6630,6700,74628
2020-04-01,6770,6830,6470,6500,104165
2020-04-02,6500,6510,6280,6500,68809
2020-04-03,6890,6890,6500,6660,93383
2020-04-06,6640,6930,6640,6920,85280
2020-04-07,7100,7270,6960,7170,90295
2020-04-08,7170,7400,7070,7220,63617
2020-04-09,7350,7490,7290,7360,72934
2020-04-10,7380,7510,7210,7400,117911
2020-04-13,7570,7570,7140,7150,133390
2020-04-14,7170,7330,7140,7230,52032
2020-04-16,7230,7280,7050,7280,60768
2020-04-17,7370,7500,7310,7430,88880
2020-04-20,7490,7630,7410,7420,77959
2020-04-21,7400,7440,6990,7220,80843
2020-04-22,7090,7280,7000,7270,43639
2020-04-23,7330,7440,7320,7410,47654
2020-04-24,7380,7430,7140,7250,43387
2020-04-27,7290,7290,7160,7240,33657
2020-04-28,7250,7300,7150,7220,45969
2020-04-29,7220,7310,7190,7220,33190
2020-05-04,7150,7290,7030,7280,39685
2020-05-06,7330,7460,7330,7420,66911
2020-05-07,7420,7620,7350,7620,99245
2020-05-08,7680,8010,7670,7850,101845
2020-05-11,7830,8050,7700,8000,118557
2020-05-12,8010,8100,7760,7940,65971
2020-05-13,7790,7920,7650,7920,59528
2020-05-14,7770,8120,7750,7980,161047
2020-05-15,8180,8180,7930,7980,85351
2020-05-18,7980,8000,7780,7900,69480
2020-05-19,7990,8220,7880,8220,95290
2020-05-20,8450,8970,8410,8920,275483
2020-05-21,9030,9300,8980,9250,207941
2020-05-22,9300,9300,8850,8900,147819
2020-05-25,8940,9190,8940,9100,87409
2020-05-26,9100,9200,9000,9200,75056
2020-05-27,9220,9250,9080,9240,88337
2020-05-28,9220,9630,8900,9180,180526
2020-05-29,9060,9140,8780,8860,92788
2020-06-01,8870,9300,8680,9300,123030
2020-06-02,9280,9280,9110,9200,62704
2020-06-03,9290,9290,9030,9160,114816
2020-06-04,9190,9280,9000,9180,102161
2020-06-05,9120,9150,9010,9140,36989
2020-06-08,9140,9180,9070,9070,53129
2020-06-09,9140,9260,9040,9140,62599
2020-06-10,9200,9240,9080,9170,63130
2020-06-11,9170,9560,9090,9420,161069
2020-06-12,8990,9040,8890,9010,149330
2020-06-15,9000,9010,8110,8280,171368
2020-06-16,8400,8680,8330,8680,118374
2020-06-17,8580,8730,8350,8600,79213
2020-06-18,8490,8660,8470,8480,50048
2020-06-19,8660,8660,8370,8530,38957
2020-06-22,8530,8530,8340,8380,34474
2020-06-23,8400,8580,8310,8310,56347
2020-06-24,8570,8660,8310,8650,108085
2020-06-25,8460,8680,8430,8630,61577
2020-06-26,8730,8730,8510,8570,41741
2020-06-29,8560,8760,8450,8570,91144
2020-06-30,8620,8730,8500,8580,75307
2020-07-01,8530,9040,8530,8890,137623
2020-07-02,8990,8990,8710,8750,82450
2020-07-03,8760,8940,8730,8900,63376
2020-07-06,8900,10700,8830,9950,1275934
2020-07-07,10450,10800,9980,10000,1096220
2020-07-08,9950,10250,9810,10150,321471
2020-07-09,10350,10400,10100,10150,285806
2020-07-10,10350,10600,10250,10400,508530
2020-07-13,10400,10650,10150,10350,274442
2020-07-14,10300,10300,9980,10000,213542
2020-07-15,10100,10250,10000,10150,140515
2020-07-16,10200,10200,9940,10000,116582
2020-07-17,10000,10000,9790,9910,130452
2020-07-20,9920,9990,9680,9870,100912
2020-07-21,9930,9930,9710,9760,133032
2020-07-22,9800,10300,9700,10050,260037
2020-07-23,10050,10150,9910,10050,87958
2020-07-24,9980,9980,9650,9730,162029
2020-07-27,9730,10050,9730,9870,82337
2020-07-28,9980,10200,9880,9950,128367
2020-07-29,9970,10050,9820,9920,107466
2020-07-30,9980,10000,9780,9790,81615
2020-07-31,9800,9840,9710,9710,61452
2020-08-03,9670,9810,9620,9620,75436
2020-08-04,9630,9690,9600,9680,82971
2020-08-05,9680,9810,9610,9650,59055
2020-08-06,9650,9740,9590,9590,71984
2020-08-07,9600,9630,9410,9500,121917
2020-08-10,9500,9510,9240,9330,159630
2020-08-11,9430,9430,9120,9170,135747
2020-08-12,9100,9200,8870,9070,180332
2020-08-13,9150,9430,9120,9350,159307
2020-08-14,9460,9810,9400,9660,348429
2020-08-18,9680,9750,8800,9200,196963
2020-08-19,9360,9360,9090,9190,123691
2020-08-20,9170,9250,8490,8540,214169
2020-08-21,8620,8700,8310,8540,82015
2020-08-24,8540,8850,8250,8810,114758
2020-08-25,8930,8930,8800,8880,132285
2020-08-26,8890,8900,8660,8820,72780
2020-08-27,8820,8850,8600,8600,91404
2020-08-28,8630,8790,8600,8730,65235
2020-08-31,8750,8790,8600,8620,98913
2020-09-01,8620,8650,8460,8520,106556
2020-09-02,8570,8990,8570,8990,174828
2020-09-03,9010,9250,9010,9050,148402
2020-09-04,8700,9150,8620,9080,135019
2020-09-07,9080,9340,9050,9340,160123
2020-09-08,9400,9830,9340,9760,383965
2020-09-09,9500,9890,9450,9700,225654
2020-09-10,10200,10550,10050,10350,942340
2020-09-11,10350,10450,9950,10250,393671
