Date,Open,High,Low,Close,Volume
2019-12-11,3055,3100,3030,3085,165973
2019-12-12,3075,3130,3070,3080,215139
2019-12-13,3095,3145,3080,3125,275723
2019-12-16,3125,3175,3110,3130,172465
2019-12-17,3140,3200,3115,3190,330790
2019-12-18,3205,3215,3160,3190,176396
2019-12-19,3190,3280,3140,3140,318142
2019-12-20,3145,3225,3120,3205,236165
2019-12-23,3200,3225,3050,3060,269977
2019-12-24,3045,3100,3010,3070,152868
2019-12-26,3050,3100,3045,3045,140870
2019-12-27,3055,3140,3040,3140,151948
2019-12-30,3135,3165,3125,3165,112040
2020-01-02,3155,3200,3110,3180,189785
2020-01-03,3175,3335,3175,3280,1136880
2020-01-06,3240,3250,2985,3015,799923
2020-01-07,3020,3065,3015,3030,277367
2020-01-08,3005,3015,2750,2775,955117
2020-01-09,2855,2900,2850,2860,263378
2020-01-10,2850,2975,2850,2940,258077
2020-01-13,2950,3090,2950,3090,466936
2020-01-14,3065,3145,3040,3070,376375
2020-01-15,3060,3130,3045,3075,231802
2020-01-16,3095,3200,3075,3140,495969
2020-01-17,3155,3155,3095,3115,246016
2020-01-20,3115,3170,3085,3105,286507
2020-01-21,3135,3145,3020,3045,239270
2020-01-22,3050,3110,3005,3090,252071
2020-01-23,3075,3120,3060,3070,174715
2020-01-28,2940,2965,2830,2890,454642
2020-01-29,2920,3020,2910,3015,381139
2020-01-30,3020,3080,2870,2925,415938
2020-01-31,2930,2955,2830,2860,260681
2020-02-03,2775,2905,2700,2870,306277
2020-02-04,2860,3120,2860,3105,804744
2020-02-05,3125,3150,3040,3080,302868
2020-02-06,3080,3110,3050,3110,248002
2020-02-07,3130,3155,3080,3110,322688
2020-02-10,3135,3205,3070,3205,659966
2020-02-11,3225,3225,3120,3155,582056
2020-02-12,3155,3470,3150,3440,5181168
2020-02-13,3390,3390,3240,3305,1458451
2020-02-14,3295,3530,3290,3475,2746077
2020-02-17,3475,3490,3365,3450,1031583
2020-02-18,3445,3500,3270,3330,949690
2020-02-19,3330,3375,3175,3260,595331
2020-02-20,3295,3385,3200,3280,642085
2020-02-21,3210,3280,3160,3180,366758
2020-02-24,3100,3125,3000,3040,583762
2020-02-25,3035,3220,3020,3205,351726
2020-02-26,3145,3150,3055,3125,391294
2020-02-27,3100,3125,2915,2935,465977
2020-02-28,2870,2935,2660,2700,852219
2020-03-02,2650,2750,2580,2735,637645
2020-03-03,2810,2830,2700,2715,366993
2020-03-04,2700,2855,2685,2850,326011
2020-03-05,2875,2950,2830,2845,368931
2020-03-06,2830,2845,2715,2760,416280
2020-03-09,2725,2725,2540,2565,609391
2020-03-10,2545,2615,2505,2610,396171
2020-03-11,2625,2630,2430,2455,495909
2020-03-12,2400,2455,2195,2245,934799
2020-03-13,2025,2095,1850,2040,1226512
2020-03-16,2040,2130,1910,1930,725918
2020-03-17,1690,1960,1690,1870,738557
2020-03-18,1860,1935,1675,1680,764644
2020-03-19,1685,1750,1220,1320,1328185
2020-03-20,1320,1475,1320,1475,670595
2020-03-23,1375,1390,1260,1330,493036
2020-03-24,1380,1485,1335,1445,660331
2020-03-25,1500,1635,1490,1600,744796
2020-03-26,1635,1750,1585,1660,1151925
2020-03-27,1740,1755,1585,1680,688396
2020-03-30,1615,1775,1580,1745,592662
2020-03-31,1785,1945,1785,1895,883918
2020-04-01,1900,1965,1810,1835,687534
2020-04-02,1845,1865,1730,1820,511702
2020-04-03,1860,1935,1820,1880,585123
2020-04-06,1900,1980,1865,1965,565971
2020-04-07,2030,2200,1980,2170,2092666
2020-04-08,2170,2190,2040,2125,852542
2020-04-09,2150,2165,2100,2135,522055
2020-04-10,2140,2170,2010,2160,692473
2020-04-13,2160,2175,2070,2110,513293
2020-04-14,2115,2290,2105,2230,1231641
2020-04-16,2160,2285,2135,2275,794717
2020-04-17,2325,2500,2285,2380,1630992
2020-04-20,2390,2415,2310,2340,448025
2020-04-21,2290,2325,2085,2235,951080
2020-04-22,2165,2235,2115,2235,294179
2020-04-23,2245,2340,2210,2215,361495
2020-04-24,2220,2220,2130,2180,347213
2020-04-27,2190,2310,2190,2285,444092
2020-04-28,2295,2390,2265,2315,532372
2020-04-29,2315,2365,2290,2310,441113
2020-05-04,2295,2405,2270,2350,605920
2020-05-06,2380,2450,2360,2430,487198
2020-05-07,2470,2535,2435,2500,563356
2020-05-08,2525,2655,2525,2580,612432
2020-05-11,2620,2625,2505,2535,534128
2020-05-12,2520,2530,2395,2455,531625
2020-05-13,2420,2595,2390,2550,503778
2020-05-14,2500,2690,2455,2530,964231
2020-05-15,2610,2610,2490,2555,637693
2020-05-18,2570,2640,2560,2620,521912
2020-05-19,2660,2670,2595,2670,597378
2020-05-20,2655,2890,2655,2850,2286987
2020-05-21,2840,2880,2800,2830,585148
2020-05-22,2840,3030,2805,2885,2423835
2020-05-25,2960,2980,2865,2935,757368
2020-05-26,2975,3150,2945,3110,1796507
2020-05-27,3110,3295,3075,3170,1520986
2020-05-28,3170,3275,2870,2995,1587889
2020-05-29,3005,3005,2875,2970,686162
2020-06-01,2985,3150,2985,3040,492103
2020-06-02,3080,3095,3010,3030,424296
2020-06-03,3065,3095,3015,3055,548637
2020-06-04,3095,3235,3050,3195,2083459
2020-06-05,3225,3545,3205,3265,7036912
2020-06-08,3370,3370,3260,3325,957905
2020-06-09,3335,3345,3190,3205,791465
2020-06-10,3195,3195,2965,3070,923403
2020-06-11,3090,3150,3000,3035,799721
2020-06-12,2810,2960,2745,2960,868799
2020-06-15,2960,2965,2640,2640,980910
