Date,Open,High,Low,Close,Volume
2019-12-11,4635,4710,4635,4670,46371
2019-12-12,4695,4755,4690,4715,51395
2019-12-13,4725,4780,4710,4770,54434
2019-12-16,4780,4850,4775,4810,43284
2019-12-17,4760,4830,4760,4820,51899
2019-12-18,4800,4850,4765,4805,59289
2019-12-19,4840,4850,4770,4810,57914
2019-12-20,4850,4885,4810,4845,63616
2019-12-23,4895,4895,4825,4880,66324
2019-12-24,4890,4920,4825,4885,69778
2019-12-26,4830,4915,4830,4900,41668
2019-12-27,4935,4945,4870,4945,32036
2019-12-30,4950,5100,4920,5100,112903
2020-01-02,5180,5600,5090,5470,804205
2020-01-03,5470,5660,5390,5650,301748
2020-01-06,5630,5800,5520,5750,353253
2020-01-07,5880,5970,5650,5830,383949
2020-01-08,5780,5860,5640,5640,282200
2020-01-09,5770,5860,5730,5750,145853
2020-01-10,5830,5980,5720,5780,171811
2020-01-13,5810,5990,5770,5990,159034
2020-01-14,6000,6030,5870,5960,122814
2020-01-15,5880,5930,5620,5910,351271
2020-01-16,5910,6180,5820,6130,354653
2020-01-17,6180,6180,5550,5570,626799
2020-01-20,5570,5590,5200,5380,523590
2020-01-21,5320,6340,5320,5610,1463649
2020-01-22,5450,5450,4920,5140,625653
2020-01-23,5050,5150,4995,5030,212092
2020-01-28,4910,4950,4715,4720,280241
2020-01-29,4815,6000,4810,5260,4866831
2020-01-30,5120,5250,4800,4850,660931
2020-01-31,4860,4915,4530,4530,406212
2020-02-03,4320,4590,4260,4500,279432
2020-02-04,4500,4710,4480,4695,114609
2020-02-05,4675,4750,4600,4620,121435
2020-02-06,4630,4815,4630,4755,121209
2020-02-07,4765,4820,4740,4815,62865
2020-02-10,4820,4905,4700,4870,87273
2020-02-11,4810,4900,4800,4840,75798
2020-02-12,4865,4985,4770,4890,115697
2020-02-13,4895,4950,4800,4810,69570
2020-02-14,4820,4890,4800,4815,48622
2020-02-17,4840,4845,4760,4770,45837
2020-02-18,4800,4820,4660,4675,81979
2020-02-19,4675,4785,4580,4740,90555
2020-02-20,4730,4790,4625,4635,67646
2020-02-21,4650,4650,4500,4540,73056
2020-02-24,4320,4475,4295,4300,121918
2020-02-25,4270,4500,4270,4430,100831
2020-02-26,4430,4475,4300,4450,65892
2020-02-27,4405,4600,4315,4325,132319
2020-02-28,4300,4300,4105,4155,151245
2020-03-02,3995,4370,3995,4140,156348
2020-03-03,4150,4280,4150,4200,72270
2020-03-04,4145,4365,4145,4305,71613
2020-03-05,4395,4500,4315,4485,93249
2020-03-06,4485,4575,4300,4410,79123
2020-03-09,4395,4395,4200,4215,75714
2020-03-10,4090,4300,4015,4250,44995
2020-03-11,4220,4350,4080,4100,72234
2020-03-12,4050,4100,3820,3860,161485
2020-03-13,3210,3860,3210,3600,240410
2020-03-16,3600,4090,3580,3660,121348
2020-03-17,3500,3900,3405,3850,149840
2020-03-18,3900,3995,3750,3790,55330
2020-03-19,3730,3860,3260,3280,240105
2020-03-20,3165,3495,3165,3360,144967
2020-03-23,3130,3335,3080,3275,77996
2020-03-24,3260,3550,3260,3405,53181
2020-03-25,3435,3690,3435,3690,99335
2020-03-26,3655,4000,3550,3795,122666
2020-03-27,3810,3990,3625,3780,129246
2020-03-30,3660,3845,3600,3710,75691
2020-03-31,3800,4075,3750,3950,159694
2020-04-01,3900,4195,3900,3920,93896
2020-04-02,3980,4095,3810,4040,50388
2020-04-03,4100,4160,3995,4160,65690
2020-04-06,4180,4220,4040,4200,64858
2020-04-07,4235,4310,4165,4310,105536
2020-04-08,4330,4330,4250,4280,66388
2020-04-09,4405,4470,4285,4365,278486
2020-04-10,4415,4460,4200,4305,133374
2020-04-13,4300,4300,4175,4245,48791
2020-04-14,4260,4360,4260,4300,41795
2020-04-16,4500,4500,4250,4390,203590
2020-04-17,4400,4475,4250,4385,141292
2020-04-20,4330,4700,4330,4625,393175
2020-04-21,4725,4950,4205,4575,546060
2020-04-22,4445,5740,4445,5190,2252170
2020-04-23,4950,5050,4800,4865,763583
2020-04-24,4865,4990,4805,4805,536824
2020-04-27,4815,4900,4810,4820,211170
2020-04-28,4855,4860,4675,4770,264461
2020-04-29,4875,5350,4805,4850,1807491
2020-05-04,4850,4940,4755,4815,215699
2020-05-06,4820,4930,4820,4870,165702
2020-05-07,4850,4910,4830,4870,132615
2020-05-08,4885,4970,4850,4965,211707
2020-05-11,5080,5080,4880,4935,185194
2020-05-12,4935,4935,4775,4800,124399
2020-05-13,4780,4845,4680,4755,93175
2020-05-14,4745,4750,4550,4590,119587
2020-05-15,4600,4650,4425,4520,103070
2020-05-18,4525,4590,4460,4590,58430
2020-05-19,4600,4720,4590,4660,83975
2020-05-20,4740,4740,4605,4675,43115
2020-05-21,4680,4725,4640,4645,57540
2020-05-22,4630,4735,4580,4615,39906
2020-05-25,4620,4690,4535,4590,50385
2020-05-26,4555,4685,4550,4650,81763
2020-05-27,4670,4725,4580,4630,85493
2020-05-28,4690,4695,4470,4570,106176
2020-05-29,4570,4705,4500,4605,130642
2020-06-01,4580,4735,4580,4650,48855
2020-06-02,4700,4735,4615,4685,84877
2020-06-03,4790,5000,4650,4930,472188
2020-06-04,5000,5030,4895,5010,324174
2020-06-05,5010,5100,5000,5090,254476
2020-06-08,5200,5200,5050,5060,192897
2020-06-09,5060,5280,5060,5210,453827
2020-06-10,5210,5300,5090,5140,174863
2020-06-11,5140,5170,4990,5100,197698
2020-06-12,4850,5100,4480,5100,195725
2020-06-15,5100,5250,4730,4760,285907
2020-06-16,4940,5060,4850,5040,85889
2020-06-17,5040,5140,4915,4990,160043
2020-06-18,4990,5040,4740,4960,111131
2020-06-19,4960,5290,4925,5230,331231
2020-06-22,5370,5370,5050,5100,222366
2020-06-23,5100,5150,4940,4990,126813
2020-06-24,5000,5200,5000,5060,121038
2020-06-25,5040,5170,4995,5080,125147
2020-06-26,5080,5120,4900,4935,148169
2020-06-29,4935,5450,4910,5120,700007
2020-06-30,5150,5190,4995,5000,164494
2020-07-01,5020,5170,4960,5020,160327
2020-07-02,5070,5140,4965,4985,219163
2020-07-03,4975,5220,4935,5070,373565
2020-07-06,4975,5040,4745,4930,445463
2020-07-07,4930,5020,4860,4920,145646
2020-07-08,4880,5050,4880,4920,104799
2020-07-09,5000,5000,4890,4890,43370
2020-07-10,4890,4970,4835,4925,77313
2020-07-13,4905,5120,4880,5090,208270
2020-07-14,4960,5100,4960,5090,126648
2020-07-15,5100,5130,4985,5060,130908
2020-07-16,5060,5090,4995,5000,69701
2020-07-17,5000,5030,4960,5010,111220
2020-07-20,5050,5500,5050,5500,1464265
2020-07-21,5490,5500,5310,5320,463739
2020-07-22,5350,5380,5240,5370,234384
2020-07-23,5720,5720,5400,5510,691023
2020-07-24,5650,6350,5510,5990,2360318
2020-07-27,6010,6230,5930,6100,620001
2020-07-28,6080,6150,5700,5840,465720
2020-07-29,5840,5900,5300,5400,646149
2020-07-30,5350,7020,5250,7020,9280577
2020-07-31,7890,8540,7090,7280,6002089
2020-08-03,7330,7650,7200,7260,1585664
2020-08-04,7280,7290,6900,6980,994742
2020-08-05,6980,7160,6910,7090,671952
2020-08-06,7070,7080,6800,6870,443849
2020-08-07,6850,6940,6750,6810,419190
2020-08-10,6910,7100,6850,7040,527019
2020-08-11,7130,7300,7040,7090,808372
2020-08-12,7160,7170,6710,6830,355065
2020-08-13,6840,6980,6560,6790,601722
2020-08-14,6700,6730,6500,6560,341378
2020-08-18,6400,6750,5970,6060,563367
2020-08-19,6150,6250,6050,6190,407815
2020-08-20,6190,6200,5870,5950,328099
2020-08-21,6000,6300,5950,6170,197666
2020-08-24,5820,6390,5820,6270,200391
2020-08-25,6410,7550,6410,7020,5983000
2020-08-26,7040,7280,6890,7270,941564
2020-08-27,7150,7680,6960,7210,1420985
2020-08-28,7350,8720,6940,6950,5781701
2020-08-31,7030,7180,6600,6800,564333
2020-09-01,6820,6820,6480,6520,413990
2020-09-02,6580,6650,6440,6550,209518
2020-09-03,6600,6630,6460,6620,185251
2020-09-04,6360,6610,6350,6610,167271
2020-09-07,6610,6610,6400,6510,207204
2020-09-08,6510,6540,6300,6310,244174
2020-09-09,6030,6370,6020,6290,187584
2020-09-10,6400,6800,6400,6730,515755
2020-09-11,6730,6900,6610,6730,189346
2020-09-14,6700,6860,6680,6760,143595
2020-09-15,6760,6950,6760,6880,218142
2020-09-16,6890,6930,6700,6770,183332
2020-09-17,6710,6820,6460,6540,246946
2020-09-18,6550,6610,6350,6450,179194
2020-09-21,6400,6640,6390,6420,124441
2020-09-22,6420,6620,6290,6590,175736
2020-09-23,6590,7090,6590,6870,829096
2020-09-24,6840,7000,6570,6760,602771
2020-09-25,6890,7400,6700,7290,1896577
2020-09-28,7330,7650,7090,7500,1279704
2020-09-29,7450,7470,7270,7320,471258
2020-10-05,7320,7410,7050,7190,323535
2020-10-06,7140,7210,6900,7050,488904
2020-10-07,7000,7100,6950,7040,191524
2020-10-08,7100,7150,7000,7000,199982
2020-10-12,7000,7130,6950,7120,233878
2020-10-13,7210,7210,6960,7010,197739
2020-10-14,7050,7090,6860,6990,233163
2020-10-15,6990,7030,6790,6850,283037
2020-10-16,6850,7360,6700,7210,1129316
2020-10-19,7240,7300,7080,7250,404210
2020-10-20,7200,8020,7110,7110,4462142
2020-10-21,7160,7190,6920,7000,521915
2020-10-22,6950,7190,6920,6930,415757
2020-10-23,6930,7010,6650,6770,389816
2020-10-26,6990,7000,6690,6700,231134
2020-10-27,6610,6750,6570,6690,166876
2020-10-28,6680,6880,6680,6780,138027
2020-10-29,6700,6730,6600,6670,172711
2020-10-30,6640,6670,6470,6470,277845
2020-11-02,6470,6590,6380,6450,96333
2020-11-03,6430,6560,6430,6540,82451
2020-11-04,6560,6650,6460,6490,115425
2020-11-05,6490,6580,6430,6500,144580
2020-11-06,6510,6540,6420,6420,103842
2020-11-09,6410,6630,6410,6560,154553
2020-11-10,6570,6640,6450,6500,170724
2020-11-11,6530,6770,6410,6470,150782
2020-11-12,6470,6650,6450,6460,74994
2020-11-13,6460,6540,6370,6370,102304
2020-11-16,6440,6490,6310,6310,142020
2020-11-17,6280,6520,6270,6270,129471
2020-11-18,6220,6320,6140,6240,206089
2020-11-19,6240,6240,6060,6140,188898
2020-11-20,6140,6160,6010,6020,218276
2020-11-23,6000,6000,5840,5940,241286
2020-11-24,6090,6090,5960,6030,116512
2020-11-25,6090,6090,5840,5840,150642
2020-11-26,5850,5920,5830,5860,50367
2020-11-27,5830,5900,5830,5870,66938
2020-11-30,5870,5870,5700,5740,116325
2020-12-01,5750,5850,5670,5730,86615
2020-12-02,5710,5760,5600,5650,161438
2020-12-03,5650,5650,5490,5550,168065
2020-12-04,5500,5580,5430,5580,164280
2020-12-07,5580,5770,5540,5710,164286
2020-12-08,5720,5750,5570,5650,126922
2020-12-09,5670,5730,5630,5650,67601
2020-12-10,5690,5710,5570,5610,82785
2020-12-11,5560,5910,5560,5850,232473
2020-12-14,5850,5850,5660,5700,95446
2020-12-15,5720,5780,5600,5710,101986
2020-12-16,5690,5760,5650,5720,69862
2020-12-17,5720,5720,5660,5670,45900
2020-12-18,5670,5720,5650,5690,58955
2020-12-21,5690,5710,5580,5610,85893
2020-12-22,5620,5650,5470,5550,104248
2020-12-23,5400,5720,5390,5630,100345
2020-12-24,5620,5620,5510,5580,93888
2020-12-28,5580,5600,5400,5460,101169
2020-12-29,5460,5600,5440,5510,42029
2020-12-30,5470,5610,5470,5590,59774
2021-01-04,5590,5620,5560,5580,97421
2021-01-05,5590,5600,5480,5520,111667
2021-01-06,5550,5550,5480,5510,78180
2021-01-07,5520,5710,5510,5700,156224
2021-01-08,5670,5810,5580,5580,179762
2021-01-11,5620,5640,5350,5400,209937
2021-01-12,5350,5500,5240,5340,111969
2021-01-13,5290,5360,5270,5340,94225
2021-01-14,5350,5350,5210,5320,101205
2021-01-15,5350,5400,5220,5340,124870
2021-01-18,5340,5340,5150,5200,153084
2021-01-19,5210,5420,5190,5330,114836
2021-01-20,5440,5530,5330,5410,109643
2021-01-21,5400,5500,5390,5440,59017
2021-01-22,5440,5550,5440,5550,82961
2021-01-25,5570,5670,5560,5600,105011
2021-01-26,5650,5650,5430,5610,127064
2021-01-27,5620,5620,5430,5500,82522
2021-01-28,5410,5500,5340,5380,72558
2021-01-29,5410,5520,5160,5190,101456
2021-02-01,4975,5280,4975,5200,110284
2021-02-02,5170,5440,5170,5390,84739
2021-02-03,5490,5490,5390,5400,63413
2021-02-04,5490,5830,5420,5790,493378
2021-02-05,5840,5840,5520,5570,223914
2021-02-08,5630,5630,5430,5480,85569
2021-02-09,5460,5570,5420,5500,55866
2021-02-10,5560,5600,5420,5560,70801
2021-02-15,5630,5800,5560,5670,156684
2021-02-16,5680,5790,5570,5670,84842
2021-02-17,5680,5990,5590,5670,287788
2021-02-18,5670,5770,5600,5660,149536
2021-02-19,5700,5740,5550,5680,127778
2021-02-22,5560,5680,5560,5590,113539
2021-02-23,5600,5600,5330,5390,263336
2021-02-24,5380,5470,5210,5240,108352
2021-02-25,5280,5460,5270,5400,86290
2021-02-26,5230,5360,5220,5330,80999
2021-03-02,5350,5430,5310,5310,30464
2021-03-03,5160,5340,5160,5250,76258
2021-03-04,5250,5250,5160,5210,49864
2021-03-05,5210,5240,5120,5230,44842
2021-03-08,5230,5290,5150,5170,63641
2021-03-09,5160,5240,5070,5140,50627
2021-03-10,5180,5250,5110,5170,46947
2021-03-11,5120,5200,5100,5160,77137
2021-03-12,5250,5310,5180,5240,41679
2021-03-15,5290,5300,5190,5250,38215
2021-03-16,5250,5270,5200,5250,42795
2021-03-17,5300,5320,5140,5150,103383
2021-03-18,5200,5200,5130,5150,62032
2021-03-19,5150,5200,5110,5200,63013
2021-03-22,5200,5240,5150,5160,42237
2021-03-23,5160,5180,5080,5130,62475
2021-03-24,5120,5410,5080,5410,223899
2021-03-25,5420,5450,5290,5350,97176
2021-03-26,5370,6950,5270,6950,13469422
2021-03-29,7400,7650,6800,7040,13379592
2021-03-30,6910,7250,6900,7050,4042848
2021-03-31,7030,7150,6620,6780,1716900
2021-04-01,6750,6900,6610,6670,990855
2021-04-02,6670,6940,6540,6940,1555916
2021-04-05,7080,7150,6880,6900,1503844
2021-04-06,6920,7080,6810,6810,640387
2021-04-07,6930,7300,6850,7300,3741041
2021-04-08,7270,7280,6550,6870,1556735
2021-04-09,6830,7140,6760,6920,1113066
2021-04-12,6950,7090,6920,6950,429821
2021-04-13,7070,7200,6970,7030,918883
2021-04-14,7070,7080,6900,6910,321950
2021-04-15,6960,6960,6770,6780,249874
2021-04-16,6780,7040,6700,6980,441615
2021-04-19,7150,7160,6980,7000,459884
2021-04-20,7050,7380,6950,7320,1588402
2021-04-21,7250,7250,7040,7100,615187
2021-04-22,7180,7930,7100,7100,7286652
2021-04-23,7050,7060,6820,6850,760888
2021-04-26,6860,6920,6700,6780,429971
2021-04-27,6800,7450,6790,7210,2881483
2021-04-28,7220,7390,7030,7180,677065
2021-04-29,7250,7680,7090,7120,3070271
2021-04-30,7170,7210,7040,7170,395211
2021-05-03,7320,8200,7100,7100,8363940
2021-05-04,7100,7170,6900,7170,616078
2021-05-06,7180,7540,7130,7470,1199154
2021-05-07,7530,7530,7330,7360,614755
2021-05-10,7460,8080,7410,8070,5082473
2021-05-11,7900,7910,7700,7860,1354422
2021-05-12,7830,8030,7390,7580,1484059
2021-05-13,7300,7490,7150,7300,506458
2021-05-14,7390,7600,7230,7480,455286
2021-05-17,7510,7540,7210,7350,334526
2021-05-18,7340,7470,7240,7350,293942
2021-05-20,7330,7570,7260,7380,319027
2021-05-21,7410,7500,7250,7270,257751
2021-05-24,7230,7290,6900,6990,424321
2021-05-25,6940,7210,6940,6940,190752
2021-05-26,6940,7150,6800,7040,358337
2021-05-27,7000,7030,6910,6980,118155
2021-05-28,6980,7040,6940,6950,136210
2021-05-31,6950,7060,6840,6970,168096
2021-06-01,6980,7090,6930,7000,149243
2021-06-02,7090,7430,6990,7400,607534
2021-06-03,7450,7460,7270,7380,210784
2021-06-04,7430,7680,7310,7660,613563
2021-06-07,7660,7720,7490,7720,394950
2021-06-08,7730,7740,7610,7690,310530
2021-06-09,7740,7740,7610,7620,269837
2021-06-10,7540,7750,7520,7620,351968
2021-06-11,7570,7630,7470,7580,229244
2021-06-14,7600,7650,7510,7540,133689
2021-06-15,7630,7880,7490,7820,1028139
2021-06-16,7730,7820,7700,7730,293350
2021-06-17,7730,7800,7600,7620,258109
2021-06-18,7630,7800,7500,7630,245797
2021-06-21,7600,7750,7520,7610,199116
2021-06-22,7700,7960,7700,7780,805160
2021-06-23,7870,8520,7780,8140,5405749
2021-06-24,8050,8070,7780,7780,1001019
2021-06-25,7750,7940,7600,7610,394905
2021-06-28,7800,7810,7500,7500,280659
2021-06-29,7580,7690,7490,7500,198790
2021-06-30,7500,7560,7350,7360,238454
2021-07-01,7430,7430,7250,7270,218882
2021-07-02,7340,7600,7230,7440,291868
2021-07-05,7480,7590,7440,7450,127330
2021-07-06,7440,7530,7440,7440,104179
2021-07-07,7440,7540,7420,7540,141974
2021-07-08,7550,7550,7350,7420,171330
2021-07-09,7370,7530,7150,7460,299827
2021-07-12,7500,7510,7290,7470,108781
2021-07-13,7470,7570,7390,7470,78349
2021-07-14,7470,7500,7350,7400,76225
2021-07-15,7500,7500,7300,7400,107419
2021-07-16,7450,7450,7200,7250,155726
2021-07-19,7180,7260,7100,7180,117519
2021-07-20,7020,7150,7020,7110,133975
2021-07-21,7090,7200,6830,6940,212255
2021-07-22,7110,7110,6980,7000,87575
2021-07-23,7060,7240,7060,7070,68336
2021-07-26,7110,7170,7050,7060,48808
2021-07-27,7140,7200,7070,7090,76530
2021-07-28,7090,7210,7050,7130,85431
2021-07-29,7120,7240,7070,7150,50939
2021-07-30,7200,7200,7010,7190,113946
2021-08-02,7190,7230,7100,7180,53049
2021-08-03,7200,7210,7080,7180,43767
2021-08-04,7200,7200,7100,7150,47049
2021-08-05,7160,7200,7100,7140,39021
2021-08-06,7140,7170,7070,7140,52982
2021-08-09,7140,7140,6980,6990,79089
2021-08-10,7060,7060,6900,6970,84639
2021-08-11,7120,7400,7000,7030,272065
2021-08-12,7100,7170,7000,7050,102810
2021-08-13,7070,7170,6930,7030,91606
2021-08-17,7100,7100,6670,6820,174416
2021-08-18,6710,7020,6710,6810,110972
2021-08-19,6720,6870,6520,6600,178968
2021-08-20,6550,6710,6100,6190,364919
2021-08-23,6160,6370,6090,6290,92419
2021-08-24,6460,6980,6400,6760,300963
