Date,Open,High,Low,Close,Volume
2021-09-17,2305,2390,2175,2220,7722501
2021-09-23,2200,2200,2150,2165,784993
2021-09-24,2190,2190,2155,2175,273709
2021-09-27,2125,2145,2095,2110,515375
2021-09-28,2110,2120,2100,2100,173906
2021-09-29,2090,2115,2090,2100,123101
2021-09-30,2100,2115,2100,2115,76141
2021-10-01,2100,2150,2090,2115,171184
2021-10-05,2110,2110,2090,2095,140641
2021-10-06,2100,2170,2090,2095,126566
2021-10-07,2095,2110,2085,2095,105705
2021-10-08,2090,2110,2090,2100,58164
2021-10-12,2100,2105,2090,2100,80634
2021-10-13,2090,2125,2090,2110,53338
2021-10-14,2115,2145,2110,2140,50601
2021-10-15,2130,2165,2115,2140,62067
2021-10-18,2105,2120,2070,2115,153641
2021-10-19,2115,2120,2105,2105,60349
2021-10-20,2105,2130,2105,2120,112332
2021-10-21,2130,2150,2115,2135,63906
2021-10-22,2125,2150,2125,2145,29774
2021-10-25,2155,2165,2130,2160,48619
2021-10-26,2165,2180,2145,2180,65609
2021-10-27,2165,2190,2165,2180,42328
2021-10-28,2180,2185,2165,2170,37371
2021-10-29,2170,2180,2160,2170,90005
2021-11-01,2155,2175,2155,2165,43230
2021-11-02,2165,2190,2160,2165,30563
2021-11-03,2160,2165,2150,2165,36760
2021-11-04,2160,2170,2140,2150,45052
2021-11-05,2155,2155,2135,2145,39491
2021-11-08,2150,2155,2130,2140,19001
2021-11-09,2140,2160,2135,2155,13460
2021-11-10,2140,2155,2130,2150,28795
2021-11-11,2150,2180,2140,2150,43924
2021-11-12,2140,2185,2135,2160,24132
2021-11-15,2155,2180,2155,2165,30955
2021-11-16,2180,2185,2160,2165,49932
2021-11-17,2155,2180,2155,2170,34382
2021-11-18,2170,2185,2160,2185,28762
2021-11-19,2165,2225,2165,2180,86237
2021-11-22,2200,2210,2175,2195,28481
2021-11-23,2180,2220,2180,2195,33781
2021-11-24,2190,2215,2190,2200,38196
2021-11-25,2210,2340,2210,2260,142951
2021-11-26,2280,2295,2240,2270,42195
2021-11-29,2235,2265,2235,2250,25618
2021-11-30,2275,2275,2180,2185,62109
2021-12-01,2200,2220,2185,2210,17965
2021-12-02,2200,2215,2165,2210,36532
2021-12-03,2210,2230,2170,2180,26537
2021-12-06,2180,2225,2180,2195,14918
2021-12-07,2130,2205,2130,2190,54414
2021-12-08,2200,2205,2180,2180,13555
2021-12-09,2170,2185,2170,2185,1534
2021-12-10,2160,2230,2160,2205,9971
2021-12-13,2180,2215,2180,2200,8276
2021-12-14,2200,2225,2195,2210,11845
2021-12-15,2220,2220,2195,2215,14821
2021-12-16,2195,2230,2195,2225,16021
2021-12-17,2205,2220,2095,2205,91861
2021-12-20,2165,2200,2155,2200,60539
2021-12-21,2180,2205,2170,2195,14780
2021-12-22,2180,2210,2175,2195,5035
2021-12-23,2195,2195,2160,2190,44232
2021-12-24,2165,2180,2165,2165,11632
2021-12-27,2165,2165,2145,2160,20863
2021-12-28,2145,2170,2145,2170,12693
2021-12-29,2165,2165,2135,2155,53014
2021-12-30,2150,2165,2140,2160,12360
2022-01-03,2160,2170,2135,2170,35600
2022-01-04,2170,2170,2150,2150,16159
2022-01-05,2145,2165,2145,2160,12990
2022-01-06,2150,2160,2145,2145,8283
2022-01-07,2160,2160,2140,2145,5468
2022-01-10,2155,2160,2140,2150,13010
2022-01-11,2145,2150,2130,2150,32635
