Date,Open,High,Low,Close,Volume
2019-12-11,42000,42550,41550,42250,342658
2019-12-12,42550,43900,42350,43550,810350
2019-12-13,43950,44200,43550,43900,363788
2019-12-16,43750,44200,43000,43150,437401
2019-12-17,43250,43500,42000,42450,571167
2019-12-18,42200,42650,41900,42300,405350
2019-12-19,42500,42650,42100,42550,238728
2019-12-20,42800,43100,42500,42700,327486
2019-12-23,42800,42800,42350,42550,276049
2019-12-24,42550,42850,42300,42450,261964
2019-12-26,42450,42750,42300,42650,334523
2019-12-27,42650,42700,41900,42450,382901
2019-12-30,42300,42650,42100,42300,272369
2020-01-02,42200,42200,41050,41200,542387
2020-01-03,41350,41550,40900,41000,482449
2020-01-06,40850,40850,39450,39500,861179
2020-01-07,39500,40100,39500,39700,440635
2020-01-08,39100,39150,37450,37650,1269380
2020-01-09,38600,38850,38150,38650,739566
2020-01-10,38650,38900,38050,38800,496574
2020-01-13,38600,40950,38500,40600,890218
2020-01-14,41000,41150,40300,40600,448300
2020-01-15,40700,41700,40350,41700,590535
2020-01-16,41700,41700,41000,41250,282962
2020-01-17,41300,42150,41250,42050,508364
2020-01-20,42050,42200,41450,41800,318899
2020-01-21,41850,42550,41650,41750,373951
2020-01-22,41800,42050,40950,41450,433391
2020-01-23,41350,41500,40500,40650,530432
2020-01-28,39100,39850,38650,38800,616097
2020-01-29,39050,39750,38700,39650,523303
2020-01-30,39650,39950,38550,38650,569259
2020-01-31,38900,39500,38200,38200,444862
2020-02-03,37750,38000,36900,37600,662866
2020-02-04,37700,39000,37700,38550,464234
2020-02-05,39000,39100,38500,38550,500338
2020-02-06,39000,40900,39000,40700,786307
2020-02-07,40800,41150,40150,40500,415223
2020-02-10,40150,40250,39750,40100,337246
2020-02-11,40100,40600,39800,39900,404327
2020-02-12,39950,40200,39600,40100,522541
2020-02-13,40100,40400,39250,39300,626488
2020-02-14,39200,39400,38750,38950,490248
2020-02-17,38950,39350,38800,39100,340635
2020-02-18,39000,39050,38550,38650,293620
2020-02-19,38950,38950,37900,38150,446052
2020-02-20,38150,38300,37550,37550,488935
2020-02-21,37200,37250,36600,36650,541738
2020-02-24,35500,35850,34500,34650,921320
2020-02-25,34250,36050,34250,35900,701763
2020-02-26,35000,36900,34950,36550,687060
2020-02-27,36200,37200,35700,35750,549367
2020-02-28,35250,35650,34500,34700,739388
2020-03-02,34700,35300,34200,34550,587249
2020-03-03,35400,35700,34700,34850,570550
2020-03-04,34750,35500,34700,35150,447044
2020-03-05,35600,36600,35250,36000,798079
2020-03-06,36450,36550,35050,35300,847585
2020-03-09,34450,34800,32750,32900,1167994
2020-03-10,32050,33050,32050,32550,890553
2020-03-11,32700,32900,31700,31750,638685
2020-03-12,31400,31450,29300,29700,1435817
2020-03-13,27000,29100,26200,28250,1808030
2020-03-16,28350,29500,27050,27050,969795
2020-03-17,25500,27350,25500,26100,1223593
2020-03-18,26500,26700,23350,23350,1681585
2020-03-19,23600,24100,19300,19300,2750825
2020-03-20,19950,21200,19200,21200,1887135
2020-03-23,19150,20300,19150,19550,1117661
2020-03-24,20200,21950,19850,21950,1297187
2020-03-25,23250,25100,23000,24600,1902036
2020-03-26,24700,25750,23850,24800,1536069
2020-03-27,26000,26350,24100,25100,1255885
2020-03-30,24000,25750,23700,25500,876754
2020-03-31,26000,30700,25900,27450,2999864
2020-04-01,27100,28000,25650,25800,1102830
2020-04-02,25750,27600,25000,27450,1270336
2020-04-03,27650,28250,26500,26900,1083530
2020-04-06,27300,28000,26900,28000,1015865
2020-04-07,28950,28950,28000,28750,1048728
2020-04-08,28550,29650,28200,28650,1045667
2020-04-09,29250,30200,28950,30200,1081463
2020-04-10,30200,31300,29550,30650,1048899
2020-04-13,30650,32000,30200,30950,1095216
2020-04-14,31800,32800,31250,32250,1095785
2020-04-16,32550,33650,31500,32900,1419590
2020-04-17,33850,33850,33000,33150,968653
2020-04-20,33050,34950,32750,34300,1629276
2020-04-21,34750,36500,32300,34500,3336766
2020-04-22,33700,35700,32750,35300,1710358
2020-04-23,35700,35700,34300,34750,971431
2020-04-24,34250,34500,32600,33000,1333616
2020-04-27,33300,33900,33000,33900,847601
2020-04-28,34400,34650,33650,34300,792317
2020-04-29,34550,35100,34200,35050,1030144
2020-05-04,34700,35700,33750,33950,1334247
2020-05-06,34600,34950,34300,34800,796292
2020-05-07,34900,35450,34650,34950,609269
2020-05-08,35050,35200,34850,35000,588710
2020-05-11,34800,34850,33900,33900,734721
2020-05-12,33900,33900,32700,33100,829805
2020-05-13,32500,33400,32250,33400,579619
2020-05-14,32800,33000,32350,32950,655871
2020-05-15,33000,33050,32350,32600,451229
2020-05-18,32600,32650,31900,32300,481239
2020-05-19,33100,33850,33100,33550,916828
2020-05-20,33150,33500,33100,33100,466112
2020-05-21,33450,33500,32800,33000,567215
2020-05-22,33300,33300,32050,32650,558579
2020-05-25,32700,32700,32000,32400,414953
2020-05-26,32450,34100,32400,33750,1434923
2020-05-27,33950,35300,33900,35200,1613356
2020-05-28,35700,35750,33250,33850,1472432
2020-05-29,33350,34200,33000,34200,1313368
2020-06-01,34050,34750,33900,34250,816395
2020-06-02,34800,35800,34400,35050,1529691
2020-06-03,35500,37350,35200,36950,2749367
2020-06-04,37600,38150,35750,36500,1926146
2020-06-05,36200,37200,35850,37200,769982
2020-06-08,37750,37900,36600,36700,780013
2020-06-09,36400,36950,35350,35700,1076141
2020-06-10,35350,35900,35000,35900,659808
2020-06-11,35500,35800,35050,35500,742484
2020-06-12,33650,34200,33650,33900,945605
2020-06-15,33500,33550,31350,31350,996594
2020-06-16,32100,33300,32100,33250,753850
2020-06-17,32550,33100,32100,33100,896465
2020-06-18,32600,33100,32400,32550,535154
2020-06-19,32650,33450,32250,33300,772709
2020-06-22,38800,41900,35450,35800,11307283
2020-06-23,36400,36500,34200,34350,2579502
2020-06-24,35100,35450,34600,34600,1646908
2020-06-25,33800,34200,33150,33400,1486165
2020-06-26,33850,33900,33400,33550,695187
2020-06-29,33000,33050,32500,32600,752755
2020-06-30,33000,33650,32900,33050,734421
2020-07-01,33300,34200,33300,33650,651093
2020-07-02,34050,34200,33750,33800,463762
2020-07-03,34400,34550,33800,34500,696058
2020-07-06,34900,34900,34300,34600,605968
2020-07-07,34750,34850,33900,33900,590782
2020-07-08,33950,34650,33900,34450,602335
2020-07-09,34600,34650,33800,34150,609351
2020-07-10,34150,34200,33300,33400,566847
2020-07-13,33800,34400,33200,34400,694731
2020-07-14,34100,34350,33750,34100,414415
2020-07-15,34550,35350,34350,34700,1054420
2020-07-16,35000,35500,34650,35350,800019
2020-07-17,35400,35900,34850,34950,649058
2020-07-20,35100,35950,34600,35700,876966
2020-07-21,35950,36000,35000,35300,789150
2020-07-22,35250,36200,35050,35600,1045851
2020-07-23,35750,35850,34550,34800,768661
2020-07-24,34350,36350,34350,35350,1477066
2020-07-27,35600,35800,34500,34550,1001922
2020-07-28,34650,34900,34100,34300,1049335
2020-07-29,34350,34400,33850,33900,766813
2020-07-30,34150,34300,33950,34000,468200
2020-07-31,33950,34300,33650,34300,625699
2020-08-03,34100,34150,33650,33700,454200
2020-08-04,33950,35650,33950,34750,2189050
2020-08-05,34900,34950,33950,34150,905293
2020-08-06,34350,34900,34150,34550,859335
2020-08-07,34600,34900,34000,34100,829352
2020-08-10,34150,34500,33850,34450,749656
2020-08-11,35450,36950,35250,36450,4053870
2020-08-12,36450,36800,35350,36550,1568218
2020-08-13,37050,37150,35800,36100,1307133
2020-08-14,36500,36800,35550,36000,1000610
2020-08-18,36100,36150,33700,34000,1387948
2020-08-19,33800,34450,33800,33900,764023
2020-08-20,33700,33800,31900,32200,1503859
2020-08-21,32300,33200,32300,32500,757288
2020-08-24,32300,32550,31350,32400,719044
2020-08-25,32650,33200,32600,33000,652921
2020-08-26,33000,33000,32400,32950,598809
2020-08-27,32700,32900,31850,31950,930882
2020-08-28,32250,32850,32000,32650,689273
2020-08-31,32850,33150,32250,32250,954449
2020-09-01,32250,32750,32200,32600,585880
2020-09-02,32950,33050,32350,32700,474578
2020-09-03,32900,32900,32350,32350,608030
2020-09-04,31500,32000,31400,32000,565062
2020-09-07,32100,33500,32050,33000,1206392
2020-09-08,33350,33350,32550,32650,590475
2020-09-09,32250,32400,32000,32200,498767
2020-09-10,32450,32500,32050,32100,602863
2020-09-11,32100,32300,31800,32300,448870
2020-09-14,32350,33100,32150,32700,651256
2020-09-15,32800,32850,32150,32250,772092
2020-09-16,32350,32650,32300,32400,488892
2020-09-17,32550,32600,32100,32200,408639
2020-09-18,32200,32350,32050,32100,403751
2020-09-21,32100,32300,31850,32000,458750
2020-09-22,32150,32150,31000,31000,883287
2020-09-23,31150,31200,30250,30600,635355
2020-09-24,30150,30200,29500,29650,768636
2020-09-25,29750,30150,29300,29700,690342
2020-09-28,29800,30350,29750,30050,368937
2020-09-29,30500,30700,30250,30450,386389
2020-10-05,30200,31050,30100,30800,456182
2020-10-06,30900,31150,30550,30800,329526
2020-10-07,30650,30650,30200,30600,455055
2020-10-08,30800,30900,30550,30700,391370
2020-10-12,31000,31200,30750,31000,424746
2020-10-13,31050,31200,30550,30750,332756
2020-10-14,30550,30700,30200,30250,521841
2020-10-15,30100,30400,29900,30150,525260
2020-10-16,30200,31400,30150,31100,728140
2020-10-19,31400,32300,31200,31900,1114133
2020-10-20,31700,32350,31000,31600,739917
2020-10-21,31550,31700,31150,31650,430032
2020-10-22,32550,32600,31700,31900,1393737
2020-10-23,32100,32100,31400,31650,769695
2020-10-26,32000,32100,31350,31350,794112
2020-10-27,30950,31400,30500,30700,598641
2020-10-28,30450,31100,30350,30900,408711
2020-10-29,30350,30550,30100,30300,579482
2020-10-30,30350,31150,30200,30650,708820
2020-11-02,30850,31050,30650,30750,366612
2020-11-03,30950,31300,30900,31150,509754
2020-11-04,31400,31850,31000,31550,853254
2020-11-05,31350,31550,30850,31300,828936
2020-11-06,31300,31550,30950,31050,554258
2020-11-09,31250,31800,31100,31750,739098
2020-11-10,32400,33250,32050,32950,2108776
2020-11-11,33150,33350,32750,33350,1172390
2020-11-12,33350,33350,32500,32600,1069149
2020-11-13,32350,32700,32000,32500,782266
2020-11-16,32550,33300,32400,33100,1009328
2020-11-17,33600,34950,33300,34200,3107894
2020-11-18,34300,34450,33700,34050,1115655
2020-11-19,34100,34100,33300,33550,876229
2020-11-20,33650,34000,33450,33600,666816
2020-11-23,33400,34150,33100,33950,765122
2020-11-24,34500,34900,34150,34600,1426814
2020-11-25,35000,35700,34100,34650,2121240
2020-11-26,34650,34800,33800,34300,892720
2020-11-27,34150,35200,33900,35100,1096787
2020-11-30,35000,35250,33600,33600,1448489
2020-12-01,34050,34750,33950,34550,768491
2020-12-02,34700,34900,34400,34650,643251
2020-12-03,34700,35000,34150,34950,776347
2020-12-04,35350,36750,34950,36600,3229954
2020-12-07,37250,37900,36600,37600,2818394
2020-12-08,37700,37700,36250,36500,1649813
2020-12-09,36750,37200,36450,36800,1162859
2020-12-10,36650,39350,36550,38350,4034397
2020-12-11,38950,39400,38200,38900,1703929
2020-12-14,39150,39150,37850,38050,1307699
2020-12-15,37950,37950,36800,37350,1180300
2020-12-16,37550,37650,37050,37500,710948
2020-12-17,37350,37350,36600,36950,866800
2020-12-18,37150,37950,37100,37600,1019888
2020-12-21,37600,37650,36750,37250,679034
2020-12-22,37300,37350,36550,36550,720850
2020-12-23,36650,36900,35500,36300,910166
2020-12-24,36450,37700,36450,36650,1089750
2020-12-28,36800,36850,36000,36200,978523
2020-12-29,36150,36600,35950,36250,676804
2020-12-30,36250,37700,36200,37450,1206164
2021-01-04,38050,38400,37550,38250,1445672
2021-01-05,38600,40850,38500,40100,4010166
2021-01-06,40850,41200,39250,39850,2437785
2021-01-07,40650,40950,40150,40550,1709857
2021-01-08,41400,41450,40600,41000,2173038
2021-01-11,41900,45800,41700,44100,6595915
2021-01-12,44600,46500,43400,45600,4678743
2021-01-13,45700,45750,43850,44450,2254504
2021-01-14,44050,44950,43800,44750,1474213
2021-01-15,45000,45250,42800,42800,1874022
2021-01-18,41900,44300,41400,43050,2134364
2021-01-19,44300,45150,43600,45150,2158846
2021-01-20,45800,45800,44000,45150,1611932
2021-01-21,45050,45500,44650,44800,1248739
2021-01-22,45200,45750,43950,44400,1788996
2021-01-25,44800,45500,44800,45000,1287209
2021-01-26,45600,45600,43950,44000,1104455
2021-01-27,44400,44850,43100,43250,914963
2021-01-28,42000,43350,41800,42200,1174501
2021-01-29,42550,42650,39900,40250,1721424
2021-02-01,40250,43700,39800,43500,1510418
2021-02-02,43650,44300,42750,43250,969603
2021-02-03,44100,45100,43600,44850,1632610
2021-02-04,45550,45800,42950,43150,2199218
2021-02-05,43500,43550,42000,42450,1022473
2021-02-08,42200,43600,42150,42650,843784
2021-02-09,42950,43400,42400,42900,682153
2021-02-10,42700,42900,42100,42750,535477
2021-02-15,43200,43350,42800,43050,554740
2021-02-16,43050,43400,42550,43000,562482
2021-02-17,42900,42950,42050,42300,594582
2021-02-18,42150,42250,41250,41250,602045
2021-02-19,41100,42100,40500,42000,646248
2021-02-22,42100,42200,41400,41400,584560
2021-02-23,41200,42150,40900,41850,624790
2021-02-24,41850,42000,40400,40450,698615
2021-02-25,41100,41550,40750,41550,450019
2021-02-26,40550,41100,39500,39800,1018432
2021-03-02,40600,40600,39450,40000,652267
2021-03-03,39800,40300,39600,40250,410871
2021-03-04,39700,39950,39100,39900,656963
2021-03-05,39250,39400,38600,39050,507152
2021-03-08,39450,40200,39000,39350,578241
2021-03-09,39700,40350,39250,40200,820041
2021-03-10,40600,40600,39100,39350,528032
2021-03-11,39500,40150,39400,39800,563726
2021-03-12,40300,41800,40200,41800,945381
2021-03-15,42050,43200,41550,42750,1323074
2021-03-16,43000,43150,42350,42800,659465
2021-03-17,43100,43150,41850,42700,590604
2021-03-18,42850,43400,42500,42500,502747
2021-03-19,41900,42350,41500,42200,537773
2021-03-22,42500,43000,42100,42950,627006
2021-03-23,43250,44400,42700,43300,1736801
2021-03-24,43150,43200,42250,43000,613594
2021-03-25,42800,43700,42650,43650,755819
2021-03-26,44000,44400,43800,44050,817833
2021-03-29,44600,45000,44050,44100,1195379
2021-03-30,44800,45200,43500,43800,1272016
2021-03-31,43900,44450,43350,44050,722901
2021-04-01,44200,44400,43500,43550,818290
2021-04-02,43600,43800,42900,43550,614407
2021-04-05,43650,44950,43500,44900,1327737
