Date,Open,High,Low,Close,Volume
2019-12-11,19950,19950,19300,19450,22767
2019-12-12,19500,19800,19450,19750,35382
2019-12-13,19950,20450,19750,19900,20434
2019-12-16,20000,20250,19900,20250,12784
2019-12-17,20050,21450,20000,21450,29179
2019-12-18,21350,21350,20650,20800,10463
2019-12-19,20800,20900,20550,20600,7680
2019-12-20,20800,20800,20150,20150,14909
2019-12-23,20400,20650,20300,20600,8390
2019-12-24,20700,20700,20300,20350,4780
2019-12-26,20400,20600,20250,20550,11612
2019-12-27,20200,20450,20000,20300,12475
2019-12-30,20600,20700,20100,20550,10617
2020-01-02,20500,20850,20200,20550,15787
2020-01-03,20500,20950,20450,20900,17200
2020-01-06,20550,20850,20250,20300,13543
2020-01-07,20500,20550,20050,20300,18553
2020-01-08,20050,20300,19600,19700,18456
2020-01-09,19600,19900,19400,19650,27536
2020-01-10,19600,19650,19350,19500,19678
2020-01-13,19550,19600,19350,19400,23157
2020-01-14,19350,19600,19350,19550,9744
2020-01-15,19550,19750,19450,19600,8264
2020-01-16,19600,19600,19400,19450,9326
2020-01-17,19450,19600,19350,19350,15156
2020-01-20,19400,19600,19250,19250,12111
2020-01-21,19250,19450,19200,19250,8487
2020-01-22,19500,19500,19200,19250,11438
2020-01-23,19150,19500,19150,19400,9365
2020-01-28,19100,19350,18950,18950,23189
2020-01-29,19000,19000,18650,18700,13435
2020-01-30,18750,18800,18000,18050,27883
2020-01-31,18250,18250,17950,18000,13039
2020-02-03,17200,17750,16650,17350,28690
2020-02-04,17200,17650,17150,17500,18801
2020-02-05,17500,18400,17450,17800,220326
2020-02-06,17800,18650,17750,18650,15654
2020-02-07,18600,18800,18400,18550,9956
2020-02-10,18600,18750,18300,18550,8455
2020-02-11,18500,18850,18500,18650,25968
2020-02-12,18350,18700,18350,18650,11417
2020-02-13,18600,18650,18200,18200,29913
2020-02-14,18100,18250,17950,18250,14826
2020-02-17,18400,18400,17900,18150,10731
2020-02-18,17850,17900,17650,17800,16127
2020-02-19,18100,18100,17500,17600,14983
2020-02-20,17450,17750,17200,17300,16496
2020-02-21,17050,17250,16700,16850,27557
2020-02-24,16850,17100,16050,16050,20436
2020-02-25,16000,16500,16000,16450,15583
2020-02-26,16450,16750,16200,16650,14387
2020-02-27,16650,16700,16400,16700,23378
2020-02-28,16600,17050,16100,17000,55509
2020-03-02,17100,17200,16300,16400,23476
2020-03-03,16950,16950,16400,16600,22569
2020-03-04,16600,16950,16400,16550,24632
2020-03-05,16550,16750,16450,16600,25573
2020-03-06,16600,16850,16300,16500,26870
2020-03-09,16350,16350,15700,16000,25085
2020-03-10,16000,16100,15800,15900,14628
2020-03-11,15750,16150,15750,15850,15729
2020-03-12,16200,16200,14800,15000,36447
2020-03-13,13700,14600,13700,14600,36708
2020-03-16,14000,14550,13700,14000,29894
2020-03-17,13550,14000,13350,13750,21205
2020-03-18,13500,13750,12800,12800,29322
2020-03-19,12750,13050,11250,11400,34798
2020-03-20,11000,12650,11000,11700,149212
2020-03-23,11250,11800,11000,11450,40670
2020-03-24,11450,12650,11450,12500,32123
2020-03-25,12650,12800,12350,12650,50698
2020-03-26,12550,13100,12400,12900,41704
2020-03-27,13250,13700,13150,13600,40268
2020-03-30,13500,13850,13150,13500,21236
2020-03-31,13900,14000,13450,13700,21393
2020-04-01,13500,14100,13350,13600,26057
2020-04-02,13300,14100,13250,14100,22706
2020-04-03,13900,14800,13800,14800,24735
2020-04-06,14850,15450,14600,15250,19622
2020-04-07,15250,15700,15100,15700,36455
2020-04-08,15700,15800,15250,15300,30440
2020-04-09,15500,15650,15100,15350,22642
2020-04-10,15350,15400,15100,15350,16542
2020-04-13,15200,15700,15000,15300,17062
2020-04-14,15250,15600,15200,15450,19446
2020-04-16,15200,15550,15000,15250,23658
2020-04-17,15100,15450,15100,15300,23741
2020-04-20,15300,15400,15150,15150,33283
2020-04-21,15150,15200,14300,14500,33225
2020-04-22,14500,14500,13550,14050,42012
2020-04-23,14000,14250,13750,14050,36507
2020-04-24,13950,14200,13850,13950,14544
2020-04-27,13900,14400,13900,14250,21609
2020-04-28,14250,14350,14000,14250,18708
2020-04-29,14250,14500,14150,14350,20020
2020-05-04,14200,14250,13850,13950,36452
2020-05-06,14000,14250,13900,14250,17336
2020-05-07,14100,14300,13950,14250,17857
2020-05-08,14400,14700,14300,14600,33904
2020-05-11,14700,15000,14450,14600,31619
2020-05-12,14600,14600,13950,14000,36270
2020-05-13,13700,14050,13700,14000,19002
2020-05-14,14100,14100,13700,13800,20246
2020-05-15,13900,13900,13350,13700,29025
