Date,Open,High,Low,Close,Volume
2019-12-11,57600,57600,57200,57600,612
2019-12-12,57500,57500,56800,56900,2647
2019-12-13,57000,57000,56600,56800,1296
2019-12-16,57100,58500,56900,57400,2519
2019-12-17,57100,57500,57100,57300,1237
2019-12-18,57900,57900,57300,57600,174
2019-12-19,58000,59000,57200,57700,652
2019-12-20,58000,58000,57200,57900,397
2019-12-23,57900,58400,57800,58000,183
2019-12-24,58000,58000,57500,57600,8830
2019-12-26,58000,58000,57700,57800,891
2019-12-27,58000,58000,57200,57800,6648
2019-12-30,58100,58400,57200,57900,1651
2020-01-02,57800,58400,57200,57600,7241
2020-01-03,57900,57900,56800,57800,1493
2020-01-06,57300,57700,57200,57400,1130
2020-01-07,57100,57900,57100,57200,908
2020-01-08,56600,57700,56200,56400,3630
2020-01-09,56400,56400,56200,56300,1735
2020-01-10,56900,57500,56000,56300,971
2020-01-13,56300,56300,55800,56100,327
2020-01-14,56300,56300,55700,56200,401
2020-01-15,56200,56200,55700,56200,741
2020-01-16,56200,56700,56000,56200,1299
2020-01-17,55900,56200,55300,55800,1503
2020-01-20,55600,55700,55400,55600,426
2020-01-21,55700,55700,54800,55500,987
2020-01-22,56000,56000,54900,55200,458
2020-01-23,54900,55900,54300,54700,1314
2020-01-28,54300,54300,52700,53300,2285
2020-01-29,54300,54300,53000,53200,1189
2020-01-30,53500,53900,52700,53200,1325
2020-01-31,52600,53700,52600,53200,172
2020-02-03,53500,53500,52000,53000,1160
2020-02-04,52800,52800,52100,52300,786
2020-02-05,53000,53000,51700,52700,2053
2020-02-06,53000,53200,52400,53000,1326
2020-02-07,53700,53700,53000,53400,174
2020-02-10,53900,53900,53300,53400,347
2020-02-11,53800,53800,52900,53400,526
2020-02-12,52700,54000,52600,53000,1517
2020-02-13,53000,53700,52600,52900,990
2020-02-14,52300,53900,52000,52700,971
2020-02-17,52700,52700,51800,52500,1034
2020-02-18,52000,52400,51900,52200,1235
2020-02-19,52000,52500,52000,52500,1656
2020-02-20,52100,52800,51900,52700,6179
2020-02-21,52200,52900,52000,52800,1728
2020-02-24,52100,52800,52000,52100,3900
2020-02-25,51900,53000,51600,52600,695
2020-02-26,52000,52700,51800,52600,1373
2020-02-27,52100,52400,51900,52300,2270
2020-02-28,52000,52000,50600,50600,6098
2020-03-02,50000,52000,50000,51300,22019
2020-03-03,52000,52000,50900,51500,1406
2020-03-04,50400,52500,50400,52200,1256
2020-03-05,52500,52500,52100,52400,360
2020-03-06,50900,53000,50700,52200,884
2020-03-09,52200,52200,50800,51200,857
2020-03-10,50500,51000,50000,50800,2581
2020-03-11,50600,52700,50300,51200,2297
2020-03-12,50000,51000,49300,50000,4508
2020-03-13,47000,49000,40450,44950,15800
2020-03-16,43700,46950,43150,44650,6488
2020-03-17,43000,45000,43000,44850,2822
2020-03-18,45000,49000,44400,44950,9374
2020-03-19,46600,46600,39500,40000,33157
2020-03-20,40000,41000,38400,40750,7743
2020-03-23,40900,40900,38500,40000,26339
2020-03-24,40900,41950,38750,41800,1415
2020-03-25,41050,44000,41050,43750,6738
2020-03-26,44900,45950,44000,45050,5053
2020-03-27,44050,45800,44000,45250,5725
2020-03-30,43000,45200,43000,45050,1514
2020-03-31,44150,45900,44150,45500,7032
2020-04-01,45800,45800,44500,44950,3892
2020-04-02,44550,45900,44000,45700,2481
2020-04-03,45900,45900,45000,45400,14195
2020-04-06,45900,46200,45250,46200,5083
2020-04-07,46200,48000,46200,47200,4046
2020-04-08,48200,48650,46750,47800,5232
2020-04-09,47050,48700,46800,47550,4990
2020-04-10,46750,48250,46700,48050,2265
2020-04-13,46400,48650,46400,48550,882
2020-04-14,48650,49400,48600,49350,954
2020-04-16,47350,49950,47350,49700,765
2020-04-17,47800,49700,47800,48950,1526
2020-04-20,49550,49550,48250,49000,3364
2020-04-21,49000,49500,48250,49300,6363
2020-04-22,48550,50900,48550,48950,1126
2020-04-23,50800,50800,49000,49150,2396
2020-04-24,49950,49950,49050,49150,1007
2020-04-27,50800,50800,49150,49650,2334
2020-04-28,49250,49750,49150,49700,2320
2020-04-29,49250,50800,49250,50800,1739
2020-05-04,49600,51000,49600,50900,3893
2020-05-06,50900,50900,50300,50900,1571
2020-05-07,51000,51500,50700,51100,1236
2020-05-08,51600,51600,51000,51400,2321
2020-05-11,51300,52500,50900,52400,2334
2020-05-12,52400,52800,51900,52500,154
2020-05-13,52200,52500,51700,52400,1112
2020-05-14,52300,52400,52000,52400,173
2020-05-15,52300,52400,51700,52200,811
2020-05-18,51800,52200,51700,52100,471
2020-05-19,52000,52100,51200,52100,2971
2020-05-20,52200,54700,51900,54600,5928
2020-05-21,55000,55500,53100,54100,3471
2020-05-22,54100,54100,53600,54000,438
2020-05-25,53900,55000,53900,55000,6019
2020-05-26,54600,55900,54600,55700,3568
2020-05-27,55900,56100,55700,56000,11013
2020-05-28,56000,56400,55500,55500,6819
2020-05-29,56000,56000,55600,55900,267
2020-06-01,56400,56400,55400,55700,216
2020-06-02,55700,56000,55300,56000,1113
2020-06-03,55700,56400,55300,56200,2540
2020-06-04,56700,56700,55600,55900,1412
2020-06-05,55700,56000,55500,55700,1889
2020-06-08,55000,55500,55000,55100,3008
2020-06-09,55400,56300,54900,55400,2702
2020-06-10,55400,56100,55200,56100,1810
2020-06-11,55300,56600,55100,56000,2942
2020-06-12,55000,55700,55000,55700,2495
2020-06-15,57300,57300,54600,55500,3367
2020-06-16,55500,56500,55500,55800,918
2020-06-17,55700,56000,55100,55800,3403
2020-06-18,55800,56100,55600,56100,1709
2020-06-19,56300,57800,55800,57700,761
2020-06-22,57900,58600,57400,57600,6961
2020-06-23,56000,57800,56000,57600,4299
2020-06-24,57600,59200,57600,58100,1149
2020-06-25,57900,58900,57600,58100,1807
2020-06-26,58800,58800,58000,58100,1086
2020-06-29,57300,57800,57000,57400,2039
2020-06-30,57200,57900,57200,57600,836
2020-07-01,57200,58000,57200,57900,476
2020-07-02,57900,57900,57500,57900,825
2020-07-03,58000,59500,57600,59400,2389
2020-07-06,59000,59200,58200,59000,1450
2020-07-07,59500,60200,59000,59700,1796
2020-07-08,59700,60300,59400,60100,1666
2020-07-09,59000,60900,59000,60600,4126
2020-07-10,61000,62700,60100,62500,9415
2020-07-13,62500,63300,61500,63100,1785
2020-07-14,63000,64800,62600,64800,6183
2020-07-15,65400,65900,63500,64400,6964
2020-07-16,65500,65500,63500,64200,1692
2020-07-17,63000,65700,63000,65600,4503
2020-07-20,66100,67200,65100,67000,13479
2020-07-21,67400,67400,66200,67400,1284
2020-07-22,65200,68000,63400,67400,2723
2020-07-23,68000,68000,66800,67300,2381
2020-07-24,65700,68300,65700,68300,13540
2020-07-27,68100,69400,68100,69000,13738
2020-07-28,69800,69800,69000,69500,3788
2020-07-29,69800,69900,69000,69200,4777
2020-07-30,69200,69700,69000,69200,2384
2020-07-31,69200,69700,69000,69100,3708
2020-08-03,69700,69700,68800,68800,1459
2020-08-04,69000,69500,68900,69200,1228
2020-08-05,67600,69800,67600,69100,2948
2020-08-06,69100,69400,68600,69000,3930
2020-08-07,69000,69300,68900,69000,4690
2020-08-10,69500,69500,68800,69000,2253
2020-08-11,68900,69200,68800,69000,7371
2020-08-12,69000,69500,68800,68900,3426
2020-08-13,68900,69800,68800,69100,9471
2020-08-14,69600,69600,69000,69200,9192
2020-08-18,69700,69700,68600,69100,3527
2020-08-19,69100,69700,66500,69100,2598
2020-08-20,69000,69000,67200,68800,6562
2020-08-21,68800,69400,68500,69300,2083
2020-08-24,69000,69400,68800,69300,999
2020-08-25,69000,69500,68900,69500,3180
2020-08-26,69500,70400,69000,69500,1308
